lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
420893.0,,balangir,2381823877,Turekela,chc,39.28,27.11,39.28,52.2424,5.9642,1.3555000000000001,1.8977000000000002,325.32,67.775,406.65
420897.0,,balangir,2381823877,Turekela,chc,20.53,17.48,20.53,27.304900000000004,3.8456,0.8740000000000001,1.2236000000000002,209.76,43.7,262.2
420895.0,,balangir,2381823877,Turekela,chc,38.34,26.74,38.34,50.992200000000004,5.8828,1.337,1.8718000000000001,320.88,66.85,401.09999999999997
420892.0,,balangir,2381823877,Turekela,chc,41.58,28.07,41.58,55.3014,6.1754,1.4035000000000002,1.9649000000000003,336.84000000000003,70.175,421.05
420896.0,,balangir,2381823877,Turekela,chc,25.66,20.9,25.66,34.1278,4.598,1.045,1.463,250.79999999999998,52.25,313.5
421294.0,,balangir,7442787128,Sindhekela,chc,23.41,27.41,23.41,31.1353,6.0302,1.3705,1.9187000000000003,328.92,68.525,411.15
421270.0,,balangir,2381823877,Turekela,chc,23.03,20.27,23.03,30.629900000000003,4.4594,1.0135,1.4189,243.24,50.675,304.05
421268.0,,balangir,2381823877,Turekela,chc,23.35,20.1,23.35,31.055500000000002,4.422000000000001,1.0050000000000001,1.4070000000000003,241.20000000000002,50.25,301.5
421271.0,,balangir,2381823877,Turekela,chc,32.5,23.44,32.5,43.225,5.1568000000000005,1.1720000000000002,1.6408000000000003,281.28000000000003,58.6,351.6
420898.0,,balangir,2381823877,Turekela,chc,18.83,16.35,18.83,25.0439,3.5970000000000004,0.8175000000000001,1.1445000000000003,196.20000000000002,40.875,245.25000000000003
421334.0,,balangir,7442787128,Sindhekela,chc,26.44,23.15,26.44,35.165200000000006,5.093,1.1575,1.6205,277.79999999999995,57.875,347.25
421269.0,,balangir,2381823877,Turekela,chc,23.03,20.27,23.03,30.629900000000003,4.4594,1.0135,1.4189,243.24,50.675,304.05
420858.0,,balangir,2381823877,Turekela,chc,20.55,8.54,20.55,27.331500000000002,1.8787999999999998,0.427,0.5978,102.47999999999999,21.349999999999998,128.1
420854.0,,balangir,2381823877,Turekela,chc,18.09,7.51,18.09,24.0597,1.6522,0.3755,0.5257000000000001,90.12,18.775,112.64999999999999
420891.0,,balangir,7442787128,Sindhekela,chc,43.96,42.13,43.96,58.466800000000006,9.268600000000001,2.1065,2.9491000000000005,505.56000000000006,105.325,631.95
420899.0,,balangir,2381823877,Turekela,chc,17.33,15.45,17.33,23.0489,3.399,0.7725,1.0815000000000001,185.39999999999998,38.625,231.75
420890.0,,balangir,2381823877,Turekela,chc,47.47,19.75,47.47,63.1351,4.345,0.9875,1.3825,237.0,49.375,296.25
420888.0,,balangir,2381823877,Turekela,chc,41.44,17.23,41.44,55.1152,3.7906,0.8615,1.2061000000000002,206.76,43.075,258.45
420861.0,,balangir,2381823877,Turekela,chc,37.34,15.51,37.34,49.662200000000006,3.4122,0.7755000000000001,1.0857,186.12,38.775,232.65
420867.0,,balangir,2381823877,Turekela,chc,5.61,4.49,5.61,7.4613000000000005,0.9878,0.22450000000000003,0.3143,53.88,11.225000000000001,67.35000000000001
420868.0,,balangir,2381823877,Turekela,chc,3.05,2.26,3.05,4.0565,0.4972,0.11299999999999999,0.1582,27.119999999999997,5.6499999999999995,33.9
420889.0,,balangir,2381823877,Turekela,chc,40.2,16.72,40.2,53.46600000000001,3.6784,0.836,1.1704,200.64,41.8,250.79999999999998
420864.0,,balangir,2381823877,Turekela,chc,15.91,10.3,15.91,21.160300000000003,2.266,0.515,0.7210000000000001,123.60000000000001,25.75,154.5
420860.0,,balangir,2381823877,Turekela,chc,55.34,61.21,55.34,73.60220000000001,13.4662,3.0605,4.284700000000001,734.52,153.025,918.15
420866.0,,balangir,2381823877,Turekela,chc,9.53,6.72,9.53,12.6749,1.4784,0.336,0.47040000000000004,80.64,16.8,100.8
420863.0,,balangir,2381823877,Turekela,chc,31.33,13.03,31.33,41.6689,2.8666,0.6515,0.9121,156.35999999999999,32.574999999999996,195.45
420856.0,,balangir,2381823877,Turekela,chc,24.8,10.31,24.8,32.984,2.2682,0.5155000000000001,0.7217000000000001,123.72,25.775000000000002,154.65
420857.0,,balangir,2381823877,Turekela,chc,28.19,11.72,28.19,37.492700000000006,2.5784000000000002,0.5860000000000001,0.8204000000000001,140.64000000000001,29.3,175.8
420855.0,,balangir,2381823877,Turekela,chc,16.07,6.67,16.07,21.3731,1.4674,0.3335,0.46690000000000004,80.03999999999999,16.675,100.05
