lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
379820.0,,bargarh,8531437682,Bukuramunda,chc,67.5,43.36,67.5,89.775,9.5392,2.168,3.0352,520.3199999999999,108.4,650.4
379813.0,,bargarh,8531437682,Bukuramunda,chc,65.85,45.36,65.85,87.5805,9.9792,2.2680000000000002,3.1752000000000002,544.3199999999999,113.4,680.4
379819.0,,bargarh,8531437682,Bukuramunda,chc,65.78,44.75,65.78,87.48740000000001,9.845,2.2375000000000003,3.1325000000000003,537.0,111.875,671.25
379812.0,,bargarh,8531437682,Bukuramunda,chc,66.09,44.99,66.09,87.89970000000001,9.8978,2.2495000000000003,3.1493000000000007,539.88,112.47500000000001,674.85
379811.0,,bargarh,8531437682,Bukuramunda,chc,60.76,41.97,60.76,80.8108,9.2334,2.0985,2.9379000000000004,503.64,104.925,629.55
379810.0,,bargarh,8531437682,Bukuramunda,chc,69.35,47.43,69.35,92.2355,10.4346,2.3715,3.3201000000000005,569.16,118.575,711.45
379818.0,,bargarh,8531437682,Bukuramunda,chc,69.57,47.24,69.57,92.5281,10.392800000000001,2.362,3.3068000000000004,566.88,118.10000000000001,708.6
379808.0,,bargarh,8531437682,Bukuramunda,chc,55.63,39.1,55.63,73.98790000000001,8.602,1.955,2.7370000000000005,469.20000000000005,97.75,586.5
379806.0,,bargarh,8531437682,Bukuramunda,chc,51.8,35.1,51.8,68.894,7.722,1.7550000000000001,2.4570000000000003,421.20000000000005,87.75,526.5
379803.0,,bargarh,8531437682,Bukuramunda,chc,56.17,38.03,56.17,74.7061,8.3666,1.9015000000000002,2.6621,456.36,95.075,570.45
379805.0,,bargarh,8531437682,Bukuramunda,chc,56.06,38.84,56.06,74.55980000000001,8.5448,1.9420000000000002,2.7188000000000003,466.08000000000004,97.10000000000001,582.6
379801.0,,bargarh,8531437682,Bukuramunda,chc,63.69,41.16,63.69,84.7077,9.0552,2.058,2.8812,493.91999999999996,102.89999999999999,617.4
379800.0,,bargarh,8531437682,Bukuramunda,chc,59.64,39.48,59.64,79.3212,8.685599999999999,1.974,2.7636,473.76,98.69999999999999,592.1999999999999
379807.0,,bargarh,8531437682,Bukuramunda,chc,53.46,37.15,53.46,71.10180000000001,8.173,1.8575,2.6005000000000003,445.79999999999995,92.875,557.25
379798.0,,bargarh,8531437682,Bukuramunda,chc,63.68,41.17,63.68,84.6944,9.057400000000001,2.0585,2.8819000000000004,494.04,102.92500000000001,617.5500000000001
379817.0,,bargarh,8531437682,Bukuramunda,chc,73.79,50.05,73.79,98.14070000000001,11.011,2.5025,3.5035000000000003,600.5999999999999,125.125,750.75
379816.0,,bargarh,8531437682,Bukuramunda,chc,73.91,50.07,73.91,98.30030000000001,11.0154,2.5035000000000003,3.5049000000000006,600.84,125.175,751.05
379814.0,,bargarh,8531437682,Bukuramunda,chc,73.25,48.65,73.25,97.4225,10.703,2.4325,3.4055000000000004,583.8,121.625,729.75
379815.0,,bargarh,8531437682,Bukuramunda,chc,71.59,48.52,71.59,95.21470000000001,10.6744,2.426,3.3964000000000008,582.24,121.30000000000001,727.8000000000001
379802.0,,bargarh,8531437682,Bukuramunda,chc,63.7,41.17,63.7,84.721,9.057400000000001,2.0585,2.8819000000000004,494.04,102.92500000000001,617.5500000000001
379804.0,,bargarh,8531437682,Bukuramunda,chc,60.08,40.27,60.08,79.9064,8.8594,2.0135,2.8189000000000006,483.24,100.67500000000001,604.0500000000001
379809.0,,bargarh,8531437682,Bukuramunda,chc,62.02,46.32,62.02,82.48660000000001,10.1904,2.3160000000000003,3.2424000000000004,555.84,115.8,694.8
379919.0,,bargarh,8571473373,Dava,chc,34.95,18.31,34.95,46.48350000000001,4.0282,0.9155,1.2817,219.71999999999997,45.775,274.65
379921.0,,bargarh,8571473373,Dava,chc,39.5,20.17,39.5,52.535000000000004,4.4374,1.0085000000000002,1.4119000000000002,242.04000000000002,50.425000000000004,302.55
379717.0,,bargarh,8571473373,Dava,chc,54.45,33.34,54.45,72.41850000000001,7.3348,1.6670000000000003,2.3338000000000005,400.08000000000004,83.35000000000001,500.1
379774.0,,bargarh,8571473373,Dava,chc,57.05,36.46,57.05,75.87650000000001,8.0212,1.8230000000000002,2.5522000000000005,437.52,91.15,546.9
379777.0,,bargarh,8571473373,Dava,chc,63.77,39.78,63.77,84.81410000000001,8.7516,1.989,2.7846,477.36,99.45,596.7
379768.0,,bargarh,8531437682,Bukuramunda,chc,42.48,23.54,42.48,56.4984,5.1788,1.177,1.6478000000000002,282.48,58.849999999999994,353.09999999999997
379765.0,,bargarh,8531437682,Bukuramunda,chc,40.18,22.18,40.18,53.4394,4.8796,1.109,1.5526000000000002,266.15999999999997,55.45,332.7
