lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
394520.0,,bhadrak,2147782383,Barpada,chc,68.16,81.91,68.16,90.6528,18.0202,4.0955,5.733700000000001,982.92,204.77499999999998,1228.6499999999999
394519.0,,bhadrak,2147782383,Barpada,chc,67.92,81.56,67.92,90.3336,17.9432,4.078,5.709200000000001,978.72,203.9,1223.4
394584.0,,bhadrak,2147782383,Barpada,chc,68.94,83.02,68.94,91.6902,18.2644,4.151,5.8114,996.24,207.54999999999998,1245.3
394522.0,,bhadrak,2147782383,Barpada,chc,68.72,82.71,68.72,91.3976,18.196199999999997,4.1354999999999995,5.7897,992.52,206.77499999999998,1240.6499999999999
394521.0,,bhadrak,2147782383,Barpada,chc,68.19,81.95,68.19,90.6927,18.029,4.0975,5.7365,983.4000000000001,204.875,1229.25
394527.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394538.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394506.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.11,0.1,0.11,0.1463,0.022000000000000002,0.005000000000000001,0.007000000000000001,1.2000000000000002,0.25,1.5
394567.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394596.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394686.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394539.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394552.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394543.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394546.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394563.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394580.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394574.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394531.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394544.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394550.0,,bhadrak,6282683645,Dhamnagar,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394507.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.45,0.41,0.45,0.5985,0.09019999999999999,0.0205,0.0287,4.92,1.025,6.1499999999999995
394510.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.9,0.82,0.9,1.197,0.18039999999999998,0.041,0.0574,9.84,2.05,12.299999999999999
394581.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394586.0,,bhadrak,2147782383,Barpada,chc,68.94,83.02,68.94,91.6902,18.2644,4.151,5.8114,996.24,207.54999999999998,1245.3
394575.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394593.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394548.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394557.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394573.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394688.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394571.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394555.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394534.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394526.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.11,0.1,0.11,0.1463,0.022000000000000002,0.005000000000000001,0.007000000000000001,1.2000000000000002,0.25,1.5
394595.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394685.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394541.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394592.0,,bhadrak,2147782383,Barpada,chc,69.7,84.09,69.7,92.70100000000001,18.4998,4.2045,5.886300000000001,1009.08,210.22500000000002,1261.3500000000001
394687.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394684.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394568.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394559.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394551.0,,bhadrak,6282683645,Dhamnagar,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394589.0,,bhadrak,2147782383,Barpada,chc,68.94,83.02,68.94,91.6902,18.2644,4.151,5.8114,996.24,207.54999999999998,1245.3
394597.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394591.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394594.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394590.0,,bhadrak,4183863721,Bhandaripokhari,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
