lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
417863.0,,boudh,6623446744,Kantamal,chc,38.61,28.79,38.61,51.3513,6.3338,1.4395,2.0153000000000003,345.48,71.975,431.84999999999997
417861.0,,boudh,6623446744,Kantamal,chc,36.61,29.12,36.61,48.691300000000005,6.4064000000000005,1.4560000000000002,2.0384,349.44,72.8,436.8
417864.0,,boudh,6623446744,Kantamal,chc,37.23,28.14,37.23,49.5159,6.1908,1.407,1.9698000000000002,337.68,70.35,422.1
417862.0,,boudh,6623446744,Kantamal,chc,40.72,30.83,40.72,54.1576,6.7825999999999995,1.5415,2.1581,369.96,77.07499999999999,462.45
417868.0,,boudh,6623446744,Kantamal,chc,29.53,28.41,29.53,39.2749,6.2502,1.4205,1.9887000000000001,340.92,71.025,426.15
417877.0,,boudh,6623446744,Kantamal,chc,26.68,27.6,26.68,35.4844,6.072,1.3800000000000001,1.9320000000000004,331.20000000000005,69.0,414.0
417866.0,,boudh,6623446744,Kantamal,chc,30.19,29.69,30.19,40.1527,6.5318000000000005,1.4845000000000002,2.0783000000000005,356.28000000000003,74.22500000000001,445.35
417869.0,,boudh,6623446744,Kantamal,chc,26.95,27.16,26.95,35.8435,5.9752,1.358,1.9012000000000002,325.92,67.9,407.4
417875.0,,boudh,6623446744,Kantamal,chc,24.55,26.02,24.55,32.651500000000006,5.7244,1.3010000000000002,1.8214000000000001,312.24,65.05,390.3
417884.0,,boudh,6623446744,Kantamal,chc,34.7,32.75,34.7,46.151,7.205,1.6375000000000002,2.2925000000000004,393.0,81.875,491.25
417870.0,,boudh,6623446744,Kantamal,chc,27.45,27.54,27.45,36.5085,6.0588,1.377,1.9278000000000002,330.48,68.85,413.09999999999997
417880.0,,boudh,6623446744,Kantamal,chc,26.77,29.01,26.77,35.6041,6.3822,1.4505000000000001,2.0307000000000004,348.12,72.525,435.15000000000003
417859.0,,boudh,6623446744,Kantamal,chc,30.6,28.35,30.6,40.69800000000001,6.237,1.4175000000000002,1.9845000000000004,340.20000000000005,70.875,425.25
417858.0,,boudh,6623446744,Kantamal,chc,27.65,26.99,27.65,36.7745,5.937799999999999,1.3495,1.8893,323.88,67.475,404.84999999999997
417848.0,,boudh,6623446744,Kantamal,chc,24.99,24.12,24.99,33.2367,5.3064,1.2060000000000002,1.6884000000000001,289.44,60.300000000000004,361.8
417867.0,,boudh,6623446744,Kantamal,chc,38.91,31.82,38.91,51.750299999999996,7.0004,1.5910000000000002,2.2274000000000003,381.84000000000003,79.55,477.3
417881.0,,boudh,6623446744,Kantamal,chc,27.95,28.93,27.95,37.173500000000004,6.3646,1.4465000000000001,2.0251,347.15999999999997,72.325,433.95
417847.0,,boudh,6623446744,Kantamal,chc,29.49,27.43,29.49,39.2217,6.0346,1.3715000000000002,1.9201000000000001,329.15999999999997,68.575,411.45
417845.0,,boudh,6623446744,Kantamal,chc,27.41,26.18,27.41,36.4553,5.7596,1.3090000000000002,1.8326000000000002,314.15999999999997,65.45,392.7
417846.0,,boudh,6623446744,Kantamal,chc,28.04,26.52,28.04,37.2932,5.8344,1.326,1.8564,318.24,66.3,397.8
417872.0,,boudh,6623446744,Kantamal,chc,45.14,38.51,45.14,60.0362,8.472199999999999,1.9255,2.6957,462.12,96.27499999999999,577.65
417882.0,,boudh,6623446744,Kantamal,chc,31.2,30.87,31.2,41.496,6.7914,1.5435,2.1609000000000003,370.44,77.175,463.05
417871.0,,boudh,6623446744,Kantamal,chc,28.97,28.18,28.97,38.5301,6.1996,1.409,1.9726000000000001,338.15999999999997,70.45,422.7
417873.0,,boudh,6623446744,Kantamal,chc,26.62,27.52,26.62,35.4046,6.0544,1.3760000000000001,1.9264000000000001,330.24,68.8,412.8
417879.0,,boudh,6623446744,Kantamal,chc,26.14,27.6,26.14,34.766200000000005,6.072,1.3800000000000001,1.9320000000000004,331.20000000000005,69.0,414.0
417883.0,,boudh,6623446744,Kantamal,chc,30.17,29.75,30.17,40.1261,6.545,1.4875,2.0825,357.0,74.375,446.25
417874.0,,boudh,6623446744,Kantamal,chc,25.6,27.1,25.6,34.048,5.962000000000001,1.3550000000000002,1.8970000000000002,325.20000000000005,67.75,406.5
417865.0,,boudh,6623446744,Kantamal,chc,34.45,31.68,34.45,45.81850000000001,6.9696,1.584,2.2176,380.15999999999997,79.2,475.2
417850.0,,boudh,6623446744,Kantamal,chc,27.3,28.01,27.3,36.309000000000005,6.1622,1.4005,1.9607000000000003,336.12,70.025,420.15000000000003
417885.0,,boudh,6623446744,Kantamal,chc,33.54,31.39,33.54,44.608200000000004,6.9058,1.5695000000000001,2.1973000000000003,376.68,78.475,470.85
417876.0,,boudh,6623446744,Kantamal,chc,22.97,24.89,22.97,30.5501,5.4758000000000004,1.2445000000000002,1.7423000000000002,298.68,62.225,373.35
417853.0,,boudh,6623446744,Kantamal,chc,26.32,26.63,26.32,35.0056,5.8586,1.3315000000000001,1.8641,319.56,66.575,399.45
417851.0,,boudh,6623446744,Kantamal,chc,25.04,25.11,25.04,33.303200000000004,5.5241999999999996,1.2555,1.7577,301.32,62.775,376.65
417849.0,,boudh,6623446744,Kantamal,chc,27.71,25.63,27.71,36.8543,5.638599999999999,1.2815,1.7941,307.56,64.075,384.45
417854.0,,boudh,6623446744,Kantamal,chc,21.57,22.94,21.57,28.688100000000002,5.0468,1.147,1.6058000000000003,275.28000000000003,57.35,344.1
417857.0,,boudh,6623446744,Kantamal,chc,26.54,25.68,26.54,35.2982,5.6496,1.284,1.7976,308.15999999999997,64.2,385.2
417852.0,,boudh,6623446744,Kantamal,chc,21.44,23.23,21.44,28.515200000000004,5.1106,1.1615,1.6261,278.76,58.075,348.45
417856.0,,boudh,6623446744,Kantamal,chc,22.0,23.22,22.0,29.26,5.1084,1.161,1.6254000000000002,278.64,58.05,348.29999999999995
417855.0,,boudh,6623446744,Kantamal,chc,20.34,22.04,20.34,27.052200000000003,4.8488,1.102,1.5428000000000002,264.48,55.099999999999994,330.59999999999997
417820.0,,boudh,6623446744,Kantamal,chc,19.45,21.08,19.45,25.8685,4.6376,1.054,1.4756,252.95999999999998,52.699999999999996,316.2
417878.0,,boudh,6623446744,Kantamal,chc,26.75,27.36,26.75,35.5775,6.0192,1.368,1.9152000000000002,328.32,68.4,410.4
417814.0,,boudh,6623446744,Kantamal,chc,26.57,23.89,26.57,35.338100000000004,5.2558,1.1945000000000001,1.6723000000000001,286.68,59.725,358.35
417811.0,,boudh,6623446744,Kantamal,chc,16.27,17.63,16.27,21.6391,3.8785999999999996,0.8815,1.2341,211.56,44.074999999999996,264.45
