lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
383442.0,,deogarh,8237746261,Chhatabar,chc,10.05,14.24,10.05,13.366500000000002,3.1328,0.7120000000000001,0.9968000000000001,170.88,35.6,213.6
383440.0,,deogarh,8237746261,Chhatabar,chc,14.19,15.22,14.19,18.872700000000002,3.3484000000000003,0.7610000000000001,1.0654000000000001,182.64000000000001,38.050000000000004,228.3
383444.0,,deogarh,8237746261,Chhatabar,chc,24.19,28.83,24.19,32.172700000000006,6.3426,1.4415,2.0181,345.96,72.07499999999999,432.45
383443.0,,deogarh,8237746261,Chhatabar,chc,10.68,15.13,10.68,14.2044,3.3286000000000002,0.7565000000000001,1.0591000000000002,181.56,37.825,226.95000000000002
383446.0,,deogarh,8237746261,Chhatabar,chc,7.38,10.45,7.38,9.8154,2.299,0.5225,0.7315,125.39999999999999,26.125,156.75
383441.0,,deogarh,8237746261,Chhatabar,chc,9.86,13.97,9.86,13.1138,3.0734000000000004,0.6985000000000001,0.9779000000000001,167.64000000000001,34.925000000000004,209.55
383277.0,,deogarh,8237746261,Chhatabar,chc,24.23,18.08,24.23,32.2259,3.9776,0.9039999999999999,1.2656,216.95999999999998,45.199999999999996,271.2
383256.0,,deogarh,8237746261,Chhatabar,chc,24.97,19.26,24.97,33.2101,4.2372000000000005,0.9630000000000001,1.3482000000000003,231.12,48.150000000000006,288.90000000000003
383276.0,,deogarh,8237746261,Chhatabar,chc,24.91,19.22,24.91,33.130300000000005,4.2284,0.961,1.3454000000000002,230.64,48.05,288.29999999999995
383257.0,,deogarh,8237746261,Chhatabar,chc,24.97,19.26,24.97,33.2101,4.2372000000000005,0.9630000000000001,1.3482000000000003,231.12,48.150000000000006,288.90000000000003
383258.0,,deogarh,8237746261,Chhatabar,chc,24.95,19.25,24.95,33.1835,4.235,0.9625,1.3475000000000001,231.0,48.125,288.75
382689.0,,deogarh,8237746261,Chhatabar,chc,26.51,20.29,26.51,35.258300000000006,4.4638,1.0145,1.4203000000000001,243.48,50.724999999999994,304.34999999999997
382691.0,,deogarh,5148856684,Tileibani,chc,4.03,5.63,4.03,5.3599000000000006,1.2386,0.28150000000000003,0.3941,67.56,14.075,84.45
382690.0,,deogarh,8237746261,Chhatabar,chc,25.97,19.93,25.97,34.5401,4.3846,0.9965,1.3951,239.16,49.825,298.95
382687.0,,deogarh,5148856684,Tileibani,chc,5.46,7.63,5.46,7.2618,1.6786,0.3815,0.5341,91.56,19.075,114.45
382688.0,,deogarh,5148856684,Tileibani,chc,3.98,5.55,3.98,5.2934,1.2209999999999999,0.2775,0.3885,66.6,13.875,83.25
382684.0,,deogarh,5148856684,Tileibani,chc,4.11,5.74,4.11,5.4663,1.2628000000000001,0.28700000000000003,0.40180000000000005,68.88,14.350000000000001,86.10000000000001
382693.0,,deogarh,5148856684,Tileibani,chc,2.37,3.26,2.37,3.1521000000000003,0.7172,0.163,0.22820000000000001,39.12,8.149999999999999,48.9
382694.0,,deogarh,5148856684,Tileibani,chc,2.71,3.74,2.71,3.6043000000000003,0.8228000000000001,0.18700000000000003,0.26180000000000003,44.88,9.350000000000001,56.1
382685.0,,deogarh,5148856684,Tileibani,chc,7.53,10.55,7.53,10.0149,2.321,0.5275000000000001,0.7385000000000002,126.60000000000001,26.375,158.25
