lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
413452.0,,ganjam,5834685363,Patrapur,chc,39.82,26.54,39.82,52.96060000000001,5.8388,1.327,1.8578000000000001,318.48,66.35,398.09999999999997
413451.0,,ganjam,5834685363,Patrapur,chc,47.54,31.69,47.54,63.2282,6.9718,1.5845000000000002,2.2183,380.28000000000003,79.22500000000001,475.35
413450.0,,ganjam,5834685363,Patrapur,chc,42.47,28.3,42.47,56.4851,6.226,1.415,1.9810000000000003,339.6,70.75,424.5
413447.0,,ganjam,5834685363,Patrapur,chc,18.45,12.3,18.45,24.5385,2.706,0.6150000000000001,0.8610000000000001,147.60000000000002,30.75,184.5
413453.0,,ganjam,5834685363,Patrapur,chc,18.45,12.3,18.45,24.5385,2.706,0.6150000000000001,0.8610000000000001,147.60000000000002,30.75,184.5
413443.0,,ganjam,5834685363,Patrapur,chc,17.9,11.93,17.9,23.807,2.6246,0.5965,0.8351000000000001,143.16,29.825,178.95
413454.0,,ganjam,5834685363,Patrapur,chc,17.9,11.93,17.9,23.807,2.6246,0.5965,0.8351000000000001,143.16,29.825,178.95
413455.0,,ganjam,5834685363,Patrapur,chc,17.9,11.93,17.9,23.807,2.6246,0.5965,0.8351000000000001,143.16,29.825,178.95
413458.0,,ganjam,5834685363,Patrapur,chc,93.16,52.86,93.16,123.9028,11.629199999999999,2.6430000000000002,3.7002,634.3199999999999,132.15,792.9
413456.0,,ganjam,5834685363,Patrapur,chc,74.7,44.94,74.7,99.35100000000001,9.8868,2.247,3.1458,539.28,112.35,674.0999999999999
413457.0,,ganjam,5834685363,Patrapur,chc,93.16,52.86,93.16,123.9028,11.629199999999999,2.6430000000000002,3.7002,634.3199999999999,132.15,792.9
413444.0,,ganjam,5834685363,Patrapur,chc,17.9,11.93,17.9,23.807,2.6246,0.5965,0.8351000000000001,143.16,29.825,178.95
413446.0,,ganjam,5834685363,Patrapur,chc,17.93,11.95,17.93,23.8469,2.629,0.5975,0.8365,143.39999999999998,29.875,179.25
413459.0,,ganjam,5834685363,Patrapur,chc,17.49,11.66,17.49,23.261699999999998,2.5652,0.5830000000000001,0.8162,139.92000000000002,29.15,174.9
413445.0,,ganjam,5834685363,Patrapur,chc,17.9,11.93,17.9,23.807,2.6246,0.5965,0.8351000000000001,143.16,29.825,178.95
413387.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15,27.22,36.202600000000004,3.993,0.9075,1.2705,217.79999999999998,45.375,272.25
413429.0,,ganjam,5834685363,Patrapur,chc,29.08,19.39,29.08,38.6764,4.2658000000000005,0.9695,1.3573000000000002,232.68,48.475,290.85
413449.0,,ganjam,5834685363,Patrapur,chc,36.07,24.04,36.07,47.9731,5.2888,1.202,1.6828,288.48,60.099999999999994,360.59999999999997
413383.0,,ganjam,5834685363,Patrapur,chc,29.08,19.39,29.08,38.6764,4.2658000000000005,0.9695,1.3573000000000002,232.68,48.475,290.85
413381.0,,ganjam,5834685363,Patrapur,chc,29.07,19.38,29.07,38.6631,4.263599999999999,0.969,1.3566,232.56,48.449999999999996,290.7
413380.0,,ganjam,5834685363,Patrapur,chc,29.07,19.38,29.07,38.6631,4.263599999999999,0.969,1.3566,232.56,48.449999999999996,290.7
413382.0,,ganjam,5834685363,Patrapur,chc,29.07,19.38,29.07,38.6631,4.263599999999999,0.969,1.3566,232.56,48.449999999999996,290.7
413377.0,,ganjam,5834685363,Patrapur,chc,26.1,17.4,26.1,34.713,3.828,0.87,1.218,208.79999999999998,43.5,261.0
413431.0,,ganjam,5834685363,Patrapur,chc,35.58,23.71,35.58,47.3214,5.216200000000001,1.1855,1.6597000000000002,284.52,59.275000000000006,355.65000000000003
413432.0,,ganjam,5834685363,Patrapur,chc,26.9,17.93,26.9,35.777,3.9446,0.8965000000000001,1.2551,215.16,44.825,268.95
413384.0,,ganjam,5834685363,Patrapur,chc,29.07,19.38,29.07,38.6631,4.263599999999999,0.969,1.3566,232.56,48.449999999999996,290.7
413385.0,,ganjam,5834685363,Patrapur,chc,27.22,18.15,27.22,36.202600000000004,3.993,0.9075,1.2705,217.79999999999998,45.375,272.25
413434.0,,ganjam,5834685363,Patrapur,chc,32.37,21.58,32.37,43.052099999999996,4.747599999999999,1.079,1.5106,258.96,53.949999999999996,323.7
413433.0,,ganjam,5834685363,Patrapur,chc,30.31,20.2,30.31,40.3123,4.444,1.01,1.4140000000000001,242.39999999999998,50.5,303.0
413430.0,,ganjam,5834685363,Patrapur,chc,31.23,20.82,31.23,41.535900000000005,4.5804,1.0410000000000001,1.4574000000000003,249.84,52.05,312.3
