lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
401749.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401760.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401751.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401762.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401754.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401765.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401746.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401766.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401748.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401764.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401750.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401752.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401763.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401755.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401761.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401756.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401747.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401753.0,,jajapur,6275418488,Barachana,chc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
401858.0,,jajapur,6275418488,Barachana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401850.0,,jajapur,6275418488,Barachana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401860.0,,jajapur,6275418488,Barachana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401851.0,,jajapur,6275418488,Barachana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401861.0,,jajapur,6275418488,Barachana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401849.0,,jajapur,6275418488,Barachana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401859.0,,jajapur,6275418488,Barachana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402081.0,,jajapur,8636484159,Madhubana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401862.0,,jajapur,6275418488,Barachana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402085.0,,jajapur,8636484159,Madhubana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402083.0,,jajapur,8636484159,Madhubana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402082.0,,jajapur,8636484159,Madhubana,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402084.0,,jajapur,4864232642,Mangalpur,chc,97.04,78.18,97.04,129.06320000000002,17.1996,3.9090000000000007,5.472600000000001,938.1600000000001,195.45000000000002,1172.7
401637.0,,jajapur,6275418488,Barachana,chc,94.82,95.79,94.82,126.11059999999999,21.073800000000002,4.7895,6.705300000000001,1149.48,239.47500000000002,1436.8500000000001
401636.0,,jajapur,4734254735,Sukinda,chc,71.06,63.44,71.06,94.50980000000001,13.9568,3.172,4.4408,761.28,158.6,951.5999999999999
401635.0,,jajapur,4734254735,Sukinda,chc,72.2,64.2,72.2,96.02600000000001,14.124,3.2100000000000004,4.494000000000001,770.4000000000001,160.5,963.0
401634.0,,jajapur,6275418488,Barachana,chc,93.21,94.71,93.21,123.9693,20.836199999999998,4.7355,6.629700000000001,1136.52,236.77499999999998,1420.6499999999999
400521.0,,jajapur,4734254735,Sukinda,chc,35.28,33.47,35.28,46.9224,7.3633999999999995,1.6735,2.3429,401.64,83.675,502.04999999999995
400524.0,,jajapur,4734254735,Sukinda,chc,30.82,28.09,30.82,40.9906,6.1798,1.4045,1.9663000000000002,337.08,70.225,421.35
400426.0,,jajapur,4734254735,Sukinda,chc,12.38,14.27,12.38,16.465400000000002,3.1393999999999997,0.7135,0.9989,171.24,35.675,214.04999999999998
400455.0,,jajapur,4734254735,Sukinda,chc,14.82,10.78,14.82,19.710600000000003,2.3716,0.539,0.7546,129.35999999999999,26.95,161.7
400448.0,,jajapur,4734254735,Sukinda,chc,15.21,10.91,15.21,20.229300000000002,2.4002,0.5455,0.7637,130.92000000000002,27.275,163.65
400447.0,,jajapur,4734254735,Sukinda,chc,11.69,10.67,11.69,15.5477,2.3474,0.5335,0.7469000000000001,128.04,26.675,160.05
400446.0,,jajapur,4734254735,Sukinda,chc,11.88,10.85,11.88,15.800400000000002,2.387,0.5425,0.7595000000000001,130.2,27.125,162.75
400452.0,,jajapur,6275418488,Barachana,chc,26.31,20.66,26.31,34.9923,4.5452,1.0330000000000001,1.4462000000000002,247.92000000000002,51.65,309.9
400434.0,,jajapur,4734254735,Sukinda,chc,6.37,4.82,6.37,8.472100000000001,1.0604,0.24100000000000002,0.33740000000000003,57.84,12.05,72.30000000000001
400433.0,,jajapur,4734254735,Sukinda,chc,8.71,6.83,8.71,11.584300000000002,1.5026,0.3415,0.4781,81.96000000000001,17.075,102.45
