lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
381000.0,,jharsuguda,1111454243,Lakhanpur,chc,55.72,55.46,55.72,74.1076,12.2012,2.773,3.8822000000000005,665.52,138.65,831.9
380999.0,,jharsuguda,1111454243,Lakhanpur,chc,56.79,54.92,56.79,75.5307,12.0824,2.7460000000000004,3.8444000000000007,659.04,137.3,823.8000000000001
380997.0,,jharsuguda,1111454243,Lakhanpur,chc,57.75,54.85,57.75,76.8075,12.067,2.7425,3.8395000000000006,658.2,137.125,822.75
381002.0,,jharsuguda,1111454243,Lakhanpur,chc,57.5,56.64,57.5,76.47500000000001,12.4608,2.8320000000000003,3.9648000000000003,679.6800000000001,141.6,849.6
380995.0,,jharsuguda,1111454243,Lakhanpur,chc,47.03,49.56,47.03,62.54990000000001,10.9032,2.478,3.4692000000000003,594.72,123.9,743.4000000000001
380998.0,,jharsuguda,1111454243,Lakhanpur,chc,57.54,56.01,57.54,76.5282,12.3222,2.8005,3.9207,672.12,140.025,840.15
380996.0,,jharsuguda,1111454243,Lakhanpur,chc,52.79,53.2,52.79,70.2107,11.704,2.66,3.7240000000000006,638.4000000000001,133.0,798.0
380994.0,,jharsuguda,1111454243,Lakhanpur,chc,44.61,48.05,44.61,59.331300000000006,10.571,2.4025,3.3635,576.5999999999999,120.125,720.75
380993.0,,jharsuguda,1111454243,Lakhanpur,chc,44.86,47.92,44.86,59.6638,10.5424,2.3960000000000004,3.3544000000000005,575.04,119.80000000000001,718.8000000000001
380988.0,,jharsuguda,1111454243,Lakhanpur,chc,36.88,42.9,36.88,49.0504,9.438,2.145,3.003,514.8,107.25,643.5
381003.0,,jharsuguda,1111454243,Lakhanpur,chc,57.5,56.65,57.5,76.47500000000001,12.463,2.8325,3.9655000000000005,679.8,141.625,849.75
381004.0,,jharsuguda,1111454243,Lakhanpur,chc,105.33,86.36,105.33,140.0889,18.9992,4.3180000000000005,6.0452,1036.32,215.9,1295.4
380970.0,,jharsuguda,1111454243,Lakhanpur,chc,7.31,9.07,7.31,9.7223,1.9954,0.4535,0.6349000000000001,108.84,22.675,136.05
381001.0,,jharsuguda,1111454243,Lakhanpur,chc,57.74,56.81,57.74,76.7942,12.4982,2.8405000000000005,3.9767000000000006,681.72,142.025,852.1500000000001
380991.0,,jharsuguda,1111454243,Lakhanpur,chc,40.36,45.22,40.36,53.6788,9.9484,2.261,3.1654000000000004,542.64,113.05,678.3
380992.0,,jharsuguda,1111454243,Lakhanpur,chc,42.2,46.35,42.2,56.126000000000005,10.197000000000001,2.3175000000000003,3.2445000000000004,556.2,115.875,695.25
380974.0,,jharsuguda,1111454243,Lakhanpur,chc,9.44,12.08,9.44,12.5552,2.6576,0.6040000000000001,0.8456000000000001,144.96,30.2,181.2
380971.0,,jharsuguda,1111454243,Lakhanpur,chc,8.59,10.88,8.59,11.4247,2.3936,0.544,0.7616000000000002,130.56,27.200000000000003,163.20000000000002
380972.0,,jharsuguda,1111454243,Lakhanpur,chc,8.61,10.91,8.61,11.4513,2.4002,0.5455,0.7637,130.92000000000002,27.275,163.65
380976.0,,jharsuguda,1111454243,Lakhanpur,chc,10.9,14.16,10.9,14.497000000000002,3.1152,0.7080000000000001,0.9912000000000001,169.92000000000002,35.4,212.4
380975.0,,jharsuguda,1111454243,Lakhanpur,chc,9.77,12.55,9.77,12.9941,2.761,0.6275000000000001,0.8785000000000002,150.60000000000002,31.375,188.25
380989.0,,jharsuguda,1111454243,Lakhanpur,chc,36.87,42.89,36.87,49.0371,9.4358,2.1445000000000003,3.0023000000000004,514.6800000000001,107.225,643.35
380990.0,,jharsuguda,1111454243,Lakhanpur,chc,38.26,43.81,38.26,50.8858,9.638200000000001,2.1905,3.0667000000000004,525.72,109.525,657.1500000000001
380977.0,,jharsuguda,1111454243,Lakhanpur,chc,15.38,20.49,15.38,20.4554,4.5078,1.0245,1.4343000000000001,245.88,51.224999999999994,307.34999999999997
380952.0,,jharsuguda,1111454243,Lakhanpur,chc,30.74,38.56,30.74,40.8842,8.4832,1.9280000000000002,2.6992000000000003,462.72,96.4,578.4000000000001
380953.0,,jharsuguda,1111454243,Lakhanpur,chc,27.77,37.27,27.77,36.9341,8.1994,1.8635000000000002,2.6089000000000007,447.24,93.17500000000001,559.0500000000001
380987.0,,jharsuguda,1111454243,Lakhanpur,chc,29.92,38.25,29.92,39.793600000000005,8.415000000000001,1.9125,2.6775,459.0,95.625,573.75
380933.0,,jharsuguda,1111454243,Lakhanpur,chc,22.85,26.66,22.85,30.390500000000003,5.8652,1.3330000000000002,1.8662,319.92,66.65,399.9
380936.0,,jharsuguda,1111454243,Lakhanpur,chc,25.19,28.23,25.19,33.502700000000004,6.2106,1.4115000000000002,1.9761000000000002,338.76,70.575,423.45
380930.0,,jharsuguda,1111454243,Lakhanpur,chc,31.75,33.48,31.75,42.2275,7.3656,1.674,2.3436,401.76,83.69999999999999,502.19999999999993
380966.0,,jharsuguda,1111454243,Lakhanpur,chc,11.4,14.86,11.4,15.162,3.2692,0.743,1.0402,178.32,37.15,222.89999999999998
380944.0,,jharsuguda,1111454243,Lakhanpur,chc,20.55,25.14,20.55,27.331500000000002,5.5308,1.2570000000000001,1.7598000000000003,301.68,62.85,377.1
380951.0,,jharsuguda,1111454243,Lakhanpur,chc,31.18,38.85,31.18,41.4694,8.547,1.9425000000000001,2.7195000000000005,466.20000000000005,97.125,582.75
380929.0,,jharsuguda,1111454243,Lakhanpur,chc,28.04,32.03,28.04,37.2932,7.046600000000001,1.6015000000000001,2.2421,384.36,80.075,480.45000000000005
380934.0,,jharsuguda,1111454243,Lakhanpur,chc,26.07,28.22,26.07,34.673100000000005,6.2084,1.411,1.9754,338.64,70.55,423.29999999999995
380931.0,,jharsuguda,1111454243,Lakhanpur,chc,26.21,31.37,26.21,34.859300000000005,6.901400000000001,1.5685000000000002,2.1959000000000004,376.44,78.425,470.55
380965.0,,jharsuguda,1111454243,Lakhanpur,chc,11.0,14.29,11.0,14.63,3.1437999999999997,0.7145,1.0003,171.48,35.724999999999994,214.35
380967.0,,jharsuguda,1111454243,Lakhanpur,chc,9.63,12.35,9.63,12.807900000000002,2.717,0.6175,0.8645,148.2,30.875,185.25
380938.0,,jharsuguda,1111454243,Lakhanpur,chc,20.93,22.95,20.93,27.8369,5.0489999999999995,1.1475,1.6065,275.4,57.375,344.25
380942.0,,jharsuguda,1111454243,Lakhanpur,chc,15.07,20.06,15.07,20.043100000000003,4.4132,1.003,1.4042000000000001,240.71999999999997,50.15,300.9
380941.0,,jharsuguda,1111454243,Lakhanpur,chc,12.8,16.84,12.8,17.024,3.7048,0.8420000000000001,1.1788,202.07999999999998,42.1,252.6
380973.0,,jharsuguda,1111454243,Lakhanpur,chc,9.93,12.78,9.93,13.206900000000001,2.8116,0.639,0.8946000000000001,153.35999999999999,31.95,191.7
380949.0,,jharsuguda,1111454243,Lakhanpur,chc,24.48,30.53,24.48,32.5584,6.716600000000001,1.5265000000000002,2.1371,366.36,76.325,457.95000000000005
380960.0,,jharsuguda,1111454243,Lakhanpur,chc,17.16,23.02,17.16,22.8228,5.0644,1.151,1.6114000000000002,276.24,57.55,345.3
380961.0,,jharsuguda,1111454243,Lakhanpur,chc,16.4,21.94,16.4,21.811999999999998,4.8268,1.0970000000000002,1.5358000000000003,263.28000000000003,54.85,329.1
380948.0,,jharsuguda,1111454243,Lakhanpur,chc,21.41,26.59,21.41,28.4753,5.8498,1.3295000000000001,1.8613000000000002,319.08,66.475,398.85
380957.0,,jharsuguda,1111454243,Lakhanpur,chc,20.82,27.65,20.82,27.690600000000003,6.082999999999999,1.3825,1.9355,331.79999999999995,69.125,414.75
380945.0,,jharsuguda,1111454243,Lakhanpur,chc,19.78,23.6,19.78,26.3074,5.192,1.1800000000000002,1.6520000000000004,283.20000000000005,59.0,354.0
380937.0,,jharsuguda,1111454243,Lakhanpur,chc,23.38,27.02,23.38,31.0954,5.9444,1.351,1.8914000000000002,324.24,67.55,405.3
380928.0,,jharsuguda,1111454243,Lakhanpur,chc,33.95,34.4,33.95,45.15350000000001,7.568,1.72,2.408,412.79999999999995,86.0,516.0
380935.0,,jharsuguda,1111454243,Lakhanpur,chc,29.26,30.94,29.26,38.915800000000004,6.8068,1.5470000000000002,2.1658000000000004,371.28000000000003,77.35000000000001,464.1
380955.0,,jharsuguda,1111454243,Lakhanpur,chc,23.34,31.77,23.34,31.0422,6.9894,1.5885,2.2239,381.24,79.425,476.55
380964.0,,jharsuguda,1111454243,Lakhanpur,chc,13.99,18.52,13.99,18.6067,4.0744,0.926,1.2964,222.24,46.3,277.8
380932.0,,jharsuguda,1111454243,Lakhanpur,chc,25.66,28.43,25.66,34.1278,6.2546,1.4215,1.9901000000000002,341.15999999999997,71.075,426.45
380950.0,,jharsuguda,1111454243,Lakhanpur,chc,24.72,31.23,24.72,32.8776,6.8706000000000005,1.5615,2.1861,374.76,78.075,468.45
380983.0,,jharsuguda,1111454243,Lakhanpur,chc,22.48,30.55,22.48,29.898400000000002,6.721,1.5275,2.1385,366.6,76.375,458.25
380940.0,,jharsuguda,1111454243,Lakhanpur,chc,12.36,16.21,12.36,16.4388,3.5662000000000003,0.8105000000000001,1.1347000000000003,194.52,40.525000000000006,243.15
380943.0,,jharsuguda,1111454243,Lakhanpur,chc,18.1,21.53,18.1,24.073000000000004,4.7366,1.0765,1.5071000000000003,258.36,53.825,322.95000000000005
380939.0,,jharsuguda,1111454243,Lakhanpur,chc,23.34,23.95,23.34,31.0422,5.269,1.1975,1.6765,287.4,59.875,359.25
380968.0,,jharsuguda,1111454243,Lakhanpur,chc,9.03,11.5,9.03,12.0099,2.53,0.5750000000000001,0.805,138.0,28.75,172.5
380946.0,,jharsuguda,1111454243,Lakhanpur,chc,19.85,24.37,19.85,26.400500000000005,5.361400000000001,1.2185000000000001,1.7059000000000002,292.44,60.925000000000004,365.55
380947.0,,jharsuguda,1111454243,Lakhanpur,chc,22.31,25.36,22.31,29.6723,5.5792,1.268,1.7752000000000001,304.32,63.4,380.4
380986.0,,jharsuguda,1111454243,Lakhanpur,chc,29.46,37.67,29.46,39.1818,8.2874,1.8835000000000002,2.6369000000000002,452.04,94.17500000000001,565.0500000000001
380982.0,,jharsuguda,1111454243,Lakhanpur,chc,19.73,26.67,19.73,26.240900000000003,5.867400000000001,1.3335000000000001,1.8669000000000002,320.04,66.67500000000001,400.05
380963.0,,jharsuguda,1111454243,Lakhanpur,chc,15.33,20.43,15.33,20.3889,4.4946,1.0215,1.4301000000000001,245.16,51.075,306.45
380956.0,,jharsuguda,1111454243,Lakhanpur,chc,19.92,26.94,19.92,26.493600000000004,5.9268,1.3470000000000002,1.8858000000000004,323.28000000000003,67.35000000000001,404.1
380969.0,,jharsuguda,1111454243,Lakhanpur,chc,7.96,9.99,7.96,10.5868,2.1978,0.49950000000000006,0.6993,119.88,24.975,149.85
380981.0,,jharsuguda,1111454243,Lakhanpur,chc,19.13,25.82,19.13,25.4429,5.6804,1.2910000000000001,1.8074000000000001,309.84000000000003,64.55,387.3
380958.0,,jharsuguda,1111454243,Lakhanpur,chc,17.99,24.2,17.99,23.9267,5.324,1.21,1.6940000000000002,290.4,60.5,363.0
380959.0,,jharsuguda,1111454243,Lakhanpur,chc,17.69,23.24,17.69,23.527700000000003,5.1128,1.162,1.6268,278.88,58.099999999999994,348.59999999999997
380954.0,,jharsuguda,1111454243,Lakhanpur,chc,24.95,34.04,24.95,33.1835,7.4887999999999995,1.702,2.3828,408.48,85.1,510.59999999999997
380985.0,,jharsuguda,1111454243,Lakhanpur,chc,25.1,34.25,25.1,33.383,7.535,1.7125000000000001,2.3975000000000004,411.0,85.625,513.75
