lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
424203.0,,kalahandi,7472871180,Jaipatna,chc,5.31,3.54,5.31,7.0623,0.7788,0.17700000000000002,0.24780000000000002,42.480000000000004,8.85,53.1
424219.0,,kalahandi,7472871180,Jaipatna,chc,17.4,11.59,17.4,23.142,2.5498,0.5795,0.8113,139.07999999999998,28.975,173.85
424515.0,,kalahandi,7472871180,Jaipatna,chc,97.46,64.76,97.46,129.6218,14.247200000000001,3.2380000000000004,4.533200000000001,777.1200000000001,161.9,971.4000000000001
424220.0,,kalahandi,7472871180,Jaipatna,chc,20.75,13.83,20.75,27.5975,3.0426,0.6915,0.9681000000000001,165.96,34.575,207.45
424215.0,,kalahandi,7472871180,Jaipatna,chc,11.26,7.42,11.26,14.975800000000001,1.6324,0.371,0.5194000000000001,89.03999999999999,18.55,111.3
424182.0,,kalahandi,7472871180,Jaipatna,chc,65.27,40.26,65.27,86.8091,8.857199999999999,2.013,2.8182,483.12,100.64999999999999,603.9
424218.0,,kalahandi,7472871180,Jaipatna,chc,13.49,8.99,13.49,17.9417,1.9778,0.4495,0.6293000000000001,107.88,22.475,134.85
424472.0,,kalahandi,7472871180,Jaipatna,chc,59.21,39.38,59.21,78.7493,8.6636,1.9690000000000003,2.7566000000000006,472.56000000000006,98.45,590.7
424201.0,,kalahandi,7472871180,Jaipatna,chc,15.81,10.53,15.81,21.0273,2.3165999999999998,0.5265,0.7371,126.35999999999999,26.325,157.95
424200.0,,kalahandi,7472871180,Jaipatna,chc,64.07,39.76,64.07,85.2131,8.7472,1.988,2.7832000000000003,477.12,99.39999999999999,596.4
424516.0,,kalahandi,7472871180,Jaipatna,chc,97.46,64.76,97.46,129.6218,14.247200000000001,3.2380000000000004,4.533200000000001,777.1200000000001,161.9,971.4000000000001
424223.0,,kalahandi,7472871180,Jaipatna,chc,25.23,16.8,25.23,33.5559,3.696,0.8400000000000001,1.1760000000000002,201.60000000000002,42.0,252.0
424474.0,,kalahandi,7472871180,Jaipatna,chc,59.21,39.38,59.21,78.7493,8.6636,1.9690000000000003,2.7566000000000006,472.56000000000006,98.45,590.7
424224.0,,kalahandi,7472871180,Jaipatna,chc,20.47,13.64,20.47,27.2251,3.0008000000000004,0.682,0.9548000000000001,163.68,34.1,204.60000000000002
424471.0,,kalahandi,7472871180,Jaipatna,chc,59.21,39.38,59.21,78.7493,8.6636,1.9690000000000003,2.7566000000000006,472.56000000000006,98.45,590.7
424226.0,,kalahandi,7472871180,Jaipatna,chc,17.78,11.85,17.78,23.6474,2.6069999999999998,0.5925,0.8295,142.2,29.625,177.75
424225.0,,kalahandi,7472871180,Jaipatna,chc,17.78,11.85,17.78,23.6474,2.6069999999999998,0.5925,0.8295,142.2,29.625,177.75
424202.0,,kalahandi,7472871180,Jaipatna,chc,9.08,6.04,9.08,12.076400000000001,1.3288,0.30200000000000005,0.42280000000000006,72.48,15.1,90.6
424222.0,,kalahandi,7472871180,Jaipatna,chc,27.8,18.51,27.8,36.974000000000004,4.0722000000000005,0.9255000000000001,1.2957000000000003,222.12,46.275000000000006,277.65000000000003
424217.0,,kalahandi,7472871180,Jaipatna,chc,12.39,8.26,12.39,16.4787,1.8172,0.41300000000000003,0.5782,99.12,20.65,123.89999999999999
424221.0,,kalahandi,7472871180,Jaipatna,chc,24.51,16.33,24.51,32.5983,3.5925999999999996,0.8165,1.1431,195.95999999999998,40.824999999999996,244.95
424475.0,,kalahandi,7472871180,Jaipatna,chc,60.87,40.49,60.87,80.9571,8.9078,2.0245,2.8343000000000003,485.88,101.22500000000001,607.35
424476.0,,kalahandi,7472871180,Jaipatna,chc,60.88,40.5,60.88,80.97040000000001,8.91,2.025,2.8350000000000004,486.0,101.25,607.5
424077.0,,kalahandi,4752358442,Koksara,chc,15.04,21.29,15.04,20.0032,4.6838,1.0645,1.4903000000000002,255.48,53.224999999999994,319.34999999999997
424008.0,,kalahandi,6417875769,Parla,chc,23.9,25.08,23.9,31.787,5.5176,1.254,1.7556,300.96,62.699999999999996,376.2
424076.0,,kalahandi,4752358442,Koksara,chc,41.14,43.02,41.14,54.7162,9.464400000000001,2.1510000000000002,3.0114000000000005,516.24,107.55000000000001,645.3000000000001
424075.0,,kalahandi,4752358442,Koksara,chc,41.75,43.43,41.75,55.5275,9.5546,2.1715,3.0401000000000002,521.16,108.575,651.45
424154.0,,kalahandi,7472871180,Jaipatna,chc,14.34,9.55,14.34,19.072200000000002,2.101,0.47750000000000004,0.6685000000000001,114.60000000000001,23.875,143.25
424179.0,,kalahandi,7472871180,Jaipatna,chc,44.84,29.82,44.84,59.63720000000001,6.5604000000000005,1.491,2.0874,357.84000000000003,74.55,447.3
424199.0,,kalahandi,7472871180,Jaipatna,chc,54.79,36.34,54.79,72.8707,7.994800000000001,1.8170000000000002,2.5438000000000005,436.08000000000004,90.85000000000001,545.1
424183.0,,kalahandi,7472871180,Jaipatna,chc,64.05,39.75,64.05,85.1865,8.745,1.9875,2.7825,477.0,99.375,596.25
424175.0,,kalahandi,7472871180,Jaipatna,chc,47.11,31.28,47.11,62.6563,6.881600000000001,1.564,2.1896000000000004,375.36,78.2,469.20000000000005
424187.0,,kalahandi,7472871180,Jaipatna,chc,56.52,37.49,56.52,75.17160000000001,8.2478,1.8745000000000003,2.6243000000000003,449.88,93.72500000000001,562.35
424147.0,,kalahandi,7472871180,Jaipatna,chc,38.67,25.72,38.67,51.43110000000001,5.658399999999999,1.286,1.8004,308.64,64.3,385.79999999999995
424144.0,,kalahandi,7472871180,Jaipatna,chc,30.38,20.11,30.38,40.4054,4.4242,1.0055,1.4077000000000002,241.32,50.275,301.65
424174.0,,kalahandi,7472871180,Jaipatna,chc,49.05,32.57,49.05,65.2365,7.1654,1.6285,2.2799,390.84000000000003,81.425,488.55
424180.0,,kalahandi,7472871180,Jaipatna,chc,46.65,31.02,46.65,62.0445,6.8244,1.5510000000000002,2.1714,372.24,77.55,465.3
424173.0,,kalahandi,7472871180,Jaipatna,chc,57.57,37.06,57.57,76.5681,8.1532,1.8530000000000002,2.5942000000000003,444.72,92.65,555.9000000000001
424152.0,,kalahandi,7472871180,Jaipatna,chc,19.29,12.75,19.29,25.6557,2.805,0.6375000000000001,0.8925000000000001,153.0,31.875,191.25
424186.0,,kalahandi,7472871180,Jaipatna,chc,56.52,37.49,56.52,75.17160000000001,8.2478,1.8745000000000003,2.6243000000000003,449.88,93.72500000000001,562.35
424197.0,,kalahandi,7472871180,Jaipatna,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424181.0,,kalahandi,7472871180,Jaipatna,chc,46.76,31.09,46.76,62.1908,6.8398,1.5545,2.1763000000000003,373.08,77.725,466.35
424185.0,,kalahandi,7472871180,Jaipatna,chc,54.79,36.34,54.79,72.8707,7.994800000000001,1.8170000000000002,2.5438000000000005,436.08000000000004,90.85000000000001,545.1
424146.0,,kalahandi,7472871180,Jaipatna,chc,36.64,24.36,36.64,48.7312,5.3591999999999995,1.218,1.7052,292.32,60.9,365.4
424188.0,,kalahandi,7472871180,Jaipatna,chc,4.08,2.72,4.08,5.4264,0.5984,0.136,0.19040000000000004,32.64,6.800000000000001,40.800000000000004
424150.0,,kalahandi,7472871180,Jaipatna,chc,54.32,36.0,54.32,72.24560000000001,7.92,1.8,2.5200000000000005,432.0,90.0,540.0
424156.0,,kalahandi,7472871180,Jaipatna,chc,15.1,10.07,15.1,20.083000000000002,2.2154000000000003,0.5035000000000001,0.7049000000000001,120.84,25.175,151.05
424155.0,,kalahandi,7472871180,Jaipatna,chc,12.79,8.53,12.79,17.0107,1.8765999999999998,0.4265,0.5971,102.35999999999999,21.325,127.94999999999999
424151.0,,kalahandi,7472871180,Jaipatna,chc,25.68,17.06,25.68,34.1544,3.7531999999999996,0.853,1.1942,204.71999999999997,42.65,255.89999999999998
424198.0,,kalahandi,7472871180,Jaipatna,chc,6.84,4.56,6.84,9.0972,1.0031999999999999,0.22799999999999998,0.3192,54.72,11.399999999999999,68.39999999999999
424184.0,,kalahandi,7472871180,Jaipatna,chc,54.79,36.34,54.79,72.8707,7.994800000000001,1.8170000000000002,2.5438000000000005,436.08000000000004,90.85000000000001,545.1
424071.0,,kalahandi,4752358442,Koksara,chc,11.14,15.78,11.14,14.816200000000002,3.4716,0.789,1.1046,189.35999999999999,39.449999999999996,236.7
424139.0,,kalahandi,7472871180,Jaipatna,chc,19.47,12.96,19.47,25.8951,2.8512000000000004,0.6480000000000001,0.9072000000000001,155.52,32.400000000000006,194.4
424138.0,,kalahandi,7472871180,Jaipatna,chc,20.01,13.27,20.01,26.613300000000002,2.9194,0.6635,0.9289000000000001,159.24,33.175,199.04999999999998
424176.0,,kalahandi,7472871180,Jaipatna,chc,50.03,33.16,50.03,66.5399,7.2951999999999995,1.658,2.3212,397.91999999999996,82.89999999999999,497.4
424189.0,,kalahandi,7472871180,Jaipatna,chc,6.62,4.41,6.62,8.8046,0.9702000000000001,0.22050000000000003,0.30870000000000003,52.92,11.025,66.15
424172.0,,kalahandi,7472871180,Jaipatna,chc,56.33,37.36,56.33,74.91890000000001,8.2192,1.868,2.6152,448.32,93.4,560.4
424145.0,,kalahandi,7472871180,Jaipatna,chc,34.24,22.76,34.24,45.53920000000001,5.0072,1.1380000000000001,1.5932000000000002,273.12,56.900000000000006,341.40000000000003
424177.0,,kalahandi,7472871180,Jaipatna,chc,41.57,27.64,41.57,55.2881,6.0808,1.3820000000000001,1.9348000000000003,331.68,69.1,414.6
424149.0,,kalahandi,7472871180,Jaipatna,chc,42.98,28.52,42.98,57.163399999999996,6.2744,1.4260000000000002,1.9964000000000002,342.24,71.3,427.8
424148.0,,kalahandi,7472871180,Jaipatna,chc,38.22,25.35,38.22,50.8326,5.577,1.2675,1.7745000000000002,304.20000000000005,63.375,380.25
424171.0,,kalahandi,7472871180,Jaipatna,chc,9.72,6.48,9.72,12.927600000000002,1.4256000000000002,0.32400000000000007,0.45360000000000006,77.76,16.200000000000003,97.2
424153.0,,kalahandi,7472871180,Jaipatna,chc,12.89,8.58,12.89,17.143700000000003,1.8876,0.42900000000000005,0.6006,102.96000000000001,21.45,128.7
424142.0,,kalahandi,7472871180,Jaipatna,chc,26.73,17.75,26.73,35.550900000000006,3.905,0.8875000000000001,1.2425000000000002,213.0,44.375,266.25
424078.0,,kalahandi,4752358442,Koksara,chc,33.95,37.31,33.95,45.15350000000001,8.2082,1.8655000000000002,2.6117000000000004,447.72,93.275,559.6500000000001
