lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
417232.0,,kandhamal,2815561226,Subarnagiri,chc,27.97,24.56,27.97,37.2001,5.4032,1.228,1.7192,294.71999999999997,61.4,368.4
417231.0,,kandhamal,2815561226,Subarnagiri,chc,28.82,25.47,28.82,38.330600000000004,5.6034,1.2735,1.7829000000000002,305.64,63.675,382.04999999999995
417222.0,,kandhamal,2815561226,Subarnagiri,chc,17.15,12.84,17.15,22.8095,2.8248,0.642,0.8988,154.07999999999998,32.1,192.6
417193.0,,kandhamal,2815561226,Subarnagiri,chc,18.05,13.81,18.05,24.006500000000003,3.0382000000000002,0.6905000000000001,0.9667000000000001,165.72,34.525,207.15
417196.0,,kandhamal,2815561226,Subarnagiri,chc,15.92,11.5,15.92,21.1736,2.53,0.5750000000000001,0.805,138.0,28.75,172.5
417195.0,,kandhamal,2815561226,Subarnagiri,chc,15.47,11.01,15.47,20.575100000000003,2.4222,0.5505,0.7707,132.12,27.525,165.15
417233.0,,kandhamal,2815561226,Subarnagiri,chc,25.6,20.22,25.6,34.048,4.4483999999999995,1.011,1.4154,242.64,50.55,303.29999999999995
417124.0,,kandhamal,2815561226,Subarnagiri,chc,18.03,13.78,18.03,23.979900000000004,3.0316,0.6890000000000001,0.9646,165.35999999999999,34.449999999999996,206.7
417228.0,,kandhamal,2815561226,Subarnagiri,chc,22.94,19.1,22.94,30.510200000000005,4.202,0.9550000000000001,1.3370000000000002,229.20000000000002,47.75,286.5
417227.0,,kandhamal,2815561226,Subarnagiri,chc,26.58,20.63,26.58,35.3514,4.5386,1.0315,1.4441000000000002,247.56,51.574999999999996,309.45
417192.0,,kandhamal,2815561226,Subarnagiri,chc,18.01,13.76,18.01,23.953300000000002,3.0272,0.6880000000000001,0.9632000000000001,165.12,34.4,206.4
417223.0,,kandhamal,2815561226,Subarnagiri,chc,18.15,13.92,18.15,24.139499999999998,3.0624,0.6960000000000001,0.9744,167.04,34.8,208.8
417194.0,,kandhamal,2815561226,Subarnagiri,chc,12.9,8.23,12.9,17.157,1.8106000000000002,0.41150000000000003,0.5761000000000001,98.76,20.575000000000003,123.45
417230.0,,kandhamal,2815561226,Subarnagiri,chc,26.72,23.2,26.72,35.5376,5.104,1.16,1.624,278.4,58.0,348.0
