lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
387280.0,,kendujhar,2513245221,Sainkul,chc,19.06,14.11,19.06,25.3498,3.1042,0.7055,0.9877,169.32,35.275,211.64999999999998
387315.0,,kendujhar,2513245221,Sainkul,chc,16.39,12.99,16.39,21.7987,2.8578,0.6495000000000001,0.9093000000000001,155.88,32.475,194.85
387281.0,,kendujhar,2513245221,Sainkul,chc,46.01,43.68,46.01,61.1933,9.6096,2.184,3.0576000000000003,524.16,109.2,655.2
387317.0,,kendujhar,2513245221,Sainkul,chc,22.57,17.98,22.57,30.0181,3.9556,0.899,1.2586000000000002,215.76,44.95,269.7
387319.0,,kendujhar,2513245221,Sainkul,chc,16.66,15.01,16.66,22.1578,3.3022,0.7505000000000001,1.0507000000000002,180.12,37.525,225.15
387318.0,,kendujhar,2513245221,Sainkul,chc,18.14,16.13,18.14,24.1262,3.5486,0.8065,1.1291,193.56,40.324999999999996,241.95
387316.0,,kendujhar,2513245221,Sainkul,chc,19.0,14.08,19.0,25.270000000000003,3.0976,0.7040000000000001,0.9856000000000001,168.96,35.2,211.2
387314.0,,kendujhar,2513245221,Sainkul,chc,12.04,10.77,12.04,16.0132,2.3693999999999997,0.5385,0.7539,129.24,26.924999999999997,161.54999999999998
387324.0,,kendujhar,2513245221,Sainkul,chc,14.98,12.4,14.98,19.9234,2.728,0.6200000000000001,0.8680000000000001,148.8,31.0,186.0
387337.0,,kendujhar,2513245221,Sainkul,chc,14.39,14.63,14.39,19.1387,3.2186000000000003,0.7315,1.0241000000000002,175.56,36.575,219.45000000000002
387366.0,,kendujhar,2513245221,Sainkul,chc,38.47,24.34,38.47,51.1651,5.3548,1.217,1.7038000000000002,292.08,60.85,365.1
387368.0,,kendujhar,2513245221,Sainkul,chc,38.47,24.33,38.47,51.1651,5.3526,1.2165,1.7031,291.96,60.824999999999996,364.95
387321.0,,kendujhar,2513245221,Sainkul,chc,17.2,16.6,17.2,22.876,3.652,0.8300000000000001,1.1620000000000001,199.20000000000002,41.5,249.00000000000003
387323.0,,kendujhar,2513245221,Sainkul,chc,14.51,12.21,14.51,19.2983,2.6862000000000004,0.6105,0.8547000000000001,146.52,30.525000000000002,183.15
387320.0,,kendujhar,2513245221,Sainkul,chc,15.43,13.88,15.43,20.521900000000002,3.0536000000000003,0.6940000000000001,0.9716000000000001,166.56,34.7,208.20000000000002
387336.0,,kendujhar,2513245221,Sainkul,chc,9.55,8.39,9.55,12.701500000000001,1.8458,0.41950000000000004,0.5873,100.68,20.975,125.85000000000001
387322.0,,kendujhar,2513245221,Sainkul,chc,17.75,16.83,17.75,23.6075,3.7025999999999994,0.8414999999999999,1.1781,201.95999999999998,42.074999999999996,252.45
