lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
429725.0,,koraput,7367237349,Lamtaput,chc,20.58,18.23,20.58,27.371399999999998,4.0106,0.9115000000000001,1.2761000000000002,218.76,45.575,273.45
429726.0,,koraput,7367237349,Lamtaput,chc,42.38,33.53,42.38,56.36540000000001,7.376600000000001,1.6765,2.3471,402.36,83.825,502.95000000000005
429397.0,,koraput,8671174475,Boipariguda,chc,60.06,46.44,60.06,79.8798,10.2168,2.322,3.2508000000000004,557.28,116.1,696.5999999999999
429348.0,,koraput,8671174475,Boipariguda,chc,27.88,24.39,27.88,37.0804,5.3658,1.2195,1.7073000000000003,292.68,60.975,365.85
429411.0,,koraput,8671174475,Boipariguda,chc,38.97,37.76,38.97,51.8301,8.3072,1.888,2.6432,453.12,94.39999999999999,566.4
429490.0,,koraput,8671174475,Boipariguda,chc,37.09,36.98,37.09,49.32970000000001,8.1356,1.849,2.5886,443.76,92.44999999999999,554.6999999999999
429491.0,,koraput,8671174475,Boipariguda,chc,36.14,36.58,36.14,48.0662,8.0476,1.829,2.5606,438.96,91.44999999999999,548.6999999999999
429492.0,,koraput,8671174475,Boipariguda,chc,36.17,36.59,36.17,48.106100000000005,8.049800000000001,1.8295000000000003,2.5613000000000006,439.08000000000004,91.47500000000001,548.85
429493.0,,koraput,8671174475,Boipariguda,chc,16.91,23.96,16.91,22.4903,5.2712,1.1980000000000002,1.6772000000000002,287.52,59.900000000000006,359.40000000000003
429494.0,,koraput,8671174475,Boipariguda,chc,21.74,23.97,21.74,28.9142,5.2734,1.1985,1.6779000000000002,287.64,59.925,359.54999999999995
429495.0,,koraput,8671174475,Boipariguda,chc,20.38,23.4,20.38,27.1054,5.148,1.17,1.6380000000000001,280.79999999999995,58.5,351.0
429496.0,,koraput,8671174475,Boipariguda,chc,21.74,23.97,21.74,28.9142,5.2734,1.1985,1.6779000000000002,287.64,59.925,359.54999999999995
429418.0,,koraput,8671174475,Boipariguda,chc,26.23,24.37,26.23,34.8859,5.361400000000001,1.2185000000000001,1.7059000000000002,292.44,60.925000000000004,365.55
