lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
427896.0,,nabarangpur,3178868133,Kosagumuda,chc,16.75,11.17,16.75,22.2775,2.4574,0.5585,0.7819,134.04,27.925,167.55
427909.0,,nabarangpur,3178868133,Kosagumuda,chc,53.03,28.32,53.03,70.52990000000001,6.2304,1.4160000000000001,1.9824000000000002,339.84000000000003,70.8,424.8
427826.0,,nabarangpur,3178868133,Kosagumuda,chc,48.27,24.08,48.27,64.1991,5.2976,1.204,1.6856,288.96,60.199999999999996,361.2
427911.0,,nabarangpur,3178868133,Kosagumuda,chc,25.52,13.11,25.52,33.9416,2.8842,0.6555,0.9177000000000001,157.32,32.775,196.64999999999998
427906.0,,nabarangpur,3178868133,Kosagumuda,chc,13.1,8.66,13.1,17.423000000000002,1.9052,0.43300000000000005,0.6062000000000001,103.92,21.65,129.9
427910.0,,nabarangpur,3178868133,Kosagumuda,chc,52.2,24.91,52.2,69.426,5.4802,1.2455,1.7437000000000002,298.92,62.275,373.65
427827.0,,nabarangpur,3178868133,Kosagumuda,chc,48.27,24.08,48.27,64.1991,5.2976,1.204,1.6856,288.96,60.199999999999996,361.2
427917.0,,nabarangpur,3178868133,Kosagumuda,chc,21.7,11.58,21.7,28.861,2.5476,0.5790000000000001,0.8106000000000001,138.96,28.95,173.7
427894.0,,nabarangpur,3178868133,Kosagumuda,chc,15.55,10.37,15.55,20.681500000000003,2.2813999999999997,0.5185,0.7259,124.44,25.924999999999997,155.54999999999998
427900.0,,nabarangpur,3178868133,Kosagumuda,chc,47.32,30.25,47.32,62.9356,6.655,1.5125000000000002,2.1175,363.0,75.625,453.75
427893.0,,nabarangpur,3178868133,Kosagumuda,chc,24.24,16.06,24.24,32.2392,3.5332,0.8029999999999999,1.1242,192.71999999999997,40.15,240.89999999999998
427908.0,,nabarangpur,3178868133,Kosagumuda,chc,13.1,8.66,13.1,17.423000000000002,1.9052,0.43300000000000005,0.6062000000000001,103.92,21.65,129.9
427914.0,,nabarangpur,3178868133,Kosagumuda,chc,38.22,18.18,38.22,50.8326,3.9996,0.909,1.2726000000000002,218.16,45.45,272.7
427823.0,,nabarangpur,3178868133,Kosagumuda,chc,31.07,15.32,31.07,41.323100000000004,3.3704,0.766,1.0724,183.84,38.3,229.8
427885.0,,nabarangpur,3178868133,Kosagumuda,chc,10.39,6.72,10.39,13.818700000000002,1.4784,0.336,0.47040000000000004,80.64,16.8,100.8
427901.0,,nabarangpur,3178868133,Kosagumuda,chc,47.19,30.06,47.19,62.7627,6.6132,1.5030000000000001,2.1042,360.71999999999997,75.14999999999999,450.9
427886.0,,nabarangpur,3178868133,Kosagumuda,chc,10.55,7.04,10.55,14.031500000000001,1.5488,0.35200000000000004,0.49280000000000007,84.48,17.6,105.6
427898.0,,nabarangpur,3178868133,Kosagumuda,chc,29.02,19.25,29.02,38.5966,4.235,0.9625,1.3475000000000001,231.0,48.125,288.75
427902.0,,nabarangpur,3178868133,Kosagumuda,chc,54.69,28.96,54.69,72.7377,6.3712,1.4480000000000002,2.0272,347.52,72.4,434.40000000000003
427904.0,,nabarangpur,3178868133,Kosagumuda,chc,54.69,28.96,54.69,72.7377,6.3712,1.4480000000000002,2.0272,347.52,72.4,434.40000000000003
427897.0,,nabarangpur,3178868133,Kosagumuda,chc,16.75,11.17,16.75,22.2775,2.4574,0.5585,0.7819,134.04,27.925,167.55
427895.0,,nabarangpur,3178868133,Kosagumuda,chc,16.72,11.15,16.72,22.2376,2.4530000000000003,0.5575,0.7805000000000001,133.8,27.875,167.25
427915.0,,nabarangpur,3178868133,Kosagumuda,chc,36.47,17.48,36.47,48.5051,3.8456,0.8740000000000001,1.2236000000000002,209.76,43.7,262.2
427888.0,,nabarangpur,3178868133,Kosagumuda,chc,12.13,8.09,12.13,16.132900000000003,1.7798,0.4045,0.5663,97.08,20.225,121.35
427916.0,,nabarangpur,3178868133,Kosagumuda,chc,29.46,14.68,29.46,39.1818,3.2296,0.734,1.0276,176.16,36.7,220.2
427907.0,,nabarangpur,3178868133,Kosagumuda,chc,13.1,8.66,13.1,17.423000000000002,1.9052,0.43300000000000005,0.6062000000000001,103.92,21.65,129.9
427825.0,,nabarangpur,3178868133,Kosagumuda,chc,48.27,24.08,48.27,64.1991,5.2976,1.204,1.6856,288.96,60.199999999999996,361.2
427913.0,,nabarangpur,3178868133,Kosagumuda,chc,24.01,12.5,24.01,31.933300000000003,2.75,0.625,0.8750000000000001,150.0,31.25,187.5
427912.0,,nabarangpur,3178868133,Kosagumuda,chc,23.4,12.26,23.4,31.122,2.6972,0.613,0.8582000000000001,147.12,30.65,183.9
427842.0,,nabarangpur,5843524470,Sanamasigam,chc,21.78,14.41,21.78,28.9674,3.1702,0.7205,1.0087000000000002,172.92000000000002,36.025,216.15
427828.0,,nabarangpur,5843524470,Sanamasigam,chc,18.45,12.2,18.45,24.5385,2.6839999999999997,0.61,0.854,146.39999999999998,30.5,183.0
427841.0,,nabarangpur,5843524470,Sanamasigam,chc,15.79,10.42,15.79,21.0007,2.2924,0.521,0.7294,125.03999999999999,26.05,156.3
427829.0,,nabarangpur,5843524470,Sanamasigam,chc,20.29,13.42,20.29,26.9857,2.9524,0.671,0.9394000000000001,161.04,33.55,201.3
427892.0,,nabarangpur,3178868133,Kosagumuda,chc,14.92,9.95,14.92,19.843600000000002,2.189,0.4975,0.6965,119.39999999999999,24.875,149.25
427824.0,,nabarangpur,3178868133,Kosagumuda,chc,22.45,13.15,22.45,29.8585,2.8930000000000002,0.6575000000000001,0.9205000000000001,157.8,32.875,197.25
427918.0,,nabarangpur,3178868133,Kosagumuda,chc,21.23,12.5,21.23,28.2359,2.75,0.625,0.8750000000000001,150.0,31.25,187.5
427905.0,,nabarangpur,3178868133,Kosagumuda,chc,16.75,11.17,16.75,22.2775,2.4574,0.5585,0.7819,134.04,27.925,167.55
427903.0,,nabarangpur,3178868133,Kosagumuda,chc,54.69,28.96,54.69,72.7377,6.3712,1.4480000000000002,2.0272,347.52,72.4,434.40000000000003
427899.0,,nabarangpur,3178868133,Kosagumuda,chc,47.41,30.38,47.41,63.055299999999995,6.6836,1.5190000000000001,2.1266000000000003,364.56,75.95,455.7
427966.0,,nabarangpur,5843524470,Sanamasigam,chc,11.36,7.36,11.36,15.1088,1.6192,0.36800000000000005,0.5152000000000001,88.32000000000001,18.400000000000002,110.4
427962.0,,nabarangpur,5843524470,Sanamasigam,chc,10.82,7.12,10.82,14.390600000000001,1.5664,0.35600000000000004,0.49840000000000007,85.44,17.8,106.8
427965.0,,nabarangpur,5843524470,Sanamasigam,chc,4.72,3.0,4.72,6.2776,0.66,0.15000000000000002,0.21000000000000002,36.0,7.5,45.0
427970.0,,nabarangpur,6361875484,Papadahandi,chc,46.41,36.31,46.41,61.7253,7.988200000000001,1.8155000000000001,2.5417000000000005,435.72,90.775,544.6500000000001
427840.0,,nabarangpur,5843524470,Sanamasigam,chc,15.89,10.49,15.89,21.1337,2.3078,0.5245000000000001,0.7343000000000001,125.88,26.225,157.35
427961.0,,nabarangpur,5843524470,Sanamasigam,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427837.0,,nabarangpur,5843524470,Sanamasigam,chc,6.07,3.96,6.07,8.0731,0.8712,0.198,0.2772,47.519999999999996,9.9,59.4
427969.0,,nabarangpur,5843524470,Sanamasigam,chc,17.24,11.23,17.24,22.929199999999998,2.4706,0.5615,0.7861000000000001,134.76,28.075000000000003,168.45000000000002
427960.0,,nabarangpur,5843524470,Sanamasigam,chc,2.33,1.56,2.33,3.0989000000000004,0.3432,0.07800000000000001,0.10920000000000002,18.72,3.9000000000000004,23.400000000000002
427967.0,,nabarangpur,5843524470,Sanamasigam,chc,15.0,9.73,15.0,19.950000000000003,2.1406,0.48650000000000004,0.6811000000000001,116.76,24.325000000000003,145.95000000000002
427838.0,,nabarangpur,5843524470,Sanamasigam,chc,7.14,4.68,7.14,9.4962,1.0295999999999998,0.23399999999999999,0.3276,56.16,11.7,70.19999999999999
427952.0,,nabarangpur,4828676223,Nandahandi,chc,5.79,3.78,5.79,7.7007,0.8316,0.189,0.2646,45.36,9.45,56.699999999999996
427839.0,,nabarangpur,5843524470,Sanamasigam,chc,7.86,5.16,7.86,10.453800000000001,1.1352,0.258,0.3612,61.92,12.9,77.4
427968.0,,nabarangpur,5843524470,Sanamasigam,chc,17.18,11.14,17.18,22.8494,2.4508,0.557,0.7798000000000002,133.68,27.85,167.10000000000002
427973.0,,nabarangpur,4828676223,Nandahandi,chc,8.37,5.58,8.37,11.1321,1.2276,0.279,0.39060000000000006,66.96000000000001,13.95,83.7
427843.0,,nabarangpur,5843524470,Sanamasigam,chc,24.76,16.39,24.76,32.930800000000005,3.6058000000000003,0.8195000000000001,1.1473000000000002,196.68,40.975,245.85000000000002
427844.0,,nabarangpur,5843524470,Sanamasigam,chc,30.5,20.22,30.5,40.565000000000005,4.4483999999999995,1.011,1.4154,242.64,50.55,303.29999999999995
427963.0,,nabarangpur,5843524470,Sanamasigam,chc,14.41,9.39,14.41,19.165300000000002,2.0658000000000003,0.46950000000000003,0.6573000000000001,112.68,23.475,140.85000000000002
427971.0,,nabarangpur,6361875484,Papadahandi,chc,13.08,17.58,13.08,17.3964,3.8675999999999995,0.879,1.2306,210.95999999999998,43.949999999999996,263.7
427964.0,,nabarangpur,5843524470,Sanamasigam,chc,5.84,3.74,5.84,7.7672,0.8228000000000001,0.18700000000000003,0.26180000000000003,44.88,9.350000000000001,56.1
427975.0,,nabarangpur,4828676223,Nandahandi,chc,44.94,29.69,44.94,59.7702,6.5318000000000005,1.4845000000000002,2.0783000000000005,356.28000000000003,74.22500000000001,445.35
428089.0,,nabarangpur,1784741462,Tentulikhunti,chc,48.58,31.29,48.58,64.6114,6.8838,1.5645,2.1903,375.48,78.225,469.34999999999997
427951.0,,nabarangpur,4828676223,Nandahandi,chc,3.39,2.25,3.39,4.5087,0.495,0.1125,0.15750000000000003,27.0,5.625,33.75
427977.0,,nabarangpur,4828676223,Nandahandi,chc,0.17,0.11,0.17,0.22610000000000002,0.0242,0.0055000000000000005,0.007700000000000001,1.32,0.275,1.65
428066.0,,nabarangpur,4828676223,Nandahandi,chc,22.43,14.93,22.43,29.8319,3.2845999999999997,0.7465,1.0451000000000001,179.16,37.325,223.95
428080.0,,nabarangpur,4828676223,Nandahandi,chc,26.09,17.29,26.09,34.6997,3.8038,0.8645,1.2103000000000002,207.48,43.224999999999994,259.34999999999997
428065.0,,nabarangpur,4828676223,Nandahandi,chc,23.22,15.45,23.22,30.8826,3.399,0.7725,1.0815000000000001,185.39999999999998,38.625,231.75
428061.0,,nabarangpur,1784741462,Tentulikhunti,chc,27.59,18.2,27.59,36.694700000000005,4.004,0.91,1.274,218.39999999999998,45.5,273.0
427972.0,,nabarangpur,4828676223,Nandahandi,chc,4.18,2.77,4.18,5.5594,0.6094,0.1385,0.19390000000000002,33.24,6.925,41.55
428071.0,,nabarangpur,4828676223,Nandahandi,chc,22.76,15.02,22.76,30.270800000000005,3.3044,0.751,1.0514000000000001,180.24,37.55,225.29999999999998
428073.0,,nabarangpur,4828676223,Nandahandi,chc,19.64,13.07,19.64,26.1212,2.8754,0.6535000000000001,0.9149000000000002,156.84,32.675,196.05
428075.0,,nabarangpur,4828676223,Nandahandi,chc,24.26,16.15,24.26,32.265800000000006,3.5529999999999995,0.8075,1.1305,193.79999999999998,40.375,242.24999999999997
428063.0,,nabarangpur,1784741462,Tentulikhunti,chc,27.3,18.05,27.3,36.309000000000005,3.971,0.9025000000000001,1.2635,216.60000000000002,45.125,270.75
428084.0,,nabarangpur,1784741462,Tentulikhunti,chc,49.75,31.78,49.75,66.1675,6.9916,1.5890000000000002,2.2246,381.36,79.45,476.70000000000005
428054.0,,nabarangpur,1784741462,Tentulikhunti,chc,31.02,20.44,31.02,41.2566,4.4968,1.022,1.4308000000000003,245.28000000000003,51.1,306.6
428059.0,,nabarangpur,1784741462,Tentulikhunti,chc,31.41,20.76,31.41,41.7753,4.567200000000001,1.038,1.4532000000000003,249.12,51.900000000000006,311.40000000000003
427976.0,,nabarangpur,4828676223,Nandahandi,chc,4.18,2.77,4.18,5.5594,0.6094,0.1385,0.19390000000000002,33.24,6.925,41.55
428072.0,,nabarangpur,4828676223,Nandahandi,chc,20.91,13.84,20.91,27.8103,3.0448,0.6920000000000001,0.9688000000000001,166.07999999999998,34.6,207.6
428081.0,,nabarangpur,4828676223,Nandahandi,chc,29.64,19.63,29.64,39.421200000000006,4.3186,0.9815,1.3741,235.56,49.074999999999996,294.45
428023.0,,nabarangpur,4828676223,Nandahandi,chc,11.71,7.79,11.71,15.574300000000003,1.7138,0.3895,0.5453,93.48,19.475,116.85
428082.0,,nabarangpur,1784741462,Tentulikhunti,chc,41.94,27.79,41.94,55.7802,6.1137999999999995,1.3895,1.9453,333.48,69.475,416.84999999999997
427974.0,,nabarangpur,4828676223,Nandahandi,chc,44.88,29.65,44.88,59.690400000000004,6.523,1.4825,2.0755,355.79999999999995,74.125,444.75
428078.0,,nabarangpur,4828676223,Nandahandi,chc,25.66,17.08,25.66,34.1278,3.7575999999999996,0.854,1.1956,204.95999999999998,42.699999999999996,256.2
428088.0,,nabarangpur,1784741462,Tentulikhunti,chc,31.04,20.45,31.04,41.2832,4.499,1.0225,1.4315,245.39999999999998,51.125,306.75
428083.0,,nabarangpur,1784741462,Tentulikhunti,chc,34.63,22.91,34.63,46.057900000000004,5.0402000000000005,1.1455,1.6037000000000001,274.92,57.275,343.65
428060.0,,nabarangpur,1784741462,Tentulikhunti,chc,27.66,18.25,27.66,36.787800000000004,4.015,0.9125000000000001,1.2775,219.0,45.625,273.75
