lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
406631.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406630.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406629.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406474.0,,nayagarh,4263187744,Odagaon,chc,38.94,16.21,38.94,51.7902,3.5662000000000003,0.8105000000000001,1.1347000000000003,194.52,40.525000000000006,243.15
406470.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25,39.02,51.89660000000001,3.575,0.8125,1.1375000000000002,195.0,40.625,243.75
406475.0,,nayagarh,4263187744,Odagaon,chc,38.47,15.98,38.47,51.1651,3.5156,0.799,1.1186,191.76,39.95,239.70000000000002
406476.0,,nayagarh,4263187744,Odagaon,chc,38.52,16.04,38.52,51.23160000000001,3.5288,0.802,1.1228,192.48,40.099999999999994,240.6
406440.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25,39.02,51.89660000000001,3.575,0.8125,1.1375000000000002,195.0,40.625,243.75
406469.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25,39.02,51.89660000000001,3.575,0.8125,1.1375000000000002,195.0,40.625,243.75
406467.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25,39.02,51.89660000000001,3.575,0.8125,1.1375000000000002,195.0,40.625,243.75
406477.0,,nayagarh,4263187744,Odagaon,chc,39.92,16.62,39.92,53.0936,3.6564,0.8310000000000001,1.1634000000000002,199.44,41.550000000000004,249.3
406503.0,,nayagarh,4263187744,Odagaon,chc,39.29,16.32,39.29,52.255700000000004,3.5904000000000003,0.8160000000000001,1.1424,195.84,40.8,244.8
406502.0,,nayagarh,4263187744,Odagaon,chc,38.47,15.98,38.47,51.1651,3.5156,0.799,1.1186,191.76,39.95,239.70000000000002
406473.0,,nayagarh,4263187744,Odagaon,chc,39.92,16.58,39.92,53.0936,3.6475999999999997,0.829,1.1606,198.95999999999998,41.449999999999996,248.7
406472.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25,39.02,51.89660000000001,3.575,0.8125,1.1375000000000002,195.0,40.625,243.75
406468.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25,39.02,51.89660000000001,3.575,0.8125,1.1375000000000002,195.0,40.625,243.75
406471.0,,nayagarh,4263187744,Odagaon,chc,39.92,16.58,39.92,53.0936,3.6475999999999997,0.829,1.1606,198.95999999999998,41.449999999999996,248.7
406439.0,,nayagarh,4263187744,Odagaon,chc,39.02,16.25,39.02,51.89660000000001,3.575,0.8125,1.1375000000000002,195.0,40.625,243.75
406632.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406581.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406557.0,,nayagarh,4263187744,Odagaon,chc,20.63,8.6,20.63,27.4379,1.892,0.43,0.602,103.19999999999999,21.5,129.0
406514.0,,nayagarh,4263187744,Odagaon,chc,3.2,1.33,3.2,4.256,0.2926,0.0665,0.09310000000000002,15.96,3.325,19.950000000000003
406561.0,,nayagarh,4263187744,Odagaon,chc,62.56,34.38,62.56,83.2048,7.563600000000001,1.7190000000000003,2.4066000000000005,412.56000000000006,85.95,515.7
406593.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406611.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406573.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406550.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406549.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406511.0,,nayagarh,4263187744,Odagaon,chc,11.67,4.86,11.67,15.5211,1.0692000000000002,0.24300000000000002,0.34020000000000006,58.32000000000001,12.15,72.9
406576.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406589.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406564.0,,nayagarh,4263187744,Odagaon,chc,6.8,2.83,6.8,9.044,0.6226,0.14150000000000001,0.19810000000000003,33.96,7.075,42.45
406740.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406567.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406596.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406619.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406618.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406603.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406601.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406591.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406569.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406590.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406565.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406702.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406571.0,,nayagarh,4263187744,Odagaon,chc,0.33,0.14,0.33,0.43890000000000007,0.030800000000000004,0.007000000000000001,0.009800000000000001,1.6800000000000002,0.35000000000000003,2.1
406706.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406625.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406628.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406626.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406600.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406622.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406623.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406563.0,,nayagarh,4263187744,Odagaon,chc,6.8,2.83,6.8,9.044,0.6226,0.14150000000000001,0.19810000000000003,33.96,7.075,42.45
406552.0,,nayagarh,4263187744,Odagaon,chc,8.35,3.48,8.35,11.1055,0.7656,0.17400000000000002,0.2436,41.76,8.7,52.2
406615.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406604.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406553.0,,nayagarh,4263187744,Odagaon,chc,8.84,3.68,8.84,11.757200000000001,0.8096,0.18400000000000002,0.25760000000000005,44.160000000000004,9.200000000000001,55.2
406570.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406588.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406579.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406598.0,,nayagarh,4263187744,Odagaon,chc,64.22,36.18,64.22,85.4126,7.9596,1.8090000000000002,2.5326000000000004,434.15999999999997,90.45,542.7
406582.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406545.0,,nayagarh,4263187744,Odagaon,chc,2.31,0.96,2.31,3.0723000000000003,0.2112,0.048,0.06720000000000001,11.52,2.4,14.399999999999999
406620.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
406627.0,,nayagarh,4263187744,Odagaon,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406624.0,,nayagarh,4263187744,Odagaon,chc,65.3,37.35,65.3,86.849,8.217,1.8675000000000002,2.6145000000000005,448.20000000000005,93.375,560.25
