lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
382348.0,,sambalpur,6137845688,Charmal,chc,99.69,78.01,99.69,132.5877,17.162200000000002,3.9005000000000005,5.460700000000001,936.1200000000001,195.025,1170.15
382349.0,,sambalpur,6137845688,Charmal,chc,100.86,78.52,100.86,134.1438,17.2744,3.926,5.4964,942.24,196.29999999999998,1177.8
382350.0,,sambalpur,6137845688,Charmal,chc,98.02,77.34,98.02,130.3666,17.0148,3.8670000000000004,5.413800000000001,928.08,193.35000000000002,1160.1000000000001
382351.0,,sambalpur,6137845688,Charmal,chc,97.79,77.24,97.79,130.06070000000003,16.9928,3.862,5.4068000000000005,926.8799999999999,193.1,1158.6
382352.0,,sambalpur,6137845688,Charmal,chc,95.72,76.38,95.72,127.30760000000001,16.8036,3.819,5.3466000000000005,916.56,190.95,1145.6999999999998
382354.0,,sambalpur,6137845688,Charmal,chc,94.33,75.8,94.33,125.4589,16.676,3.79,5.306,909.5999999999999,189.5,1137.0
382353.0,,sambalpur,6137845688,Charmal,chc,95.76,76.39,95.76,127.36080000000001,16.8058,3.8195,5.347300000000001,916.6800000000001,190.975,1145.85
382355.0,,sambalpur,6137845688,Charmal,chc,96.1,76.53,96.1,127.813,16.8366,3.8265000000000002,5.357100000000001,918.36,191.325,1147.95
382356.0,,sambalpur,6137845688,Charmal,chc,94.33,75.8,94.33,125.4589,16.676,3.79,5.306,909.5999999999999,189.5,1137.0
382357.0,,sambalpur,6137845688,Charmal,chc,94.62,75.92,94.62,125.84460000000001,16.7024,3.7960000000000003,5.314400000000001,911.04,189.8,1138.8
382364.0,,sambalpur,6137845688,Charmal,chc,77.2,65.08,77.2,102.67600000000002,14.3176,3.254,4.5556,780.96,162.7,976.1999999999999
382363.0,,sambalpur,6137845688,Charmal,chc,77.2,65.08,77.2,102.67600000000002,14.3176,3.254,4.5556,780.96,162.7,976.1999999999999
382365.0,,sambalpur,6137845688,Charmal,chc,76.64,64.85,76.64,101.9312,14.267,3.2424999999999997,4.5395,778.1999999999999,162.125,972.7499999999999
382366.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49,38.28,50.912400000000005,6.7078,1.5245,2.1343,365.88,76.225,457.34999999999997
382447.0,,sambalpur,6137845688,Charmal,chc,74.04,63.77,74.04,98.47320000000002,14.0294,3.1885000000000003,4.463900000000001,765.24,159.425,956.5500000000001
382359.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49,38.28,50.912400000000005,6.7078,1.5245,2.1343,365.88,76.225,457.34999999999997
382358.0,,sambalpur,8282733578,Jujomura,chc,10.5,14.87,10.5,13.965,3.2714,0.7435,1.0409,178.44,37.175,223.04999999999998
382503.0,,sambalpur,6137845688,Charmal,chc,38.06,41.65,38.06,50.619800000000005,9.163,2.0825,2.9155,499.79999999999995,104.125,624.75
382506.0,,sambalpur,6137845688,Charmal,chc,27.49,35.4,27.49,36.5617,7.787999999999999,1.77,2.478,424.79999999999995,88.5,531.0
382499.0,,sambalpur,6137845688,Charmal,chc,23.58,33.12,23.58,31.3614,7.2863999999999995,1.656,2.3184,397.43999999999994,82.8,496.79999999999995
382498.0,,sambalpur,6137845688,Charmal,chc,30.89,31.86,30.89,41.0837,7.0092,1.593,2.2302,382.32,79.65,477.9
382502.0,,sambalpur,6137845688,Charmal,chc,28.68,35.76,28.68,38.144400000000005,7.8671999999999995,1.788,2.5032,429.12,89.39999999999999,536.4
382501.0,,sambalpur,6137845688,Charmal,chc,24.52,33.42,24.52,32.6116,7.3524,1.6710000000000003,2.3394000000000004,401.04,83.55000000000001,501.3
382496.0,,sambalpur,6137845688,Charmal,chc,23.43,32.16,23.43,31.161900000000003,7.0752,1.6079999999999999,2.2512,385.91999999999996,80.39999999999999,482.4
382504.0,,sambalpur,6137845688,Charmal,chc,30.01,37.08,30.01,39.91330000000001,8.1576,1.854,2.5956,444.96,92.69999999999999,556.1999999999999
382505.0,,sambalpur,6137845688,Charmal,chc,29.23,36.56,29.23,38.8759,8.0432,1.8280000000000003,2.5592000000000006,438.72,91.4,548.4000000000001
382500.0,,sambalpur,6137845688,Charmal,chc,25.65,34.18,25.65,34.1145,7.5196,1.709,2.3926000000000003,410.15999999999997,85.45,512.7
382448.0,,sambalpur,6137845688,Charmal,chc,89.59,70.03,89.59,119.1547,15.406600000000001,3.5015,4.902100000000001,840.36,175.075,1050.45
382367.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49,38.28,50.912400000000005,6.7078,1.5245,2.1343,365.88,76.225,457.34999999999997
382362.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49,38.28,50.912400000000005,6.7078,1.5245,2.1343,365.88,76.225,457.34999999999997
382369.0,,sambalpur,6137845688,Charmal,chc,38.28,30.49,38.28,50.912400000000005,6.7078,1.5245,2.1343,365.88,76.225,457.34999999999997
382368.0,,sambalpur,6137845688,Charmal,chc,36.47,29.29,36.47,48.5051,6.4437999999999995,1.4645000000000001,2.0503,351.48,73.225,439.34999999999997
382370.0,,sambalpur,6137845688,Charmal,chc,37.11,29.71,37.11,49.356300000000005,6.5362,1.4855,2.0797000000000003,356.52,74.275,445.65000000000003
382371.0,,sambalpur,6137845688,Charmal,chc,22.02,19.81,22.02,29.2866,4.3582,0.9904999999999999,1.3867,237.71999999999997,49.525,297.15
382373.0,,sambalpur,6137845688,Charmal,chc,18.49,17.46,18.49,24.5917,3.8412,0.8730000000000001,1.2222000000000002,209.52,43.650000000000006,261.90000000000003
382326.0,,sambalpur,6137845688,Charmal,chc,10.77,12.3,10.77,14.3241,2.706,0.6150000000000001,0.8610000000000001,147.60000000000002,30.75,184.5
382328.0,,sambalpur,6137845688,Charmal,chc,11.0,12.46,11.0,14.63,2.7412,0.6230000000000001,0.8722000000000002,149.52,31.150000000000002,186.9
