lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
419806.0,,sonepur,5538188730,Tarva,chc,55.04,29.48,55.04,73.20320000000001,6.4856,1.4740000000000002,2.0636,353.76,73.7,442.2
419808.0,,sonepur,5538188730,Tarva,chc,50.18,27.25,50.18,66.7394,5.995,1.3625,1.9075000000000002,327.0,68.125,408.75
419811.0,,sonepur,5538188730,Tarva,chc,46.1,25.43,46.1,61.313,5.5946,1.2715,1.7801000000000002,305.15999999999997,63.575,381.45
419813.0,,sonepur,5538188730,Tarva,chc,46.12,25.43,46.12,61.3396,5.5946,1.2715,1.7801000000000002,305.15999999999997,63.575,381.45
419784.0,,sonepur,5538188730,Tarva,chc,42.35,23.91,42.35,56.325500000000005,5.2602,1.1955,1.6737000000000002,286.92,59.775,358.65
419789.0,,sonepur,5538188730,Tarva,chc,36.17,21.32,36.17,48.106100000000005,4.6904,1.066,1.4924000000000002,255.84,53.3,319.8
419809.0,,sonepur,5538188730,Tarva,chc,50.03,27.21,50.03,66.5399,5.9862,1.3605,1.9047000000000003,326.52,68.025,408.15000000000003
419781.0,,sonepur,5538188730,Tarva,chc,30.7,17.93,30.7,40.831,3.9446,0.8965000000000001,1.2551,215.16,44.825,268.95
419772.0,,sonepur,5538188730,Tarva,chc,31.37,19.35,31.37,41.722100000000005,4.257000000000001,0.9675000000000001,1.3545000000000003,232.20000000000002,48.375,290.25
419792.0,,sonepur,5538188730,Tarva,chc,42.56,23.96,42.56,56.604800000000004,5.2712,1.1980000000000002,1.6772000000000002,287.52,59.900000000000006,359.40000000000003
419790.0,,sonepur,5538188730,Tarva,chc,39.72,22.77,39.72,52.827600000000004,5.0094,1.1385,1.5939,273.24,56.925,341.55
419786.0,,sonepur,5538188730,Tarva,chc,39.18,22.59,39.18,52.1094,4.9698,1.1295,1.5813000000000001,271.08,56.475,338.85
419791.0,,sonepur,5538188730,Tarva,chc,40.96,23.29,40.96,54.476800000000004,5.1238,1.1645,1.6303,279.48,58.224999999999994,349.34999999999997
419794.0,,sonepur,5538188730,Tarva,chc,42.32,21.0,42.32,56.2856,4.62,1.05,1.4700000000000002,252.0,52.5,315.0
419810.0,,sonepur,5538188730,Tarva,chc,49.67,26.96,49.67,66.06110000000001,5.9312000000000005,1.348,1.8872000000000002,323.52,67.4,404.40000000000003
419797.0,,sonepur,5538188730,Tarva,chc,48.94,23.88,48.94,65.0902,5.2536,1.194,1.6716000000000002,286.56,59.699999999999996,358.2
419796.0,,sonepur,5538188730,Tarva,chc,47.39,23.1,47.39,63.0287,5.082000000000001,1.155,1.6170000000000002,277.20000000000005,57.75,346.5
419783.0,,sonepur,5538188730,Tarva,chc,39.97,22.92,39.97,53.1601,5.042400000000001,1.1460000000000001,1.6044000000000003,275.04,57.300000000000004,343.8
419805.0,,sonepur,5538188730,Tarva,chc,56.61,27.4,56.61,75.2913,6.028,1.37,1.9180000000000001,328.79999999999995,68.5,411.0
419804.0,,sonepur,5538188730,Tarva,chc,52.78,25.83,52.78,70.1974,5.6826,1.2915,1.8081,309.96,64.57499999999999,387.45
419814.0,,sonepur,5538188730,Tarva,chc,44.46,24.74,44.46,59.131800000000005,5.4428,1.237,1.7318,296.88,61.849999999999994,371.09999999999997
419785.0,,sonepur,5538188730,Tarva,chc,42.25,23.86,42.25,56.1925,5.2492,1.193,1.6702000000000001,286.32,59.65,357.9
419807.0,,sonepur,5538188730,Tarva,chc,50.83,27.68,50.83,67.6039,6.0896,1.3840000000000001,1.9376000000000002,332.15999999999997,69.2,415.2
419795.0,,sonepur,5538188730,Tarva,chc,45.76,25.29,45.76,60.8608,5.5638,1.2645,1.7703000000000002,303.48,63.224999999999994,379.34999999999997
419780.0,,sonepur,5538188730,Tarva,chc,30.25,17.74,30.25,40.2325,3.9027999999999996,0.887,1.2418,212.88,44.349999999999994,266.09999999999997
419762.0,,sonepur,5538188730,Tarva,chc,43.86,21.6,43.86,58.333800000000004,4.752000000000001,1.08,1.5120000000000002,259.20000000000005,54.0,324.0
419801.0,,sonepur,5538188730,Tarva,chc,57.3,27.68,57.3,76.209,6.0896,1.3840000000000001,1.9376000000000002,332.15999999999997,69.2,415.2
419803.0,,sonepur,5538188730,Tarva,chc,54.8,26.66,54.8,72.884,5.8652,1.3330000000000002,1.8662,319.92,66.65,399.9
419799.0,,sonepur,5538188730,Tarva,chc,54.97,26.69,54.97,73.1101,5.8718,1.3345000000000002,1.8683000000000003,320.28000000000003,66.72500000000001,400.35
419776.0,,sonepur,5538188730,Tarva,chc,28.04,17.96,28.04,37.2932,3.9512,0.8980000000000001,1.2572,215.52,44.900000000000006,269.40000000000003
419766.0,,sonepur,5538188730,Tarva,chc,34.72,17.83,34.72,46.1776,3.9225999999999996,0.8915,1.2481,213.95999999999998,44.574999999999996,267.45
419736.0,,sonepur,5538188730,Tarva,chc,22.25,14.72,22.25,29.5925,3.2384,0.7360000000000001,1.0304000000000002,176.64000000000001,36.800000000000004,220.8
419802.0,,sonepur,5538188730,Tarva,chc,56.22,27.25,56.22,74.7726,5.995,1.3625,1.9075000000000002,327.0,68.125,408.75
419768.0,,sonepur,5538188730,Tarva,chc,43.83,21.63,43.83,58.2939,4.7585999999999995,1.0815,1.5141,259.56,54.074999999999996,324.45
419767.0,,sonepur,5538188730,Tarva,chc,36.85,18.72,36.85,49.01050000000001,4.118399999999999,0.9359999999999999,1.3104,224.64,46.8,280.79999999999995
419778.0,,sonepur,5538188730,Tarva,chc,27.84,16.72,27.84,37.0272,3.6784,0.836,1.1704,200.64,41.8,250.79999999999998
419779.0,,sonepur,5538188730,Tarva,chc,26.04,15.99,26.04,34.6332,3.5178000000000003,0.7995000000000001,1.1193000000000002,191.88,39.975,239.85
419774.0,,sonepur,5538188730,Tarva,chc,28.9,16.37,28.9,38.437,3.6014000000000004,0.8185000000000001,1.1459000000000001,196.44,40.925000000000004,245.55
419763.0,,sonepur,5538188730,Tarva,chc,48.41,23.5,48.41,64.3853,5.17,1.175,1.6450000000000002,282.0,58.75,352.5
419787.0,,sonepur,5538188730,Tarva,chc,40.93,23.27,40.93,54.4369,5.1194,1.1635,1.6289,279.24,58.175,349.05
419769.0,,sonepur,5538188730,Tarva,chc,36.96,21.6,36.96,49.156800000000004,4.752000000000001,1.08,1.5120000000000002,259.20000000000005,54.0,324.0
419812.0,,sonepur,5538188730,Tarva,chc,47.22,25.89,47.22,62.802600000000005,5.6958,1.2945000000000002,1.8123000000000002,310.68,64.725,388.35
419770.0,,sonepur,5538188730,Tarva,chc,32.14,17.7,32.14,42.7462,3.8939999999999997,0.885,1.239,212.39999999999998,44.25,265.5
419773.0,,sonepur,5538188730,Tarva,chc,33.92,20.38,33.92,45.113600000000005,4.4836,1.019,1.4266,244.56,50.949999999999996,305.7
419777.0,,sonepur,5538188730,Tarva,chc,26.79,17.44,26.79,35.6307,3.8368,0.8720000000000001,1.2208,209.28000000000003,43.6,261.6
419735.0,,sonepur,5538188730,Tarva,chc,22.25,14.72,22.25,29.5925,3.2384,0.7360000000000001,1.0304000000000002,176.64000000000001,36.800000000000004,220.8
419793.0,,sonepur,5538188730,Tarva,chc,44.78,22.02,44.78,59.5574,4.8444,1.101,1.5414,264.24,55.05,330.3
419798.0,,sonepur,5538188730,Tarva,chc,53.88,26.24,53.88,71.66040000000001,5.772799999999999,1.312,1.8368,314.88,65.6,393.59999999999997
419788.0,,sonepur,5538188730,Tarva,chc,35.02,20.86,35.02,46.576600000000006,4.5892,1.043,1.4602000000000002,250.32,52.15,312.9
419771.0,,sonepur,5538188730,Tarva,chc,30.67,17.11,30.67,40.79110000000001,3.7641999999999998,0.8555,1.1977,205.32,42.775,256.65
419782.0,,sonepur,5538188730,Tarva,chc,42.51,23.98,42.51,56.5383,5.2756,1.199,1.6786,287.76,59.95,359.7
419800.0,,sonepur,5538188730,Tarva,chc,56.33,27.25,56.33,74.91890000000001,5.995,1.3625,1.9075000000000002,327.0,68.125,408.75
419720.0,,sonepur,5538188730,Tarva,chc,16.06,10.07,16.06,21.3598,2.2154000000000003,0.5035000000000001,0.7049000000000001,120.84,25.175,151.05
419729.0,,sonepur,5538188730,Tarva,chc,12.29,8.1,12.29,16.3457,1.782,0.405,0.5670000000000001,97.19999999999999,20.25,121.5
419722.0,,sonepur,5538188730,Tarva,chc,13.83,9.02,13.83,18.393900000000002,1.9844,0.451,0.6314000000000001,108.24,22.549999999999997,135.29999999999998
419728.0,,sonepur,5538188730,Tarva,chc,13.35,8.8,13.35,17.7555,1.9360000000000002,0.44000000000000006,0.6160000000000001,105.60000000000001,22.0,132.0
419726.0,,sonepur,5538188730,Tarva,chc,11.67,7.69,11.67,15.5211,1.6918000000000002,0.38450000000000006,0.5383000000000001,92.28,19.225,115.35000000000001
419717.0,,sonepur,5538188730,Tarva,chc,27.69,14.9,27.69,36.82770000000001,3.278,0.7450000000000001,1.0430000000000001,178.8,37.25,223.5
419724.0,,sonepur,5538188730,Tarva,chc,11.37,7.38,11.37,15.1221,1.6236,0.369,0.5166000000000001,88.56,18.45,110.7
419721.0,,sonepur,5538188730,Tarva,chc,20.43,11.85,20.43,27.1719,2.6069999999999998,0.5925,0.8295,142.2,29.625,177.75
419750.0,,sonepur,5538188730,Tarva,chc,17.63,10.88,17.63,23.4479,2.3936,0.544,0.7616000000000002,130.56,27.200000000000003,163.20000000000002
419754.0,,sonepur,5538188730,Tarva,chc,29.95,15.83,29.95,39.8335,3.4826,0.7915000000000001,1.1081,189.96,39.575,237.45
419745.0,,sonepur,5538188730,Tarva,chc,21.75,14.3,21.75,28.927500000000002,3.1460000000000004,0.7150000000000001,1.0010000000000001,171.60000000000002,35.75,214.5
419752.0,,sonepur,5538188730,Tarva,chc,21.78,13.35,21.78,28.9674,2.937,0.6675,0.9345000000000001,160.2,33.375,200.25
419742.0,,sonepur,5538188730,Tarva,chc,20.03,12.49,20.03,26.639900000000004,2.7478000000000002,0.6245,0.8743000000000001,149.88,31.225,187.35
419730.0,,sonepur,5538188730,Tarva,chc,13.8,9.11,13.8,18.354000000000003,2.0042,0.4555,0.6377,109.32,22.775,136.64999999999998
419716.0,,sonepur,5538188730,Tarva,chc,23.56,12.24,23.56,31.3348,2.6928,0.6120000000000001,0.8568000000000001,146.88,30.6,183.6
419725.0,,sonepur,5538188730,Tarva,chc,10.6,6.89,10.6,14.098,1.5158,0.34450000000000003,0.4823,82.67999999999999,17.224999999999998,103.35
419703.0,,sonepur,5538188730,Tarva,chc,12.27,8.09,12.27,16.3191,1.7798,0.4045,0.5663,97.08,20.225,121.35
419705.0,,sonepur,5538188730,Tarva,chc,8.53,5.59,8.53,11.344899999999999,1.2298,0.2795,0.39130000000000004,67.08,13.975,83.85
419710.0,,sonepur,5538188730,Tarva,chc,7.83,5.07,7.83,10.4139,1.1154000000000002,0.2535,0.35490000000000005,60.84,12.675,76.05000000000001
419708.0,,sonepur,5538188730,Tarva,chc,4.43,2.88,4.43,5.8919,0.6335999999999999,0.144,0.2016,34.56,7.199999999999999,43.199999999999996
250549.0,,sonepur,5538188730,Tarva,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419741.0,,sonepur,5538188730,Tarva,chc,26.29,15.06,26.29,34.9657,3.3132,0.7530000000000001,1.0542,180.72,37.65,225.9
419715.0,,sonepur,5538188730,Tarva,chc,25.49,13.95,25.49,33.9017,3.069,0.6975,0.9765,167.39999999999998,34.875,209.25
419714.0,,sonepur,5538188730,Tarva,chc,9.3,6.01,9.3,12.369000000000002,1.3222,0.3005,0.4207,72.12,15.024999999999999,90.14999999999999
419707.0,,sonepur,5538188730,Tarva,chc,7.81,5.13,7.81,10.3873,1.1286,0.2565,0.35910000000000003,61.56,12.825,76.95
419704.0,,sonepur,5538188730,Tarva,chc,8.03,5.27,8.03,10.6799,1.1594,0.2635,0.3689,63.239999999999995,13.174999999999999,79.05
419687.0,,sonepur,5538188730,Tarva,chc,6.68,4.42,6.68,8.8844,0.9724,0.221,0.3094,53.04,11.05,66.3
419686.0,,sonepur,5538188730,Tarva,chc,4.57,3.01,4.57,6.078100000000001,0.6622,0.1505,0.2107,36.12,7.5249999999999995,45.15
419734.0,,sonepur,5538188730,Tarva,chc,23.77,15.74,23.77,31.6141,3.4628,0.787,1.1018000000000001,188.88,39.35,236.1
419757.0,,sonepur,5538188730,Tarva,chc,27.67,14.88,27.67,36.801100000000005,3.2736,0.7440000000000001,1.0416,178.56,37.2,223.20000000000002
419743.0,,sonepur,5538188730,Tarva,chc,23.3,13.24,23.3,30.989000000000004,2.9128000000000003,0.662,0.9268000000000001,158.88,33.1,198.6
419732.0,,sonepur,5538188730,Tarva,chc,17.96,11.63,17.96,23.8868,2.5586,0.5815,0.8141000000000002,139.56,29.075000000000003,174.45000000000002
419765.0,,sonepur,5538188730,Tarva,chc,30.26,15.98,30.26,40.2458,3.5156,0.799,1.1186,191.76,39.95,239.70000000000002
