lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
383618.0,,sundargarh,2121411686,Hemgir,chc,39.24,23.57,39.24,52.18920000000001,5.1854000000000005,1.1785,1.6499000000000001,282.84000000000003,58.925,353.55
383611.0,,sundargarh,2121411686,Hemgir,chc,44.31,25.68,44.31,58.932300000000005,5.6496,1.284,1.7976,308.15999999999997,64.2,385.2
383594.0,,sundargarh,2121411686,Hemgir,chc,30.5,20.24,30.5,40.565000000000005,4.4528,1.012,1.4168,242.88,50.599999999999994,303.59999999999997
383620.0,,sundargarh,2121411686,Hemgir,chc,21.1,13.97,21.1,28.063000000000002,3.0734000000000004,0.6985000000000001,0.9779000000000001,167.64000000000001,34.925000000000004,209.55
383596.0,,sundargarh,2121411686,Hemgir,chc,28.56,18.24,28.56,37.9848,4.0127999999999995,0.9119999999999999,1.2768,218.88,45.599999999999994,273.59999999999997
383619.0,,sundargarh,2121411686,Hemgir,chc,44.21,25.64,44.21,58.7993,5.6408000000000005,1.282,1.7948000000000002,307.68,64.1,384.6
383609.0,,sundargarh,2121411686,Hemgir,chc,19.65,13.0,19.65,26.1345,2.86,0.65,0.9100000000000001,156.0,32.5,195.0
383623.0,,sundargarh,2121411686,Hemgir,chc,54.77,40.07,54.77,72.84410000000001,8.8154,2.0035000000000003,2.8049000000000004,480.84000000000003,100.175,601.05
383615.0,,sundargarh,2121411686,Hemgir,chc,39.73,26.36,39.73,52.8409,5.7992,1.318,1.8452000000000002,316.32,65.9,395.4
383624.0,,sundargarh,2121411686,Hemgir,chc,51.57,35.53,51.57,68.5881,7.8166,1.7765000000000002,2.4871000000000003,426.36,88.825,532.95
383616.0,,sundargarh,2121411686,Hemgir,chc,42.55,28.03,42.55,56.591499999999996,6.1666,1.4015000000000002,1.9621000000000002,336.36,70.075,420.45000000000005
383625.0,,sundargarh,2121411686,Hemgir,chc,54.8,40.11,54.8,72.884,8.8242,2.0055,2.8077,481.32,100.275,601.65
383617.0,,sundargarh,2121411686,Hemgir,chc,34.79,21.71,34.79,46.2707,4.7762,1.0855000000000001,1.5197000000000003,260.52,54.275000000000006,325.65000000000003
383593.0,,sundargarh,2121411686,Hemgir,chc,33.73,22.39,33.73,44.8609,4.9258,1.1195000000000002,1.5673000000000001,268.68,55.975,335.85
383597.0,,sundargarh,2121411686,Hemgir,chc,23.04,15.18,23.04,30.6432,3.3396,0.759,1.0626,182.16,37.95,227.7
383627.0,,sundargarh,2121411686,Hemgir,chc,54.77,40.07,54.77,72.84410000000001,8.8154,2.0035000000000003,2.8049000000000004,480.84000000000003,100.175,601.05
383610.0,,sundargarh,2121411686,Hemgir,chc,20.38,13.49,20.38,27.1054,2.9678,0.6745000000000001,0.9443000000000001,161.88,33.725,202.35
383595.0,,sundargarh,2121411686,Hemgir,chc,29.3,18.54,29.3,38.969,4.0788,0.927,1.2978,222.48,46.349999999999994,278.09999999999997
383612.0,,sundargarh,2121411686,Hemgir,chc,26.34,17.46,26.34,35.0322,3.8412,0.8730000000000001,1.2222000000000002,209.52,43.650000000000006,261.90000000000003
383613.0,,sundargarh,2121411686,Hemgir,chc,35.56,23.61,35.56,47.2948,5.1941999999999995,1.1805,1.6527,283.32,59.025,354.15
383614.0,,sundargarh,2121411686,Hemgir,chc,41.74,24.61,41.74,55.5142,5.4142,1.2305000000000001,1.7227000000000001,295.32,61.525,369.15
383569.0,,sundargarh,2121411686,Hemgir,chc,43.43,28.33,43.43,57.761900000000004,6.2326,1.4165,1.9831,339.96,70.82499999999999,424.95
383537.0,,sundargarh,2121411686,Hemgir,chc,43.43,28.33,43.43,57.761900000000004,6.2326,1.4165,1.9831,339.96,70.82499999999999,424.95
383541.0,,sundargarh,2121411686,Hemgir,chc,12.66,8.42,12.66,16.8378,1.8524,0.42100000000000004,0.5894,101.03999999999999,21.05,126.3
383598.0,,sundargarh,2121411686,Hemgir,chc,17.21,11.38,17.21,22.889300000000002,2.5036,0.5690000000000001,0.7966000000000001,136.56,28.450000000000003,170.70000000000002
383590.0,,sundargarh,2121411686,Hemgir,chc,8.61,5.74,8.61,11.4513,1.2628000000000001,0.28700000000000003,0.40180000000000005,68.88,14.350000000000001,86.10000000000001
383592.0,,sundargarh,2121411686,Hemgir,chc,33.91,22.51,33.91,45.1003,4.9522,1.1255000000000002,1.5757000000000003,270.12,56.275000000000006,337.65000000000003
383540.0,,sundargarh,2121411686,Hemgir,chc,12.08,8.03,12.08,16.0664,1.7666,0.40149999999999997,0.5621,96.35999999999999,20.075,120.44999999999999
383565.0,,sundargarh,2121411686,Hemgir,chc,10.88,7.24,10.88,14.470400000000001,1.5928,0.36200000000000004,0.5068,86.88,18.1,108.60000000000001
383571.0,,sundargarh,2121411686,Hemgir,chc,10.35,6.89,10.35,13.7655,1.5158,0.34450000000000003,0.4823,82.67999999999999,17.224999999999998,103.35
383570.0,,sundargarh,2121411686,Hemgir,chc,60.32,35.31,60.32,80.2256,7.7682,1.7655000000000003,2.4717000000000002,423.72,88.275,529.6500000000001
383563.0,,sundargarh,2121411686,Hemgir,chc,7.26,4.82,7.26,9.655800000000001,1.0604,0.24100000000000002,0.33740000000000003,57.84,12.05,72.30000000000001
383575.0,,sundargarh,2121411686,Hemgir,chc,4.39,2.93,4.39,5.8387,0.6446000000000001,0.14650000000000002,0.20510000000000003,35.160000000000004,7.325,43.95
383568.0,,sundargarh,2121411686,Hemgir,chc,12.08,8.03,12.08,16.0664,1.7666,0.40149999999999997,0.5621,96.35999999999999,20.075,120.44999999999999
383564.0,,sundargarh,2121411686,Hemgir,chc,10.88,7.24,10.88,14.470400000000001,1.5928,0.36200000000000004,0.5068,86.88,18.1,108.60000000000001
383567.0,,sundargarh,2121411686,Hemgir,chc,10.88,7.24,10.88,14.470400000000001,1.5928,0.36200000000000004,0.5068,86.88,18.1,108.60000000000001
383574.0,,sundargarh,2121411686,Hemgir,chc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383562.0,,sundargarh,2121411686,Hemgir,chc,4.83,3.22,4.83,6.423900000000001,0.7084,0.16100000000000003,0.22540000000000004,38.64,8.05,48.300000000000004
383573.0,,sundargarh,2121411686,Hemgir,chc,0.12,0.08,0.12,0.1596,0.0176,0.004,0.005600000000000001,0.96,0.2,1.2
383526.0,,sundargarh,2121411686,Hemgir,chc,6.43,4.29,6.43,8.5519,0.9438,0.21450000000000002,0.3003,51.480000000000004,10.725,64.35
383572.0,,sundargarh,2121411686,Hemgir,chc,5.3,3.51,5.3,7.049,0.7722,0.1755,0.2457,42.12,8.774999999999999,52.65
383581.0,,sundargarh,2121411686,Hemgir,chc,38.01,17.6,38.01,50.5533,3.8720000000000003,0.8800000000000001,1.2320000000000002,211.20000000000002,44.0,264.0
383579.0,,sundargarh,2121411686,Hemgir,chc,30.99,15.82,30.99,41.2167,3.4804,0.791,1.1074000000000002,189.84,39.55,237.3
383588.0,,sundargarh,8661647589,Sargipalli,chc,73.23,49.14,73.23,97.39590000000001,10.8108,2.4570000000000003,3.4398000000000004,589.6800000000001,122.85,737.1
383607.0,,sundargarh,2121411686,Hemgir,chc,15.94,10.63,15.94,21.2002,2.3386,0.5315000000000001,0.7441000000000001,127.56,26.575000000000003,159.45000000000002
383544.0,,sundargarh,2121411686,Hemgir,chc,10.06,6.7,10.06,13.379800000000001,1.474,0.335,0.4690000000000001,80.4,16.75,100.5
383602.0,,sundargarh,8661647589,Sargipalli,chc,72.75,48.93,72.75,96.75750000000001,10.7646,2.4465000000000003,3.4251000000000005,587.16,122.325,733.95
383546.0,,sundargarh,2121411686,Hemgir,chc,16.92,11.28,16.92,22.503600000000002,2.4816,0.564,0.7896000000000001,135.35999999999999,28.2,169.2
383556.0,,sundargarh,2121411686,Hemgir,chc,37.94,17.58,37.94,50.4602,3.8675999999999995,0.879,1.2306,210.95999999999998,43.949999999999996,263.7
383558.0,,sundargarh,2121411686,Hemgir,chc,12.57,8.37,12.57,16.7181,1.8414,0.4185,0.5859,100.44,20.924999999999997,125.54999999999998
383560.0,,sundargarh,2121411686,Hemgir,chc,9.88,6.58,9.88,13.140400000000001,1.4476,0.329,0.46060000000000006,78.96000000000001,16.45,98.7
383600.0,,sundargarh,2121411686,Hemgir,chc,16.57,11.05,16.57,22.0381,2.431,0.5525000000000001,0.7735000000000001,132.60000000000002,27.625,165.75
383603.0,,sundargarh,8661647589,Sargipalli,chc,73.22,49.14,73.22,97.38260000000001,10.8108,2.4570000000000003,3.4398000000000004,589.6800000000001,122.85,737.1
383622.0,,sundargarh,8661647589,Sargipalli,chc,66.94,53.88,66.94,89.03020000000001,11.8536,2.6940000000000004,3.7716000000000007,646.5600000000001,134.70000000000002,808.2
383552.0,,sundargarh,8661647589,Sargipalli,chc,55.76,32.89,55.76,74.1608,7.2358,1.6445,2.3023000000000002,394.68,82.225,493.35
383621.0,,sundargarh,2121411686,Hemgir,chc,16.33,10.89,16.33,21.718899999999998,2.3958,0.5445000000000001,0.7623000000000001,130.68,27.225,163.35000000000002
383577.0,,sundargarh,2121411686,Hemgir,chc,18.95,12.64,18.95,25.203500000000002,2.7808,0.6320000000000001,0.8848000000000001,151.68,31.6,189.60000000000002
383585.0,,sundargarh,8661647589,Sargipalli,chc,51.5,31.14,51.5,68.495,6.8508000000000004,1.5570000000000002,2.1798,373.68,77.85,467.1
383551.0,,sundargarh,8661647589,Sargipalli,chc,55.76,32.89,55.76,74.1608,7.2358,1.6445,2.3023000000000002,394.68,82.225,493.35
383780.0,,sundargarh,8661647589,Sargipalli,chc,23.07,12.33,23.07,30.683100000000003,2.7126,0.6165,0.8631000000000001,147.96,30.825,184.95
383583.0,,sundargarh,8661647589,Sargipalli,chc,55.76,32.89,55.76,74.1608,7.2358,1.6445,2.3023000000000002,394.68,82.225,493.35
383584.0,,sundargarh,8661647589,Sargipalli,chc,55.76,32.89,55.76,74.1608,7.2358,1.6445,2.3023000000000002,394.68,82.225,493.35
383626.0,,sundargarh,8661647589,Sargipalli,chc,63.44,52.42,63.44,84.3752,11.5324,2.6210000000000004,3.6694000000000004,629.04,131.05,786.3000000000001
383553.0,,sundargarh,2121411686,Hemgir,chc,38.33,17.68,38.33,50.9789,3.8896,0.884,1.2376,212.16,44.2,265.2
383554.0,,sundargarh,2121411686,Hemgir,chc,33.93,16.58,33.93,45.1269,3.6475999999999997,0.829,1.1606,198.95999999999998,41.449999999999996,248.7
383587.0,,sundargarh,8661647589,Sargipalli,chc,73.23,49.14,73.23,97.39590000000001,10.8108,2.4570000000000003,3.4398000000000004,589.6800000000001,122.85,737.1
383601.0,,sundargarh,2121411686,Hemgir,chc,19.35,12.9,19.35,25.735500000000002,2.838,0.645,0.9030000000000001,154.8,32.25,193.5
383608.0,,sundargarh,2121411686,Hemgir,chc,14.46,9.27,14.46,19.231800000000003,2.0394,0.4635,0.6489,111.24,23.174999999999997,139.04999999999998
383578.0,,sundargarh,2121411686,Hemgir,chc,31.11,15.85,31.11,41.3763,3.487,0.7925,1.1095000000000002,190.2,39.625,237.75
383599.0,,sundargarh,2121411686,Hemgir,chc,13.49,8.86,13.49,17.9417,1.9491999999999998,0.443,0.6202,106.32,22.15,132.89999999999998
383576.0,,sundargarh,2121411686,Hemgir,chc,5.25,3.51,5.25,6.9825,0.7722,0.1755,0.2457,42.12,8.774999999999999,52.65
383606.0,,sundargarh,8661647589,Sargipalli,chc,60.03,46.37,60.03,79.8399,10.2014,2.3185,3.2459000000000002,556.4399999999999,115.925,695.55
383605.0,,sundargarh,8661647589,Sargipalli,chc,67.97,46.95,67.97,90.40010000000001,10.329,2.3475,3.2865000000000006,563.4000000000001,117.375,704.25
383604.0,,sundargarh,8661647589,Sargipalli,chc,72.78,48.96,72.78,96.79740000000001,10.7712,2.4480000000000004,3.4272000000000005,587.52,122.4,734.4
383586.0,,sundargarh,8661647589,Sargipalli,chc,51.5,31.14,51.5,68.495,6.8508000000000004,1.5570000000000002,2.1798,373.68,77.85,467.1
383589.0,,sundargarh,2121411686,Hemgir,chc,19.48,12.99,19.48,25.9084,2.8578,0.6495000000000001,0.9093000000000001,155.88,32.475,194.85
383557.0,,sundargarh,2121411686,Hemgir,chc,32.17,16.11,32.17,42.786100000000005,3.5442,0.8055,1.1277000000000001,193.32,40.275,241.64999999999998
383582.0,,sundargarh,2121411686,Hemgir,chc,38.26,17.66,38.26,50.8858,3.8852,0.883,1.2362000000000002,211.92000000000002,44.15,264.9
383580.0,,sundargarh,2121411686,Hemgir,chc,38.01,17.6,38.01,50.5533,3.8720000000000003,0.8800000000000001,1.2320000000000002,211.20000000000002,44.0,264.0
383561.0,,sundargarh,2121411686,Hemgir,chc,7.53,5.02,7.53,10.0149,1.1043999999999998,0.251,0.3514,60.239999999999995,12.549999999999999,75.3
383555.0,,sundargarh,2121411686,Hemgir,chc,29.75,15.53,29.75,39.5675,3.4166,0.7765,1.0871,186.35999999999999,38.824999999999996,232.95
383547.0,,sundargarh,2121411686,Hemgir,chc,15.98,10.58,15.98,21.253400000000003,2.3276,0.529,0.7406,126.96000000000001,26.45,158.7
383550.0,,sundargarh,8661647589,Sargipalli,chc,55.76,32.89,55.76,74.1608,7.2358,1.6445,2.3023000000000002,394.68,82.225,493.35
383559.0,,sundargarh,2121411686,Hemgir,chc,11.0,7.33,11.0,14.63,1.6126,0.36650000000000005,0.5131,87.96000000000001,18.325,109.95
383591.0,,sundargarh,2121411686,Hemgir,chc,10.76,7.18,10.76,14.3108,1.5796,0.359,0.5026,86.16,17.95,107.69999999999999
