village_id,first_stop,assigned_dh_sdh,closest_facility_type,t_phc_min,t_chc_min,t_dh_sdh_min,d_phc_km,d_chc_km,d_dh_sdh_km,phc_is_functional,chc_is_functional,comment,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
400349,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400351,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400346,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400347,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400352,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400350,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400321,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400348,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400320,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400355,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400359,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400361,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400340,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400360,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400373,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400370,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400337,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400358,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400336,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400339,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400341,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400357,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400380,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400372,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400379,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400382,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400381,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400374,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400385,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400386,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400387,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400388,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400383,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400384,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400389,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400390,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400369,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400368,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400335,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400367,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400375,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400362,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400365,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400363,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400344,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400377,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400376,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400378,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400366,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400354,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400353,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400338,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400356,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400342,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400345,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400343,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400331,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400371,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
400364,6266113619,4166555153,PHC,0.0,0.0,26.5,0.0,0.0,23.8587,True,True,PHC is closer and functional,26.5,35.245000000000005,5.248914,1.192935,1.670109,286.3044,59.64675,357.8805
398433,5731232152,5546387340,CHC,55.145,16.128333333333334,104.365,32.0428,8.5979,75.7852,True,True,CHC is closer and functional,104.365,138.80545,16.672744,3.7892600000000005,5.304964000000001,909.4224,189.46300000000002,1136.778
398514,7847821530,5546387340,CHC,22.571666666666665,11.196666666666664,71.79166666666667,14.3198,5.3849,58.0622,True,True,CHC is closer and functional,71.79166666666667,95.48291666666668,12.773684,2.90311,4.064354,696.7464,145.1555,870.933
398483,5731232152,5546387340,CHC,27.77,11.246666666666666,76.99,17.45,5.9949,61.1925,True,True,CHC is closer and functional,76.99,102.3967,13.46235,3.0596250000000005,4.283475,734.3100000000001,152.98125000000002,917.8875
398461,5731232152,5546387340,CHC,37.06333333333334,1.9533333333333331,86.28333333333333,22.4046,1.0403,66.147,True,True,CHC is closer and functional,86.28333333333333,114.75683333333333,14.552340000000001,3.3073500000000005,4.6302900000000005,793.7640000000001,165.3675,992.205
398471,5731232152,5546387340,CHC,39.49333333333333,0.4766666666666667,88.71333333333334,23.7001,0.2552,67.4426,True,True,CHC is closer and functional,88.71333333333334,117.98873333333334,14.837372,3.3721300000000003,4.720982,809.3112,168.60649999999998,1011.639
398482,7847821530,5546387340,CHC,25.38833333333333,14.013333333333332,74.60833333333333,16.1777,7.2428,59.9201,True,True,CHC is closer and functional,74.60833333333333,99.22908333333334,13.182421999999999,2.9960050000000003,4.194407,719.0412,149.80025,898.8014999999999
398453,5731232152,5546387340,CHC,39.67,0.6533333333333334,88.89,23.7935,0.3486,67.5359,True,True,CHC is closer and functional,88.89,118.22370000000001,14.857898,3.376795,4.727513,810.4308,168.83974999999998,1013.0385
398528,7847821530,5546387340,CHC,16.71,5.335,65.93,11.5528,2.6179,55.295300000000005,True,True,CHC is closer and functional,65.93,87.68690000000001,12.164966000000002,2.7647650000000006,3.8706710000000006,663.5436000000001,138.23825000000002,829.4295000000001
398491,7847821530,5546387340,CHC,24.33,12.955,73.55,15.6138,6.6789,59.356300000000005,True,True,CHC is closer and functional,73.55,97.8215,13.058386,2.9678150000000003,4.154941000000001,712.2756,148.39075000000003,890.3445
398496,7847821530,5546387340,CHC,17.883333333333333,6.508333333333334,67.10333333333332,12.178,3.243,55.9204,True,True,CHC is closer and functional,67.10333333333332,89.24743333333333,12.302488,2.7960200000000004,3.9144280000000005,671.0448,139.801,838.806
398436,5731232152,5546387340,CHC,47.095,8.078333333333333,96.315,27.7541,4.3092,71.4966,True,True,CHC is closer and functional,96.315,128.09895,15.729252,3.5748300000000004,5.004762,857.9592,178.7415,1072.449
398458,5731232152,5546387340,CHC,44.285,5.2683333333333335,93.505,26.2547,2.8098,69.99719999999999,True,True,CHC is closer and functional,93.505,124.36165,15.399383999999998,3.49986,4.899804,839.9663999999999,174.993,1049.9579999999999
398492,7847821530,5546387340,CHC,20.37833333333333,9.003333333333334,69.59833333333333,13.5095,4.5746,57.2519,True,True,CHC is closer and functional,69.59833333333333,92.56578333333333,12.595418,2.8625950000000002,4.007633,687.0228,143.12975,858.7785
398493,7847821530,5546387340,CHC,21.075,9.7,70.295,13.8806,4.9457,57.6231,True,True,CHC is closer and functional,70.295,93.49235,12.677082,2.881155,4.0336170000000005,691.4772,144.05775,864.3465
398469,5731232152,5546387340,CHC,33.35,5.666666666666667,82.57,20.4263,3.0186,64.1688,True,True,CHC is closer and functional,82.57,109.8181,14.117136,3.2084400000000004,4.491816000000001,770.0256,160.42200000000003,962.532
398448,5731232152,5546387340,CHC,43.78,4.763333333333334,93.0,25.985,2.5401,69.72739999999999,True,True,CHC is closer and functional,93.0,123.69000000000001,15.340027999999998,3.4863699999999995,4.880917999999999,836.7287999999999,174.31849999999997,1045.9109999999998
398480,5731232152,5546387340,CHC,28.56,10.456666666666669,77.78,17.8707,5.574199999999999,61.6131,True,True,CHC is closer and functional,77.78,103.4474,13.554882000000001,3.080655,4.3129170000000006,739.3572,154.03275000000002,924.1965
398511,7847821530,5546387340,CHC,19.848333333333336,8.473333333333333,69.06833333333334,12.6608,3.7259,56.4033,True,True,CHC is closer and functional,69.06833333333334,91.86088333333335,12.408726,2.8201650000000003,3.9482310000000003,676.8396,141.00825,846.0495000000001
398530,7847821530,5546387340,CHC,13.74,5.6033333333333335,65.79166666666667,11.4317,2.9522,55.8528,True,True,CHC is closer and functional,65.79166666666667,87.50291666666668,12.287616,2.7926400000000005,3.9096960000000007,670.2336,139.632,837.792
398447,5731232152,5546387340,CHC,44.82,5.803333333333333,94.04,26.5411,3.0962,70.2835,True,True,CHC is closer and functional,94.04,125.07320000000001,15.462370000000002,3.5141750000000003,4.9198450000000005,843.402,175.70875,1054.2525
398459,5731232152,5546387340,CHC,41.5,2.4833333333333334,90.72,24.7697,1.3248,68.5121,True,True,CHC is closer and functional,90.72,120.6576,15.072662000000001,3.4256050000000005,4.795847000000001,822.1452,171.28025000000002,1027.6815000000001
398485,5731232152,5546387340,CHC,27.005,12.011666666666668,76.225,17.041400000000003,6.4035,60.7839,True,True,CHC is closer and functional,76.225,101.37925,13.372458,3.0391950000000003,4.254873000000001,729.4068,151.95975,911.7585
