village_id,facility_nin,facility_name,travel_time_min,distance_km
344_404963.0,2518123555,Kantapada,56.06,4.67
344_404800.0,4285254845,Lunahandi,7.92,0.66
344_404793.0,3221416526,Kampala,30.1,2.51
344_404959.0,2518123555,Kantapada,59.05,4.92
344_404960.0,2518123555,Kantapada,48.07,4.0
344_404965.0,2518123555,Kantapada,53.27,4.44
344_404791.0,3221416526,Kampala,3.92,0.33
344_404794.0,3221416526,Kampala,42.16,3.51
344_404952.0,2518123555,Kantapada,69.05,5.75
344_404964.0,1122423716,Kiakata,69.53,5.79
344_404792.0,3221416526,Kampala,16.23,1.35
344_404798.0,3221416526,Kampala,15.15,1.26
344_404958.0,2518123555,Kantapada,71.03,5.92
344_404966.0,3221416526,Kampala,41.51,3.46
344_404789.0,2518123555,Kantapada,43.98,3.66
344_404799.0,4285254845,Lunahandi,8.27,0.69
344_404953.0,2518123555,Kantapada,67.7,5.64
344_404788.0,2518123555,Kantapada,33.8,2.82
344_404790.0,3221416526,Kampala,4.83,0.4
344_404796.0,3221416526,Kampala,26.35,2.2
344_404797.0,4285254845,Lunahandi,8.27,0.69
344_404795.0,3221416526,Kampala,26.35,2.2
344_404858.0,3342861782,Kuteswar,28.03,2.34
344_404848.0,3342861782,Kuteswar,11.17,0.93
344_404850.0,3342861782,Kuteswar,7.39,0.62
344_404846.0,3342861782,Kuteswar,15.13,1.26
344_404855.0,3342861782,Kuteswar,16.07,1.34
344_404865.0,8546728653,Aida,4.54,0.38
344_404863.0,8546728653,Aida,18.17,1.51
344_404851.0,3342861782,Kuteswar,19.18,1.6
344_404859.0,3342861782,Kuteswar,33.58,2.8
344_404854.0,3342861782,Kuteswar,16.07,1.34
344_404901.0,3342861782,Kuteswar,16.07,1.34
344_404856.0,3342861782,Kuteswar,12.96,1.08
344_404857.0,3342861782,Kuteswar,16.74,1.4
344_404867.0,8546728653,Aida,12.05,1.0
344_404860.0,8546728653,Aida,32.69,2.72
344_404872.0,3543778355,Luhasingha,34.35,2.86
344_404849.0,3342861782,Kuteswar,1.78,0.15
344_404866.0,8546728653,Aida,12.04,1.0
344_404862.0,8546728653,Aida,21.82,1.82
344_404847.0,3342861782,Kuteswar,1.07,0.09
344_404861.0,8546728653,Aida,35.23,2.94
344_248142.0,1742153511,Kaintragarh,18.38,1.53
344_404811.0,4285254845,Lunahandi,8.14,0.68
344_404812.0,8845614331,Madhapur,59.32,4.94
344_404784.0,8845614331,Madhapur,40.17,3.35
344_404839.0,1742153511,Kaintragarh,55.97,4.66
344_404833.0,4567624384,Purunamantri,11.53,0.96
344_404778.0,8845614331,Madhapur,30.64,2.55
344_404818.0,8845614331,Madhapur,38.29,3.19
344_404802.0,4285254845,Lunahandi,21.58,1.8
344_404830.0,4567624384,Purunamantri,43.68,3.64
344_404853.0,3342861782,Kuteswar,16.07,1.34
344_404783.0,8845614331,Madhapur,38.14,3.18
344_404828.0,4567624384,Purunamantri,43.68,3.64
344_404815.0,8845614331,Madhapur,56.81,4.73
344_404820.0,4567624384,Purunamantri,61.68,5.14
344_404808.0,8845614331,Madhapur,23.02,1.92
344_404843.0,1742153511,Kaintragarh,60.77,5.06
344_404834.0,4567624384,Purunamantri,1.9,0.16
344_404837.0,3286578723,Mahendrapur,13.61,1.13
344_404819.0,8845614331,Madhapur,50.44,4.2
344_404824.0,4567624384,Purunamantri,40.52,3.38
344_404840.0,1742153511,Kaintragarh,78.42,6.53
344_404825.0,4567624384,Purunamantri,19.97,1.66
344_404777.0,8845614331,Madhapur,32.26,2.69
344_404787.0,8845614331,Madhapur,45.3,3.78
344_404782.0,8845614331,Madhapur,40.52,3.38
344_405052.0,8246148814,Thakurgarh,50.28,4.19
344_404781.0,8845614331,Madhapur,32.82,2.74
344_404779.0,8845614331,Madhapur,35.67,2.97
344_404962.0,2518123555,Kantapada,21.33,1.78
344_404844.0,1742153511,Kaintragarh,49.66,4.14
344_404823.0,4567624384,Purunamantri,31.95,2.66
344_404776.0,8845614331,Madhapur,36.99,3.08
344_404803.0,2518123555,Kantapada,19.14,1.59
344_404807.0,8845614331,Madhapur,7.05,0.59
344_405051.0,8246148814,Thakurgarh,63.21,5.27
344_405046.0,7636128840,Ambasarmunda,7.85,0.65
344_405047.0,7636128840,Ambasarmunda,12.91,1.08
344_405045.0,7636128840,Ambasarmunda,5.41,0.45
344_404829.0,4567624384,Purunamantri,43.68,3.64
344_405043.0,7636128840,Ambasarmunda,14.79,1.23
344_404836.0,3286578723,Mahendrapur,7.87,0.66
344_405042.0,7636128840,Ambasarmunda,15.15,1.26
344_404769.0,8845614331,Madhapur,45.34,3.78
344_404770.0,8845614331,Madhapur,39.83,3.32
344_404801.0,4285254845,Lunahandi,6.38,0.53
344_404835.0,4567624384,Purunamantri,32.4,2.7
344_405040.0,1883243345,SANJAMURA,80.94,6.75
344_404961.0,8845614331,Madhapur,70.19,5.85
344_405053.0,8246148814,Thakurgarh,33.15,2.76
344_404774.0,8845614331,Madhapur,35.72,2.98
344_404785.0,8845614331,Madhapur,5.83,0.49
344_404831.0,4567624384,Purunamantri,17.68,1.47
344_404786.0,8845614331,Madhapur,15.04,1.25
344_404842.0,1742153511,Kaintragarh,70.82,5.9
344_405041.0,7636128840,Ambasarmunda,33.76,2.81
344_404767.0,8845614331,Madhapur,58.72,4.89
344_405044.0,7636128840,Ambasarmunda,9.2,0.77
344_405032.0,7636128840,Ambasarmunda,5.44,0.45
344_404814.0,8845614331,Madhapur,23.77,1.98
344_404806.0,8845614331,Madhapur,18.34,1.53
344_404841.0,3342861782,Kuteswar,122.96,10.25
344_404810.0,8845614331,Madhapur,15.41,1.28
344_404821.0,4567624384,Purunamantri,49.53,4.13
344_404826.0,4567624384,Purunamantri,23.47,1.96
344_404817.0,8845614331,Madhapur,57.77,4.81
344_404838.0,3286578723,Mahendrapur,0.0,0.0
344_404809.0,4285254845,Lunahandi,20.84,1.74
344_404813.0,8845614331,Madhapur,59.32,4.94
344_404845.0,3342861782,Kuteswar,19.94,1.66
344_404804.0,8845614331,Madhapur,15.36,1.28
344_404805.0,2518123555,Kantapada,2.87,0.24
344_404773.0,4567624384,Purunamantri,40.85,3.4
344_404768.0,8845614331,Madhapur,53.77,4.48
344_404780.0,8845614331,Madhapur,35.72,2.98
344_404832.0,4567624384,Purunamantri,11.51,0.96
344_404771.0,8845614331,Madhapur,34.4,2.87
344_404775.0,4567624384,Purunamantri,52.97,4.41
344_404827.0,4567624384,Purunamantri,43.68,3.64
344_405050.0,8246148814,Thakurgarh,31.89,2.66
344_404772.0,8845614331,Madhapur,34.4,2.87
344_404852.0,3342861782,Kuteswar,16.07,1.34
344_404822.0,4567624384,Purunamantri,38.7,3.23
344_404766.0,8845614331,Madhapur,70.38,5.87
344_404816.0,8845614331,Madhapur,59.32,4.94
344_404906.0,8734565370,Tusar,72.96,6.08
344_404903.0,8348462618,Dohali,145.84,12.15
344_404751.0,8734565370,Tusar,86.23,7.19
344_404915.0,1122423716,Kiakata,161.58,13.47
