village_id,facility_nin,facility_name,travel_time_min,distance_km
345_420893.0,8126121170,Mahakhand,140.97,11.75
345_420897.0,8126121170,Mahakhand,25.45,2.12
345_420895.0,8126121170,Mahakhand,136.49,11.37
345_420892.0,8126121170,Mahakhand,152.47,12.71
345_420896.0,8126121170,Mahakhand,66.48,5.54
345_421294.0,6161245250,BIRIPALI,16.63,1.39
345_421270.0,6887112784,TUREKELA,20.26,1.69
345_421268.0,6887112784,TUREKELA,18.23,1.52
345_421271.0,8126121170,Mahakhand,96.97,8.08
345_420898.0,8126121170,Mahakhand,11.89,0.99
345_421334.0,2843558376,BUSLAD,106.76,8.9
345_421269.0,6887112784,TUREKELA,20.26,1.69
345_420858.0,5211585533,Ghunesh,50.22,4.19
345_420854.0,5211585533,Ghunesh,37.92,3.16
345_420891.0,7654677579,Badbanki,84.63,7.05
345_420899.0,8126121170,Mahakhand,1.04,0.09
345_420890.0,7654677579,Badbanki,73.77,6.15
345_420888.0,7654677579,Badbanki,43.63,3.64
345_420861.0,7654677579,Badbanki,27.82,2.32
345_420867.0,8416374422,Turekela,47.64,3.97
345_420868.0,8416374422,Turekela,20.83,1.74
345_420889.0,7654677579,Badbanki,37.43,3.12
345_420864.0,8126121170,Mahakhand,136.8,11.4
345_420860.0,7654677579,Badbanki,25.12,2.09
345_420866.0,8416374422,Turekela,74.34,6.2
345_420863.0,7654677579,Badbanki,11.62,0.97
345_420856.0,7654677579,Badbanki,44.29,3.69
345_420857.0,7654677579,Badbanki,27.35,2.28
345_420855.0,5211585533,Ghunesh,27.79,2.32
345_420849.0,5211585533,Ghunesh,7.2,0.6
345_420865.0,8126121170,Mahakhand,75.14,6.26
345_420859.0,5211585533,Ghunesh,37.92,3.16
345_420862.0,7654677579,Badbanki,43.83,3.65
345_420894.0,8126121170,Mahakhand,136.49,11.37
345_420827.0,4235444850,Kuspali,57.61,4.8
345_420826.0,7448146410,Lathor,39.89,3.32
345_420846.0,8416374422,Turekela,31.26,2.6
345_420839.0,1835278746,Mahulpati,7.03,0.59
345_420831.0,4235444850,Kuspali,32.81,2.73
345_420829.0,4235444850,Kuspali,39.99,3.33
345_420850.0,5211585533,Ghunesh,15.55,1.3
345_420830.0,1835278746,Mahulpati,46.72,3.89
345_420836.0,4732643640,Dholmandal,11.21,0.93
345_420852.0,5211585533,Ghunesh,36.12,3.01
345_420838.0,4732643640,Dholmandal,33.13,2.76
345_420828.0,4235444850,Kuspali,26.44,2.2
345_420833.0,4235444850,Kuspali,50.2,4.18
345_420848.0,8416374422,Turekela,6.29,0.52
345_420851.0,8416374422,Turekela,42.3,3.52
345_420853.0,5211585533,Ghunesh,36.17,3.01
345_420845.0,6646567443,Mahulbahali,29.04,2.42
345_420837.0,4732643640,Dholmandal,7.56,0.63
345_420847.0,1835278746,Mahulpati,43.2,3.6
345_420835.0,4732643640,Dholmandal,11.21,0.93
345_420834.0,4732643640,Dholmandal,26.06,2.17
345_420832.0,4235444850,Kuspali,0.93,0.08
345_420841.0,1835278746,Mahulpati,1.99,0.17
345_420921.0,6611616415,BAGDOR,26.62,2.22
345_420840.0,1835278746,Mahulpati,5.73,0.48
345_420746.0,4681855831,Sangurjebhata,80.35,6.7
345_420749.0,4681855831,Sangurjebhata,16.88,1.41
345_420825.0,7448146410,Lathor,37.62,3.14
345_420747.0,4681855831,Sangurjebhata,62.08,5.17
345_420802.0,5731888326,Malpada,95.81,7.98
345_420789.0,5731888326,Malpada,33.14,2.76
345_420793.0,4681855831,Sangurjebhata,4.55,0.38
345_420786.0,5731888326,Malpada,75.89,6.32
345_420796.0,7448146410,Lathor,32.73,2.73
345_420791.0,5731888326,Malpada,5.07,0.42
345_420790.0,5731888326,Malpada,18.92,1.58
345_420797.0,7448146410,Lathor,31.52,2.63
345_420794.0,4681855831,Sangurjebhata,17.52,1.46
345_420787.0,5731888326,Malpada,61.88,5.16
345_420795.0,7448146410,Lathor,5.48,0.46
345_420792.0,5731888326,Malpada,20.36,1.7
345_420798.0,6611616415,BAGDOR,53.12,4.43
345_420799.0,5773112510,Banmal,215.34,17.94
345_420788.0,5731888326,Malpada,42.65,3.55
345_420748.0,4681855831,Sangurjebhata,17.67,1.47
345_420735.0,1458853478,Rengali,8.69,0.72
345_420751.0,1458853478,Rengali,45.41,3.78
345_420739.0,1458853478,Rengali,64.57,5.38
345_420753.0,1458853478,Rengali,36.28,3.02
345_420785.0,5731888326,Malpada,93.42,7.79
345_420743.0,4681855831,Sangurjebhata,124.7,10.39
345_420750.0,1458853478,Rengali,53.22,4.43
345_420733.0,1458853478,Rengali,18.97,1.58
345_420731.0,1458853478,Rengali,30.37,2.53
345_420784.0,8633871366,Khaprakhol,100.21,8.35
345_420744.0,4681855831,Sangurjebhata,115.67,9.64
345_420740.0,1458853478,Rengali,58.48,4.87
345_420741.0,1458853478,Rengali,82.56,6.88
345_420742.0,1458853478,Rengali,104.59,8.72
345_420738.0,1458853478,Rengali,44.0,3.67
345_420737.0,1458853478,Rengali,28.19,2.35
345_420736.0,1458853478,Rengali,37.77,3.15
345_420732.0,1458853478,Rengali,70.41,5.87
345_420754.0,1458853478,Rengali,11.07,0.92
345_420745.0,4681855831,Sangurjebhata,98.04,8.17
345_420783.0,1113176422,Ghunsar,15.66,1.31
345_420752.0,1113176422,Ghunsar,50.34,4.19
