village_id,facility_nin,facility_name,travel_time_min,distance_km
346_393633.0,2225264122,Bartana,29.27,2.44
346_393634.0,2225264122,Bartana,26.01,2.17
346_393608.0,2225264122,Bartana,26.31,2.19
346_393611.0,3318343740,Haripur,19.76,1.65
346_393625.0,2225264122,Bartana,15.75,1.31
346_393632.0,2225264122,Bartana,19.73,1.64
346_393616.0,2225264122,Bartana,9.69,0.81
346_393512.0,6731531213,Kupari,30.9,2.57
346_393607.0,2225264122,Bartana,28.81,2.4
346_393517.0,6731531213,Kupari,44.73,3.73
346_393514.0,6731531213,Kupari,43.98,3.66
346_393622.0,2225264122,Bartana,26.05,2.17
346_393638.0,2225264122,Bartana,36.12,3.01
346_393510.0,6731531213,Kupari,19.13,1.59
346_393612.0,3318343740,Haripur,2.88,0.24
346_393627.0,2225264122,Bartana,13.87,1.16
346_393628.0,2225264122,Bartana,15.85,1.32
346_393521.0,6731531213,Kupari,16.95,1.41
346_393520.0,6731531213,Kupari,40.25,3.35
346_393636.0,2225264122,Bartana,58.63,4.89
346_393624.0,2225264122,Bartana,9.29,0.77
346_393503.0,6731531213,Kupari,27.94,2.33
346_393613.0,2225264122,Bartana,18.43,1.54
346_393513.0,6731531213,Kupari,32.91,2.74
346_393519.0,6788565247,Ratina,41.8,3.48
346_393635.0,2225264122,Bartana,34.94,2.91
346_393614.0,2225264122,Bartana,13.94,1.16
346_393516.0,6731531213,Kupari,44.73,3.73
346_393515.0,6731531213,Kupari,44.55,3.71
346_393629.0,2225264122,Bartana,14.03,1.17
346_393507.0,8435862753,Kaithagadia,29.84,2.49
346_393508.0,8435862753,Kaithagadia,30.73,2.56
346_393518.0,6731531213,Kupari,44.73,3.73
346_393610.0,6731531213,Kupari,34.9,2.91
346_393609.0,6731531213,Kupari,25.45,2.12
346_393626.0,2225264122,Bartana,7.93,0.66
346_393615.0,2225264122,Bartana,8.25,0.69
346_393617.0,6788565247,Ratina,5.19,0.43
346_393621.0,2225264122,Bartana,8.87,0.74
346_393619.0,2225264122,Bartana,16.3,1.36
346_393620.0,2225264122,Bartana,20.44,1.7
346_393623.0,2225264122,Bartana,21.96,1.83
346_393522.0,6731531213,Kupari,3.48,0.29
346_393630.0,2225264122,Bartana,17.73,1.48
346_393618.0,6788565247,Ratina,16.72,1.39
346_393409.0,8435862753,Kaithagadia,16.57,1.38
346_393511.0,8435862753,Kaithagadia,34.6,2.88
346_393407.0,6731531213,Kupari,44.73,3.73
346_393408.0,8435862753,Kaithagadia,36.6,3.05
346_393410.0,8435862753,Kaithagadia,3.58,0.3
346_393509.0,8435862753,Kaithagadia,29.75,2.48
346_394185.0,2225264122,Bartana,82.22,6.85
346_394183.0,2225264122,Bartana,82.22,6.85
346_394186.0,2225264122,Bartana,82.22,6.85
346_394197.0,3688683519,Rapeya,0.0,0.0
346_394202.0,1764874713,Kalasuni,3.59,0.3
346_394207.0,1764874713,Kalasuni,3.59,0.3
346_394206.0,1764874713,Kalasuni,11.85,0.99
346_394177.0,3688683519,Rapeya,25.12,2.09
346_394175.0,3688683519,Rapeya,13.69,1.14
346_394194.0,3688683519,Rapeya,16.29,1.36
346_394171.0,5858264376,Ada,11.05,0.92
346_394205.0,1764874713,Kalasuni,11.85,0.99
346_394190.0,3688683519,Rapeya,15.49,1.29
346_394200.0,3688683519,Rapeya,0.0,0.0
346_394196.0,3688683519,Rapeya,0.0,0.0
346_394174.0,3688683519,Rapeya,28.79,2.4
346_394178.0,3688683519,Rapeya,34.57,2.88
346_394169.0,5858264376,Ada,1.37,0.11
346_394181.0,3688683519,Rapeya,33.55,2.8
