village_id,facility_nin,facility_name,travel_time_min,distance_km
347_379820.0,3667726479,Jamseth,60.31,5.03
347_379813.0,7871442633,Chhindeikela,42.13,3.51
347_379819.0,7871442633,Chhindeikela,34.75,2.9
347_379812.0,7871442633,Chhindeikela,37.7,3.14
347_379811.0,7871442633,Chhindeikela,1.43,0.12
347_379810.0,1233655255,Mandosil,119.0,9.92
347_379818.0,7871442633,Chhindeikela,64.64,5.39
347_379808.0,1233655255,Mandosil,9.08,0.76
347_379806.0,3667726479,Jamseth,28.23,2.35
347_379803.0,2136128150,Bartunda,7.97,0.66
347_379805.0,3667726479,Jamseth,7.64,0.64
347_379801.0,2136128150,Bartunda,45.53,3.79
347_379800.0,2136128150,Bartunda,25.34,2.11
347_379807.0,3667726479,Jamseth,20.96,1.75
347_379798.0,2136128150,Bartunda,45.63,3.8
347_379817.0,7871442633,Chhindeikela,98.32,8.19
347_379816.0,7871442633,Chhindeikela,98.54,8.21
347_379814.0,7871442633,Chhindeikela,81.6,6.8
347_379815.0,7871442633,Chhindeikela,79.96,6.66
347_379802.0,3667726479,Jamseth,44.38,3.7
347_379804.0,3667726479,Jamseth,23.23,1.94
347_379809.0,3667726479,Jamseth,43.29,3.61
347_379919.0,8836174147,Saldihi,18.2,1.52
347_379921.0,8836174147,Saldihi,40.55,3.38
347_379717.0,2357723887,Chhetgaon,67.06,5.59
347_379774.0,2357723887,Chhetgaon,39.78,3.31
347_379777.0,2357723887,Chhetgaon,133.33,11.11
347_379768.0,6662153516,Paikmal,25.16,2.1
347_379765.0,6662153516,Paikmal,8.81,0.73
347_379723.0,6662153516,Paikmal,47.69,3.97
347_379721.0,2357723887,Chhetgaon,28.2,2.35
347_379771.0,2357723887,Chhetgaon,51.14,4.1
347_379776.0,4853474130,Jhitiki,21.13,1.76
347_379789.0,4785717184,Mithapali,3.12,0.26
347_379791.0,4785717184,Mithapali,37.22,3.1
347_379790.0,4785717184,Mithapali,26.91,2.24
347_379785.0,4785717184,Mithapali,62.53,5.21
347_379778.0,4853474130,Jhitiki,10.35,0.86
347_379784.0,2136128150,Bartunda,75.14,6.26
347_379912.0,2678384559,Amthi,33.41,2.78
347_379799.0,2136128150,Bartunda,26.43,2.2
347_379781.0,1233655255,Mandosil,20.93,1.74
347_379899.0,4843745227,Bijadol,88.88,7.41
347_379795.0,2136128150,Bartunda,37.89,3.16
347_379794.0,4785717184,Mithapali,37.07,3.09
347_379783.0,1233655255,Mandosil,59.87,4.99
347_379770.0,4785717184,Mithapali,41.3,3.44
347_379775.0,4853474130,Jhitiki,3.43,0.29
347_379763.0,6662153516,Paikmal,41.73,3.48
347_379779.0,1233655255,Mandosil,127.11,10.59
347_379925.0,2678384559,Amthi,5.58,0.47
347_379724.0,2678384559,Amthi,30.75,2.56
347_379918.0,2663786461,Bilaspur,98.64,8.22
347_379920.0,8836174147,Saldihi,59.02,4.92
347_379913.0,2678384559,Amthi,57.8,4.82
347_379793.0,4785717184,Mithapali,43.58,3.63
347_379914.0,8836174147,Saldihi,65.11,5.43
347_379780.0,1233655255,Mandosil,31.36,2.61
347_379797.0,2136128150,Bartunda,79.2,6.6
347_379782.0,2136128150,Bartunda,19.86,1.65
347_379796.0,2136128150,Bartunda,63.31,5.28
347_379788.0,4785717184,Mithapali,26.75,2.23
347_379924.0,4435342748,Mandiadhipa,5.27,0.44
347_379915.0,8836174147,Saldihi,50.41,4.2
347_379769.0,4785717184,Mithapali,18.99,1.58
347_379764.0,6662153516,Paikmal,9.14,0.76
347_379787.0,4785717184,Mithapali,22.8,1.9
347_379762.0,6662153516,Paikmal,39.52,3.29
347_379911.0,3545782686,Jharbandh,41.52,3.46
347_379906.0,4843745227,Bijadol,40.06,3.34
347_379786.0,4785717184,Mithapali,35.49,2.96
347_379767.0,6662153516,Paikmal,41.34,3.44
347_379719.0,2357723887,Chhetgaon,1.39,0.12
347_379772.0,2357723887,Chhetgaon,40.49,3.37
347_379916.0,8836174147,Saldihi,26.91,2.24
347_379773.0,2357723887,Chhetgaon,14.43,1.2
347_379766.0,6662153516,Paikmal,31.74,2.65
347_379897.0,4843745227,Bijadol,22.75,1.9
347_379720.0,2357723887,Chhetgaon,14.99,1.25
347_379718.0,2357723887,Chhetgaon,86.59,7.22
347_379722.0,4435342748,Mandiadhipa,31.82,2.65
347_379917.0,2663786461,Bilaspur,6.5,0.54
347_379902.0,2663786461,Bilaspur,66.64,5.55
347_379908.0,3545782686,Jharbandh,12.6,1.05
347_379926.0,2678384559,Amthi,17.37,1.45
347_379923.0,2678384559,Amthi,22.37,1.86
347_379922.0,8836174147,Saldihi,31.79,2.65
347_379927.0,2678384559,Amthi,21.66,1.81
347_379904.0,8836174147,Saldihi,64.51,5.38
347_379903.0,8836174147,Saldihi,110.18,9.18
347_379905.0,4843745227,Bijadol,63.16,5.26
347_379907.0,3545782686,Jharbandh,9.73,0.81
