village_id,facility_nin,facility_name,travel_time_min,distance_km
349_417863.0,2378185744,Nuapali,61.25,5.1
349_417861.0,2378185744,Nuapali,99.41,8.28
349_417864.0,2378185744,Nuapali,53.45,4.45
349_417862.0,2378185744,Nuapali,78.86,6.57
349_417868.0,4162517512,Masinagora,71.43,5.95
349_417877.0,4162517512,Masinagora,14.64,1.22
349_417866.0,4162517512,Masinagora,86.75,7.23
349_417869.0,4162517512,Masinagora,56.45,4.7
349_417875.0,4162517512,Masinagora,28.39,2.37
349_417884.0,4162517512,Masinagora,108.62,9.05
349_417870.0,4162517512,Masinagora,61.03,5.09
349_417880.0,4162517512,Masinagora,63.81,5.32
349_417859.0,2378185744,Nuapali,44.04,3.67
349_417858.0,2378185744,Nuapali,37.01,3.08
349_417848.0,6822748148,Ambagoan,42.44,3.54
349_417867.0,2378185744,Nuapali,85.69,7.14
349_417881.0,4162517512,Masinagora,62.79,5.23
349_417847.0,1415141637,Uden,27.2,2.27
349_417845.0,1415141637,Uden,38.13,3.18
349_417846.0,8565427864,Uma,32.13,2.68
349_417872.0,4162517512,Masinagora,192.62,16.05
349_417882.0,4162517512,Masinagora,86.07,7.17
349_417871.0,4162517512,Masinagora,68.64,5.72
349_417873.0,4162517512,Masinagora,45.88,3.82
349_417879.0,4162517512,Masinagora,46.79,3.9
349_417883.0,4162517512,Masinagora,72.66,6.06
349_417874.0,4162517512,Masinagora,40.81,3.4
349_417865.0,2378185744,Nuapali,65.14,5.43
349_417850.0,4162517512,Masinagora,19.64,1.64
349_417885.0,8565427864,Uma,19.31,1.61
349_417876.0,4162517512,Masinagora,32.11,2.68
349_417853.0,4162517512,Masinagora,50.09,4.17
349_417851.0,4162517512,Masinagora,26.94,2.24
349_417849.0,8565427864,Uma,35.17,2.93
349_417854.0,6822748148,Ambagoan,28.18,2.35
349_417857.0,6822748148,Ambagoan,61.08,5.09
349_417852.0,6822748148,Ambagoan,31.73,2.64
349_417856.0,6822748148,Ambagoan,31.64,2.64
349_417855.0,6822748148,Ambagoan,17.45,1.45
349_417820.0,6822748148,Ambagoan,5.88,0.49
349_417878.0,4162517512,Masinagora,2.46,0.2
349_417814.0,2378185744,Nuapali,37.85,3.15
349_417811.0,1761251246,Ghantapada,28.47,2.37
349_417785.0,1761251246,Ghantapada,45.58,3.8
349_417824.0,1761251246,Ghantapada,46.68,3.89
349_417817.0,2378185744,Nuapali,28.96,2.41
349_417815.0,2378185744,Nuapali,58.02,4.83
349_417829.0,1415141637,Uden,40.49,3.37
