village_id,facility_nin,facility_name,travel_time_min,distance_km
350_400349.0,4347574651,Sarana,0.0,0.0
350_400351.0,4347574651,Sarana,0.0,0.0
350_400346.0,4347574651,Sarana,0.0,0.0
350_400347.0,4347574651,Sarana,0.0,0.0
350_400352.0,4347574651,Sarana,0.0,0.0
350_400350.0,4347574651,Sarana,0.0,0.0
350_400321.0,4347574651,Sarana,0.0,0.0
350_400348.0,4347574651,Sarana,0.0,0.0
350_400320.0,4347574651,Sarana,0.0,0.0
350_400355.0,4347574651,Sarana,0.0,0.0
350_400359.0,4347574651,Sarana,0.0,0.0
350_400361.0,4347574651,Sarana,0.0,0.0
350_400340.0,4347574651,Sarana,0.0,0.0
350_400360.0,4347574651,Sarana,0.0,0.0
350_400373.0,4347574651,Sarana,0.0,0.0
350_400370.0,4347574651,Sarana,0.0,0.0
350_400337.0,4347574651,Sarana,0.0,0.0
350_400358.0,4347574651,Sarana,0.0,0.0
350_400336.0,4347574651,Sarana,0.0,0.0
350_400339.0,4347574651,Sarana,0.0,0.0
350_400341.0,4347574651,Sarana,0.0,0.0
350_400357.0,4347574651,Sarana,0.0,0.0
350_400380.0,4347574651,Sarana,0.0,0.0
350_400372.0,4347574651,Sarana,0.0,0.0
350_400379.0,4454851744,Puruna Betenda,10.11,0.84
350_400382.0,4347574651,Sarana,0.0,0.0
350_400381.0,4347574651,Sarana,0.0,0.0
350_400374.0,4347574651,Sarana,0.0,0.0
350_400385.0,4347574651,Sarana,0.0,0.0
350_400386.0,4347574651,Sarana,0.0,0.0
350_400387.0,4347574651,Sarana,0.0,0.0
350_400388.0,4454851744,Puruna Betenda,16.14,1.35
350_400383.0,4347574651,Sarana,0.0,0.0
350_400384.0,4347574651,Sarana,0.0,0.0
350_400389.0,4454851744,Puruna Betenda,12.89,1.07
350_400390.0,4454851744,Puruna Betenda,24.67,2.06
350_400369.0,4347574651,Sarana,0.0,0.0
350_400368.0,4347574651,Sarana,0.0,0.0
350_400335.0,4347574651,Sarana,0.0,0.0
350_400367.0,4347574651,Sarana,0.0,0.0
350_400375.0,4347574651,Sarana,0.0,0.0
350_400362.0,4347574651,Sarana,0.0,0.0
350_400365.0,4347574651,Sarana,0.0,0.0
350_400363.0,4347574651,Sarana,0.0,0.0
350_400344.0,4347574651,Sarana,0.0,0.0
350_400377.0,4347574651,Sarana,0.0,0.0
350_400376.0,4347574651,Sarana,0.0,0.0
350_400378.0,4347574651,Sarana,0.0,0.0
350_400366.0,4347574651,Sarana,0.0,0.0
350_400354.0,4347574651,Sarana,0.0,0.0
350_400353.0,4347574651,Sarana,0.0,0.0
350_400338.0,4347574651,Sarana,0.0,0.0
350_400356.0,4347574651,Sarana,0.0,0.0
350_400342.0,4347574651,Sarana,0.0,0.0
350_400345.0,4347574651,Sarana,0.0,0.0
350_400343.0,4347574651,Sarana,0.0,0.0
350_400331.0,4347574651,Sarana,0.0,0.0
350_400371.0,4347574651,Sarana,0.0,0.0
350_400364.0,4347574651,Sarana,0.0,0.0
350_398433.0,6184714449,Kamaladihi,17.86,1.49
350_398514.0,1738648177,Badabhumi,0.0,0.0
350_398483.0,7433785172,Kokalaba,60.12,5.01
350_398461.0,5438348525,Saradapur,27.0,2.25
350_398471.0,5438348525,Saradapur,11.42,0.95
350_398482.0,7433785172,Kokalaba,44.86,3.74
350_398453.0,5438348525,Saradapur,10.3,0.86
350_398528.0,7433785172,Kokalaba,10.66,0.89
350_398491.0,7433785172,Kokalaba,38.1,3.17
350_398496.0,7433785172,Kokalaba,3.16,0.26
350_398436.0,3162821122,Ragada,36.29,3.02
350_398458.0,3162821122,Ragada,18.31,1.53
350_398492.0,7433785172,Kokalaba,12.84,1.07
350_398493.0,7433785172,Kokalaba,17.29,1.44
350_398469.0,5438348525,Saradapur,50.78,4.23
350_398448.0,3162821122,Ragada,15.07,1.26
350_398480.0,7433785172,Kokalaba,65.17,5.43
350_398511.0,7433785172,Kokalaba,40.68,3.39
350_398530.0,2362411221,Kakudia,3.81,0.32
350_398447.0,3162821122,Ragada,21.74,1.81
350_398459.0,5438348525,Saradapur,1.41,0.12
350_398485.0,7433785172,Kokalaba,55.22,4.6
350_398494.0,7433785172,Kokalaba,21.46,1.79
350_398502.0,7433785172,Kokalaba,6.64,0.55
350_398443.0,6184714449,Kamaladihi,0.0,0.0
350_398498.0,2362411221,Kakudia,0.0,0.0
350_398500.0,7127112170,Narasinghapur,31.92,2.66
350_398510.0,7433785172,Kokalaba,27.98,2.33
350_398451.0,5438348525,Saradapur,7.43,0.62
350_398472.0,8362747142,Ranasinghapur,77.55,6.46
350_398497.0,2362411221,Kakudia,72.49,6.04
350_398446.0,3162821122,Ragada,52.17,4.35
350_398464.0,5438348525,Saradapur,14.49,1.21
350_398441.0,6184714449,Kamaladihi,28.78,2.4
350_398454.0,5438348525,Saradapur,6.81,0.57
350_398440.0,3162821122,Ragada,46.62,3.89
350_398474.0,5438348525,Saradapur,53.62,4.47
350_398513.0,7433785172,Kokalaba,43.57,3.63
350_398526.0,7127112170,Narasinghapur,22.07,1.84
350_398505.0,7433785172,Kokalaba,17.42,1.45
350_398479.0,7433785172,Kokalaba,58.01,4.83
350_398486.0,7433785172,Kokalaba,37.93,3.16
350_398442.0,6184714449,Kamaladihi,13.73,1.14
350_398489.0,7433785172,Kokalaba,34.57,2.88
350_398477.0,5438348525,Saradapur,59.27,4.94
350_398512.0,1738648177,Badabhumi,19.38,1.61
350_398490.0,7433785172,Kokalaba,48.62,4.05
350_398470.0,5438348525,Saradapur,34.58,2.88
350_398499.0,2362411221,Kakudia,71.17,5.93
350_398531.0,2362411221,Kakudia,5.86,0.49
350_398503.0,7433785172,Kokalaba,35.76,2.98
350_398478.0,5438348525,Saradapur,68.17,5.68
350_398488.0,7433785172,Kokalaba,28.28,2.36
350_398533.0,2362411221,Kakudia,11.83,0.99
350_398449.0,3162821122,Ragada,11.19,0.93
350_398439.0,3162821122,Ragada,25.23,2.1
350_398444.0,6184714449,Kamaladihi,35.17,2.93
350_398495.0,7584735182,Ghantapada,67.47,5.62
350_398487.0,7433785172,Kokalaba,20.42,1.7
350_398434.0,6184714449,Kamaladihi,19.49,1.62
350_398515.0,1738648177,Badabhumi,5.2,0.43
350_398445.0,6184714449,Kamaladihi,42.9,3.57
350_398484.0,7433785172,Kokalaba,64.28,5.36
350_398435.0,3162821122,Ragada,45.59,3.8
350_398465.0,5438348525,Saradapur,27.43,2.29
350_398463.0,5438348525,Saradapur,1.62,0.13
350_398457.0,3162821122,Ragada,13.04,1.09
350_398529.0,7127112170,Narasinghapur,36.0,3.0
350_398452.0,5438348525,Saradapur,10.3,0.86
350_398473.0,8362747142,Ranasinghapur,77.55,6.46
350_398437.0,3162821122,Ragada,36.29,3.02
350_398481.0,7433785172,Kokalaba,59.62,4.97
350_398476.0,5438348525,Saradapur,64.01,5.33
350_398450.0,3162821122,Ragada,17.15,1.43
350_398460.0,5438348525,Saradapur,0.95,0.08
350_398466.0,5438348525,Saradapur,33.58,2.8
350_398438.0,3162821122,Ragada,29.57,2.46
350_398501.0,7433785172,Kokalaba,25.97,2.16
350_398504.0,7433785172,Kokalaba,13.8,1.15
350_398527.0,7433785172,Kokalaba,13.64,1.14
350_398475.0,5438348525,Saradapur,50.56,4.21
350_398456.0,5438348525,Saradapur,2.02,0.17
350_398455.0,3162821122,Ragada,10.0,0.83
350_398467.0,5438348525,Saradapur,48.36,4.03
350_398468.0,5438348525,Saradapur,49.86,4.16
350_398462.0,5438348525,Saradapur,1.41,0.12
350_398799.0,7437148567,Sasanga,11.27,0.94
350_398800.0,7437148567,Sasanga,13.48,1.12
350_398945.0,3858337177,Anuari,4.81,0.4
350_398830.0,5451361223,Baideswar,30.06,2.5
350_398964.0,3858337177,Anuari,4.81,0.4
350_398853.0,1583588734,Puincha,3.39,0.28
350_398806.0,1244772784,Sanakhaman,4.14,0.35
350_398960.0,5451361223,Baideswar,30.06,2.5
350_398840.0,5551637217,Kalipoi,5.52,0.46
350_398958.0,5551637217,Kalipoi,0.27,0.02
350_398959.0,5451361223,Baideswar,30.06,2.5
350_398852.0,1583588734,Puincha,69.52,5.79
350_398963.0,3858337177,Anuari,5.42,0.45
350_398863.0,6748732358,Lemberi,16.5,1.38
350_398850.0,8442681428,Kalapathar,24.36,2.03
350_398826.0,3858337177,Anuari,0.54,0.04
350_398957.0,5451361223,Baideswar,30.06,2.5
350_398827.0,3858337177,Anuari,0.0,0.0
350_398824.0,5451361223,Baideswar,30.06,2.5
350_398952.0,3858337177,Anuari,2.13,0.18
350_398951.0,3858337177,Anuari,2.6,0.22
350_398825.0,6865433285,Jodum,35.37,2.95
350_398841.0,5551637217,Kalipoi,0.27,0.02
350_398849.0,5551637217,Kalipoi,0.27,0.02
350_398950.0,3858337177,Anuari,3.97,0.33
350_398823.0,5451361223,Baideswar,12.29,1.02
350_398851.0,1583588734,Puincha,97.74,8.15
350_398969.0,4585334289,Naraganga,0.0,0.0
350_398829.0,5451361223,Baideswar,30.06,2.5
350_398842.0,5551637217,Kalipoi,0.0,0.0
350_398865.0,6748732358,Lemberi,19.39,1.62
350_398965.0,1583588734,Puincha,102.49,8.54
350_398838.0,5551637217,Kalipoi,1.1,0.09
350_398943.0,3858337177,Anuari,4.81,0.4
350_398873.0,8442681428,Kalapathar,1.19,0.1
350_398847.0,5551637217,Kalipoi,1.1,0.09
350_398822.0,5451361223,Baideswar,17.24,1.44
350_398936.0,4373316878,Bangirisingha,5.6,0.47
350_398878.0,1583588734,Puincha,69.52,5.79
350_398858.0,6187854184,Kendupali,25.69,2.14
350_398860.0,6187854184,Kendupali,15.3,1.27
350_398954.0,3858337177,Anuari,2.6,0.22
350_398832.0,5451361223,Baideswar,27.87,2.32
350_398955.0,5451361223,Baideswar,30.06,2.5
350_398962.0,3858337177,Anuari,5.42,0.45
350_398856.0,1583588734,Puincha,6.27,0.52
350_398966.0,1583588734,Puincha,145.61,12.13
350_398947.0,3858337177,Anuari,4.81,0.4
350_398854.0,8442681428,Kalapathar,31.81,2.65
350_398828.0,5451361223,Baideswar,30.06,2.5
350_398820.0,5451361223,Baideswar,4.25,0.35
350_398871.0,6748732358,Lemberi,11.29,0.94
350_398861.0,1583588734,Puincha,6.5,0.54
350_398859.0,6187854184,Kendupali,27.41,2.28
350_398844.0,5551637217,Kalipoi,0.0,0.0
350_398836.0,5551637217,Kalipoi,0.0,0.0
350_398837.0,5551637217,Kalipoi,0.27,0.02
350_398848.0,5551637217,Kalipoi,1.1,0.09
350_398845.0,5551637217,Kalipoi,1.1,0.09
350_398839.0,5551637217,Kalipoi,4.7,0.39
