village_id,facility_nin,facility_name,travel_time_min,distance_km
351_383442.0,8646182645,Tarang,245.9,20.49
351_383440.0,8646182645,Tarang,51.73,4.31
351_383444.0,8646182645,Tarang,240.43,20.03
351_383443.0,8646182645,Tarang,245.9,20.49
351_383446.0,8646182645,Tarang,0.0,0.0
351_383441.0,8646182645,Tarang,245.29,20.44
351_383277.0,2247728732,Rengalbeda,1.64,0.14
351_383256.0,4135211334,Dudhianali,9.29,0.77
351_383276.0,4135211334,Dudhianali,9.75,0.81
351_383257.0,4135211334,Dudhianali,9.29,0.77
351_383258.0,4135211334,Dudhianali,9.46,0.79
351_382689.0,4135211334,Dudhianali,3.06,0.25
351_382691.0,3886514375,Tileibani,0.0,0.0
351_382690.0,4135211334,Dudhianali,1.28,0.11
351_382687.0,4826423347,Kendeijuri,46.88,3.91
351_382688.0,3886514375,Tileibani,0.0,0.0
351_382684.0,3886514375,Tileibani,0.0,0.0
351_382693.0,3886514375,Tileibani,0.0,0.0
351_382694.0,7168868524,Tainsar,0.0,0.0
351_382685.0,4826423347,Kendeijuri,46.88,3.91
351_383278.0,4135211334,Dudhianali,9.75,0.81
351_383308.0,4135211334,Dudhianali,25.89,2.16
351_383306.0,4135211334,Dudhianali,27.46,2.29
351_383305.0,4135211334,Dudhianali,1.78,0.15
351_383348.0,4135211334,Dudhianali,45.66,3.8
351_383254.0,4135211334,Dudhianali,3.06,0.25
351_383304.0,4135211334,Dudhianali,16.27,1.36
351_383295.0,2752746848,Kansar,11.88,0.99
351_383288.0,2752746848,Kansar,22.33,1.86
351_383284.0,4135211334,Dudhianali,35.78,2.98
351_383246.0,4826423347,Kendeijuri,23.8,1.98
351_383287.0,2752746848,Kansar,29.21,2.43
351_383245.0,2752746848,Kansar,46.72,3.89
351_383286.0,2752746848,Kansar,49.23,4.1
351_383285.0,4135211334,Dudhianali,38.54,3.21
351_383247.0,4135211334,Dudhianali,35.31,2.94
351_383296.0,2752746848,Kansar,17.01,1.42
351_383297.0,2752746848,Kansar,25.0,2.08
351_383298.0,2752746848,Kansar,36.37,3.03
351_383299.0,2752746848,Kansar,36.57,3.05
351_383301.0,2752746848,Kansar,47.73,3.98
351_383300.0,2752746848,Kansar,44.08,3.67
351_383303.0,4135211334,Dudhianali,19.33,1.61
351_383279.0,4135211334,Dudhianali,2.22,0.18
351_383281.0,4135211334,Dudhianali,10.3,0.86
351_383280.0,4135211334,Dudhianali,3.58,0.3
351_383302.0,4135211334,Dudhianali,42.99,3.58
351_383282.0,4135211334,Dudhianali,14.04,1.17
351_383283.0,4135211334,Dudhianali,26.06,2.17
351_383255.0,4135211334,Dudhianali,3.71,0.31
351_383248.0,4826423347,Kendeijuri,39.72,3.31
351_383250.0,4826423347,Kendeijuri,46.88,3.91
351_382686.0,4826423347,Kendeijuri,46.88,3.91
351_383252.0,4135211334,Dudhianali,26.92,2.24
351_383253.0,4135211334,Dudhianali,23.85,1.99
351_383235.0,4826423347,Kendeijuri,29.3,2.44
351_383224.0,4826423347,Kendeijuri,0.0,0.0
351_383225.0,4826423347,Kendeijuri,0.0,0.0
351_383234.0,4826423347,Kendeijuri,28.74,2.4
351_383244.0,4826423347,Kendeijuri,57.8,4.82
351_383228.0,4826423347,Kendeijuri,0.0,0.0
351_383232.0,4826423347,Kendeijuri,0.0,0.0
351_383226.0,4826423347,Kendeijuri,17.85,1.49
351_383227.0,4826423347,Kendeijuri,17.85,1.49
351_383233.0,4826423347,Kendeijuri,15.03,1.25
351_383237.0,4826423347,Kendeijuri,29.3,2.44
351_383239.0,4826423347,Kendeijuri,0.0,0.0
351_383238.0,4826423347,Kendeijuri,29.3,2.44
351_383240.0,1133272136,Sodo,0.0,0.0
351_383241.0,1133272136,Sodo,0.0,0.0
351_383242.0,4826423347,Kendeijuri,58.48,4.87
351_383236.0,4826423347,Kendeijuri,29.3,2.44
351_383243.0,4826423347,Kendeijuri,58.48,4.87
351_383292.0,1133272136,Sodo,0.0,0.0
351_383291.0,1133272136,Sodo,0.0,0.0
351_383290.0,1133272136,Sodo,0.0,0.0
351_383293.0,1133272136,Sodo,0.0,0.0
351_383342.0,2752746848,Kansar,20.06,1.67
351_383343.0,2752746848,Kansar,20.06,1.67
351_383344.0,2752746848,Kansar,16.7,1.39
351_383289.0,1133272136,Sodo,0.0,0.0
351_383349.0,4135211334,Dudhianali,45.66,3.8
351_383347.0,2752746848,Kansar,21.1,1.76
351_383346.0,2752746848,Kansar,20.06,1.67
351_383345.0,2752746848,Kansar,16.21,1.35
351_383259.0,7168868524,Tainsar,0.0,0.0
351_382692.0,7168868524,Tainsar,0.0,0.0
351_383249.0,4826423347,Kendeijuri,39.94,3.33
351_383251.0,4135211334,Dudhianali,34.77,2.9
351_383294.0,1133272136,Sodo,13.51,1.13
351_383416.0,8646182645,Tarang,70.74,5.9
351_383436.0,8646182645,Tarang,70.74,5.9
351_383434.0,8646182645,Tarang,70.14,5.85
351_383433.0,8646182645,Tarang,64.68,5.39
351_383437.0,8646182645,Tarang,70.74,5.9
351_383439.0,8646182645,Tarang,58.74,4.9
351_383438.0,8646182645,Tarang,66.83,5.57
351_383432.0,1122726266,Reamal,14.7,1.22
351_383419.0,1122726266,Reamal,14.7,1.22
351_383411.0,1122726266,Reamal,14.7,1.22
351_383412.0,1122726266,Reamal,14.7,1.22
351_383420.0,1122726266,Reamal,14.7,1.22
351_383431.0,1122726266,Reamal,14.7,1.22
351_383428.0,1122726266,Reamal,14.7,1.22
351_383427.0,1221335662,Maleipada,13.84,1.15
351_383430.0,1122726266,Reamal,14.7,1.22
351_383429.0,1122726266,Reamal,14.7,1.22
351_383421.0,1122726266,Reamal,14.7,1.22
351_383409.0,1122726266,Reamal,2.16,0.18
351_383353.0,1122726266,Reamal,14.7,1.22
351_383356.0,1122726266,Reamal,1.64,0.14
351_383341.0,1844145787,Adas,39.87,3.32
351_383340.0,1844145787,Adas,23.52,1.96
351_383358.0,1122726266,Reamal,1.64,0.14
351_383417.0,8646182645,Tarang,70.44,5.87
351_383414.0,1122726266,Reamal,14.7,1.22
351_383350.0,1122726266,Reamal,14.7,1.22
