village_id,facility_nin,facility_name,travel_time_min,distance_km
352_403066.0,3867417424,Khajurikata,39.07,3.26
352_403067.0,3867417424,Khajurikata,32.26,2.69
352_403092.0,3867417424,Khajurikata,26.55,2.21
352_403093.0,8642876315,Khaliborei,139.89,11.66
352_403090.0,3867417424,Khajurikata,18.75,1.56
352_403091.0,2637387362,Rajmohanpur,0.56,0.05
352_403086.0,2637387362,Rajmohanpur,31.75,2.65
352_403085.0,3868443213,Madhapur,16.57,1.38
352_403084.0,3868443213,Madhapur,13.69,1.14
352_403150.0,8642876315,Khaliborei,132.94,11.08
352_403151.0,8642876315,Khaliborei,104.27,8.69
352_403149.0,3868443213,Madhapur,120.53,10.04
352_403334.0,3464633589,Ghatipiri,0.0,0.0
352_403328.0,4218827584,Bhaliabol kateni,57.14,4.76
352_403335.0,6868234532,Kottam,16.77,1.4
352_403336.0,6868234532,Kottam,0.0,0.0
352_403337.0,6868234532,Kottam,0.0,0.0
352_403341.0,3464633589,Ghatipiri,6.82,0.57
352_403342.0,3464633589,Ghatipiri,7.54,0.63
352_403339.0,3464633589,Ghatipiri,34.23,2.85
352_403338.0,3336675842,Kalanga,34.24,2.85
352_403388.0,3543646479,Manapur,26.48,2.21
352_403386.0,3336675842,Kalanga,54.06,4.5
352_403387.0,3543646479,Manapur,39.53,3.29
352_403385.0,3543646479,Manapur,50.14,4.18
352_403384.0,3254577780,Bhapur,55.97,4.66
352_403383.0,3254577780,Bhapur,55.63,4.64
352_403340.0,3464633589,Ghatipiri,20.72,1.73
352_403345.0,3254577780,Bhapur,3.94,0.33
352_403344.0,3464633589,Ghatipiri,0.0,0.0
352_403343.0,3464633589,Ghatipiri,0.0,0.0
352_403346.0,3254577780,Bhapur,0.0,0.0
352_403157.0,3336675842,Kalanga,10.43,0.87
352_403156.0,3543646479,Manapur,1.12,0.09
352_403155.0,3336675842,Kalanga,10.43,0.87
352_403153.0,8642876315,Khaliborei,8.12,0.68
352_403152.0,8642876315,Khaliborei,29.75,2.48
352_403147.0,3868443213,Madhapur,80.63,6.72
352_403146.0,3868443213,Madhapur,55.16,4.6
352_403145.0,8642876315,Khaliborei,41.92,3.49
352_403144.0,8642876315,Khaliborei,41.92,3.49
352_403154.0,3336675842,Kalanga,10.43,0.87
352_403143.0,8642876315,Khaliborei,36.09,3.01
352_403142.0,3828357420,Gandanali,34.38,2.87
352_403141.0,3828357420,Gandanali,18.14,1.51
352_403139.0,6868234532,Kottam,0.0,0.0
352_403140.0,3828357420,Gandanali,0.18,0.01
352_403137.0,3217511330,Naukiari,8.51,0.71
352_403138.0,3828357420,Gandanali,12.49,1.04
352_403148.0,3868443213,Madhapur,75.05,6.25
352_403324.0,3678148358,Koilipangi,54.08,4.51
352_403329.0,3678148358,Koilipangi,38.99,3.25
352_403330.0,3678148358,Koilipangi,21.39,1.78
352_403356.0,6868122489,Baliamba,27.17,2.26
352_403350.0,6868122489,Baliamba,27.52,2.29
352_403333.0,3254577780,Bhapur,0.0,0.0
352_403331.0,3254577780,Bhapur,13.3,1.11
352_403349.0,3678148358,Koilipangi,0.0,0.0
352_403332.0,3254577780,Bhapur,21.3,1.77
352_403347.0,4386545828,Chandrasekharprasad,47.69,3.97
352_403382.0,4386545828,Chandrasekharprasad,12.06,1.01
352_403348.0,4386545828,Chandrasekharprasad,37.75,3.15
