village_id,facility_nin,facility_name,travel_time_min,distance_km
353_414540.0,6437771345,Kashinagar,0.0,0.0
353_414530.0,6437771345,Kashinagar,54.94,4.58
353_414551.0,6647428355,Hadhubhangi,0.0,0.0
353_414554.0,6647428355,Hadhubhangi,0.0,0.0
353_414553.0,6647428355,Hadhubhangi,0.0,0.0
353_414555.0,6647428355,Hadhubhangi,0.0,0.0
353_414575.0,8228726462,Kharada,0.0,0.0
353_414537.0,1316631173,Kidigam,0.0,0.0
353_414546.0,1316631173,Kidigam,0.0,0.0
353_414535.0,1316631173,Kidigam,0.0,0.0
353_414536.0,1316631173,Kidigam,0.0,0.0
353_414445.0,6647428355,Hadhubhangi,0.0,0.0
353_414556.0,6647428355,Hadhubhangi,0.0,0.0
353_414574.0,6647428355,Hadhubhangi,0.0,0.0
353_414545.0,1316631173,Kidigam,0.0,0.0
353_414446.0,6647428355,Hadhubhangi,0.0,0.0
353_414541.0,6437771345,Kashinagar,0.0,0.0
353_414552.0,1316631173,Kidigam,0.0,0.0
353_414548.0,1316631173,Kidigam,0.0,0.0
353_414549.0,1316631173,Kidigam,0.0,0.0
353_414542.0,6437771345,Kashinagar,0.0,0.0
353_414557.0,6647428355,Hadhubhangi,0.0,0.0
353_250545.0,6662818449,Kortam,0.0,0.0
353_414444.0,6647428355,Hadhubhangi,0.0,0.0
353_414544.0,1316631173,Kidigam,0.0,0.0
353_414547.0,1316631173,Kidigam,0.0,0.0
353_414550.0,1316631173,Kidigam,0.0,0.0
353_414543.0,1316631173,Kidigam,0.0,0.0
353_414531.0,8548376139,Kitingi,0.0,0.0
353_414506.0,7121531540,Khandava,43.74,3.65
353_414526.0,8548376139,Kitingi,0.0,0.0
353_414534.0,8548376139,Kitingi,0.0,0.0
353_414514.0,8548376139,Kitingi,0.0,0.0
353_414523.0,8548376139,Kitingi,0.0,0.0
353_414426.0,8548376139,Kitingi,0.0,0.0
353_414442.0,6647428355,Hadhubhangi,0.0,0.0
353_414516.0,8548376139,Kitingi,0.0,0.0
353_414499.0,7121531540,Khandava,0.0,0.0
353_414508.0,6233121539,Gouri,0.98,0.08
353_414538.0,1316631173,Kidigam,0.0,0.0
353_414441.0,6647428355,Hadhubhangi,0.0,0.0
353_414428.0,8548376139,Kitingi,0.0,0.0
353_414507.0,6233121539,Gouri,13.64,1.14
353_414425.0,8548376139,Kitingi,0.0,0.0
353_414539.0,6437771345,Kashinagar,0.0,0.0
353_414443.0,6647428355,Hadhubhangi,0.0,0.0
353_414529.0,8548376139,Kitingi,75.44,6.29
353_414505.0,7121531540,Khandava,0.0,0.0
353_414528.0,8548376139,Kitingi,0.0,0.0
353_414527.0,8548376139,Kitingi,0.0,0.0
353_414520.0,8548376139,Kitingi,0.0,0.0
353_414438.0,8448133358,Munisingh,0.07,0.01
353_414525.0,8548376139,Kitingi,0.0,0.0
353_414518.0,8548376139,Kitingi,0.0,0.0
353_414427.0,8548376139,Kitingi,0.0,0.0
353_414502.0,7121531540,Khandava,0.0,0.0
353_414524.0,8548376139,Kitingi,0.0,0.0
353_414532.0,8548376139,Kitingi,0.0,0.0
353_414439.0,8448133358,Munisingh,0.07,0.01
353_414429.0,8448133358,Munisingh,0.0,0.0
353_414519.0,8548376139,Kitingi,0.0,0.0
353_414504.0,7121531540,Khandava,0.0,0.0
353_414422.0,8213773685,Sukei,6.02,0.5
353_414511.0,8548376139,Kitingi,0.0,0.0
353_414517.0,8548376139,Kitingi,0.0,0.0
353_414509.0,6233121539,Gouri,0.0,0.0
353_414384.0,8213773685,Sukei,5.76,0.48
353_414383.0,7121531540,Khandava,0.0,0.0
353_414386.0,8213773685,Sukei,5.76,0.48
353_414512.0,8548376139,Kitingi,0.0,0.0
353_414522.0,8548376139,Kitingi,0.0,0.0
353_414440.0,8448133358,Munisingh,0.07,0.01
353_414513.0,8548376139,Kitingi,0.0,0.0
353_414385.0,8548376139,Kitingi,0.0,0.0
353_414424.0,8213773685,Sukei,6.02,0.5
353_414430.0,8448133358,Munisingh,0.0,0.0
353_414521.0,8548376139,Kitingi,0.0,0.0
353_414423.0,8448133358,Munisingh,3.69,0.31
353_414533.0,8548376139,Kitingi,0.0,0.0
353_414510.0,6233121539,Gouri,0.0,0.0
353_414515.0,8548376139,Kitingi,0.0,0.0
353_414503.0,7121531540,Khandava,0.0,0.0
353_414566.0,8587821722,K Sitapur,30.4,2.53
353_414606.0,4674722378,Jeeba,2.0,0.17
353_414576.0,8228726462,Kharada,0.0,0.0
353_414602.0,4373766817,Sidhamadanga,107.81,8.98
353_414568.0,8587821722,K Sitapur,8.8,0.73
353_414611.0,8587821722,K Sitapur,31.6,2.63
353_414564.0,4373766817,Sidhamadanga,128.0,10.67
353_414608.0,8587821722,K Sitapur,36.99,3.08
353_414612.0,8587821722,K Sitapur,36.67,3.06
353_414573.0,6647428355,Hadhubhangi,0.0,0.0
353_414558.0,8587821722,K Sitapur,1.56,0.13
353_414622.0,4373766817,Sidhamadanga,14.56,1.21
353_414579.0,8587821722,K Sitapur,3.39,0.28
353_414615.0,4373766817,Sidhamadanga,6.14,0.51
353_414613.0,8587821722,K Sitapur,32.08,2.67
353_414578.0,8228726462,Kharada,0.0,0.0
353_414577.0,8228726462,Kharada,0.0,0.0
353_414614.0,4373766817,Sidhamadanga,24.19,2.02
353_414580.0,8587821722,K Sitapur,14.02,1.17
353_414572.0,6647428355,Hadhubhangi,0.0,0.0
353_414605.0,4373766817,Sidhamadanga,73.95,6.16
353_414569.0,8587821722,K Sitapur,7.08,0.59
353_414607.0,4373766817,Sidhamadanga,25.04,2.09
353_414567.0,8587821722,K Sitapur,8.8,0.73
353_414603.0,4373766817,Sidhamadanga,87.37,7.28
353_414570.0,8587821722,K Sitapur,1.56,0.13
353_414604.0,4373766817,Sidhamadanga,96.09,8.01
353_414571.0,8228726462,Kharada,0.0,0.0
353_414596.0,4373766817,Sidhamadanga,131.56,10.96
353_414594.0,4373766817,Sidhamadanga,131.56,10.96
353_414595.0,4373766817,Sidhamadanga,116.09,9.67
353_414563.0,4373766817,Sidhamadanga,128.31,10.69
353_414447.0,6647428355,Hadhubhangi,0.0,0.0
353_414610.0,4373766817,Sidhamadanga,106.69,8.89
