village_id,facility_nin,facility_name,travel_time_min,distance_km
354_413452.0,4376337244,Burtal,68.65,5.72
354_413451.0,4376337244,Burtal,130.39,10.87
354_413450.0,4376337244,Burtal,89.75,7.48
354_413447.0,6566386865,Tumba,9.7,0.81
354_413453.0,6566386865,Tumba,9.7,0.81
354_413443.0,6566386865,Tumba,5.29,0.44
354_413454.0,6566386865,Tumba,5.29,0.44
354_413455.0,6566386865,Tumba,5.29,0.44
354_413458.0,4376337244,Burtal,384.52,32.04
354_413456.0,4376337244,Burtal,289.42,24.12
354_413457.0,4376337244,Burtal,384.52,32.04
354_413444.0,6566386865,Tumba,5.29,0.44
354_413446.0,6566386865,Tumba,5.56,0.46
354_413459.0,6566386865,Tumba,2.01,0.17
354_413445.0,6566386865,Tumba,5.29,0.44
354_413387.0,4376337244,Burtal,32.05,2.67
354_413429.0,4376337244,Burtal,17.17,1.43
354_413449.0,4376337244,Burtal,38.62,3.22
354_413383.0,4376337244,Burtal,17.17,1.43
354_413381.0,4376337244,Burtal,17.25,1.44
354_413380.0,4376337244,Burtal,17.25,1.44
354_413382.0,4376337244,Burtal,17.25,1.44
354_413377.0,4376337244,Burtal,41.06,3.42
354_413431.0,4376337244,Burtal,34.66,2.89
354_413432.0,4376337244,Burtal,34.66,2.89
354_413384.0,4376337244,Burtal,17.25,1.44
354_413385.0,4376337244,Burtal,32.05,2.67
354_413434.0,4376337244,Burtal,9.07,0.76
354_413433.0,4376337244,Burtal,7.42,0.62
354_413430.0,4376337244,Burtal,0.0,0.0
354_413435.0,4376337244,Burtal,11.03,0.92
354_413448.0,4376337244,Burtal,37.6,3.13
354_413173.0,4376337244,Burtal,32.05,2.67
354_413106.0,1883873166,Jarada,10.69,0.89
354_413175.0,4376337244,Burtal,41.06,3.42
354_413174.0,4376337244,Burtal,32.05,2.67
354_413110.0,4376337244,Burtal,32.05,2.67
354_413107.0,1883873166,Jarada,10.69,0.89
354_413378.0,4376337244,Burtal,32.05,2.67
354_413109.0,1883873166,Jarada,10.69,0.89
354_413105.0,4376337244,Burtal,32.05,2.67
354_413171.0,1883873166,Jarada,10.69,0.89
354_413235.0,4376337244,Burtal,32.05,2.67
354_413111.0,4376337244,Burtal,41.06,3.42
354_413232.0,4376337244,Burtal,32.05,2.67
354_413231.0,4376337244,Burtal,41.06,3.42
354_413354.0,4376337244,Burtal,32.05,2.67
354_413172.0,4376337244,Burtal,32.05,2.67
354_413113.0,4376337244,Burtal,32.05,2.67
354_413355.0,4376337244,Burtal,41.06,3.42
354_413234.0,4376337244,Burtal,41.06,3.42
354_413112.0,4376337244,Burtal,32.05,2.67
354_413170.0,4376337244,Burtal,41.06,3.42
354_413176.0,4376337244,Burtal,41.06,3.42
354_413233.0,4376337244,Burtal,32.05,2.67
354_413379.0,4376337244,Burtal,17.25,1.44
354_413353.0,4376337244,Burtal,32.05,2.67
354_413351.0,4376337244,Burtal,31.96,2.66
354_413352.0,4376337244,Burtal,32.05,2.67
354_413271.0,1883873166,Jarada,8.75,0.73
354_413365.0,1883873166,Jarada,26.6,2.22
354_413343.0,6566386865,Tumba,49.57,4.13
354_413403.0,6566386865,Tumba,33.99,2.83
354_413309.0,1883873166,Jarada,25.52,2.13
354_413305.0,1883873166,Jarada,4.98,0.42
354_413345.0,1883873166,Jarada,49.82,4.15
354_413339.0,6566386865,Tumba,50.9,4.24
354_413439.0,3217621311,Ankuli,2.2,0.18
354_413406.0,6566386865,Tumba,18.31,1.53
354_413374.0,1883873166,Jarada,54.49,4.54
354_413373.0,1883873166,Jarada,34.54,2.88
354_413390.0,4376337244,Burtal,45.95,3.83
