village_id,facility_nin,facility_name,travel_time_min,distance_km
355_398183.0,1146635154,Sikhar,4.53,0.38
355_398129.0,3746432859,Nuagaon MC,0.0,0.0
355_398149.0,3746432859,Nuagaon MC,0.0,0.0
355_398185.0,7442385543,Bodal,11.13,0.93
355_398144.0,3746432859,Nuagaon MC,0.0,0.0
355_398147.0,3746432859,Nuagaon MC,0.0,0.0
355_398155.0,3746432859,Nuagaon MC,0.88,0.07
355_398130.0,3746432859,Nuagaon MC,0.0,0.0
355_398182.0,7442385543,Bodal,1.61,0.13
355_398161.0,3746432859,Nuagaon MC,0.0,0.0
355_398154.0,3746432859,Nuagaon MC,0.0,0.0
355_398148.0,3746432859,Nuagaon MC,0.0,0.0
355_398133.0,3746432859,Nuagaon MC,0.0,0.0
355_398156.0,1146635154,Sikhar,4.58,0.38
355_398150.0,3746432859,Nuagaon MC,0.0,0.0
355_398158.0,3746432859,Nuagaon MC,0.0,0.0
355_398106.0,3746432859,Nuagaon MC,0.0,0.0
355_398145.0,3746432859,Nuagaon MC,0.0,0.0
355_398152.0,3746432859,Nuagaon MC,0.0,0.0
355_398157.0,3746432859,Nuagaon MC,0.0,0.0
355_398153.0,3746432859,Nuagaon MC,0.0,0.0
355_398162.0,1146635154,Sikhar,4.58,0.38
355_398151.0,3746432859,Nuagaon MC,0.0,0.0
355_398160.0,3746432859,Nuagaon MC,0.0,0.0
355_398146.0,3746432859,Nuagaon MC,0.0,0.0
355_398132.0,3746432859,Nuagaon MC,0.0,0.0
355_398126.0,3746432859,Nuagaon MC,0.0,0.0
355_398127.0,3746432859,Nuagaon MC,0.0,0.0
355_398131.0,3746432859,Nuagaon MC,0.0,0.0
355_398159.0,3746432859,Nuagaon MC,0.0,0.0
355_398430.0,6354717875,Marchipur,14.78,1.23
355_398426.0,6354717875,Marchipur,23.83,1.99
355_398432.0,6354717875,Marchipur,79.81,6.65
355_398431.0,6354717875,Marchipur,12.03,1.0
355_398412.0,6354717875,Marchipur,20.64,1.72
355_398411.0,6354717875,Marchipur,35.94,2.99
355_398424.0,6354717875,Marchipur,42.81,3.57
355_398425.0,4638286171,Naharana,60.79,5.07
355_398410.0,6354717875,Marchipur,64.93,5.41
355_398413.0,4638286171,Naharana,33.33,2.78
355_398409.0,4652388663,Gadaharishipur,34.81,2.9
355_398429.0,4638286171,Naharana,97.94,8.16
355_398427.0,4638286171,Naharana,93.73,7.81
355_398428.0,4638286171,Naharana,82.4,6.87
355_398420.0,4638286171,Naharana,32.17,2.68
355_398385.0,1114264227,Machhagaon,0.0,0.0
355_398175.0,1114264227,Machhagaon,0.0,0.0
355_398176.0,5366838455,Deriki,6.76,0.56
355_398170.0,6645738243,Dabar,0.0,0.0
355_398163.0,1146635154,Sikhar,2.75,0.23
355_398142.0,1146635154,Sikhar,2.75,0.23
355_398307.0,6645738243,Dabar,12.75,1.06
355_398173.0,6645738243,Dabar,0.0,0.0
355_398377.0,6645738243,Dabar,26.72,2.23
355_398195.0,4118113614,Oskana,0.0,0.0
355_398378.0,6645738243,Dabar,3.34,0.28
355_398186.0,5366838455,Deriki,7.03,0.59
355_398196.0,1114264227,Machhagaon,0.0,0.0
355_398168.0,6645738243,Dabar,0.0,0.0
355_398285.0,6645738243,Dabar,0.0,0.0
355_398296.0,6645738243,Dabar,0.0,0.0
355_398166.0,5366838455,Deriki,6.83,0.57
355_398164.0,1146635154,Sikhar,1.15,0.1
355_398140.0,6645738243,Dabar,0.0,0.0
355_398194.0,1114264227,Machhagaon,0.0,0.0
355_398187.0,5366838455,Deriki,1.38,0.12
355_398340.0,6645738243,Dabar,0.0,0.0
355_398335.0,6645738243,Dabar,0.0,0.0
355_398184.0,7442385543,Bodal,17.3,1.44
355_398384.0,1114264227,Machhagaon,0.0,0.0
355_398386.0,7882631679,Tarasahi,0.0,0.0
355_398345.0,6645738243,Dabar,0.0,0.0
355_398302.0,6645738243,Dabar,0.0,0.0
355_398180.0,7442385543,Bodal,9.46,0.79
355_398387.0,7882631679,Tarasahi,0.0,0.0
355_398356.0,6645738243,Dabar,21.18,1.77
355_398333.0,6645738243,Dabar,12.75,1.06
355_398339.0,6645738243,Dabar,0.0,0.0
355_398300.0,6645738243,Dabar,0.0,0.0
355_398309.0,6645738243,Dabar,15.14,1.26
355_398298.0,6645738243,Dabar,0.0,0.0
355_398304.0,6645738243,Dabar,0.0,0.0
355_398306.0,6645738243,Dabar,12.75,1.06
355_398332.0,6645738243,Dabar,15.14,1.26
355_398336.0,6645738243,Dabar,2.42,0.2
355_398134.0,3746432859,Nuagaon MC,0.0,0.0
355_398141.0,1146635154,Sikhar,1.15,0.1
355_398138.0,6645738243,Dabar,0.0,0.0
355_398171.0,1114264227,Machhagaon,0.0,0.0
355_398192.0,1114264227,Machhagaon,0.0,0.0
355_398382.0,6645738243,Dabar,3.48,0.29
355_398178.0,7442385543,Bodal,10.63,0.89
355_398381.0,6645738243,Dabar,0.0,0.0
355_398379.0,6645738243,Dabar,0.0,0.0
355_398177.0,5366838455,Deriki,6.83,0.57
355_398348.0,6645738243,Dabar,0.0,0.0
355_398343.0,6645738243,Dabar,0.0,0.0
355_398331.0,6645738243,Dabar,15.14,1.26
355_398338.0,6645738243,Dabar,0.0,0.0
355_398419.0,1114264227,Machhagaon,0.0,0.0
355_398418.0,1114264227,Machhagaon,0.0,0.0
355_398188.0,4118113614,Oskana,8.97,0.75
355_398191.0,4118113614,Oskana,0.0,0.0
355_398143.0,1146635154,Sikhar,4.58,0.38
355_398358.0,6645738243,Dabar,21.18,1.77
355_398344.0,6645738243,Dabar,0.0,0.0
355_398169.0,6645738243,Dabar,0.0,0.0
355_398305.0,6645738243,Dabar,0.0,0.0
355_398383.0,1114264227,Machhagaon,0.0,0.0
355_398179.0,1146635154,Sikhar,3.35,0.28
355_398190.0,5366838455,Deriki,0.36,0.03
355_398181.0,7442385543,Bodal,10.37,0.86
355_398165.0,7442385543,Bodal,8.43,0.7
355_398349.0,6645738243,Dabar,0.0,0.0
355_398350.0,6645738243,Dabar,0.0,0.0
355_398137.0,6645738243,Dabar,0.0,0.0
355_398301.0,6645738243,Dabar,0.0,0.0
355_398135.0,6645738243,Dabar,0.0,0.0
355_398172.0,1114264227,Machhagaon,0.0,0.0
355_398136.0,6645738243,Dabar,0.0,0.0
355_398174.0,1114264227,Machhagaon,0.0,0.0
355_398380.0,6645738243,Dabar,0.0,0.0
