village_id,facility_nin,facility_name,travel_time_min,distance_km
356_401749.0,4312611538,Byree,0.0,0.0
356_401760.0,4312611538,Byree,0.0,0.0
356_401751.0,4312611538,Byree,0.0,0.0
356_401762.0,4312611538,Byree,0.0,0.0
356_401754.0,4312611538,Byree,0.0,0.0
356_401765.0,4312611538,Byree,0.0,0.0
356_401746.0,4312611538,Byree,0.0,0.0
356_401766.0,4312611538,Byree,0.0,0.0
356_401748.0,4312611538,Byree,0.0,0.0
356_401764.0,4312611538,Byree,0.0,0.0
356_401750.0,4312611538,Byree,0.0,0.0
356_401752.0,4312611538,Byree,0.0,0.0
356_401763.0,4312611538,Byree,0.0,0.0
356_401755.0,4312611538,Byree,0.0,0.0
356_401761.0,4312611538,Byree,0.0,0.0
356_401756.0,4312611538,Byree,0.0,0.0
356_401747.0,4312611538,Byree,0.0,0.0
356_401753.0,4312611538,Byree,0.0,0.0
356_401858.0,8181445449,Gadamadhupur,0.0,0.0
356_401850.0,8181445449,Gadamadhupur,0.0,0.0
356_401860.0,8181445449,Gadamadhupur,0.0,0.0
356_401851.0,8181445449,Gadamadhupur,0.0,0.0
356_401861.0,8181445449,Gadamadhupur,0.0,0.0
356_401849.0,8181445449,Gadamadhupur,0.0,0.0
356_401859.0,8181445449,Gadamadhupur,0.0,0.0
356_402081.0,5288458531,Badakainchi,0.0,0.0
356_401862.0,8181445449,Gadamadhupur,0.0,0.0
356_402085.0,5288458531,Badakainchi,0.0,0.0
356_402083.0,5288458531,Badakainchi,0.0,0.0
356_402082.0,5288458531,Badakainchi,0.0,0.0
356_402084.0,7323453840,Bangara,0.0,0.0
356_401637.0,7464674527,Samia,21.68,1.81
356_401636.0,7464674527,Samia,95.34,7.95
356_401635.0,7464674527,Samia,54.2,4.52
356_401634.0,7464674527,Samia,25.01,2.08
356_400521.0,6333111539,Chingudipal,37.76,3.15
356_400524.0,1121277535,Ransol,62.7,5.22
356_400426.0,3458148453,Manalpur,287.88,23.99
356_400455.0,2141411575,Haripur,8.49,0.71
