village_id,facility_nin,facility_name,travel_time_min,distance_km
357_381000.0,1111456644,Kiritmal,18.46,1.54
357_380999.0,1111461685,Muralipali,34.95,2.91
357_380997.0,1111462378,Sukhasoda,0.0,0.0
357_381002.0,1111456644,Kiritmal,4.24,0.35
357_380995.0,1111461776,Pithinda,39.83,3.32
357_380998.0,1111461685,Muralipali,48.09,4.01
357_380996.0,1111461685,Muralipali,3.42,0.29
357_380994.0,1111461776,Pithinda,21.77,1.81
357_380993.0,1111461776,Pithinda,20.23,1.69
357_380988.0,1111461776,Pithinda,40.09,3.34
357_381003.0,1111456644,Kiritmal,4.18,0.35
357_381004.0,1111461685,Muralipali,407.56,33.96
357_380970.0,1111454813,Bagmunda,1.1,0.09
357_381001.0,1111456644,Kiritmal,2.27,0.19
357_380991.0,1111461776,Pithinda,12.26,1.02
357_380992.0,1111461776,Pithinda,1.37,0.11
357_380974.0,1111462287,Samarbaga,0.0,0.0
357_380971.0,1111456438,Gumadera,0.0,0.0
357_380972.0,1111456438,Gumadera,0.0,0.0
357_380976.0,1111462287,Samarbaga,53.88,4.49
357_380975.0,1111462287,Samarbaga,0.0,0.0
357_380989.0,1111461776,Pithinda,40.23,3.35
357_380990.0,1111461776,Pithinda,29.1,2.43
357_380977.0,1111462287,Samarbaga,53.03,4.42
357_380952.0,1111456461,Kanaktora,56.58,4.72
357_380953.0,1111456461,Kanaktora,37.43,3.12
357_380987.0,1111456461,Kanaktora,52.21,4.35
357_380933.0,1111461479,Machida,2.1,0.17
357_380936.0,1111461479,Machida,42.75,3.56
357_380930.0,1111454664,Katapali,36.13,3.01
357_380966.0,1111462287,Samarbaga,0.0,0.0
357_380944.0,1111461479,Machida,20.32,1.69
357_380951.0,1111456461,Kanaktora,56.58,4.72
357_380929.0,1111454664,Katapali,31.27,2.61
357_380934.0,1111461479,Machida,16.65,1.39
357_380931.0,1111461479,Machida,44.57,3.71
357_380965.0,1111462287,Samarbaga,53.88,4.49
357_380967.0,1111462287,Samarbaga,0.0,0.0
357_380938.0,1111462287,Samarbaga,12.02,1.0
357_380942.0,1111462287,Samarbaga,53.58,4.47
357_380941.0,1111462287,Samarbaga,0.0,0.0
357_380973.0,1111462287,Samarbaga,0.0,0.0
357_380949.0,1111454664,Katapali,56.07,4.67
357_380960.0,1111461479,Machida,47.67,3.97
357_380961.0,1111461479,Machida,55.46,4.62
357_380948.0,1111454722,Palsada,17.48,1.46
357_380957.0,1111455836,Bhikampali,10.37,0.86
357_380945.0,1111461479,Machida,39.84,3.32
357_380937.0,1111461479,Machida,28.27,2.36
357_380928.0,1111454664,Katapali,15.27,1.27
357_380935.0,1111461479,Machida,75.33,6.28
357_380955.0,1111454664,Katapali,62.43,5.2
357_380964.0,1111462287,Samarbaga,53.88,4.49
357_380932.0,1111461479,Machida,19.11,1.59
357_380950.0,1111454664,Katapali,54.23,4.52
357_380983.0,1111454664,Katapali,62.43,5.2
357_380940.0,1111462287,Samarbaga,0.0,0.0
357_380943.0,1111462287,Samarbaga,35.25,2.94
