village_id,facility_nin,facility_name,travel_time_min,distance_km
358_424203.0,7525622150,Mangalpur,10.7,0.89
358_424219.0,7185386856,Sastuguda,29.84,2.49
358_424515.0,6873558271,Balisara,133.23,11.1
358_424220.0,7185386856,Sastuguda,3.0,0.25
358_424215.0,7714273682,Karanjiguda,26.11,2.18
358_424182.0,3281482749,Sargiguda,31.24,2.6
358_424218.0,7185386856,Sastuguda,61.09,5.09
358_424472.0,6873558271,Balisara,190.52,15.87
358_424201.0,7185386856,Sastuguda,42.56,3.55
358_424200.0,3281482749,Sargiguda,25.21,2.1
358_424516.0,6873558271,Balisara,133.23,11.1
358_424223.0,7185386856,Sastuguda,33.87,2.82
358_424474.0,6873558271,Balisara,190.52,15.87
358_424224.0,7185386856,Sastuguda,5.23,0.44
358_424471.0,6873558271,Balisara,190.52,15.87
358_424226.0,7185386856,Sastuguda,26.77,2.23
358_424225.0,7185386856,Sastuguda,26.77,2.23
358_424202.0,7525622150,Mangalpur,40.78,3.4
358_424222.0,7185386856,Sastuguda,54.45,4.54
358_424217.0,7525622150,Mangalpur,67.34,5.61
358_424221.0,7185386856,Sastuguda,28.22,2.35
358_424475.0,6873558271,Balisara,177.15,14.76
358_424476.0,6873558271,Balisara,177.07,14.76
358_424077.0,4173387335,Ampani,0.0,0.0
358_424008.0,3276456849,Ghantiguda,62.48,5.21
358_424154.0,2757864752,Bhainripali,31.02,2.58
358_424179.0,3141111389,Badpujhariguda,60.2,5.02
358_424199.0,5211381321,Badkarlakot,0.0,0.0
358_424183.0,3281482749,Sargiguda,25.1,2.09
358_424175.0,3874336237,Chachiguda,1.16,0.1
358_424187.0,5211381321,Badkarlakot,42.43,3.54
358_424147.0,3141111389,Badpujhariguda,35.92,2.99
358_424144.0,1521132835,Uchhula,33.99,2.83
358_424174.0,8581686816,Anlabhata,0.0,0.0
358_424180.0,3874336237,Chachiguda,49.35,4.11
358_424173.0,3281482749,Sargiguda,7.15,0.6
358_424152.0,2757864752,Bhainripali,7.43,0.62
358_424186.0,5211381321,Badkarlakot,42.43,3.54
358_424197.0,8867355813,Jaipatna,12.29,1.02
358_424181.0,3874336237,Chachiguda,48.42,4.04
358_424185.0,5211381321,Badkarlakot,0.0,0.0
358_424146.0,1521132835,Uchhula,45.92,3.83
358_424188.0,8867355813,Jaipatna,20.37,1.7
358_424150.0,5211381321,Badkarlakot,39.52,3.29
358_424156.0,4387266812,Bijmara,3.48,0.29
358_424155.0,4387266812,Bijmara,14.97,1.25
358_424151.0,3856882323,Chancharamal,59.08,4.92
358_424198.0,7525622150,Mangalpur,22.93,1.91
358_424184.0,5211381321,Badkarlakot,0.0,0.0
358_424071.0,4173387335,Ampani,1.11,0.09
358_424139.0,5771278776,Bandigaon,21.83,1.82
358_424138.0,2757864752,Bhainripali,36.77,3.06
358_424176.0,3874336237,Chachiguda,21.45,1.79
358_424189.0,4658627767,Baner,26.11,2.18
358_424172.0,5211381321,Badkarlakot,40.91,3.41
358_424145.0,3141111389,Badpujhariguda,24.53,2.04
358_424177.0,3141111389,Badpujhariguda,34.06,2.84
358_424149.0,3874336237,Chachiguda,34.18,2.85
358_424148.0,3141111389,Badpujhariguda,6.64,0.55
358_424171.0,4658627767,Baner,1.29,0.11
358_424153.0,4658627767,Baner,23.89,1.99
358_424142.0,1521132835,Uchhula,52.35,4.36
358_424078.0,3874336237,Chachiguda,51.74,4.31
358_424205.0,7714273682,Karanjiguda,12.82,1.07
358_424178.0,3874336237,Chachiguda,51.74,4.31
358_424119.0,1264376888,Chikili,366.5,30.54
358_424140.0,2757864752,Bhainripali,65.04,5.42
358_424058.0,2757864752,Bhainripali,58.13,4.85
358_424048.0,4288214820,Dudkathenga,0.0,0.0
358_424068.0,4181111578,Kendudongri,0.0,0.0
358_424098.0,3646364855,Ranmal,255.17,21.26
358_424084.0,5764865589,Badtemri,116.01,9.66
358_424049.0,4288214820,Dudkathenga,0.0,0.0
358_424046.0,4288214820,Dudkathenga,0.0,0.0
358_424043.0,3276456849,Ghantiguda,0.0,0.0
358_424120.0,4387266812,Bijmara,63.13,5.26
358_424030.0,3645444575,Phupgaon,0.0,0.0
358_424047.0,7411887339,Badpodaguda,0.0,0.0
358_424041.0,1132316637,Koksara,14.69,1.22
358_424053.0,1132316637,Koksara,0.0,0.0
358_424118.0,5771278776,Bandigaon,210.57,17.55
358_424045.0,3276456849,Ghantiguda,0.0,0.0
358_424055.0,4717343281,Gotomunda,3.01,0.25
358_424050.0,4181111578,Kendudongri,0.0,0.0
358_424062.0,1264376888,Chikili,11.5,0.96
358_424032.0,5133626217,Rengalpali,6.86,0.57
358_424067.0,4181111578,Kendudongri,12.91,1.08
358_424136.0,4387266812,Bijmara,34.11,2.84
358_424066.0,1521132835,Uchhula,54.1,4.51
358_424063.0,4181111578,Kendudongri,5.05,0.42
358_424072.0,7411887339,Badpodaguda,0.0,0.0
358_424121.0,4387266812,Bijmara,63.93,5.33
358_424054.0,4181111578,Kendudongri,5.05,0.42
358_424052.0,4181111578,Kendudongri,0.96,0.08
358_424096.0,3646364855,Ranmal,228.12,19.01
358_424070.0,4173387335,Ampani,1.91,0.16
358_424073.0,4173387335,Ampani,1.45,0.12
358_424069.0,1746682473,Kashibahal,0.0,0.0
358_424141.0,3856882323,Chancharamal,47.19,3.93
358_424059.0,1264376888,Chikili,7.21,0.6
358_424064.0,2284178437,Ladugaon,4.02,0.34
358_424061.0,1264376888,Chikili,22.02,1.84
358_424009.0,3276456849,Ghantiguda,17.58,1.46
358_424074.0,7411887339,Badpodaguda,0.0,0.0
358_424143.0,1521132835,Uchhula,0.31,0.03
358_424056.0,4717343281,Gotomunda,3.96,0.33
358_424065.0,2284178437,Ladugaon,11.21,0.93
358_424044.0,4288214820,Dudkathenga,0.0,0.0
358_424057.0,4717343281,Gotomunda,4.05,0.34
358_424033.0,1132316637,Koksara,0.0,0.0
358_424031.0,3645444575,Phupgaon,1.15,0.1
358_424085.0,3646364855,Ranmal,0.0,0.0
358_424029.0,5764865589,Badtemri,107.01,8.91
358_424036.0,1132316637,Koksara,0.0,0.0
358_424037.0,1132316637,Koksara,0.0,0.0
358_424097.0,3646364855,Ranmal,234.14,19.51
358_424137.0,2757864752,Bhainripali,42.79,3.57
358_424051.0,4181111578,Kendudongri,0.0,0.0
358_424060.0,1264376888,Chikili,2.21,0.18
358_423983.0,8832558756,Boden,22.12,1.84
358_423997.0,4881463535,Nandagaon,21.2,1.77
358_423989.0,2438475663,Chhanchanbahili,37.96,3.16
358_424083.0,5764865589,Badtemri,104.25,8.68
358_424017.0,2644317873,Mushapali,0.0,0.0
358_423994.0,4145577781,Tarapur,44.8,3.73
358_423981.0,8212252160,Ainlajore,0.74,0.06
358_424082.0,5764865589,Badtemri,18.66,1.55
358_424015.0,4631854777,Moter,0.0,0.0
358_424010.0,3276456849,Ghantiguda,0.0,0.0
358_423984.0,4881463535,Nandagaon,14.66,1.22
358_423992.0,3688227366,Parla,0.0,0.0
358_424001.0,2653477741,Jayantpur,0.0,0.0
