village_id,facility_nin,facility_name,travel_time_min,distance_km
359_417232.0,8244624576,Durgapanga,64.98,5.42
359_417231.0,8244624576,Durgapanga,76.0,6.33
359_417222.0,8244624576,Durgapanga,75.66,6.31
359_417193.0,8244624576,Durgapanga,63.95,5.33
359_417196.0,8244624576,Durgapanga,91.65,7.64
359_417195.0,7767534360,Radiguma,89.28,7.44
359_417233.0,8244624576,Durgapanga,23.1,1.92
359_417124.0,8244624576,Durgapanga,64.29,5.36
359_417228.0,8244624576,Durgapanga,0.49,0.04
359_417227.0,8244624576,Durgapanga,17.88,1.49
359_417192.0,8244624576,Durgapanga,64.55,5.38
359_417223.0,8244624576,Durgapanga,62.62,5.22
359_417194.0,7767534360,Radiguma,56.02,4.67
359_417230.0,8244624576,Durgapanga,48.66,4.05
359_417229.0,8244624576,Durgapanga,22.22,1.85
359_417234.0,8244624576,Durgapanga,32.97,2.75
359_417235.0,8244624576,Durgapanga,52.31,4.36
359_417226.0,8244624576,Durgapanga,32.09,2.67
359_417225.0,8244624576,Durgapanga,43.41,3.62
359_417224.0,8244624576,Durgapanga,46.23,3.85
359_417107.0,8561764740,Jhiripani,295.15,24.6
359_416972.0,7767534360,Radiguma,96.4,8.03
359_417118.0,8561764740,Jhiripani,295.24,24.6
359_417111.0,8561764740,Jhiripani,301.4,25.12
359_416978.0,7767534360,Radiguma,70.52,5.88
359_417093.0,3464267370,Bilamala,36.76,3.06
359_417092.0,3464267370,Bilamala,36.03,3.0
359_417122.0,7767534360,Radiguma,63.52,5.29
359_417100.0,7767534360,Radiguma,27.57,2.3
359_417123.0,7767534360,Radiguma,74.16,6.18
359_417091.0,3774866135,Tumudibandha,17.99,1.5
359_417189.0,7767534360,Radiguma,34.08,2.84
359_417121.0,7767534360,Radiguma,62.08,5.17
359_417115.0,8561764740,Jhiripani,295.24,24.6
359_417098.0,7767534360,Radiguma,26.95,2.25
359_417101.0,7767534360,Radiguma,27.57,2.3
359_417082.0,3774866135,Tumudibandha,16.77,1.4
359_416976.0,3464267370,Bilamala,35.11,2.93
359_417079.0,3464267370,Bilamala,36.03,3.0
359_416973.0,3464267370,Bilamala,70.61,5.88
359_417084.0,8561764740,Jhiripani,301.4,25.12
359_417103.0,7767534360,Radiguma,27.57,2.3
359_417086.0,8561764740,Jhiripani,301.4,25.12
359_416977.0,7767534360,Radiguma,80.25,6.69
359_417097.0,7767534360,Radiguma,27.57,2.3
359_417191.0,7767534360,Radiguma,62.08,5.17
359_417096.0,7767534360,Radiguma,53.05,4.42
359_417105.0,7767534360,Radiguma,26.95,2.25
359_417087.0,8561764740,Jhiripani,301.4,25.12
359_417110.0,8561764740,Jhiripani,301.4,25.12
359_416983.0,7767534360,Radiguma,41.96,3.5
359_417190.0,7767534360,Radiguma,21.81,1.82
359_417119.0,7767534360,Radiguma,61.69,5.14
359_417114.0,8561764740,Jhiripani,301.4,25.12
359_417095.0,7767534360,Radiguma,27.57,2.3
359_416982.0,7767534360,Radiguma,53.05,4.42
359_416975.0,3464267370,Bilamala,36.03,3.0
359_417102.0,7767534360,Radiguma,27.57,2.3
359_417106.0,8561764740,Jhiripani,301.4,25.12
359_417104.0,7767534360,Radiguma,70.52,5.88
359_417088.0,8561764740,Jhiripani,301.4,25.12
359_417094.0,7767534360,Radiguma,70.52,5.88
359_416974.0,7767534360,Radiguma,80.25,6.69
359_417080.0,3774866135,Tumudibandha,17.99,1.5
359_417113.0,8561764740,Jhiripani,295.15,24.6
359_417112.0,8561764740,Jhiripani,301.4,25.12
359_417099.0,7767534360,Radiguma,26.95,2.25
359_417116.0,8561764740,Jhiripani,295.15,24.6
359_417109.0,8561764740,Jhiripani,301.4,25.12
359_417085.0,8561764740,Jhiripani,301.4,25.12
359_417090.0,3774866135,Tumudibandha,17.99,1.5
359_417089.0,8561764740,Jhiripani,301.4,25.12
359_417117.0,8561764740,Jhiripani,295.24,24.6
359_417083.0,3774866135,Tumudibandha,16.77,1.4
359_417120.0,7767534360,Radiguma,17.87,1.49
359_417108.0,8561764740,Jhiripani,301.4,25.12
359_417056.0,8561764740,Jhiripani,0.51,0.04
359_417061.0,2764183444,Jalespata,0.0,0.0
359_417025.0,3762882243,Sunagaon,0.0,0.0
359_417067.0,3774866135,Tumudibandha,16.71,1.39
359_417028.0,3762882243,Sunagaon,0.0,0.0
359_417023.0,8561764740,Jhiripani,0.33,0.03
359_417036.0,3388337317,Mundigarh,0.0,0.0
359_416942.0,3388337317,Mundigarh,0.0,0.0
359_417070.0,2764183444,Jalespata,0.0,0.0
359_417066.0,3774866135,Tumudibandha,16.77,1.4
359_417050.0,8561764740,Jhiripani,0.0,0.0
359_417042.0,3388337317,Mundigarh,0.0,0.0
359_417075.0,3774866135,Tumudibandha,14.99,1.25
359_417049.0,8561764740,Jhiripani,0.33,0.03
359_417031.0,3388337317,Mundigarh,0.0,0.0
359_417073.0,2764183444,Jalespata,0.0,0.0
359_417065.0,3774866135,Tumudibandha,13.9,1.16
359_417069.0,2764183444,Jalespata,0.0,0.0
359_417058.0,3388337317,Mundigarh,0.0,0.0
359_417035.0,3388337317,Mundigarh,0.0,0.0
359_416960.0,2764183444,Jalespata,0.0,0.0
359_417045.0,8561764740,Jhiripani,0.0,0.0
359_417078.0,3774866135,Tumudibandha,16.77,1.4
359_417081.0,3774866135,Tumudibandha,16.77,1.4
359_417071.0,3774866135,Tumudibandha,14.99,1.25
359_417048.0,8561764740,Jhiripani,0.33,0.03
359_417024.0,8561764740,Jhiripani,0.33,0.03
359_416944.0,2764183444,Jalespata,1.0,0.08
359_417068.0,3774866135,Tumudibandha,17.99,1.5
359_416968.0,3464267370,Bilamala,49.04,4.09
359_416963.0,2764183444,Jalespata,0.0,0.0
359_417062.0,2764183444,Jalespata,0.0,0.0
359_417076.0,3774866135,Tumudibandha,16.77,1.4
359_417032.0,3388337317,Mundigarh,0.0,0.0
359_416964.0,3774866135,Tumudibandha,6.06,0.5
359_416940.0,3388337317,Mundigarh,0.0,0.0
359_416966.0,3464267370,Bilamala,20.65,1.72
359_417038.0,2764183444,Jalespata,0.0,0.0
359_417047.0,8561764740,Jhiripani,0.0,0.0
359_417037.0,3388337317,Mundigarh,0.0,0.0
359_417034.0,3388337317,Mundigarh,0.0,0.0
359_417077.0,3774866135,Tumudibandha,16.15,1.35
359_417054.0,8561764740,Jhiripani,2.68,0.22
359_417029.0,3762882243,Sunagaon,0.0,0.0
359_417026.0,3762882243,Sunagaon,0.0,0.0
359_416943.0,3388337317,Mundigarh,1.0,0.08
359_417021.0,3762882243,Sunagaon,0.0,0.0
359_416941.0,3388337317,Mundigarh,0.0,0.0
359_417059.0,2764183444,Jalespata,0.0,0.0
359_417072.0,2764183444,Jalespata,0.0,0.0
359_417053.0,8561764740,Jhiripani,0.51,0.04
359_417074.0,3774866135,Tumudibandha,14.99,1.25
359_416967.0,3464267370,Bilamala,48.63,4.05
359_416961.0,2764183444,Jalespata,0.0,0.0
359_417043.0,3388337317,Mundigarh,0.0,0.0
