village_id,facility_nin,facility_name,travel_time_min,distance_km
360_396839.0,2128517154,Palasudha,0.0,0.0
360_396846.0,2128517154,Palasudha,0.0,0.0
360_396835.0,2128517154,Palasudha,0.0,0.0
360_396844.0,2128517154,Palasudha,0.0,0.0
360_396833.0,2128517154,Palasudha,0.0,0.0
360_396834.0,2128517154,Palasudha,0.0,0.0
360_396838.0,2128517154,Palasudha,0.0,0.0
360_396843.0,2128517154,Palasudha,0.0,0.0
360_396836.0,2128517154,Palasudha,0.0,0.0
360_396840.0,2128517154,Palasudha,0.0,0.0
360_396847.0,2128517154,Palasudha,0.0,0.0
360_396841.0,2128517154,Palasudha,0.0,0.0
360_396837.0,2128517154,Palasudha,0.0,0.0
360_396842.0,2128517154,Palasudha,0.0,0.0
360_396867.0,6544872457,Naladia,0.0,0.0
360_396864.0,6544872457,Naladia,0.0,0.0
360_396866.0,6544872457,Naladia,0.0,0.0
360_396859.0,6544872457,Naladia,0.0,0.0
360_396869.0,6544872457,Naladia,0.0,0.0
360_396862.0,6544872457,Naladia,0.0,0.0
360_396863.0,6544872457,Naladia,0.0,0.0
360_396852.0,6544872457,Naladia,0.0,0.0
360_396851.0,6544872457,Naladia,0.0,0.0
360_396845.0,6544872457,Naladia,168.76,14.06
360_396855.0,6544872457,Naladia,0.0,0.0
360_396848.0,6544872457,Naladia,168.76,14.06
360_396865.0,6544872457,Naladia,0.0,0.0
360_396868.0,6544872457,Naladia,0.0,0.0
360_396860.0,6544872457,Naladia,0.0,0.0
360_396857.0,6544872457,Naladia,168.76,14.06
360_396861.0,6544872457,Naladia,0.0,0.0
360_396850.0,6544872457,Naladia,168.76,14.06
360_396849.0,6544872457,Naladia,168.76,14.06
360_396854.0,6544872457,Naladia,0.0,0.0
360_396856.0,6544872457,Naladia,0.0,0.0
360_396858.0,6544872457,Naladia,0.0,0.0
360_396749.0,6544872457,Naladia,0.0,0.0
360_396821.0,6544872457,Naladia,0.0,0.0
360_396827.0,2128517154,Palasudha,0.0,0.0
360_396825.0,6544872457,Naladia,0.0,0.0
360_396752.0,6544872457,Naladia,0.0,0.0
360_396751.0,6544872457,Naladia,0.0,0.0
360_396746.0,6544872457,Naladia,0.0,0.0
360_396750.0,6544872457,Naladia,0.0,0.0
360_396830.0,2128517154,Palasudha,0.0,0.0
360_396747.0,2128517154,Palasudha,0.0,0.0
360_396831.0,2128517154,Palasudha,0.0,0.0
360_396742.0,6544872457,Naladia,0.0,0.0
360_396832.0,2128517154,Palasudha,0.0,0.0
360_396743.0,6544872457,Naladia,0.0,0.0
360_396828.0,2128517154,Palasudha,0.0,0.0
360_396824.0,6544872457,Naladia,0.0,0.0
360_396826.0,6544872457,Naladia,0.0,0.0
360_396820.0,6544872457,Naladia,0.0,0.0
360_396829.0,2128517154,Palasudha,0.0,0.0
360_396819.0,6544872457,Naladia,0.0,0.0
360_396748.0,6544872457,Naladia,0.0,0.0
360_396745.0,6544872457,Naladia,0.0,0.0
360_396741.0,6544872457,Naladia,0.0,0.0
360_396465.0,6544872457,Naladia,0.0,0.0
360_396464.0,6544872457,Naladia,0.0,0.0
360_396457.0,5142512572,K.Belarapa,0.0,0.0
360_396467.0,6544872457,Naladia,0.0,0.0
360_396450.0,6544872457,Naladia,0.0,0.0
360_396444.0,5142512572,K.Belarapa,0.0,0.0
360_396452.0,6544872457,Naladia,0.0,0.0
360_396454.0,6544872457,Naladia,0.0,0.0
360_396446.0,5142512572,K.Belarapa,0.0,0.0
360_396445.0,5142512572,K.Belarapa,0.0,0.0
360_396468.0,6544872457,Naladia,0.0,0.0
360_396455.0,5142512572,K.Belarapa,0.0,0.0
360_396456.0,5142512572,K.Belarapa,0.0,0.0
360_396744.0,6544872457,Naladia,0.0,0.0
360_396463.0,6544872457,Naladia,0.0,0.0
360_396466.0,6544872457,Naladia,0.0,0.0
360_396447.0,5142512572,K.Belarapa,0.0,0.0
360_396448.0,5142512572,K.Belarapa,0.0,0.0
360_396453.0,5142512572,K.Belarapa,0.0,0.0
360_396458.0,5142512572,K.Belarapa,0.0,0.0
360_396443.0,5142512572,K.Belarapa,0.0,0.0
360_396438.0,5142512572,K.Belarapa,0.0,0.0
360_396459.0,6544872457,Naladia,0.0,0.0
360_396441.0,5142512572,K.Belarapa,0.0,0.0
360_396442.0,5142512572,K.Belarapa,0.0,0.0
360_396449.0,5142512572,K.Belarapa,0.0,0.0
360_396451.0,6544872457,Naladia,0.0,0.0
360_396774.0,6544872457,Naladia,0.0,0.0
360_396753.0,6544872457,Naladia,0.0,0.0
360_396766.0,6544872457,Naladia,0.0,0.0
360_396779.0,6544872457,Naladia,0.0,0.0
360_396493.0,6544872457,Naladia,0.0,0.0
360_396494.0,6544872457,Naladia,0.0,0.0
360_396731.0,6544872457,Naladia,0.0,0.0
360_396773.0,6544872457,Naladia,0.0,0.0
360_396500.0,6544872457,Naladia,0.0,0.0
360_396712.0,6544872457,Naladia,0.0,0.0
360_396462.0,6544872457,Naladia,0.0,0.0
360_396814.0,6544872457,Naladia,0.0,0.0
360_396477.0,6544872457,Naladia,0.0,0.0
360_396795.0,6544872457,Naladia,0.0,0.0
360_396805.0,6544872457,Naladia,0.0,0.0
360_396815.0,6544872457,Naladia,0.0,0.0
360_396722.0,6544872457,Naladia,0.0,0.0
360_396776.0,6544872457,Naladia,0.0,0.0
360_396734.0,6544872457,Naladia,0.0,0.0
360_396804.0,6544872457,Naladia,0.0,0.0
360_396728.0,6544872457,Naladia,0.0,0.0
360_396822.0,6544872457,Naladia,0.0,0.0
360_396853.0,6544872457,Naladia,0.0,0.0
360_396803.0,6544872457,Naladia,0.0,0.0
360_396764.0,6544872457,Naladia,0.0,0.0
360_396763.0,6544872457,Naladia,0.0,0.0
360_396727.0,6544872457,Naladia,0.0,0.0
360_396710.0,6544872457,Naladia,0.0,0.0
360_396704.0,6544872457,Naladia,0.0,0.0
360_396703.0,6544872457,Naladia,0.0,0.0
360_396715.0,6544872457,Naladia,0.0,0.0
360_396479.0,6544872457,Naladia,0.0,0.0
360_396736.0,6544872457,Naladia,0.0,0.0
360_396702.0,6544872457,Naladia,0.0,0.0
360_396491.0,6544872457,Naladia,0.0,0.0
360_396769.0,6544872457,Naladia,0.0,0.0
360_396472.0,6544872457,Naladia,0.0,0.0
360_396817.0,6544872457,Naladia,0.0,0.0
360_396755.0,6544872457,Naladia,0.0,0.0
360_396759.0,6544872457,Naladia,0.0,0.0
360_396823.0,6544872457,Naladia,0.0,0.0
360_396471.0,6544872457,Naladia,0.0,0.0
360_396709.0,6544872457,Naladia,0.0,0.0
360_396810.0,6544872457,Naladia,0.0,0.0
360_396807.0,6544872457,Naladia,0.0,0.0
360_396812.0,6544872457,Naladia,0.0,0.0
360_396818.0,6544872457,Naladia,0.0,0.0
360_396802.0,6544872457,Naladia,0.0,0.0
360_396796.0,6544872457,Naladia,0.0,0.0
360_396813.0,6544872457,Naladia,0.0,0.0
360_396809.0,6544872457,Naladia,0.0,0.0
360_396811.0,6544872457,Naladia,0.0,0.0
360_396798.0,6544872457,Naladia,0.0,0.0
360_396800.0,6544872457,Naladia,0.0,0.0
360_396806.0,6544872457,Naladia,0.0,0.0
360_396808.0,6544872457,Naladia,0.0,0.0
360_396484.0,6544872457,Naladia,0.0,0.0
360_396495.0,6544872457,Naladia,0.0,0.0
360_396701.0,6544872457,Naladia,0.0,0.0
360_396708.0,6544872457,Naladia,0.0,0.0
360_396816.0,6544872457,Naladia,0.0,0.0
360_396770.0,6544872457,Naladia,0.0,0.0
360_396756.0,6544872457,Naladia,0.0,0.0
360_396772.0,6544872457,Naladia,0.0,0.0
360_396483.0,6544872457,Naladia,0.0,0.0
360_396801.0,6544872457,Naladia,0.0,0.0
360_396765.0,6544872457,Naladia,0.0,0.0
360_396738.0,6544872457,Naladia,0.0,0.0
360_396729.0,6544872457,Naladia,0.0,0.0
360_396740.0,6544872457,Naladia,0.0,0.0
360_396726.0,6544872457,Naladia,0.0,0.0
360_396705.0,6544872457,Naladia,0.0,0.0
360_396762.0,6544872457,Naladia,0.0,0.0
360_396739.0,6544872457,Naladia,0.0,0.0
360_396733.0,6544872457,Naladia,0.0,0.0
360_396469.0,6544872457,Naladia,0.0,0.0
360_396501.0,6544872457,Naladia,0.0,0.0
360_396735.0,6544872457,Naladia,0.0,0.0
360_396754.0,6544872457,Naladia,0.0,0.0
360_396777.0,6544872457,Naladia,0.0,0.0
360_396732.0,6544872457,Naladia,0.0,0.0
360_396714.0,6544872457,Naladia,0.0,0.0
360_396778.0,6544872457,Naladia,0.0,0.0
360_396771.0,6544872457,Naladia,0.0,0.0
360_396775.0,6544872457,Naladia,0.0,0.0
360_396768.0,6544872457,Naladia,0.0,0.0
360_396780.0,6544872457,Naladia,0.0,0.0
360_396725.0,6544872457,Naladia,0.0,0.0
360_396470.0,6544872457,Naladia,0.0,0.0
360_396737.0,6544872457,Naladia,0.0,0.0
360_396723.0,6544872457,Naladia,0.0,0.0
360_396730.0,6544872457,Naladia,0.0,0.0
360_396724.0,6544872457,Naladia,0.0,0.0
360_396707.0,6544872457,Naladia,0.0,0.0
360_396706.0,6544872457,Naladia,0.0,0.0
360_396713.0,6544872457,Naladia,0.0,0.0
360_396485.0,6544872457,Naladia,0.0,0.0
360_396473.0,6544872457,Naladia,0.0,0.0
360_396478.0,6544872457,Naladia,0.0,0.0
360_396480.0,6544872457,Naladia,0.0,0.0
360_396492.0,6544872457,Naladia,0.0,0.0
360_396508.0,6544872457,Naladia,0.0,0.0
360_396489.0,6544872457,Naladia,0.0,0.0
360_396482.0,6544872457,Naladia,0.0,0.0
360_396711.0,6544872457,Naladia,0.0,0.0
360_396498.0,6544872457,Naladia,0.0,0.0
360_396499.0,6544872457,Naladia,0.0,0.0
360_396481.0,6544872457,Naladia,0.0,0.0
360_396461.0,6544872457,Naladia,0.0,0.0
360_396488.0,6544872457,Naladia,0.0,0.0
360_396460.0,6544872457,Naladia,0.0,0.0
360_396797.0,6544872457,Naladia,0.0,0.0
360_396757.0,6544872457,Naladia,0.0,0.0
360_396799.0,6544872457,Naladia,0.0,0.0
360_396496.0,6544872457,Naladia,0.0,0.0
360_396509.0,6544872457,Naladia,0.0,0.0
360_396487.0,6544872457,Naladia,0.0,0.0
360_396435.0,6544872457,Naladia,0.0,0.0
360_396497.0,6544872457,Naladia,0.0,0.0
360_396507.0,6544872457,Naladia,0.0,0.0
360_396486.0,6544872457,Naladia,0.0,0.0
360_396436.0,6544872457,Naladia,0.0,0.0
360_396758.0,6544872457,Naladia,0.0,0.0
360_396781.0,6544872457,Naladia,0.0,0.0
360_396767.0,6544872457,Naladia,0.0,0.0
360_396490.0,6544872457,Naladia,0.0,0.0
360_396474.0,6544872457,Naladia,0.0,0.0
360_396476.0,6544872457,Naladia,0.0,0.0
360_396475.0,6544872457,Naladia,0.0,0.0
360_396760.0,6544872457,Naladia,0.0,0.0
360_396761.0,6544872457,Naladia,0.0,0.0
360_396700.0,5142512572,K.Belarapa,0.0,0.0
360_396632.0,5142512572,K.Belarapa,0.0,0.0
360_396645.0,4751488539,Balisahi,0.0,0.0
360_396643.0,4751488539,Balisahi,0.0,0.0
360_396639.0,4751488539,Balisahi,0.0,0.0
360_396694.0,4751488539,Balisahi,0.0,0.0
360_396690.0,4751488539,Balisahi,0.0,0.0
360_396620.0,4751488539,Balisahi,0.0,0.0
360_396622.0,4751488539,Balisahi,0.0,0.0
360_396630.0,4751488539,Balisahi,0.0,0.0
360_396693.0,4751488539,Balisahi,0.0,0.0
360_396635.0,5142512572,K.Belarapa,0.0,0.0
360_396692.0,4751488539,Balisahi,0.0,0.0
360_396627.0,4751488539,Balisahi,0.0,0.0
360_396644.0,4751488539,Balisahi,0.0,0.0
360_396636.0,4751488539,Balisahi,0.0,0.0
360_396638.0,4751488539,Balisahi,0.0,0.0
360_396642.0,4751488539,Balisahi,0.0,0.0
360_396699.0,4751488539,Balisahi,0.0,0.0
360_396698.0,5142512572,K.Belarapa,0.0,0.0
360_396440.0,5142512572,K.Belarapa,0.0,0.0
360_396646.0,4751488539,Balisahi,0.0,0.0
360_396637.0,4751488539,Balisahi,0.0,0.0
360_396626.0,4751488539,Balisahi,0.0,0.0
360_396625.0,4751488539,Balisahi,0.0,0.0
360_396650.0,4751488539,Balisahi,0.0,0.0
360_396648.0,4751488539,Balisahi,0.0,0.0
360_396634.0,4751488539,Balisahi,0.0,0.0
360_396437.0,5142512572,K.Belarapa,0.0,0.0
360_396439.0,5142512572,K.Belarapa,0.0,0.0
360_396633.0,5142512572,K.Belarapa,0.0,0.0
360_396631.0,4751488539,Balisahi,0.0,0.0
360_396641.0,4751488539,Balisahi,0.0,0.0
360_396640.0,4751488539,Balisahi,0.0,0.0
360_396649.0,4751488539,Balisahi,0.0,0.0
360_396628.0,4751488539,Balisahi,0.0,0.0
360_396623.0,4751488539,Balisahi,0.0,0.0
360_396624.0,4751488539,Balisahi,0.0,0.0
360_396629.0,4751488539,Balisahi,0.0,0.0
360_396647.0,4751488539,Balisahi,0.0,0.0
360_396621.0,4751488539,Balisahi,0.0,0.0
360_396369.0,4177668243,Bhatapada,0.0,0.0
360_396656.0,4751488539,Balisahi,0.0,0.0
360_396609.0,4177668243,Bhatapada,0.0,0.0
360_396613.0,4751488539,Balisahi,0.0,0.0
360_396682.0,6544872457,Naladia,0.0,0.0
360_396415.0,6544872457,Naladia,0.0,0.0
360_396684.0,4751488539,Balisahi,0.0,0.0
360_396697.0,6544872457,Naladia,0.0,0.0
360_396376.0,4177668243,Bhatapada,0.0,0.0
360_396608.0,4177668243,Bhatapada,0.0,0.0
360_396660.0,4751488539,Balisahi,0.0,0.0
360_396430.0,6544872457,Naladia,0.0,0.0
360_396413.0,4177668243,Bhatapada,0.0,0.0
360_396617.0,4751488539,Balisahi,0.0,0.0
360_396594.0,4177668243,Bhatapada,0.0,0.0
360_396583.0,4177668243,Bhatapada,0.0,0.0
360_396592.0,4177668243,Bhatapada,0.0,0.0
360_396418.0,6544872457,Naladia,0.0,0.0
360_396417.0,6544872457,Naladia,0.0,0.0
360_396669.0,4751488539,Balisahi,0.0,0.0
360_396590.0,4751488539,Balisahi,0.0,0.0
360_396665.0,4751488539,Balisahi,0.0,0.0
360_396673.0,4177668243,Bhatapada,0.0,0.0
360_396371.0,4177668243,Bhatapada,0.0,0.0
360_396432.0,6544872457,Naladia,0.0,0.0
360_396420.0,6544872457,Naladia,0.0,0.0
360_396616.0,4751488539,Balisahi,0.0,0.0
360_396618.0,4751488539,Balisahi,0.0,0.0
360_396612.0,4751488539,Balisahi,0.0,0.0
360_396655.0,4751488539,Balisahi,0.0,0.0
360_396428.0,6544872457,Naladia,0.0,0.0
360_396607.0,4751488539,Balisahi,0.0,0.0
360_396661.0,4751488539,Balisahi,0.0,0.0
360_396414.0,4177668243,Bhatapada,0.0,0.0
360_396664.0,4751488539,Balisahi,0.0,0.0
360_396662.0,4751488539,Balisahi,0.0,0.0
360_396588.0,4751488539,Balisahi,0.0,0.0
360_396578.0,4177668243,Bhatapada,0.0,0.0
360_396409.0,4177668243,Bhatapada,0.0,0.0
360_396367.0,4177668243,Bhatapada,0.0,0.0
360_396657.0,4751488539,Balisahi,0.0,0.0
360_396584.0,4177668243,Bhatapada,0.0,0.0
360_396416.0,6544872457,Naladia,0.0,0.0
360_396426.0,6544872457,Naladia,0.0,0.0
360_396659.0,4751488539,Balisahi,0.0,0.0
360_396377.0,4177668243,Bhatapada,0.0,0.0
360_396560.0,4177668243,Bhatapada,0.0,0.0
360_396429.0,6544872457,Naladia,0.0,0.0
360_396610.0,4751488539,Balisahi,0.0,0.0
360_396593.0,4177668243,Bhatapada,0.0,0.0
360_396614.0,4751488539,Balisahi,0.0,0.0
360_396663.0,4751488539,Balisahi,0.0,0.0
360_396375.0,4177668243,Bhatapada,0.0,0.0
360_396676.0,6544872457,Naladia,0.0,0.0
360_396555.0,4751488539,Balisahi,0.0,0.0
360_396366.0,4177668243,Bhatapada,0.0,0.0
360_396689.0,4751488539,Balisahi,0.0,0.0
360_396421.0,6544872457,Naladia,0.0,0.0
360_396372.0,4177668243,Bhatapada,0.0,0.0
360_396551.0,4751488539,Balisahi,0.0,0.0
360_396683.0,4751488539,Balisahi,0.0,0.0
360_396695.0,4751488539,Balisahi,0.0,0.0
360_396427.0,6544872457,Naladia,0.0,0.0
360_396696.0,4751488539,Balisahi,0.0,0.0
360_396667.0,4751488539,Balisahi,0.0,0.0
360_396668.0,4751488539,Balisahi,0.0,0.0
360_396553.0,4751488539,Balisahi,0.0,0.0
360_396559.0,4177668243,Bhatapada,0.0,0.0
360_396502.0,6544872457,Naladia,0.0,0.0
360_396685.0,6544872457,Naladia,0.0,0.0
360_396422.0,4177668243,Bhatapada,0.0,0.0
360_396674.0,4177668243,Bhatapada,0.0,0.0
360_396425.0,6544872457,Naladia,0.0,0.0
360_396431.0,6544872457,Naladia,0.0,0.0
360_396671.0,4751488539,Balisahi,0.0,0.0
360_396687.0,4751488539,Balisahi,0.0,0.0
360_396433.0,6544872457,Naladia,0.0,0.0
360_396680.0,6544872457,Naladia,0.0,0.0
360_396434.0,6544872457,Naladia,0.0,0.0
360_396419.0,6544872457,Naladia,0.0,0.0
360_396688.0,4751488539,Balisahi,0.0,0.0
360_396679.0,6544872457,Naladia,0.0,0.0
360_396412.0,4177668243,Bhatapada,0.0,0.0
360_396411.0,4177668243,Bhatapada,0.0,0.0
360_396651.0,4751488539,Balisahi,0.0,0.0
360_396652.0,4751488539,Balisahi,0.0,0.0
360_396670.0,4177668243,Bhatapada,0.0,0.0
360_396368.0,4177668243,Bhatapada,0.0,0.0
