village_id,facility_nin,facility_name,travel_time_min,distance_km
361_387280.0,2514231147,Angurua,30.56,2.55
361_387315.0,2514231147,Angurua,17.17,1.43
361_387281.0,4613856873,Nandabar,0.0,0.0
361_387317.0,2514231147,Angurua,54.36,4.53
361_387319.0,2514231147,Angurua,41.4,3.45
361_387318.0,2514231147,Angurua,54.88,4.57
361_387316.0,2514231147,Angurua,30.22,2.52
361_387314.0,2514231147,Angurua,9.43,0.79
361_387324.0,2514231147,Angurua,10.13,0.84
361_387337.0,6322612521,Badapadana,23.26,1.94
361_387366.0,7334817637,Taruan,33.46,2.79
361_387368.0,7334817637,Taruan,33.5,2.79
361_387321.0,2514231147,Angurua,30.47,2.54
361_387323.0,2514231147,Angurua,7.77,0.65
361_387320.0,2514231147,Angurua,27.87,2.32
361_387336.0,6322612521,Badapadana,25.82,2.15
361_387322.0,2514231147,Angurua,27.72,2.31
361_387367.0,7334817637,Taruan,33.55,2.8
361_387326.0,6322612521,Badapadana,25.33,2.11
361_387325.0,2514231147,Angurua,24.85,2.07
361_387335.0,6322612521,Badapadana,15.05,1.25
361_387252.0,2516712656,Jambhara,5.33,0.44
361_387250.0,2516712656,Jambhara,18.04,1.5
361_387278.0,4626745865,Gedama,2.62,0.22
361_387248.0,2516712656,Jambhara,36.18,3.02
361_387233.0,2516712656,Jambhara,18.04,1.5
361_387267.0,6854755839,Salania,10.08,0.84
361_387273.0,4626745865,Gedama,5.68,0.47
361_387251.0,2516712656,Jambhara,0.0,0.0
361_387254.0,2516712656,Jambhara,24.1,2.01
361_387274.0,4626745865,Gedama,11.83,0.99
361_387268.0,4626745865,Gedama,16.89,1.41
361_387279.0,4626745865,Gedama,6.33,0.53
361_387272.0,4626745865,Gedama,5.36,0.45
361_387269.0,4626745865,Gedama,24.09,2.01
361_387270.0,4626745865,Gedama,18.25,1.52
361_387271.0,4626745865,Gedama,12.97,1.08
361_387275.0,4626745865,Gedama,16.66,1.39
361_387232.0,8528677142,Samana,52.02,4.33
361_387255.0,2516712656,Jambhara,36.18,3.02
361_387253.0,2516712656,Jambhara,12.01,1.0
361_387257.0,6854755839,Salania,14.27,1.19
361_387230.0,8528677142,Samana,24.75,2.06
361_387249.0,2516712656,Jambhara,46.88,3.91
361_387256.0,2516712656,Jambhara,36.18,3.02
361_387231.0,8528677142,Samana,37.59,3.13
361_387276.0,6854755839,Salania,15.3,1.28
361_387266.0,6854755839,Salania,2.77,0.23
361_387277.0,7255112422,Danar,0.0,0.0
361_387264.0,7255112422,Danar,0.0,0.0
361_386355.0,4532767771,Binjabahal,0.0,0.0
361_386357.0,4532767771,Binjabahal,0.0,0.0
361_386384.0,8474184127,Sirigida,18.14,1.51
361_386425.0,5368742580,Akul,0.0,0.0
361_386410.0,8474184127,Sirigida,11.08,0.92
361_386391.0,8474184127,Sirigida,11.52,0.96
361_386420.0,5368742580,Akul,0.0,0.0
361_386358.0,5171661654,Karadangi,43.82,3.65
361_386456.0,7754871726,Raisuan,39.15,3.26
361_386429.0,7754871726,Raisuan,0.0,0.0
361_386452.0,7754871726,Raisuan,35.12,2.93
361_386387.0,8474184127,Sirigida,18.45,1.54
361_386453.0,7754871726,Raisuan,35.12,2.93
361_386412.0,8474184127,Sirigida,11.52,0.96
361_386455.0,7754871726,Raisuan,0.0,0.0
361_386430.0,7754871726,Raisuan,0.0,0.0
361_386454.0,7754871726,Raisuan,24.11,2.01
361_386408.0,8474184127,Sirigida,7.24,0.6
361_386421.0,8474184127,Sirigida,7.24,0.6
361_386393.0,8474184127,Sirigida,11.08,0.92
361_386415.0,7754871726,Raisuan,1360.47,113.37
361_386427.0,7754871726,Raisuan,0.0,0.0
361_386431.0,7754871726,Raisuan,0.0,0.0
361_386457.0,7754871726,Raisuan,40.53,3.38
361_386385.0,8474184127,Sirigida,28.79,2.4
361_386359.0,5171661654,Karadangi,43.82,3.65
361_386419.0,5368742580,Akul,0.0,0.0
361_386409.0,5368742580,Akul,0.0,0.0
361_386414.0,8474184127,Sirigida,17.69,1.47
361_386426.0,7754871726,Raisuan,0.0,0.0
361_386413.0,8474184127,Sirigida,11.52,0.96
361_386433.0,7754871726,Raisuan,37.01,3.08
361_386411.0,8474184127,Sirigida,11.08,0.92
361_386389.0,8474184127,Sirigida,18.14,1.51
361_386386.0,8474184127,Sirigida,18.45,1.54
361_386392.0,8474184127,Sirigida,11.52,0.96
361_386428.0,7754871726,Raisuan,1360.47,113.37
361_386432.0,7754871726,Raisuan,35.12,2.93
361_386422.0,5368742580,Akul,0.0,0.0
361_386388.0,8474184127,Sirigida,18.14,1.51
361_386390.0,8474184127,Sirigida,18.14,1.51
361_386416.0,7754871726,Raisuan,0.0,0.0
361_386417.0,8474184127,Sirigida,11.08,0.92
361_386418.0,8474184127,Sirigida,11.08,0.92
361_386356.0,3436161115,Dubulapal,33.65,2.8
361_386424.0,5368742580,Akul,0.0,0.0
361_386327.0,4532767771,Binjabahal,0.0,0.0
361_386305.0,4773814233,Kanjipani,3.57,0.3
361_386306.0,7877413174,Jantari,56.67,4.72
361_386297.0,4524787175,Gonasika,1.94,0.18
361_386351.0,3436161115,Dubulapal,33.4,2.78
361_386394.0,5368742580,Akul,0.0,0.0
361_386332.0,1817477852,Golabandha,1.2,0.1
361_386396.0,1638648574,SN Purgoda,0.0,0.0
361_386344.0,4728762578,Halpudi,59.64,4.97
361_386381.0,8474184127,Sirigida,37.51,3.13
361_386364.0,5171661654,Karadangi,42.12,3.51
361_386361.0,5171661654,Karadangi,43.82,3.65
361_386370.0,4728762578,Halpudi,53.81,4.48
361_386346.0,4728762578,Halpudi,28.69,2.39
361_386315.0,7877413174,Jantari,56.67,4.72
361_386366.0,4728762578,Halpudi,8.72,0.73
361_386343.0,4728762578,Halpudi,70.87,5.91
361_386334.0,1817477852,Golabandha,33.68,2.81
361_386395.0,1638648574,SN Purgoda,5.14,0.43
361_386348.0,3436161115,Dubulapal,53.95,4.5
361_386371.0,4728762578,Halpudi,17.15,1.43
361_386380.0,1638648574,SN Purgoda,0.53,0.04
361_386302.0,6431288825,Govindpur,15.67,1.31
361_386405.0,1638648574,SN Purgoda,5.14,0.43
361_386352.0,3436161115,Dubulapal,33.65,2.8
361_386329.0,6431288825,Govindpur,40.78,3.4
361_386320.0,4773814233,Kanjipani,56.67,4.72
361_386363.0,8474184127,Sirigida,30.73,2.56
361_386360.0,5171661654,Karadangi,43.82,3.65
361_386333.0,4532767771,Binjabahal,0.0,0.0
361_386341.0,3747381634,Saruali,260.98,21.75
361_386383.0,8474184127,Sirigida,18.14,1.51
361_386340.0,1625322563,Saleikena,17.21,1.43
361_386376.0,4728762578,Halpudi,91.22,7.6
361_386382.0,8474184127,Sirigida,11.08,0.92
361_386367.0,5171661654,Karadangi,0.0,0.0
361_386362.0,5171661654,Karadangi,43.82,3.65
361_386353.0,3436161115,Dubulapal,33.65,2.8
361_386406.0,8474184127,Sirigida,13.13,1.09
361_386345.0,4728762578,Halpudi,46.62,3.89
361_386335.0,3436161115,Dubulapal,72.29,6.02
361_386304.0,4773814233,Kanjipani,0.0,0.0
361_386321.0,4773814233,Kanjipani,56.67,4.72
361_386379.0,1638648574,SN Purgoda,0.0,0.0
361_386354.0,3436161115,Dubulapal,35.05,2.92
361_386397.0,1638648574,SN Purgoda,0.0,0.0
361_386378.0,1638648574,SN Purgoda,0.0,0.0
361_386374.0,4728762578,Halpudi,65.3,5.44
361_386369.0,4728762578,Halpudi,18.48,1.54
361_386377.0,1638648574,SN Purgoda,0.0,0.0
361_386375.0,4728762578,Halpudi,69.95,5.83
361_386372.0,4728762578,Halpudi,54.82,4.57
361_386349.0,3436161115,Dubulapal,38.53,3.21
361_386373.0,4728762578,Halpudi,69.95,5.83
361_386319.0,4773814233,Kanjipani,3.57,0.3
361_386330.0,1625322563,Saleikena,18.43,1.54
361_386323.0,4728762578,Halpudi,123.29,10.27
361_386123.0,4524787175,Gonasika,61.72,5.14
361_386308.0,7877413174,Jantari,56.67,4.72
361_386337.0,3436161115,Dubulapal,58.41,4.87
361_386324.0,4728762578,Halpudi,91.97,7.66
361_386347.0,4728762578,Halpudi,37.94,3.16
361_386303.0,1625322563,Saleikena,17.62,1.47
361_386300.0,6431288825,Govindpur,0.0,0.0
361_386338.0,3436161115,Dubulapal,58.13,4.84
361_386336.0,1817477852,Golabandha,67.04,5.59
361_386326.0,4773814233,Kanjipani,56.67,4.72
361_386342.0,4728762578,Halpudi,106.38,8.86
361_386322.0,4728762578,Halpudi,98.32,8.19
361_386339.0,1625322563,Saleikena,17.21,1.43
361_386318.0,4524787175,Gonasika,55.84,4.65
361_386317.0,7877413174,Jantari,56.67,4.72
361_386301.0,6431288825,Govindpur,0.0,0.0
361_386296.0,4773814233,Kanjipani,0.31,0.03
361_386331.0,1625322563,Saleikena,0.0,0.0
361_386328.0,3747381634,Saruali,25.16,2.1
361_386407.0,8474184127,Sirigida,8.19,0.68
361_386368.0,5171661654,Karadangi,25.39,2.12
361_386298.0,4773814233,Kanjipani,0.0,0.0
361_386299.0,4773814233,Kanjipani,0.0,0.0
361_386398.0,1638648574,SN Purgoda,0.0,0.0
361_386350.0,3436161115,Dubulapal,33.65,2.8
361_386365.0,3436161115,Dubulapal,25.42,2.12
361_386399.0,1638648574,SN Purgoda,0.0,0.0
361_386229.0,3543875730,Kushakala,28.28,2.36
361_386231.0,3543875730,Kushakala,16.25,1.35
361_386260.0,3543875730,Kushakala,62.4,5.2
361_386235.0,3543875730,Kushakala,0.0,0.0
361_386264.0,3543875730,Kushakala,50.66,4.22
361_386232.0,3543875730,Kushakala,0.0,0.0
361_386226.0,3543875730,Kushakala,0.0,0.0
361_386261.0,3543875730,Kushakala,22.91,1.91
361_386267.0,7442851387,Tababirikala,0.0,0.0
