village_id,facility_nin,facility_name,travel_time_min,distance_km
362_408397.0,1588587632,Badahantuad,0.0,0.0
362_408367.0,1588587632,Badahantuad,0.0,0.0
362_408390.0,1588587632,Badahantuad,0.0,0.0
362_408373.0,1588587632,Badahantuad,0.0,0.0
362_408378.0,1588587632,Badahantuad,0.0,0.0
362_408389.0,1588587632,Badahantuad,0.0,0.0
362_408382.0,1588587632,Badahantuad,0.0,0.0
362_408376.0,1588587632,Badahantuad,0.0,0.0
362_408387.0,1588587632,Badahantuad,0.0,0.0
362_408374.0,1588587632,Badahantuad,0.0,0.0
362_408307.0,1588587632,Badahantuad,0.0,0.0
362_408371.0,1588587632,Badahantuad,0.0,0.0
362_408370.0,1588587632,Badahantuad,0.0,0.0
362_408391.0,1588587632,Badahantuad,0.0,0.0
362_408305.0,1588587632,Badahantuad,0.0,0.0
362_408369.0,1588587632,Badahantuad,0.0,0.0
362_408385.0,1588587632,Badahantuad,0.0,0.0
362_408368.0,1588587632,Badahantuad,0.0,0.0
362_408375.0,1588587632,Badahantuad,0.0,0.0
362_408308.0,1588587632,Badahantuad,0.0,0.0
362_408309.0,1588587632,Badahantuad,0.0,0.0
362_408377.0,1588587632,Badahantuad,0.0,0.0
362_408304.0,1588587632,Badahantuad,0.0,0.0
362_408393.0,1588587632,Badahantuad,0.0,0.0
362_408300.0,1588587632,Badahantuad,0.0,0.0
362_408381.0,1588587632,Badahantuad,0.0,0.0
362_408384.0,1588587632,Badahantuad,0.0,0.0
362_408383.0,1588587632,Badahantuad,0.0,0.0
362_408372.0,1588587632,Badahantuad,0.0,0.0
362_408386.0,1588587632,Badahantuad,0.0,0.0
362_408396.0,1588587632,Badahantuad,0.0,0.0
362_408306.0,1588587632,Badahantuad,0.0,0.0
362_408388.0,1588587632,Badahantuad,0.0,0.0
362_408394.0,1588587632,Badahantuad,0.0,0.0
362_408303.0,1588587632,Badahantuad,0.0,0.0
362_408301.0,1588587632,Badahantuad,0.0,0.0
362_408302.0,1588587632,Badahantuad,0.0,0.0
362_408380.0,1588587632,Badahantuad,0.0,0.0
362_408379.0,1588587632,Badahantuad,0.0,0.0
362_408392.0,1588587632,Badahantuad,0.0,0.0
362_250519.0,1588587632,Badahantuad,0.0,0.0
362_408291.0,1588587632,Badahantuad,0.0,0.0
362_408286.0,1588587632,Badahantuad,0.0,0.0
362_408287.0,1588587632,Badahantuad,0.0,0.0
362_408250.0,1588587632,Badahantuad,0.0,0.0
362_408518.0,1588587632,Badahantuad,0.0,0.0
362_408519.0,1588587632,Badahantuad,0.0,0.0
362_408288.0,1588587632,Badahantuad,0.0,0.0
362_408249.0,1588587632,Badahantuad,0.0,0.0
362_408516.0,1588587632,Badahantuad,0.0,0.0
362_408520.0,1588587632,Badahantuad,0.0,0.0
362_408513.0,1588587632,Badahantuad,0.0,0.0
362_408248.0,1588587632,Badahantuad,0.0,0.0
362_408484.0,1588587632,Badahantuad,0.0,0.0
362_408252.0,1588587632,Badahantuad,0.0,0.0
362_408251.0,1588587632,Badahantuad,0.0,0.0
362_408514.0,1588587632,Badahantuad,0.0,0.0
362_408510.0,1588587632,Badahantuad,0.0,0.0
362_408260.0,1588587632,Badahantuad,0.0,0.0
362_408509.0,1588587632,Badahantuad,0.0,0.0
362_408508.0,1588587632,Badahantuad,0.0,0.0
362_408495.0,1588587632,Badahantuad,0.0,0.0
362_408299.0,1588587632,Badahantuad,0.0,0.0
362_408497.0,1588587632,Badahantuad,0.0,0.0
362_408289.0,1588587632,Badahantuad,0.0,0.0
362_408290.0,1588587632,Badahantuad,0.0,0.0
362_408246.0,1588587632,Badahantuad,0.0,0.0
362_408490.0,1588587632,Badahantuad,0.0,0.0
362_408435.0,1588587632,Badahantuad,0.0,0.0
362_408292.0,1588587632,Badahantuad,0.0,0.0
362_408504.0,1588587632,Badahantuad,0.0,0.0
362_408433.0,1588587632,Badahantuad,0.0,0.0
362_408432.0,1588587632,Badahantuad,0.0,0.0
362_408506.0,1588587632,Badahantuad,0.0,0.0
362_408492.0,1588587632,Badahantuad,0.0,0.0
362_408507.0,1588587632,Badahantuad,0.0,0.0
362_408515.0,1588587632,Badahantuad,0.0,0.0
362_408247.0,1588587632,Badahantuad,0.0,0.0
362_408434.0,1588587632,Badahantuad,0.0,0.0
362_408438.0,1588587632,Badahantuad,0.0,0.0
362_408297.0,1588587632,Badahantuad,0.0,0.0
362_408294.0,1588587632,Badahantuad,0.0,0.0
362_408293.0,1588587632,Badahantuad,0.0,0.0
362_408408.0,1588587632,Badahantuad,0.0,0.0
362_408410.0,1588587632,Badahantuad,0.0,0.0
362_408511.0,1588587632,Badahantuad,0.0,0.0
362_408512.0,1588587632,Badahantuad,0.0,0.0
362_408496.0,1588587632,Badahantuad,0.0,0.0
362_408505.0,1588587632,Badahantuad,0.0,0.0
362_408493.0,1588587632,Badahantuad,0.0,0.0
362_408489.0,1588587632,Badahantuad,0.0,0.0
362_408494.0,1588587632,Badahantuad,0.0,0.0
362_408407.0,1588587632,Badahantuad,0.0,0.0
362_408450.0,1588587632,Badahantuad,0.0,0.0
362_408406.0,1588587632,Badahantuad,0.0,0.0
362_408436.0,1588587632,Badahantuad,0.0,0.0
362_408502.0,1588587632,Badahantuad,0.0,0.0
362_408501.0,1588587632,Badahantuad,0.0,0.0
362_408498.0,1588587632,Badahantuad,0.0,0.0
362_408499.0,1588587632,Badahantuad,0.0,0.0
362_408431.0,1588587632,Badahantuad,0.0,0.0
362_408517.0,1588587632,Badahantuad,0.0,0.0
362_408398.0,1588587632,Badahantuad,0.0,0.0
362_408437.0,1588587632,Badahantuad,0.0,0.0
362_408500.0,1588587632,Badahantuad,0.0,0.0
362_408409.0,1588587632,Badahantuad,0.0,0.0
362_408503.0,1588587632,Badahantuad,0.0,0.0
362_408491.0,1588587632,Badahantuad,0.0,0.0
362_408259.0,1588587632,Badahantuad,0.0,0.0
362_408255.0,1588587632,Badahantuad,0.0,0.0
362_408253.0,1588587632,Badahantuad,0.0,0.0
362_408254.0,1588587632,Badahantuad,0.0,0.0
362_408245.0,1588587632,Badahantuad,0.0,0.0
362_408263.0,1588587632,Badahantuad,0.0,0.0
362_408485.0,1588587632,Badahantuad,0.0,0.0
362_408230.0,1588587632,Badahantuad,0.0,0.0
362_408221.0,1588587632,Badahantuad,0.0,0.0
362_408281.0,1588587632,Badahantuad,0.0,0.0
362_408280.0,1588587632,Badahantuad,0.0,0.0
362_408277.0,1588587632,Badahantuad,0.0,0.0
362_408258.0,1588587632,Badahantuad,0.0,0.0
362_408214.0,1588587632,Badahantuad,0.0,0.0
362_408480.0,1588587632,Badahantuad,0.0,0.0
362_408243.0,1588587632,Badahantuad,0.0,0.0
362_408268.0,1588587632,Badahantuad,0.0,0.0
362_408262.0,1588587632,Badahantuad,0.0,0.0
362_408487.0,1588587632,Badahantuad,0.0,0.0
362_408234.0,1588587632,Badahantuad,0.0,0.0
362_408275.0,1588587632,Badahantuad,0.0,0.0
362_408278.0,1588587632,Badahantuad,0.0,0.0
362_408257.0,1588587632,Badahantuad,0.0,0.0
362_408256.0,1588587632,Badahantuad,0.0,0.0
362_250517.0,1588587632,Badahantuad,0.0,0.0
362_408261.0,1588587632,Badahantuad,0.0,0.0
362_408298.0,1588587632,Badahantuad,0.0,0.0
362_408267.0,1588587632,Badahantuad,0.0,0.0
362_408244.0,1588587632,Badahantuad,0.0,0.0
362_408269.0,1588587632,Badahantuad,0.0,0.0
362_408225.0,1588587632,Badahantuad,0.0,0.0
362_408235.0,1588587632,Badahantuad,0.0,0.0
362_408273.0,1588587632,Badahantuad,0.0,0.0
362_408272.0,1588587632,Badahantuad,0.0,0.0
362_408481.0,1588587632,Badahantuad,0.0,0.0
362_408270.0,1588587632,Badahantuad,0.0,0.0
362_408266.0,1588587632,Badahantuad,0.0,0.0
362_408486.0,1588587632,Badahantuad,0.0,0.0
362_408283.0,1588587632,Badahantuad,0.0,0.0
362_408284.0,1588587632,Badahantuad,0.0,0.0
362_408232.0,1588587632,Badahantuad,0.0,0.0
362_408233.0,1588587632,Badahantuad,0.0,0.0
362_408201.0,7231777777,Kadab,179.08,14.92
362_408237.0,1588587632,Badahantuad,0.0,0.0
362_408236.0,1588587632,Badahantuad,0.0,0.0
362_408240.0,1588587632,Badahantuad,0.0,0.0
362_408239.0,1588587632,Badahantuad,0.0,0.0
362_408226.0,1588587632,Badahantuad,0.0,0.0
362_408228.0,1588587632,Badahantuad,0.0,0.0
362_408209.0,1588587632,Badahantuad,0.0,0.0
362_408296.0,1588587632,Badahantuad,0.0,0.0
362_408295.0,1588587632,Badahantuad,0.0,0.0
362_408282.0,1588587632,Badahantuad,0.0,0.0
362_408285.0,1588587632,Badahantuad,0.0,0.0
362_408483.0,1588587632,Badahantuad,0.0,0.0
362_408202.0,7231777777,Kadab,179.08,14.92
362_408203.0,7231777777,Kadab,179.08,14.92
362_408274.0,1588587632,Badahantuad,0.0,0.0
362_408223.0,1588587632,Badahantuad,0.0,0.0
362_408271.0,1588587632,Badahantuad,0.0,0.0
362_408488.0,1588587632,Badahantuad,0.0,0.0
362_408242.0,1588587632,Badahantuad,0.0,0.0
362_408218.0,1588587632,Badahantuad,0.0,0.0
362_408219.0,1588587632,Badahantuad,0.0,0.0
362_408238.0,1588587632,Badahantuad,0.0,0.0
362_408220.0,1588587632,Badahantuad,0.0,0.0
362_408216.0,1588587632,Badahantuad,0.0,0.0
362_408477.0,1588587632,Badahantuad,0.0,0.0
362_408482.0,1588587632,Badahantuad,0.0,0.0
362_408217.0,1588587632,Badahantuad,0.0,0.0
362_408241.0,1588587632,Badahantuad,0.0,0.0
362_408222.0,1588587632,Badahantuad,0.0,0.0
362_408224.0,1588587632,Badahantuad,0.0,0.0
362_408479.0,1588587632,Badahantuad,0.0,0.0
362_408276.0,1588587632,Badahantuad,0.0,0.0
362_408215.0,1588587632,Badahantuad,0.0,0.0
362_408279.0,1588587632,Badahantuad,0.0,0.0
362_408229.0,1588587632,Badahantuad,0.0,0.0
362_408231.0,1588587632,Badahantuad,0.0,0.0
362_408227.0,1588587632,Badahantuad,0.0,0.0
362_408265.0,1588587632,Badahantuad,0.0,0.0
362_408264.0,1588587632,Badahantuad,0.0,0.0
362_408322.0,7231777777,Kadab,179.08,14.92
362_408187.0,7231777777,Kadab,179.08,14.92
362_408357.0,1588587632,Badahantuad,0.0,0.0
362_408334.0,1588587632,Badahantuad,0.0,0.0
362_408313.0,1588587632,Badahantuad,0.0,0.0
362_408404.0,1588587632,Badahantuad,0.0,0.0
362_408463.0,1588587632,Badahantuad,0.0,0.0
362_408354.0,1588587632,Badahantuad,0.0,0.0
362_408173.0,7231777777,Kadab,179.08,14.92
362_408345.0,1588587632,Badahantuad,0.0,0.0
362_408403.0,1588587632,Badahantuad,0.0,0.0
362_408465.0,1588587632,Badahantuad,0.0,0.0
362_408189.0,7231777777,Kadab,179.08,14.92
362_408176.0,7231777777,Kadab,179.08,14.92
362_408188.0,7231777777,Kadab,179.08,14.92
362_408453.0,1588587632,Badahantuad,0.0,0.0
362_408343.0,1588587632,Badahantuad,0.0,0.0
362_408401.0,1588587632,Badahantuad,0.0,0.0
362_408464.0,1588587632,Badahantuad,0.0,0.0
362_408364.0,1588587632,Badahantuad,0.0,0.0
362_408324.0,7231777777,Kadab,179.08,14.92
362_408172.0,7231777777,Kadab,179.08,14.92
362_408186.0,7231777777,Kadab,179.08,14.92
362_408422.0,1588587632,Badahantuad,0.0,0.0
362_408418.0,1588587632,Badahantuad,0.0,0.0
362_408456.0,1588587632,Badahantuad,0.0,0.0
362_408362.0,1588587632,Badahantuad,0.0,0.0
362_408360.0,1588587632,Badahantuad,0.0,0.0
362_408359.0,1588587632,Badahantuad,0.0,0.0
362_408326.0,7231777777,Kadab,179.08,14.92
362_408332.0,1588587632,Badahantuad,0.0,0.0
362_408327.0,7231777777,Kadab,179.08,14.92
362_408462.0,1588587632,Badahantuad,0.0,0.0
362_408411.0,1588587632,Badahantuad,0.0,0.0
362_408467.0,1588587632,Badahantuad,0.0,0.0
362_408207.0,1588587632,Badahantuad,0.0,0.0
362_408339.0,1588587632,Badahantuad,0.0,0.0
362_408344.0,1588587632,Badahantuad,0.0,0.0
362_408402.0,1588587632,Badahantuad,0.0,0.0
362_408184.0,7231777777,Kadab,179.08,14.92
362_408335.0,1588587632,Badahantuad,0.0,0.0
362_408205.0,7231777777,Kadab,179.08,14.92
362_408204.0,7231777777,Kadab,179.08,14.92
362_408454.0,1588587632,Badahantuad,0.0,0.0
362_408423.0,1588587632,Badahantuad,0.0,0.0
362_408440.0,1588587632,Badahantuad,0.0,0.0
362_408213.0,1588587632,Badahantuad,0.0,0.0
362_408420.0,1588587632,Badahantuad,0.0,0.0
362_408316.0,1588587632,Badahantuad,0.0,0.0
362_408430.0,1588587632,Badahantuad,0.0,0.0
362_408027.0,7231777777,Kadab,179.08,14.92
362_408468.0,1588587632,Badahantuad,0.0,0.0
362_408175.0,7231777777,Kadab,179.08,14.92
362_408429.0,1588587632,Badahantuad,0.0,0.0
362_408405.0,1588587632,Badahantuad,0.0,0.0
362_408449.0,1588587632,Badahantuad,0.0,0.0
362_408363.0,1588587632,Badahantuad,0.0,0.0
362_408466.0,1588587632,Badahantuad,0.0,0.0
362_408190.0,7231777777,Kadab,179.08,14.92
362_408473.0,7231777777,Kadab,179.08,14.92
362_408428.0,1588587632,Badahantuad,0.0,0.0
362_408212.0,1588587632,Badahantuad,0.0,0.0
362_408177.0,7231777777,Kadab,179.08,14.92
362_408451.0,1588587632,Badahantuad,0.0,0.0
362_408452.0,1588587632,Badahantuad,0.0,0.0
362_408441.0,1588587632,Badahantuad,0.0,0.0
362_408210.0,1588587632,Badahantuad,0.0,0.0
362_408425.0,1588587632,Badahantuad,0.0,0.0
362_408460.0,1588587632,Badahantuad,0.0,0.0
362_408448.0,1588587632,Badahantuad,0.0,0.0
362_408206.0,1588587632,Badahantuad,0.0,0.0
362_408458.0,1588587632,Badahantuad,0.0,0.0
362_408442.0,1588587632,Badahantuad,0.0,0.0
362_408421.0,1588587632,Badahantuad,0.0,0.0
362_408338.0,1588587632,Badahantuad,0.0,0.0
362_408323.0,7231777777,Kadab,179.08,14.92
362_408183.0,7231777777,Kadab,179.08,14.92
362_408447.0,1588587632,Badahantuad,0.0,0.0
362_408417.0,1588587632,Badahantuad,0.0,0.0
362_408446.0,1588587632,Badahantuad,0.0,0.0
362_408445.0,1588587632,Badahantuad,0.0,0.0
362_408444.0,1588587632,Badahantuad,0.0,0.0
362_408356.0,1588587632,Badahantuad,0.0,0.0
362_408194.0,7231777777,Kadab,179.08,14.92
362_408426.0,1588587632,Badahantuad,0.0,0.0
362_408191.0,7231777777,Kadab,179.08,14.92
362_408366.0,1588587632,Badahantuad,0.0,0.0
362_408180.0,7231777777,Kadab,179.08,14.92
362_408346.0,1588587632,Badahantuad,0.0,0.0
362_408352.0,1588587632,Badahantuad,0.0,0.0
362_408179.0,7231777777,Kadab,179.08,14.92
362_408424.0,1588587632,Badahantuad,0.0,0.0
362_408310.0,1588587632,Badahantuad,0.0,0.0
362_408328.0,7231777777,Kadab,179.08,14.92
362_408348.0,1588587632,Badahantuad,0.0,0.0
362_408351.0,1588587632,Badahantuad,0.0,0.0
362_408333.0,1588587632,Badahantuad,0.0,0.0
362_408311.0,1588587632,Badahantuad,0.0,0.0
362_408337.0,1588587632,Badahantuad,0.0,0.0
362_408358.0,1588587632,Badahantuad,0.0,0.0
362_408171.0,7231777777,Kadab,179.08,14.92
362_408178.0,7231777777,Kadab,179.08,14.92
362_408174.0,7231777777,Kadab,179.08,14.92
362_408355.0,1588587632,Badahantuad,0.0,0.0
362_408471.0,7231777777,Kadab,179.08,14.92
362_408182.0,7231777777,Kadab,179.08,14.92
362_408325.0,1588587632,Badahantuad,0.0,0.0
362_408478.0,1588587632,Badahantuad,0.0,0.0
362_408400.0,1588587632,Badahantuad,0.0,0.0
362_408475.0,7231777777,Kadab,179.08,14.92
362_408474.0,7231777777,Kadab,179.08,14.92
362_408470.0,1588587632,Badahantuad,0.0,0.0
362_408331.0,1588587632,Badahantuad,0.0,0.0
362_408185.0,1588587632,Badahantuad,0.0,0.0
362_408412.0,1588587632,Badahantuad,0.0,0.0
362_408317.0,1588587632,Badahantuad,0.0,0.0
362_408028.0,7231777777,Kadab,179.08,14.92
362_408314.0,1588587632,Badahantuad,0.0,0.0
362_408395.0,1588587632,Badahantuad,0.0,0.0
362_408181.0,7231777777,Kadab,179.08,14.92
362_408336.0,1588587632,Badahantuad,0.0,0.0
362_408416.0,1588587632,Badahantuad,0.0,0.0
362_408419.0,1588587632,Badahantuad,0.0,0.0
362_408413.0,1588587632,Badahantuad,0.0,0.0
362_408476.0,7231777777,Kadab,179.08,14.92
362_408469.0,1588587632,Badahantuad,0.0,0.0
362_408347.0,1588587632,Badahantuad,0.0,0.0
362_408330.0,7231777777,Kadab,178.35,14.86
362_408026.0,7231777777,Kadab,179.08,14.92
362_408321.0,7231777777,Kadab,179.08,14.92
362_408399.0,1588587632,Badahantuad,0.0,0.0
362_408459.0,1588587632,Badahantuad,0.0,0.0
362_408427.0,1588587632,Badahantuad,0.0,0.0
362_408208.0,1588587632,Badahantuad,0.0,0.0
362_408439.0,1588587632,Badahantuad,0.0,0.0
362_408029.0,7231777777,Kadab,179.08,14.92
362_408461.0,1588587632,Badahantuad,0.0,0.0
362_408415.0,1588587632,Badahantuad,0.0,0.0
362_408329.0,7231777777,Kadab,179.08,14.92
362_408129.0,7231777777,Kadab,179.08,14.92
362_408361.0,1588587632,Badahantuad,0.0,0.0
