village_id,facility_nin,facility_name,travel_time_min,distance_km
363_429725.0,4486375233,Andarguda,183.53,15.29
363_429726.0,4486375233,Andarguda,13.18,1.1
363_429397.0,6481853437,Chipakura,196.4,16.36
363_429348.0,7327771684,Dandabadi,0.0,0.0
363_429411.0,6481853437,Chipakura,2.86,0.24
363_429490.0,6481853437,Chipakura,12.26,1.02
363_429491.0,6481853437,Chipakura,17.05,1.42
363_429492.0,6481853437,Chipakura,16.87,1.41
363_429493.0,6481853437,Chipakura,6.18,0.52
363_429494.0,6481853437,Chipakura,6.18,0.52
363_429495.0,6481853437,Chipakura,6.18,0.52
363_429496.0,6481853437,Chipakura,6.18,0.52
363_429418.0,6451127150,Majhiguda,244.99,20.42
363_429417.0,6481853437,Chipakura,92.1,7.67
363_429416.0,6481853437,Chipakura,96.36,8.03
363_429415.0,6481853437,Chipakura,85.93,7.16
363_429414.0,6481853437,Chipakura,92.1,7.67
363_429413.0,6481853437,Chipakura,92.1,7.67
363_429412.0,6481853437,Chipakura,74.08,6.17
363_429410.0,6481853437,Chipakura,142.08,11.84
363_429489.0,6481853437,Chipakura,4.3,0.36
363_429487.0,6481853437,Chipakura,2.86,0.24
363_429485.0,6481853437,Chipakura,2.86,0.24
363_429484.0,6481853437,Chipakura,4.3,0.36
363_429482.0,6481853437,Chipakura,6.18,0.52
363_429480.0,6481853437,Chipakura,6.18,0.52
363_429479.0,6481853437,Chipakura,6.18,0.52
363_429476.0,6481853437,Chipakura,6.18,0.52
363_429475.0,6481853437,Chipakura,6.18,0.52
363_429474.0,6481853437,Chipakura,6.18,0.52
363_429473.0,6481853437,Chipakura,38.9,3.24
363_429471.0,6481853437,Chipakura,6.18,0.52
363_429469.0,6481853437,Chipakura,72.88,6.07
363_429461.0,6481853437,Chipakura,74.08,6.17
363_429465.0,6481853437,Chipakura,85.93,7.16
363_429452.0,6481853437,Chipakura,85.93,7.16
363_429361.0,7138581843,Kathopoda,21.2,1.77
363_429310.0,6328147472,Doraguda B,26.32,2.19
363_429347.0,7327771684,Dandabadi,6.2,0.52
363_429334.0,7138581843,Kathopoda,21.27,1.77
363_429360.0,7138581843,Kathopoda,21.2,1.77
363_429300.0,7327771684,Dandabadi,13.79,1.15
363_429299.0,7327771684,Dandabadi,5.64,0.47
363_429346.0,7327771684,Dandabadi,1.14,0.09
363_429398.0,6481853437,Chipakura,179.65,14.97
363_429399.0,6481853437,Chipakura,179.65,14.97
363_429400.0,6481853437,Chipakura,178.57,14.88
363_429497.0,6481853437,Chipakura,38.05,3.17
363_429407.0,6481853437,Chipakura,6.18,0.52
363_429408.0,6481853437,Chipakura,6.18,0.52
363_429409.0,6481853437,Chipakura,2.86,0.24
363_429401.0,6481853437,Chipakura,2.86,0.24
363_429402.0,6481853437,Chipakura,178.57,14.88
363_429404.0,6481853437,Chipakura,6.18,0.52
363_429405.0,6481853437,Chipakura,6.18,0.52
363_429406.0,6481853437,Chipakura,6.18,0.52
363_429390.0,7138581843,Kathopoda,21.2,1.77
363_429391.0,6481853437,Chipakura,6.18,0.52
