village_id,facility_nin,facility_name,travel_time_min,distance_km
364_431169.0,4788713255,Gorakhpali,55.28,4.61
364_431168.0,4788713255,Gorakhpali,24.88,2.07
364_431167.0,4788713255,Gorakhpali,0.71,0.06
364_431171.0,6321688472,Bapanpali,75.2,6.27
364_431170.0,6321688472,Bapanpali,75.2,6.27
364_431140.0,6321688472,Bapanpali,13.97,1.16
364_431141.0,6321688472,Bapanpali,24.17,2.01
364_431166.0,4788713255,Gorakhpali,29.3,2.44
364_431165.0,6321688472,Bapanpali,0.0,0.0
364_431136.0,2521766515,Ginipali,97.14,8.1
364_431135.0,2521766515,Ginipali,78.54,6.55
364_431175.0,6321688472,Bapanpali,72.94,6.08
364_431125.0,7418224866,MV 29,0.0,0.0
364_431176.0,4764356640,Nalagunthy,93.39,7.78
364_431188.0,4232737777,Malavaram,39.66,3.3
364_431126.0,2521766515,Ginipali,66.38,5.53
364_431162.0,2521766515,Ginipali,18.41,1.53
364_431177.0,4764356640,Nalagunthy,19.97,1.66
364_431159.0,4232737777,Malavaram,58.86,4.91
364_431146.0,2521766515,Ginipali,31.82,2.65
364_431147.0,7418224866,MV 29,43.89,3.66
364_431157.0,2228438731,Gomphakonda,63.69,5.31
364_431160.0,2228438731,Gomphakonda,63.31,5.28
364_431164.0,4764356640,Nalagunthy,38.31,3.19
364_431144.0,6321688472,Bapanpali,0.26,0.02
364_431161.0,4232737777,Malavaram,6.87,0.57
364_431178.0,4764356640,Nalagunthy,27.3,2.27
364_431155.0,8364271778,MV 72,12.56,1.05
364_431189.0,4232737777,Malavaram,36.27,3.02
364_431187.0,4232737777,Malavaram,86.24,7.19
364_431186.0,8364271778,MV 72,108.26,9.02
364_431184.0,8364271778,MV 72,69.08,5.76
364_431183.0,8364271778,MV 72,54.45,4.54
364_431185.0,4232737777,Malavaram,68.91,5.74
364_431190.0,4232737777,Malavaram,119.01,9.92
364_431180.0,4232737777,Malavaram,68.04,5.67
364_431191.0,4232737777,Malavaram,117.56,9.8
364_431119.0,4766758538,Materu,51.01,4.25
364_431124.0,6777817328,Kunanpali,29.25,2.44
364_431121.0,5858327850,MV 95,4.99,0.42
364_431148.0,8156683446,MV 82,15.09,1.26
364_431127.0,8234236837,Motu,16.3,1.36
364_431122.0,5278836332,Metaguda,10.79,0.9
364_431118.0,8234236837,Motu,16.3,1.36
364_431120.0,4766758538,Materu,40.3,3.36
364_431104.0,4766758538,Materu,26.57,2.21
364_431123.0,6777817328,Kunanpali,15.63,1.3
364_431154.0,8364271778,MV 72,32.83,2.74
364_431149.0,2746442827,Lugel,5.44,0.45
364_431129.0,4868253271,Padgampally,38.11,3.18
364_431150.0,2228438731,Gomphakonda,70.28,5.86
364_431151.0,4868253271,Padgampally,46.14,3.85
364_431128.0,7454766457,MV 66,85.02,7.08
364_431132.0,4868253271,Padgampally,48.93,4.08
