village_id,facility_nin,facility_name,travel_time_min,distance_km
365_391331.0,8586133830,SATKOSIA,34.37,2.86
365_391332.0,8586133830,SATKOSIA,50.47,4.21
365_391333.0,7646647359,NADA,63.6,5.3
365_391336.0,7646647359,NADA,58.93,4.91
365_391334.0,4211517232,SALCHUA,61.47,5.12
365_391335.0,4211517232,SALCHUA,4.38,0.37
365_391337.0,4211517232,SALCHUA,16.87,1.41
365_391314.0,7486441269,BHALIDAL,183.11,15.26
365_391322.0,8586133830,SATKOSIA,196.74,16.4
365_391323.0,8586133830,SATKOSIA,189.52,15.79
365_391330.0,8586133830,SATKOSIA,5.08,0.42
365_391325.0,8586133830,SATKOSIA,171.42,14.29
365_391321.0,7486441269,BHALIDAL,204.94,17.08
365_391315.0,7486441269,BHALIDAL,198.39,16.53
365_391313.0,7486441269,BHALIDAL,162.55,13.55
365_391316.0,7486441269,BHALIDAL,163.3,13.61
365_391311.0,7486441269,BHALIDAL,148.38,12.36
365_391329.0,4211517232,SALCHUA,61.98,5.16
365_391324.0,8586133830,SATKOSIA,136.57,11.38
365_389052.0,4162278784,BHARANDIA,11.7,0.97
365_389054.0,4162278784,BHARANDIA,11.7,0.97
365_389055.0,4162278784,BHARANDIA,11.7,0.97
365_389057.0,4162278784,BHARANDIA,6.81,0.57
365_389058.0,7464573364,TARAMARA,18.25,1.52
365_389059.0,7464573364,TARAMARA,6.55,0.55
365_389060.0,7464573364,TARAMARA,17.89,1.49
365_389061.0,7464573364,TARAMARA,18.25,1.52
365_389072.0,7464573364,TARAMARA,0.3,0.03
365_389071.0,7464573364,TARAMARA,1.48,0.12
365_389062.0,7464573364,TARAMARA,18.25,1.52
365_389064.0,4162278784,BHARANDIA,12.56,1.05
365_389047.0,4162278784,BHARANDIA,6.35,0.53
365_389048.0,4162278784,BHARANDIA,11.7,0.97
365_389046.0,4162278784,BHARANDIA,8.11,0.68
365_389045.0,4162278784,BHARANDIA,8.54,0.71
365_389044.0,4162278784,BHARANDIA,3.02,0.25
365_389043.0,4162278784,BHARANDIA,10.38,0.87
365_389065.0,4162278784,BHARANDIA,20.71,1.73
365_391312.0,7486441269,BHALIDAL,133.34,11.11
365_391302.0,7486441269,BHALIDAL,0.0,0.0
365_389068.0,4162278784,BHARANDIA,44.86,3.74
365_389067.0,4162278784,BHARANDIA,34.57,2.88
365_389066.0,4162278784,BHARANDIA,16.14,1.35
365_389042.0,4162278784,BHARANDIA,27.48,2.29
365_389069.0,4162278784,BHARANDIA,39.54,3.3
365_389074.0,7464573364,TARAMARA,8.56,0.71
365_389070.0,7464573364,TARAMARA,10.09,0.84
365_389075.0,7486441269,BHALIDAL,151.97,12.66
365_389073.0,7486441269,BHALIDAL,80.22,6.68
365_391303.0,7486441269,BHALIDAL,111.62,9.3
365_389063.0,7464573364,TARAMARA,18.35,1.53
365_391293.0,3583244342,Sarat,30.82,2.57
365_391294.0,3583244342,Sarat,58.73,4.89
365_391295.0,3583244342,Sarat,77.0,6.42
365_391292.0,3583244342,Sarat,93.95,7.83
365_391291.0,3583244342,Sarat,114.9,9.58
365_391296.0,3583244342,Sarat,111.34,9.28
365_391285.0,7486441269,BHALIDAL,238.93,19.91
365_391284.0,7486441269,BHALIDAL,247.07,20.59
365_391297.0,7486441269,BHALIDAL,216.99,18.08
365_391298.0,7486441269,BHALIDAL,207.85,17.32
365_391290.0,7486441269,BHALIDAL,215.82,17.98
365_391286.0,7486441269,BHALIDAL,229.89,19.16
365_391283.0,7486441269,BHALIDAL,231.1,19.26
365_391282.0,7486441269,BHALIDAL,165.04,13.75
365_391299.0,7486441269,BHALIDAL,207.64,17.3
365_391306.0,7486441269,BHALIDAL,201.72,16.81
365_391307.0,7486441269,BHALIDAL,207.85,17.32
365_391308.0,7486441269,BHALIDAL,207.85,17.32
365_391309.0,7486441269,BHALIDAL,201.72,16.81
365_391310.0,7486441269,BHALIDAL,138.28,11.52
365_391305.0,7486441269,BHALIDAL,201.11,16.76
365_391300.0,7486441269,BHALIDAL,199.35,16.61
365_391289.0,7486441269,BHALIDAL,200.89,16.74
365_391287.0,7486441269,BHALIDAL,186.3,15.52
365_391288.0,7486441269,BHALIDAL,175.72,14.64
365_391301.0,7486441269,BHALIDAL,184.32,15.36
365_391304.0,7486441269,BHALIDAL,118.85,9.9
365_391317.0,7486441269,BHALIDAL,163.3,13.61
365_389076.0,7486441269,BHALIDAL,161.47,13.45
365_391318.0,7486441269,BHALIDAL,207.85,17.32
365_391319.0,7486441269,BHALIDAL,163.3,13.61
365_391320.0,4211517232,SALCHUA,31.07,2.59
365_391327.0,4211517232,SALCHUA,32.07,2.67
365_391326.0,4211517232,SALCHUA,32.12,2.68
365_391328.0,4211517232,SALCHUA,32.12,2.68
365_391272.0,6883767151,Sardhia,27.34,2.28
365_391226.0,6757872459,Katuria,128.48,10.71
365_391225.0,3344816644,Debala,85.48,7.12
365_391224.0,3344816644,Debala,76.56,6.38
365_391227.0,6757872459,Katuria,139.07,11.59
365_391255.0,8238367356,Raipal,10.02,0.84
365_391273.0,8238367356,Raipal,21.44,1.79
365_391270.0,5766733470,Kalamgadia,7.7,0.64
365_391261.0,6883767151,Sardhia,0.0,0.0
365_391263.0,6883767151,Sardhia,0.0,0.0
365_391260.0,6883767151,Sardhia,0.0,0.0
365_391262.0,6883767151,Sardhia,0.0,0.0
365_391259.0,3583244342,Sarat,81.77,6.81
365_391217.0,3583244342,Sarat,81.77,6.81
365_391218.0,3583244342,Sarat,63.75,5.31
365_391219.0,3583244342,Sarat,57.98,4.83
365_391258.0,6883767151,Sardhia,0.0,0.0
365_391220.0,3344816644,Debala,76.56,6.38
365_391264.0,6883767151,Sardhia,0.0,0.0
365_391265.0,6883767151,Sardhia,4.53,0.38
365_391268.0,6883767151,Sardhia,55.29,4.61
365_391267.0,6883767151,Sardhia,24.47,2.04
365_391266.0,6883767151,Sardhia,35.34,2.94
365_391271.0,5766733470,Kalamgadia,16.22,1.35
365_391257.0,6883767151,Sardhia,0.0,0.0
365_391256.0,8238367356,Raipal,18.15,1.51
365_391222.0,3344816644,Debala,86.03,7.17
365_391221.0,6883767151,Sardhia,0.0,0.0
365_391223.0,3344816644,Debala,85.62,7.14
365_391047.0,3583244342,Sarat,0.0,0.0
365_391054.0,6757872459,Katuria,1.35,0.11
365_391269.0,5766733470,Kalamgadia,53.72,4.48
365_388765.0,5432884236,Jhalkiani,23.28,1.94
365_388441.0,6277376585,CHATURANJALI,4638.75,386.57
365_388649.0,4752121311,ANGARAPADA,5.94,0.49
365_388686.0,6277376585,CHATURANJALI,4681.84,390.16
365_388656.0,4752121311,ANGARAPADA,26.95,2.25
365_388440.0,6277376585,CHATURANJALI,4644.38,387.03
365_388679.0,6277376585,CHATURANJALI,5.9,0.49
365_388444.0,6277376585,CHATURANJALI,4634.86,386.24
365_388664.0,7374176464,KUMBHIRDA,5.36,0.45
365_388677.0,3782616480,Raruan MC,8.25,0.69
365_388671.0,8144578237,ARJUNBILLA,37.26,3.1
365_388678.0,3782616480,Raruan MC,16.07,1.34
365_388646.0,8641831832,DENUA,16.52,1.38
365_388808.0,4548285669,NUAGAN,15.25,1.27
365_388651.0,3782616480,Raruan MC,32.45,2.7
365_388439.0,6277376585,CHATURANJALI,4647.76,387.32
365_388652.0,3782616480,Raruan MC,5.44,0.45
