village_id,facility_nin,facility_name,travel_time_min,distance_km
366_427896.0,8865841533,Baragam,0.0,0.0
366_427909.0,3437372679,Binjili,7.72,0.64
366_427826.0,3858154382,Kerala,91.79,7.65
366_427911.0,3858154382,Kerala,36.78,3.07
366_427906.0,7448246160,Bada Amada,7.04,0.59
366_427910.0,6623237887,Neigaon,0.0,0.0
366_427827.0,3858154382,Kerala,91.79,7.65
366_427917.0,8461381777,Bamini,40.34,3.36
366_427894.0,8865841533,Baragam,9.6,0.8
366_427900.0,3437372679,Binjili,0.0,0.0
366_427893.0,5224112721,Aenli,54.0,4.5
366_427908.0,7448246160,Bada Amada,7.04,0.59
366_427914.0,4384645414,M Keragam,0.0,0.0
366_427823.0,3858154382,Kerala,10.18,0.85
366_427885.0,8461381777,Bamini,17.92,1.49
366_427901.0,3437372679,Binjili,0.0,0.0
366_427886.0,7448246160,Bada Amada,12.4,1.03
366_427898.0,5224112721,Aenli,92.28,7.69
366_427902.0,3437372679,Binjili,0.0,0.0
366_427904.0,3437372679,Binjili,0.0,0.0
366_427897.0,8865841533,Baragam,0.0,0.0
366_427895.0,8865841533,Baragam,0.22,0.02
366_427915.0,4384645414,M Keragam,8.39,0.7
366_427888.0,7448246160,Bada Amada,0.24,0.02
366_427916.0,3858154382,Kerala,17.89,1.49
366_427907.0,7448246160,Bada Amada,7.04,0.59
366_427825.0,3858154382,Kerala,91.79,7.65
366_427913.0,3858154382,Kerala,44.06,3.67
366_427912.0,3858154382,Kerala,46.98,3.92
366_427842.0,8667137858,Asanga,25.52,2.13
366_427828.0,5414782861,Chirma,4.76,0.4
366_427841.0,5414782861,Chirma,16.54,1.38
366_427829.0,8667137858,Asanga,0.0,0.0
366_427892.0,8865841533,Baragam,14.68,1.22
366_427824.0,4577462460,Badakuna,15.01,1.25
366_427918.0,4577462460,Badakuna,22.82,1.9
366_427905.0,8865841533,Baragam,0.0,0.0
366_427903.0,3437372679,Binjili,0.0,0.0
366_427899.0,3437372679,Binjili,0.0,0.0
366_427966.0,8841422648,Malliguda,2.91,0.24
366_427962.0,8745658628,Sanmosigam,51.63,4.3
366_427965.0,5588314830,Mahulapadar,1.43,0.12
366_427970.0,4515176214,Pujariguda,0.0,0.0
366_427840.0,5414782861,Chirma,15.73,1.31
366_427961.0,5847485165,Badamosigam,30.42,2.53
366_427837.0,5847485165,Badamosigam,17.07,1.42
366_427969.0,4515176214,Pujariguda,0.0,0.0
366_427960.0,5847485165,Badamosigam,11.75,0.98
366_427967.0,1516164629,Sindhigam,0.0,0.0
366_427838.0,5847485165,Badamosigam,25.78,2.15
366_427952.0,7651321254,Saruguda,3.14,0.26
366_427839.0,1833876335,Mandeigam,31.53,2.63
366_427968.0,4515176214,Pujariguda,14.9,1.24
366_427973.0,7651321254,Saruguda,24.78,2.07
366_427843.0,8667137858,Asanga,49.36,4.11
366_427844.0,3737747612,Dublahandi,6.71,0.56
366_427963.0,8745658628,Sanmosigam,11.99,1.0
366_427971.0,7341876451,Mirganiguda,24.85,2.07
366_427964.0,5588314830,Mahulapadar,10.36,0.86
366_427975.0,7188418532,B Maliguda,1.5,0.13
366_428089.0,6743422476,Rangamatiguda,5.85,0.49
366_427951.0,6548681854,Nishnahandi,6.31,0.53
366_427977.0,6565114136,Nandahandi,18.24,1.52
366_428066.0,7334468613,Jagannathpur,4.97,0.41
366_428080.0,7783416543,Jhadabandhguda,49.49,4.12
366_428065.0,7334468613,Jagannathpur,11.2,0.93
366_428061.0,4855275873,Manchagaon,31.46,2.62
366_427972.0,6548681854,Nishnahandi,0.0,0.0
366_428071.0,7783416543,Jhadabandhguda,12.39,1.03
366_428073.0,7334468613,Jagannathpur,17.38,1.45
366_428075.0,7334468613,Jagannathpur,19.59,1.63
366_428063.0,4855275873,Manchagaon,29.61,2.47
366_428084.0,6743422476,Rangamatiguda,0.0,0.0
366_428054.0,4855275873,Manchagaon,58.32,4.86
366_428059.0,4855275873,Manchagaon,62.1,5.18
366_427976.0,6548681854,Nishnahandi,0.0,0.0
366_428072.0,7783416543,Jhadabandhguda,8.06,0.67
366_428081.0,7334468613,Jagannathpur,67.05,5.58
366_428023.0,3422587869,Ekamba,37.41,3.12
366_428082.0,6743422476,Rangamatiguda,81.03,6.75
366_427974.0,7188418532,B Maliguda,2.01,0.17
366_428078.0,7334468613,Jagannathpur,30.72,2.56
366_428088.0,4855275873,Manchagaon,58.46,4.87
366_428083.0,6743422476,Rangamatiguda,106.43,8.87
366_428060.0,4855275873,Manchagaon,32.06,2.67
366_428058.0,4855275873,Manchagaon,31.64,2.64
366_428025.0,7783416543,Jhadabandhguda,96.18,8.01
366_428067.0,7334468613,Jagannathpur,16.6,1.38
