village_id,facility_nin,facility_name,travel_time_min,distance_km
367_406631.0,1854783816,Rohibanka,30.37,2.53
367_406630.0,1854783816,Rohibanka,30.37,2.53
367_406629.0,1854783816,Rohibanka,30.37,2.53
367_406474.0,2471611166,Kaptapalli,0.44,0.04
367_406470.0,2471611166,Kaptapalli,0.0,0.0
367_406475.0,2471611166,Kaptapalli,0.0,0.0
367_406476.0,8442822279,Sunamuhin,0.0,0.0
367_406440.0,2471611166,Kaptapalli,0.0,0.0
367_406469.0,2471611166,Kaptapalli,0.0,0.0
367_406467.0,2471611166,Kaptapalli,0.0,0.0
367_406477.0,8442822279,Sunamuhin,0.0,0.0
367_406503.0,2471611166,Kaptapalli,0.0,0.0
367_406502.0,2471611166,Kaptapalli,0.0,0.0
367_406473.0,2471611166,Kaptapalli,0.0,0.0
367_406472.0,2471611166,Kaptapalli,0.0,0.0
367_406468.0,2471611166,Kaptapalli,0.0,0.0
367_406471.0,2471611166,Kaptapalli,0.0,0.0
367_406439.0,2471611166,Kaptapalli,0.0,0.0
367_406632.0,8465757246,Dalak,0.0,0.0
367_406581.0,8465757246,Dalak,0.0,0.0
367_406557.0,7872174185,Giridipalli,0.0,0.0
367_406514.0,7872174185,Giridipalli,0.0,0.0
367_406561.0,5648482718,Komanda,0.0,0.0
367_406593.0,8465757246,Dalak,0.0,0.0
367_406611.0,8465757246,Dalak,0.0,0.0
367_406573.0,8465757246,Dalak,0.0,0.0
367_406550.0,5587668814,Ranganipatna,0.0,0.0
367_406549.0,5587668814,Ranganipatna,0.0,0.0
367_406511.0,7872174185,Giridipalli,0.0,0.0
367_406576.0,8465757246,Dalak,0.0,0.0
367_406589.0,8465757246,Dalak,0.0,0.0
367_406564.0,7236837667,Dandor,0.0,0.0
367_406740.0,8465757246,Dalak,0.0,0.0
367_406567.0,8465757246,Dalak,0.0,0.0
367_406596.0,8465757246,Dalak,0.0,0.0
367_406619.0,8465757246,Dalak,0.0,0.0
367_406618.0,8465757246,Dalak,0.0,0.0
367_406603.0,1854783816,Rohibanka,30.37,2.53
367_406601.0,1854783816,Rohibanka,30.37,2.53
367_406591.0,8465757246,Dalak,0.0,0.0
367_406569.0,8465757246,Dalak,0.0,0.0
367_406590.0,8465757246,Dalak,0.0,0.0
367_406565.0,8465757246,Dalak,0.0,0.0
367_406702.0,8465757246,Dalak,0.0,0.0
367_406571.0,5587668814,Ranganipatna,1.05,0.09
367_406706.0,8465757246,Dalak,0.0,0.0
367_406625.0,1854783816,Rohibanka,30.37,2.53
367_406628.0,1854783816,Rohibanka,30.37,2.53
367_406626.0,1854783816,Rohibanka,30.37,2.53
367_406600.0,1854783816,Rohibanka,30.37,2.53
367_406622.0,1854783816,Rohibanka,30.37,2.53
367_406623.0,1854783816,Rohibanka,30.37,2.53
367_406563.0,7236837667,Dandor,0.0,0.0
367_406552.0,8442822279,Sunamuhin,0.0,0.0
367_406615.0,8465757246,Dalak,0.0,0.0
367_406604.0,1854783816,Rohibanka,30.37,2.53
367_406553.0,7872174185,Giridipalli,0.0,0.0
367_406570.0,8465757246,Dalak,0.0,0.0
367_406588.0,8465757246,Dalak,0.0,0.0
367_406579.0,8465757246,Dalak,0.0,0.0
367_406598.0,5648482718,Komanda,0.0,0.0
367_406582.0,8465757246,Dalak,0.0,0.0
367_406545.0,5587668814,Ranganipatna,10.93,0.91
367_406620.0,1854783816,Rohibanka,30.37,2.53
367_406627.0,8465757246,Dalak,0.0,0.0
367_406624.0,1854783816,Rohibanka,30.37,2.53
367_406574.0,8465757246,Dalak,0.0,0.0
367_406578.0,8465757246,Dalak,0.0,0.0
367_406556.0,7872174185,Giridipalli,0.0,0.0
367_406548.0,5587668814,Ranganipatna,0.0,0.0
367_406583.0,8465757246,Dalak,0.0,0.0
367_406577.0,8465757246,Dalak,0.0,0.0
367_406605.0,8465757246,Dalak,0.0,0.0
367_406505.0,7872174185,Giridipalli,0.0,0.0
367_406617.0,8465757246,Dalak,0.0,0.0
367_406599.0,5648482718,Komanda,0.0,0.0
367_406610.0,8465757246,Dalak,0.0,0.0
367_406609.0,8465757246,Dalak,0.0,0.0
367_406559.0,8442822279,Sunamuhin,0.0,0.0
367_406614.0,8465757246,Dalak,0.0,0.0
367_406608.0,8465757246,Dalak,0.0,0.0
367_406613.0,8465757246,Dalak,0.0,0.0
367_406585.0,8465757246,Dalak,0.0,0.0
367_406568.0,5587668814,Ranganipatna,1.05,0.09
367_406586.0,8465757246,Dalak,0.0,0.0
367_406704.0,8465757246,Dalak,0.0,0.0
367_406705.0,8465757246,Dalak,0.0,0.0
367_406554.0,7872174185,Giridipalli,0.0,0.0
367_406580.0,8465757246,Dalak,0.0,0.0
367_406562.0,7236837667,Dandor,0.0,0.0
367_406592.0,8465757246,Dalak,0.0,0.0
367_406566.0,7236837667,Dandor,0.0,0.0
367_406587.0,8465757246,Dalak,0.0,0.0
367_406607.0,8465757246,Dalak,0.0,0.0
367_406560.0,8442822279,Sunamuhin,0.0,0.0
367_406551.0,7236837667,Dandor,0.0,0.0
367_406584.0,8465757246,Dalak,0.0,0.0
367_406575.0,8465757246,Dalak,0.0,0.0
367_406572.0,8465757246,Dalak,0.0,0.0
367_406547.0,5587668814,Ranganipatna,0.0,0.0
367_406700.0,8561211353,Badhiasahi,0.0,0.0
367_406537.0,8465757246,Dalak,0.0,0.0
367_406703.0,8465757246,Dalak,0.0,0.0
367_406558.0,7872174185,Giridipalli,0.0,0.0
367_406612.0,8465757246,Dalak,0.0,0.0
367_406606.0,8465757246,Dalak,0.0,0.0
367_406621.0,1854783816,Rohibanka,30.37,2.53
367_406594.0,8465757246,Dalak,0.0,0.0
367_406595.0,8465757246,Dalak,0.0,0.0
367_406597.0,7236837667,Dandor,0.0,0.0
367_406616.0,8465757246,Dalak,0.0,0.0
367_406602.0,1854783816,Rohibanka,30.37,2.53
367_406491.0,7872174185,Giridipalli,0.0,0.0
367_406508.0,8442822279,Sunamuhin,0.0,0.0
367_406507.0,8442822279,Sunamuhin,0.0,0.0
367_406454.0,3748637554,Bahadajhola,0.0,0.0
367_406407.0,8561211353,Badhiasahi,0.0,0.0
367_406490.0,7872174185,Giridipalli,0.0,0.0
367_406479.0,8442822279,Sunamuhin,0.0,0.0
367_406534.0,5587668814,Ranganipatna,8.22,0.69
367_406543.0,5587668814,Ranganipatna,8.75,0.73
367_406448.0,3748637554,Bahadajhola,0.0,0.0
367_406510.0,7872174185,Giridipalli,0.0,0.0
367_406544.0,5587668814,Ranganipatna,14.74,1.23
367_406463.0,2471611166,Kaptapalli,0.0,0.0
367_406519.0,5587668814,Ranganipatna,26.29,2.19
367_406520.0,5587668814,Ranganipatna,29.02,2.42
367_406513.0,7872174185,Giridipalli,0.0,0.0
367_406377.0,3685585774,Durudura,4.61,0.38
367_406635.0,8561211353,Badhiasahi,0.0,0.0
367_406541.0,5587668814,Ranganipatna,8.75,0.73
367_406535.0,8465757246,Dalak,0.0,0.0
367_406506.0,8442822279,Sunamuhin,0.0,0.0
367_406509.0,7872174185,Giridipalli,0.0,0.0
367_405910.0,5581212650,Mahipur MC,0.0,0.0
367_406489.0,4346427364,Sakiri,35.36,2.95
367_406697.0,8561211353,Badhiasahi,0.0,0.0
367_406525.0,4346427364,Sakiri,0.0,0.0
367_406487.0,4346427364,Sakiri,11.54,0.96
367_406466.0,2471611166,Kaptapalli,0.0,0.0
367_406634.0,8561211353,Badhiasahi,0.0,0.0
367_406481.0,6814148588,Beruanbadi,2.12,0.18
367_406524.0,5587668814,Ranganipatna,23.13,1.93
367_406539.0,5587668814,Ranganipatna,12.86,1.07
367_406546.0,5587668814,Ranganipatna,20.65,1.72
367_406698.0,8561211353,Badhiasahi,0.0,0.0
367_406495.0,6814148588,Beruanbadi,2.77,0.23
367_406501.0,8442822279,Sunamuhin,0.0,0.0
367_406536.0,8465757246,Dalak,0.0,0.0
367_406555.0,7872174185,Giridipalli,0.0,0.0
367_406636.0,8561211353,Badhiasahi,0.0,0.0
367_406526.0,4346427364,Sakiri,24.54,2.04
367_406480.0,8442822279,Sunamuhin,0.0,0.0
367_406527.0,4346427364,Sakiri,0.0,0.0
367_406485.0,3748637554,Bahadajhola,36.82,3.07
367_405908.0,5581212650,Mahipur MC,0.0,0.0
367_406452.0,3748637554,Bahadajhola,0.0,0.0
367_406460.0,3748637554,Bahadajhola,0.0,0.0
367_406434.0,2471611166,Kaptapalli,0.0,0.0
367_406488.0,4346427364,Sakiri,32.2,2.68
367_406512.0,7872174185,Giridipalli,0.0,0.0
367_406515.0,7872174185,Giridipalli,0.0,0.0
367_406494.0,6814148588,Beruanbadi,1.06,0.09
