village_id,facility_nin,facility_name,travel_time_min,distance_km
368_422247.0,2418765877,Badibahal,3.56,0.3
368_422241.0,3442853853,Kendumunda,138.93,11.58
368_422242.0,3442853853,Kendumunda,111.41,9.28
368_422248.0,2418765877,Badibahal,0.0,0.0
368_422249.0,8268454561,Bamniguda,0.0,0.0
368_422181.0,3442853853,Kendumunda,62.97,5.25
368_422229.0,3442853853,Kendumunda,10.62,0.89
368_422246.0,2418765877,Badibahal,6.89,0.57
368_422175.0,5363386771,Nangalbord,41.32,3.44
368_422232.0,3442853853,Kendumunda,36.64,3.05
368_422231.0,3442853853,Kendumunda,10.62,0.89
368_422237.0,3442853853,Kendumunda,79.4,6.62
368_422233.0,3442853853,Kendumunda,39.18,3.27
368_422182.0,3442853853,Kendumunda,44.09,3.67
368_422170.0,5363386771,Nangalbord,51.23,4.27
368_422163.0,4776341762,Gorla,29.82,2.49
368_422160.0,4776341762,Gorla,44.57,3.71
368_422171.0,5363386771,Nangalbord,36.8,3.07
368_422173.0,5363386771,Nangalbord,15.37,1.28
368_422164.0,4776341762,Gorla,75.19,6.27
368_422140.0,1753834470,Kuleikela,51.58,4.3
368_422159.0,4776341762,Gorla,64.17,5.35
368_422152.0,4776341762,Gorla,52.02,4.34
368_422176.0,5363386771,Nangalbord,58.94,4.91
368_422178.0,4776341762,Gorla,50.55,4.21
368_422165.0,4776341762,Gorla,60.54,5.05
368_422167.0,4776341762,Gorla,71.25,5.94
368_422243.0,3442853853,Kendumunda,91.88,7.66
368_422245.0,2418765877,Badibahal,0.0,0.0
368_422240.0,5363386771,Nangalbord,100.24,8.35
368_422184.0,3442853853,Kendumunda,25.02,2.09
368_422185.0,3442853853,Kendumunda,7.32,0.61
368_422179.0,4776341762,Gorla,34.71,2.71
368_422168.0,5363386771,Nangalbord,83.16,6.93
368_422157.0,4776341762,Gorla,69.19,5.77
368_422162.0,4776341762,Gorla,28.99,2.42
368_422158.0,4776341762,Gorla,65.73,5.48
368_422239.0,5363386771,Nangalbord,102.06,8.5
368_422238.0,3442853853,Kendumunda,62.43,5.2
368_422236.0,3442853853,Kendumunda,50.67,4.22
368_422235.0,3442853853,Kendumunda,51.37,4.28
368_422234.0,3442853853,Kendumunda,27.35,2.28
368_422172.0,5363386771,Nangalbord,52.57,4.38
368_422174.0,5363386771,Nangalbord,6.86,0.57
368_422177.0,5363386771,Nangalbord,55.27,4.61
368_422180.0,3442853853,Kendumunda,77.14,6.43
368_422183.0,4776341762,Gorla,65.25,5.44
368_422148.0,5363386771,Nangalbord,105.91,8.83
368_422186.0,8458564658,Niljee,2.94,0.24
368_422169.0,5363386771,Nangalbord,63.37,5.28
368_422166.0,4776341762,Gorla,49.59,4.13
368_422161.0,4776341762,Gorla,28.48,2.37
368_422244.0,3442853853,Kendumunda,71.72,5.98
368_422250.0,8268454561,Bamniguda,0.0,0.0
368_422189.0,5846277274,Sinapali,36.52,3.04
368_422193.0,5846277274,Sinapali,1.68,0.14
368_422187.0,8458564658,Niljee,24.25,2.02
368_422253.0,8268454561,Bamniguda,6.69,0.56
368_422227.0,5731516133,Singhjhar,13.8,1.15
368_422218.0,5484317283,Bharuamunda,0.0,0.0
368_422225.0,5846277274,Sinapali,15.51,1.29
368_422220.0,5484317283,Bharuamunda,0.0,0.0
368_422230.0,3442853853,Kendumunda,10.62,0.89
368_422258.0,5731516133,Singhjhar,12.53,1.04
368_422203.0,1424878146,Chalna,11.95,1.0
368_422198.0,1424878146,Chalna,0.0,0.0
368_422205.0,1424878146,Chalna,85.63,7.14
368_422211.0,1424878146,Chalna,366.35,30.53
368_422142.0,5786617687,Karangamal,53.29,4.44
368_422257.0,5731516133,Singhjhar,29.02,2.42
368_422268.0,5484317283,Bharuamunda,7.43,0.62
368_422266.0,5484317283,Bharuamunda,7.43,0.62
368_422267.0,5484317283,Bharuamunda,7.43,0.62
368_422196.0,1424878146,Chalna,29.01,2.42
368_422147.0,5324828739,Gandabahali,11.62,0.97
368_422145.0,6354236884,Bargaon,8.93,0.74
368_422200.0,5324828739,Gandabahali,6.5,0.54
368_422146.0,5786617687,Karangamal,53.46,4.46
368_422199.0,5324828739,Gandabahali,23.64,1.97
368_422222.0,5731516133,Singhjhar,19.2,1.6
368_422202.0,5324828739,Gandabahali,9.22,0.77
368_422201.0,5324828739,Gandabahali,6.33,0.53
368_422223.0,5731516133,Singhjhar,2.74,0.23
368_422219.0,5484317283,Bharuamunda,0.0,0.0
368_422265.0,5484317283,Bharuamunda,7.43,0.62
368_422217.0,5484317283,Bharuamunda,7.43,0.62
368_422255.0,5731516133,Singhjhar,29.77,2.48
