village_id,facility_nin,facility_name,travel_time_min,distance_km
370_426475.0,1755326129,Cheka,498.11,41.51
370_426478.0,1755326129,Cheka,498.11,41.51
370_426476.0,1755326129,Cheka,497.73,41.48
370_426477.0,1755326129,Cheka,497.73,41.48
370_426117.0,1381487378,Bankamba,1.11,0.09
370_426115.0,1381487378,Bankamba,18.9,1.57
370_426114.0,1381487378,Bankamba,28.69,2.39
370_426116.0,1381487378,Bankamba,1.11,0.09
370_425986.0,6886416426,Kucheipadar,16.34,1.36
370_426174.0,7214473865,Puhundi,39.15,3.26
370_426176.0,8474265660,D Korala,4.2,0.35
370_426145.0,6886416426,Kucheipadar,8.18,0.68
370_426146.0,6886416426,Kucheipadar,2.42,0.2
370_426142.0,6886416426,Kucheipadar,17.53,1.46
370_426141.0,6886416426,Kucheipadar,28.28,2.36
370_426152.0,2736881349,Godibali,23.09,1.92
370_426150.0,6886416426,Kucheipadar,35.01,2.92
370_426151.0,2736881349,Godibali,39.88,3.32
370_426138.0,2736881349,Godibali,30.14,2.51
370_426170.0,2832815886,Sundhusali (Ladakhaman),32.15,2.68
370_426171.0,6886416426,Kucheipadar,19.43,1.62
370_426167.0,2832815886,Sundhusali (Ladakhaman),6.84,0.57
370_426169.0,2832815886,Sundhusali (Ladakhaman),28.95,2.41
370_426168.0,2832815886,Sundhusali (Ladakhaman),18.48,1.54
370_426159.0,2736881349,Godibali,48.38,4.03
370_426161.0,2832815886,Sundhusali (Ladakhaman),162.81,13.57
370_426165.0,2832815886,Sundhusali (Ladakhaman),153.84,12.82
370_426164.0,2832815886,Sundhusali (Ladakhaman),153.65,12.8
370_426163.0,2832815886,Sundhusali (Ladakhaman),153.84,12.82
370_426166.0,2832815886,Sundhusali (Ladakhaman),152.99,12.75
370_426156.0,2736881349,Godibali,25.89,2.16
370_426157.0,2736881349,Godibali,26.54,2.21
370_426154.0,2736881349,Godibali,24.77,2.06
370_426105.0,7214473865,Puhundi,17.04,1.42
370_426113.0,1381487378,Bankamba,28.69,2.39
370_426111.0,8474265660,D Korala,0.0,0.0
370_426112.0,8474265660,D Korala,0.0,0.0
370_426175.0,8474265660,D Korala,6.68,0.56
370_426148.0,6886416426,Kucheipadar,29.64,2.47
370_426162.0,2832815886,Sundhusali (Ladakhaman),1569.08,130.75
370_426155.0,2832815886,Sundhusali (Ladakhaman),6.84,0.57
370_426160.0,2736881349,Godibali,48.38,4.03
370_426153.0,2736881349,Godibali,24.06,2.0
370_426149.0,6886416426,Kucheipadar,34.03,2.84
370_426137.0,2736881349,Godibali,39.0,3.25
370_426147.0,6886416426,Kucheipadar,3.93,0.33
