village_id,facility_nin,facility_name,travel_time_min,distance_km
371_382348.0,1846277646,Badmal,124.21,10.35
371_382349.0,1846277646,Badmal,0.0,0.0
371_382350.0,1846277646,Badmal,14.15,1.18
371_382351.0,1846277646,Badmal,15.32,1.28
371_382352.0,1846277646,Badmal,25.65,2.14
371_382354.0,1846277646,Badmal,32.63,2.72
371_382353.0,1846277646,Badmal,25.48,2.12
371_382355.0,1846277646,Badmal,23.78,1.98
371_382356.0,1846277646,Badmal,32.63,2.72
371_382357.0,1846277646,Badmal,31.16,2.6
371_382364.0,7781756585,Tribanpur,256.54,21.38
371_382363.0,7781756585,Tribanpur,256.54,21.38
371_382365.0,7781756585,Tribanpur,253.76,21.15
371_382366.0,7781756585,Tribanpur,68.99,5.75
371_382447.0,7781756585,Tribanpur,240.74,20.06
371_382359.0,7781756585,Tribanpur,68.99,5.75
371_382358.0,1211256779,Mochibahal,15.29,1.27
371_382503.0,7781756585,Tribanpur,118.32,9.86
371_382506.0,7781756585,Tribanpur,144.3,12.03
371_382499.0,7781756585,Tribanpur,160.4,13.37
371_382498.0,7781756585,Tribanpur,160.4,13.37
371_382502.0,7781756585,Tribanpur,133.03,11.09
371_382501.0,7781756585,Tribanpur,116.77,9.73
371_382496.0,7781756585,Tribanpur,158.43,13.2
371_382504.0,7781756585,Tribanpur,164.42,13.7
371_382505.0,7781756585,Tribanpur,158.22,13.19
371_382500.0,7781756585,Tribanpur,141.72,11.81
371_382448.0,7781756585,Tribanpur,115.76,9.65
371_382367.0,7781756585,Tribanpur,68.99,5.75
371_382362.0,7781756585,Tribanpur,68.99,5.75
371_382369.0,7781756585,Tribanpur,68.99,5.75
371_382368.0,7781756585,Tribanpur,54.51,4.54
371_382370.0,7781756585,Tribanpur,59.57,4.96
371_382371.0,7781756585,Tribanpur,59.19,4.93
371_382373.0,1415118718,Badhindol,79.22,6.6
371_382326.0,1415118718,Badhindol,17.37,1.45
371_382328.0,1415118718,Badhindol,19.19,1.6
371_382372.0,7781756585,Tribanpur,72.24,6.02
371_382330.0,7781756585,Tribanpur,70.55,5.88
371_382331.0,6757875577,Charmal,0.0,0.0
371_382361.0,7781756585,Tribanpur,68.99,5.75
371_382360.0,7781756585,Tribanpur,68.99,5.75
371_382333.0,7781756585,Tribanpur,68.99,5.75
371_382497.0,7781756585,Tribanpur,115.97,9.66
371_382479.0,7781756585,Tribanpur,115.97,9.66
371_382478.0,4523647834,Badbahal,56.51,4.71
371_382473.0,4523647834,Badbahal,56.51,4.71
371_382472.0,4523647834,Badbahal,56.51,4.71
371_382467.0,5647855443,Luhapank,6.23,0.52
371_382434.0,5647855443,Luhapank,6.23,0.52
371_382466.0,4523647834,Badbahal,53.02,4.42
371_382465.0,4523647834,Badbahal,57.22,4.77
371_382475.0,4523647834,Badbahal,57.22,4.77
371_382474.0,4523647834,Badbahal,56.51,4.71
371_382476.0,4523647834,Badbahal,57.22,4.77
371_382477.0,4523647834,Badbahal,57.22,4.77
371_382480.0,4523647834,Badbahal,56.82,4.73
371_382495.0,7781756585,Tribanpur,94.73,7.89
371_382481.0,4523647834,Badbahal,56.82,4.73
371_382482.0,7781756585,Tribanpur,111.8,9.32
371_382483.0,7781756585,Tribanpur,97.08,8.09
371_382414.0,5647855443,Luhapank,0.27,0.02
371_382411.0,5647855443,Luhapank,5.89,0.49
371_382432.0,4523647834,Badbahal,44.55,3.71
371_382433.0,5647855443,Luhapank,7.12,0.59
371_382431.0,4523647834,Badbahal,53.02,4.42
371_382464.0,4523647834,Badbahal,53.02,4.42
371_382462.0,4523647834,Badbahal,57.22,4.77
371_382446.0,7781756585,Tribanpur,65.89,5.49
371_382449.0,7781756585,Tribanpur,66.34,5.53
371_382490.0,7781756585,Tribanpur,27.28,2.27
371_382445.0,7781756585,Tribanpur,37.73,3.14
371_382443.0,7781756585,Tribanpur,57.42,4.79
371_382444.0,7781756585,Tribanpur,39.41,3.28
371_382451.0,7781756585,Tribanpur,17.68,1.47
371_382450.0,7781756585,Tribanpur,14.09,1.17
371_382489.0,7781756585,Tribanpur,25.95,2.16
371_382488.0,7781756585,Tribanpur,51.8,4.32
371_382492.0,7781756585,Tribanpur,60.22,5.02
371_382486.0,7781756585,Tribanpur,45.34,3.78
371_382487.0,7781756585,Tribanpur,35.01,2.92
371_382452.0,7781756585,Tribanpur,4.13,0.34
371_382453.0,7781756585,Tribanpur,24.46,2.04
371_382485.0,7781756585,Tribanpur,45.34,3.78
371_382493.0,7781756585,Tribanpur,71.88,5.99
371_382484.0,7781756585,Tribanpur,85.78,7.15
371_382410.0,1415118718,Badhindol,26.16,2.18
371_382438.0,4523647834,Badbahal,0.0,0.0
371_382440.0,4523647834,Badbahal,11.23,0.94
371_382441.0,4523647834,Badbahal,23.11,1.93
371_382457.0,4523647834,Badbahal,35.02,2.92
371_382442.0,4523647834,Badbahal,32.61,2.72
371_382458.0,4523647834,Badbahal,31.69,2.64
371_382459.0,4523647834,Badbahal,0.0,0.0
371_382461.0,4523647834,Badbahal,30.76,2.56
371_382463.0,4523647834,Badbahal,41.24,3.44
371_382460.0,4523647834,Badbahal,2.26,0.19
371_382437.0,4523647834,Badbahal,0.0,0.0
371_382332.0,7781756585,Tribanpur,68.99,5.75
371_382494.0,7781756585,Tribanpur,115.81,9.65
371_382511.0,5647855443,Luhapank,7.12,0.59
371_382491.0,7781756585,Tribanpur,31.36,2.61
371_382454.0,7781756585,Tribanpur,35.01,2.92
371_382455.0,7781756585,Tribanpur,91.77,7.65
371_382439.0,4523647834,Badbahal,8.76,0.73
371_382456.0,4523647834,Badbahal,56.82,4.73
371_382436.0,4523647834,Badbahal,44.58,3.71
371_382435.0,4523647834,Badbahal,51.87,4.32
371_382508.0,4523647834,Badbahal,30.02,2.5
371_382409.0,1415118718,Badhindol,0.92,0.08
371_382512.0,1415118718,Badhindol,421.05,35.09
371_382510.0,4523647834,Badbahal,63.27,5.27
371_382509.0,4523647834,Badbahal,30.02,2.5
371_382471.0,4523647834,Badbahal,56.51,4.71
371_382470.0,4523647834,Badbahal,56.51,4.71
371_382469.0,5647855443,Luhapank,5.89,0.49
371_382468.0,5647855443,Luhapank,5.89,0.49
371_382428.0,5647855443,Luhapank,5.89,0.49
