village_id,facility_nin,facility_name,travel_time_min,distance_km
372_419806.0,8415113151,Charbhatta,55.89,4.66
372_419808.0,8415113151,Charbhatta,61.62,5.13
372_419811.0,1685122168,Singhari,82.48,6.87
372_419813.0,1685122168,Singhari,82.58,6.88
372_419784.0,1685122168,Singhari,66.05,5.5
372_419789.0,1685122168,Singhari,34.96,2.91
372_419809.0,8415113151,Charbhatta,71.65,5.97
372_419781.0,3627441870,Brahmani,77.7,6.48
372_419772.0,1685122168,Singhari,23.18,1.93
372_419792.0,8415113151,Charbhatta,38.73,3.23
372_419790.0,1685122168,Singhari,50.56,4.21
372_419786.0,1685122168,Singhari,50.23,4.19
372_419791.0,8415113151,Charbhatta,46.73,3.89
372_419794.0,8415113151,Charbhatta,40.5,3.38
372_419810.0,8415113151,Charbhatta,68.71,5.73
372_419797.0,8415113151,Charbhatta,19.89,1.66
372_419796.0,8415113151,Charbhatta,0.0,0.0
372_419783.0,1685122168,Singhari,54.12,4.51
372_419805.0,8415113151,Charbhatta,62.17,5.18
372_419804.0,8415113151,Charbhatta,43.26,3.6
372_419814.0,1685122168,Singhari,74.28,6.19
372_419785.0,1685122168,Singhari,65.45,5.45
372_419807.0,8415113151,Charbhatta,56.44,4.7
372_419795.0,8415113151,Charbhatta,43.18,3.6
372_419780.0,3627441870,Brahmani,75.34,6.28
372_419762.0,8415113151,Charbhatta,73.76,6.15
372_419801.0,8415113151,Charbhatta,65.58,5.46
372_419803.0,8415113151,Charbhatta,53.31,4.44
372_419799.0,8415113151,Charbhatta,53.63,4.47
372_419776.0,1685122168,Singhari,22.74,1.9
372_419766.0,8415113151,Charbhatta,63.24,5.27
372_419736.0,3627441870,Brahmani,41.96,3.5
372_419802.0,8415113151,Charbhatta,60.41,5.03
372_419768.0,8415113151,Charbhatta,54.65,4.55
372_419767.0,8415113151,Charbhatta,52.58,4.38
372_419778.0,1685122168,Singhari,51.8,4.32
372_419779.0,3627441870,Brahmani,54.37,4.53
372_419774.0,1685122168,Singhari,6.14,0.51
372_419763.0,8415113151,Charbhatta,15.37,1.28
372_419787.0,1685122168,Singhari,56.65,4.72
372_419769.0,1685122168,Singhari,36.57,3.05
372_419812.0,8415113151,Charbhatta,77.9,6.49
372_419770.0,1685122168,Singhari,9.81,0.82
