village_id,facility_nin,facility_name,travel_time_min,distance_km
373_383618.0,4224378242,Julumbahal,78.04,6.5
373_383611.0,4224378242,Julumbahal,103.39,8.62
373_383594.0,4224378242,Julumbahal,38.07,3.17
373_383620.0,4224378242,Julumbahal,37.16,3.1
373_383596.0,4224378242,Julumbahal,14.08,1.17
373_383619.0,4224378242,Julumbahal,102.9,8.57
373_383609.0,4224378242,Julumbahal,48.74,4.06
373_383623.0,4224378242,Julumbahal,158.78,13.23
373_383615.0,4224378242,Julumbahal,111.49,9.29
373_383624.0,4224378242,Julumbahal,158.78,13.23
373_383616.0,4224378242,Julumbahal,131.63,10.97
373_383625.0,4224378242,Julumbahal,158.78,13.23
373_383617.0,4224378242,Julumbahal,55.78,4.65
373_383593.0,4224378242,Julumbahal,63.91,5.33
373_383597.0,4224378242,Julumbahal,23.33,1.94
373_383627.0,4224378242,Julumbahal,158.78,13.23
373_383610.0,4224378242,Julumbahal,42.89,3.57
373_383595.0,4224378242,Julumbahal,17.74,1.48
373_383612.0,4224378242,Julumbahal,4.74,0.4
373_383613.0,4224378242,Julumbahal,78.54,6.54
373_383614.0,4224378242,Julumbahal,90.54,7.54
373_383569.0,6681634868,Taparia,51.87,4.32
373_383537.0,6681634868,Taparia,51.87,4.32
373_383541.0,7734224822,Hemgir MC,90.47,7.54
373_383598.0,4762738625,Kanika,37.12,3.09
373_383590.0,4762738625,Kanika,35.74,2.98
373_383592.0,4224378242,Julumbahal,65.31,5.44
373_383540.0,7734224822,Hemgir MC,85.77,7.15
373_383565.0,7734224822,Hemgir MC,76.23,6.35
373_383571.0,7734224822,Hemgir MC,71.99,6.0
373_383570.0,6681634868,Taparia,133.61,11.13
373_383563.0,7734224822,Hemgir MC,47.2,3.93
373_383575.0,7734224822,Hemgir MC,45.82,3.82
373_383568.0,7734224822,Hemgir MC,85.77,7.15
373_383564.0,7734224822,Hemgir MC,76.23,6.35
373_383567.0,7734224822,Hemgir MC,76.23,6.35
373_383574.0,7734224822,Hemgir MC,10.63,0.89
373_383562.0,7734224822,Hemgir MC,28.02,2.33
373_383573.0,7734224822,Hemgir MC,11.58,0.97
373_383526.0,7734224822,Hemgir MC,40.8,3.4
373_383572.0,7734224822,Hemgir MC,31.47,2.62
373_383581.0,7246188457,Sanghumunda,13.43,1.12
373_383579.0,7246188457,Sanghumunda,24.48,2.04
373_383588.0,1712415650,Tangardihi,0.0,0.0
373_383607.0,4762738625,Kanika,22.88,1.91
373_383544.0,1881648420,Kund,71.71,5.98
373_383602.0,1712415650,Tangardihi,9.4,0.78
373_383546.0,3187774652,Duruboga,25.5,2.12
373_383556.0,7246188457,Sanghumunda,13.16,1.1
373_383558.0,3187774652,Duruboga,17.19,1.43
373_383560.0,3187774652,Duruboga,30.88,2.57
373_383600.0,4762738625,Kanika,27.97,2.33
373_383603.0,1712415650,Tangardihi,0.06,0.01
373_383622.0,1712415650,Tangardihi,171.59,14.3
373_383552.0,4385433331,Kanakatura,0.0,0.0
373_383621.0,4762738625,Kanika,26.01,2.17
373_383577.0,4762738625,Kanika,46.94,3.91
373_383585.0,4385433331,Kanakatura,123.79,10.32
373_383551.0,4385433331,Kanakatura,0.0,0.0
373_383780.0,6738671582,Darlipali,5.03,0.42
373_383583.0,4385433331,Kanakatura,0.0,0.0
373_383584.0,4385433331,Kanakatura,0.0,0.0
373_383626.0,1712415650,Tangardihi,408.93,34.08
373_383553.0,7246188457,Sanghumunda,14.38,1.2
373_383554.0,7246188457,Sanghumunda,1.18,0.1
373_383587.0,1712415650,Tangardihi,0.0,0.0
373_383601.0,4762738625,Kanika,50.16,4.18
373_383608.0,4472675760,Ankelabira,0.0,0.0
373_383578.0,7246188457,Sanghumunda,24.82,2.07
373_383599.0,4472675760,Ankelabira,4.88,0.41
