lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
404963.0,,anugul,2518123555,Kantapada,hsc,1.71,1.85,1.71,2.2743,0.40700000000000003,0.09250000000000001,0.12950000000000003,22.200000000000003,4.625,27.75
404800.0,,anugul,4285254845,Lunahandi,hsc,1.77,1.18,1.77,2.3541000000000003,0.2596,0.059,0.0826,14.16,2.9499999999999997,17.7
404793.0,,anugul,3221416526,Kampala,hsc,4.92,2.83,4.92,6.5436000000000005,0.6226,0.14150000000000001,0.19810000000000003,33.96,7.075,42.45
404959.0,,anugul,2518123555,Kantapada,hsc,1.94,2.1,1.94,2.5802,0.462,0.10500000000000001,0.14700000000000002,25.200000000000003,5.25,31.5
404960.0,,anugul,2518123555,Kantapada,hsc,1.1,1.19,1.1,1.4630000000000003,0.2618,0.0595,0.0833,14.28,2.9749999999999996,17.849999999999998
404965.0,,anugul,2518123555,Kantapada,hsc,1.5,1.62,1.5,1.995,0.35640000000000005,0.08100000000000002,0.11340000000000001,19.44,4.050000000000001,24.3
404791.0,,anugul,3221416526,Kampala,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404794.0,,anugul,3221416526,Kampala,hsc,6.1,3.84,6.1,8.113,0.8448,0.192,0.26880000000000004,46.08,9.6,57.599999999999994
404952.0,,anugul,2518123555,Kantapada,hsc,2.71,2.94,2.71,3.6043000000000003,0.6468,0.147,0.2058,35.28,7.35,44.1
404964.0,,anugul,1122423716,Kiakata,hsc,16.1,13.04,16.1,21.413000000000004,2.8688,0.652,0.9128000000000001,156.48,32.599999999999994,195.6
404792.0,,anugul,3221416526,Kampala,hsc,2.86,1.68,2.86,3.8038,0.3696,0.084,0.11760000000000001,20.16,4.2,25.2
404798.0,,anugul,3221416526,Kampala,hsc,2.25,0.94,2.25,2.9925,0.20679999999999998,0.047,0.0658,11.28,2.3499999999999996,14.1
404958.0,,anugul,2518123555,Kantapada,hsc,2.87,3.1,2.87,3.8171000000000004,0.682,0.15500000000000003,0.21700000000000003,37.2,7.75,46.5
404966.0,,anugul,3221416526,Kampala,hsc,7.19,3.79,7.19,9.562700000000001,0.8338,0.1895,0.26530000000000004,45.480000000000004,9.475,56.85
404789.0,,anugul,2518123555,Kantapada,hsc,0.78,0.85,0.78,1.0374,0.187,0.0425,0.059500000000000004,10.2,2.125,12.75
404799.0,,anugul,4285254845,Lunahandi,hsc,1.82,1.21,1.82,2.4206000000000003,0.2662,0.0605,0.08470000000000001,14.52,3.025,18.15
404953.0,,anugul,2518123555,Kantapada,hsc,2.61,2.83,2.61,3.4713,0.6226,0.14150000000000001,0.19810000000000003,33.96,7.075,42.45
404788.0,,anugul,2518123555,Kantapada,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404790.0,,anugul,3221416526,Kampala,hsc,1.43,0.73,1.43,1.9019,0.1606,0.0365,0.051100000000000007,8.76,1.825,10.95
404796.0,,anugul,3221416526,Kampala,hsc,4.13,2.52,4.13,5.492900000000001,0.5544,0.126,0.17640000000000003,30.240000000000002,6.3,37.8
404797.0,,anugul,4285254845,Lunahandi,hsc,1.82,1.21,1.82,2.4206000000000003,0.2662,0.0605,0.08470000000000001,14.52,3.025,18.15
404795.0,,anugul,3221416526,Kampala,hsc,4.13,2.52,4.13,5.492900000000001,0.5544,0.126,0.17640000000000003,30.240000000000002,6.3,37.8
404858.0,,anugul,3342861782,Kuteswar,hsc,1.03,0.94,1.03,1.3699000000000001,0.20679999999999998,0.047,0.0658,11.28,2.3499999999999996,14.1
404848.0,,anugul,3342861782,Kuteswar,hsc,0.51,0.46,0.51,0.6783,0.1012,0.023000000000000003,0.032200000000000006,5.5200000000000005,1.1500000000000001,6.9
404850.0,,anugul,3342861782,Kuteswar,hsc,2.19,2.01,2.19,2.9127,0.4422,0.10049999999999999,0.1407,24.119999999999997,5.0249999999999995,30.15
404846.0,,anugul,3342861782,Kuteswar,hsc,3.12,2.66,3.12,4.1496,0.5852,0.133,0.18620000000000003,31.92,6.65,39.900000000000006
404855.0,,anugul,3342861782,Kuteswar,hsc,4.81,2.73,4.81,6.3972999999999995,0.6006,0.1365,0.19110000000000002,32.76,6.825,40.95
404865.0,,anugul,8546728653,Aida,hsc,0.78,0.71,0.78,1.0374,0.1562,0.0355,0.0497,8.52,1.775,10.649999999999999
404863.0,,anugul,8546728653,Aida,hsc,2.01,1.85,2.01,2.6733,0.40700000000000003,0.09250000000000001,0.12950000000000003,22.200000000000003,4.625,27.75
404851.0,,anugul,3342861782,Kuteswar,hsc,5.5,2.99,5.5,7.315,0.6578,0.14950000000000002,0.20930000000000004,35.88,7.4750000000000005,44.85
404859.0,,anugul,3342861782,Kuteswar,hsc,1.53,1.4,1.53,2.0349,0.308,0.06999999999999999,0.098,16.799999999999997,3.5,21.0
404854.0,,anugul,3342861782,Kuteswar,hsc,4.81,2.73,4.81,6.3972999999999995,0.6006,0.1365,0.19110000000000002,32.76,6.825,40.95
404901.0,,anugul,3342861782,Kuteswar,hsc,4.81,2.73,4.81,6.3972999999999995,0.6006,0.1365,0.19110000000000002,32.76,6.825,40.95
404856.0,,anugul,3342861782,Kuteswar,hsc,0.34,0.31,0.34,0.45220000000000005,0.0682,0.0155,0.0217,3.7199999999999998,0.775,4.65
404857.0,,anugul,3342861782,Kuteswar,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404867.0,,anugul,8546728653,Aida,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404860.0,,anugul,3342861782,Kuteswar,hsc,2.28,2.09,2.28,3.0324,0.4598,0.1045,0.1463,25.08,5.225,31.349999999999998
