lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
393633.0,,baleshwar,2225264122,Bartana,hsc,3.99,1.66,3.99,5.3067,0.36519999999999997,0.083,0.11620000000000001,19.919999999999998,4.1499999999999995,24.9
393634.0,,baleshwar,2225264122,Bartana,hsc,3.34,1.39,3.34,4.4422,0.30579999999999996,0.06949999999999999,0.0973,16.68,3.4749999999999996,20.849999999999998
393608.0,,baleshwar,6731531213,Kupari,hsc,2.84,2.08,2.84,3.7772,0.4576,0.10400000000000001,0.1456,24.96,5.2,31.200000000000003
393611.0,,baleshwar,3318343740,Haripur,hsc,4.53,1.89,4.53,6.024900000000001,0.4158,0.0945,0.1323,22.68,4.725,28.349999999999998
393625.0,,baleshwar,2225264122,Bartana,hsc,1.29,0.54,1.29,1.7157000000000002,0.1188,0.027000000000000003,0.03780000000000001,6.48,1.35,8.100000000000001
393632.0,,baleshwar,2225264122,Bartana,hsc,2.09,0.87,2.09,2.7797,0.1914,0.043500000000000004,0.0609,10.44,2.175,13.05
393616.0,,baleshwar,2225264122,Bartana,hsc,3.74,1.58,3.74,4.974200000000001,0.3476,0.07900000000000001,0.11060000000000002,18.96,3.95,23.700000000000003
393512.0,,baleshwar,8435862753,Kaithagadia,hsc,9.09,3.74,9.09,12.0897,0.8228000000000001,0.18700000000000003,0.26180000000000003,44.88,9.350000000000001,56.1
393607.0,,baleshwar,6731531213,Kupari,hsc,2.61,1.87,2.61,3.4713,0.41140000000000004,0.09350000000000001,0.13090000000000002,22.44,4.675000000000001,28.05
393517.0,,baleshwar,3318343740,Haripur,hsc,17.89,11.33,17.89,23.7937,2.4926,0.5665,0.7931,135.96,28.325,169.95
393514.0,,baleshwar,3318343740,Haripur,hsc,17.8,11.26,17.8,23.674000000000003,2.4772,0.5630000000000001,0.7882,135.12,28.15,168.9
393622.0,,baleshwar,2225264122,Bartana,hsc,4.92,2.95,4.92,6.5436000000000005,0.649,0.14750000000000002,0.20650000000000004,35.400000000000006,7.375,44.25
393638.0,,baleshwar,2225264122,Bartana,hsc,5.36,2.24,5.36,7.128800000000001,0.49280000000000007,0.11200000000000002,0.15680000000000002,26.880000000000003,5.6000000000000005,33.6
393510.0,,baleshwar,6731531213,Kupari,hsc,6.08,3.01,6.08,8.086400000000001,0.6622,0.1505,0.2107,36.12,7.5249999999999995,45.15
393612.0,,baleshwar,3318343740,Haripur,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393627.0,,baleshwar,2225264122,Bartana,hsc,2.58,1.61,2.58,3.4314000000000004,0.3542,0.08050000000000002,0.11270000000000002,19.32,4.025,24.150000000000002
393628.0,,baleshwar,2225264122,Bartana,hsc,2.76,1.77,2.76,3.6708,0.3894,0.08850000000000001,0.12390000000000001,21.240000000000002,4.425,26.55
393521.0,,baleshwar,6731531213,Kupari,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393520.0,,baleshwar,6731531213,Kupari,hsc,7.29,4.77,7.29,9.6957,1.0493999999999999,0.2385,0.3339,57.239999999999995,11.924999999999999,71.55
393636.0,,baleshwar,2225264122,Bartana,hsc,9.87,4.11,9.87,13.1271,0.9042000000000001,0.20550000000000002,0.28770000000000007,49.32000000000001,10.275,61.650000000000006
393624.0,,baleshwar,2225264122,Bartana,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393503.0,,baleshwar,6731531213,Kupari,hsc,7.84,3.74,7.84,10.427200000000001,0.8228000000000001,0.18700000000000003,0.26180000000000003,44.88,9.350000000000001,56.1
393613.0,,baleshwar,2225264122,Bartana,hsc,2.99,1.99,2.99,3.9767000000000006,0.4378,0.0995,0.1393,23.88,4.975,29.85
393513.0,,baleshwar,6731531213,Kupari,hsc,6.37,4.15,6.37,8.472100000000001,0.913,0.20750000000000002,0.29050000000000004,49.800000000000004,10.375,62.25000000000001
393519.0,,baleshwar,3318343740,Haripur,hsc,21.87,9.19,21.87,29.087100000000003,2.0218,0.4595,0.6433,110.28,22.974999999999998,137.85
393635.0,,baleshwar,2225264122,Bartana,hsc,5.13,2.14,5.13,6.822900000000001,0.47080000000000005,0.10700000000000001,0.14980000000000002,25.68,5.3500000000000005,32.1
393614.0,,baleshwar,2225264122,Bartana,hsc,3.84,1.61,3.84,5.1072,0.3542,0.08050000000000002,0.11270000000000002,19.32,4.025,24.150000000000002
393516.0,,baleshwar,3318343740,Haripur,hsc,17.89,11.33,17.89,23.7937,2.4926,0.5665,0.7931,135.96,28.325,169.95
393515.0,,baleshwar,3318343740,Haripur,hsc,17.87,11.31,17.87,23.767100000000003,2.4882,0.5655,0.7917000000000001,135.72,28.275000000000002,169.65
393629.0,,baleshwar,2225264122,Bartana,hsc,2.59,1.62,2.59,3.4447,0.35640000000000005,0.08100000000000002,0.11340000000000001,19.44,4.050000000000001,24.3
393507.0,,baleshwar,8435862753,Kaithagadia,hsc,5.96,2.49,5.96,7.9268,0.5478000000000001,0.12450000000000001,0.17430000000000004,29.880000000000003,6.2250000000000005,37.35
393508.0,,baleshwar,8435862753,Kaithagadia,hsc,6.14,2.56,6.14,8.1662,0.5632,0.128,0.17920000000000003,30.72,6.4,38.4
393518.0,,baleshwar,3318343740,Haripur,hsc,17.89,11.33,17.89,23.7937,2.4926,0.5665,0.7931,135.96,28.325,169.95
393610.0,,baleshwar,6731531213,Kupari,hsc,3.86,2.18,3.86,5.1338,0.4796,0.10900000000000001,0.1526,26.160000000000004,5.45,32.7
393609.0,,baleshwar,6731531213,Kupari,hsc,2.09,1.4,2.09,2.7797,0.308,0.06999999999999999,0.098,16.799999999999997,3.5,21.0
393626.0,,baleshwar,2225264122,Bartana,hsc,2.03,1.11,2.03,2.6999,0.24420000000000003,0.05550000000000001,0.07770000000000002,13.32,2.7750000000000004,16.650000000000002
393615.0,,baleshwar,2225264122,Bartana,hsc,3.45,1.46,3.45,4.588500000000001,0.3212,0.073,0.10220000000000001,17.52,3.65,21.9
393617.0,,baleshwar,6788565247,Ratina,hsc,4.48,1.83,4.48,5.958400000000001,0.4026,0.09150000000000001,0.12810000000000002,21.96,4.575,27.450000000000003
393621.0,,baleshwar,2225264122,Bartana,hsc,2.55,1.51,2.55,3.3914999999999997,0.3322,0.07550000000000001,0.10570000000000002,18.12,3.775,22.65
393619.0,,baleshwar,2225264122,Bartana,hsc,3.23,2.13,3.23,4.2959000000000005,0.46859999999999996,0.1065,0.1491,25.56,5.324999999999999,31.95
393620.0,,baleshwar,2225264122,Bartana,hsc,3.8,2.48,3.8,5.054,0.5456,0.124,0.1736,29.759999999999998,6.2,37.2
393623.0,,baleshwar,2225264122,Bartana,hsc,2.53,1.06,2.53,3.3649,0.23320000000000002,0.053000000000000005,0.07420000000000002,12.72,2.6500000000000004,15.9
393522.0,,baleshwar,6731531213,Kupari,hsc,2.95,1.7,2.95,3.9235000000000007,0.374,0.085,0.11900000000000001,20.4,4.25,25.5
393630.0,,baleshwar,2225264122,Bartana,hsc,1.69,0.7,1.69,2.2477,0.154,0.034999999999999996,0.049,8.399999999999999,1.75,10.5
393618.0,,baleshwar,6788565247,Ratina,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393409.0,,baleshwar,8435862753,Kaithagadia,hsc,3.31,1.38,3.31,4.4023,0.3036,0.06899999999999999,0.0966,16.56,3.4499999999999997,20.7
393511.0,,baleshwar,8435862753,Kaithagadia,hsc,6.92,2.88,6.92,9.2036,0.6335999999999999,0.144,0.2016,34.56,7.199999999999999,43.199999999999996
393407.0,,baleshwar,3318343740,Haripur,hsc,17.89,11.33,17.89,23.7937,2.4926,0.5665,0.7931,135.96,28.325,169.95
393408.0,,baleshwar,8435862753,Kaithagadia,hsc,7.32,3.05,7.32,9.735600000000002,0.6709999999999999,0.1525,0.2135,36.599999999999994,7.625,45.75
393410.0,,baleshwar,8435862753,Kaithagadia,hsc,0.72,0.3,0.72,0.9576,0.066,0.015,0.021,3.5999999999999996,0.75,4.5
393509.0,,baleshwar,8435862753,Kaithagadia,hsc,5.95,2.48,5.95,7.913500000000001,0.5456,0.124,0.1736,29.759999999999998,6.2,37.2
394185.0,,baleshwar,2225264122,Bartana,hsc,16.15,7.63,16.15,21.479499999999998,1.6786,0.3815,0.5341,91.56,19.075,114.45
394183.0,,baleshwar,2225264122,Bartana,hsc,16.15,7.63,16.15,21.479499999999998,1.6786,0.3815,0.5341,91.56,19.075,114.45
394186.0,,baleshwar,2225264122,Bartana,hsc,16.15,7.63,16.15,21.479499999999998,1.6786,0.3815,0.5341,91.56,19.075,114.45
394197.0,,baleshwar,3688683519,Rapeya,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394202.0,,baleshwar,1764874713,Kalasuni,hsc,0.98,0.43,0.98,1.3034000000000001,0.0946,0.021500000000000002,0.030100000000000002,5.16,1.075,6.45
394207.0,,baleshwar,1764874713,Kalasuni,hsc,0.98,0.43,0.98,1.3034000000000001,0.0946,0.021500000000000002,0.030100000000000002,5.16,1.075,6.45
394206.0,,baleshwar,1764874713,Kalasuni,hsc,1.22,1.12,1.22,1.6226,0.24640000000000004,0.05600000000000001,0.07840000000000001,13.440000000000001,2.8000000000000003,16.8
394177.0,,baleshwar,2118888185,Antara,hsc,1.17,0.49,1.17,1.5561,0.10779999999999999,0.0245,0.034300000000000004,5.88,1.225,7.35
394175.0,,baleshwar,7277626680,Mahatipur,hsc,0.64,0.27,0.64,0.8512000000000001,0.0594,0.013500000000000002,0.018900000000000004,3.24,0.675,4.050000000000001
394194.0,,baleshwar,2118888185,Antara,hsc,0.6,0.25,0.6,0.798,0.055,0.0125,0.0175,3.0,0.625,3.75
394171.0,,baleshwar,5858264376,Ada,hsc,0.29,0.27,0.29,0.3857,0.0594,0.013500000000000002,0.018900000000000004,3.24,0.675,4.050000000000001
394205.0,,baleshwar,1764874713,Kalasuni,hsc,1.22,1.12,1.22,1.6226,0.24640000000000004,0.05600000000000001,0.07840000000000001,13.440000000000001,2.8000000000000003,16.8
394190.0,,baleshwar,2118888185,Antara,hsc,0.76,0.32,0.76,1.0108000000000001,0.0704,0.016,0.022400000000000003,3.84,0.8,4.8
394200.0,,baleshwar,3688683519,Rapeya,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394196.0,,baleshwar,3688683519,Rapeya,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394174.0,,baleshwar,8564265844,Garsanga,hsc,1.15,0.48,1.15,1.5294999999999999,0.1056,0.024,0.033600000000000005,5.76,1.2,7.199999999999999
394178.0,,baleshwar,8564265844,Garsanga,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394169.0,,baleshwar,5858264376,Ada,hsc,0.59,0.54,0.59,0.7847,0.1188,0.027000000000000003,0.03780000000000001,6.48,1.35,8.100000000000001
394181.0,,baleshwar,8564265844,Garsanga,hsc,0.2,0.08,0.2,0.266,0.0176,0.004,0.005600000000000001,0.96,0.2,1.2
394173.0,,baleshwar,5858264376,Ada,hsc,1.88,1.72,1.88,2.5004,0.3784,0.08600000000000001,0.12040000000000001,20.64,4.3,25.8
394176.0,,baleshwar,2118888185,Antara,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394172.0,,baleshwar,5858264376,Ada,hsc,1.68,1.54,1.68,2.2344,0.3388,0.07700000000000001,0.1078,18.48,3.85,23.1
394170.0,,baleshwar,5858264376,Ada,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394193.0,,baleshwar,2118888185,Antara,hsc,1.21,0.51,1.21,1.6093,0.11220000000000001,0.025500000000000002,0.0357,6.12,1.275,7.65
394208.0,,baleshwar,5858264376,Ada,hsc,1.07,0.99,1.07,1.4231000000000003,0.2178,0.0495,0.0693,11.879999999999999,2.475,14.85
394195.0,,baleshwar,7277626680,Mahatipur,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394198.0,,baleshwar,3688683519,Rapeya,hsc,0.79,0.33,0.79,1.0507000000000002,0.0726,0.0165,0.023100000000000002,3.96,0.8250000000000001,4.95
394201.0,,baleshwar,5858264376,Ada,hsc,1.16,1.07,1.16,1.5428,0.23540000000000003,0.053500000000000006,0.07490000000000001,12.84,2.6750000000000003,16.05
394199.0,,baleshwar,3688683519,Rapeya,hsc,0.79,0.33,0.79,1.0507000000000002,0.0726,0.0165,0.023100000000000002,3.96,0.8250000000000001,4.95
394203.0,,baleshwar,3688683519,Rapeya,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394204.0,,baleshwar,3688683519,Rapeya,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394187.0,,baleshwar,2225264122,Bartana,hsc,16.15,7.63,16.15,21.479499999999998,1.6786,0.3815,0.5341,91.56,19.075,114.45
394180.0,,baleshwar,8564265844,Garsanga,hsc,1.63,0.68,1.63,2.1679,0.1496,0.034,0.04760000000000001,8.16,1.7000000000000002,10.200000000000001
394179.0,,baleshwar,8564265844,Garsanga,hsc,0.2,0.08,0.2,0.266,0.0176,0.004,0.005600000000000001,0.96,0.2,1.2
394189.0,,baleshwar,2118888185,Antara,hsc,1.21,0.51,1.21,1.6093,0.11220000000000001,0.025500000000000002,0.0357,6.12,1.275,7.65
394188.0,,baleshwar,2225264122,Bartana,hsc,16.15,7.63,16.15,21.479499999999998,1.6786,0.3815,0.5341,91.56,19.075,114.45
394184.0,,baleshwar,2118888185,Antara,hsc,1.21,0.51,1.21,1.6093,0.11220000000000001,0.025500000000000002,0.0357,6.12,1.275,7.65
394182.0,,baleshwar,8564265844,Garsanga,hsc,0.27,0.11,0.27,0.35910000000000003,0.0242,0.0055000000000000005,0.007700000000000001,1.32,0.275,1.65
394191.0,,baleshwar,2118888185,Antara,hsc,0.6,0.25,0.6,0.798,0.055,0.0125,0.0175,3.0,0.625,3.75
394192.0,,baleshwar,2118888185,Antara,hsc,0.6,0.25,0.6,0.798,0.055,0.0125,0.0175,3.0,0.625,3.75
394135.0,,baleshwar,3413171210,Sunguda,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394264.0,,baleshwar,1375743786,Kanchapada,hsc,0.32,0.22,0.32,0.42560000000000003,0.0484,0.011000000000000001,0.015400000000000002,2.64,0.55,3.3
394165.0,,baleshwar,1152364525,Simulia,hsc,1.89,2.68,1.89,2.5137,0.5896,0.134,0.18760000000000002,32.160000000000004,6.7,40.2
394243.0,,baleshwar,4176371880,Maitapur,hsc,3.29,2.19,3.29,4.3757,0.4818,0.1095,0.15330000000000002,26.28,5.475,32.85
394241.0,,baleshwar,4176371880,Maitapur,hsc,2.56,1.71,2.56,3.4048000000000003,0.3762,0.0855,0.11970000000000001,20.52,4.275,25.65
394244.0,,baleshwar,1375743786,Kanchapada,hsc,3.88,2.59,3.88,5.1604,0.5698,0.1295,0.18130000000000002,31.08,6.475,38.849999999999994
394233.0,,baleshwar,4176371880,Maitapur,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394232.0,,baleshwar,6287452384,Ramakrushnapur,hsc,13.64,8.84,13.64,18.1412,1.9448,0.442,0.6188,106.08,22.1,132.6
