lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
417863.0,,boudh,2378185744,Nuapali,hsc,12.57,5.27,12.57,16.7181,1.1594,0.2635,0.3689,63.239999999999995,13.174999999999999,79.05
417861.0,,boudh,2378185744,Nuapali,hsc,15.83,8.22,15.83,21.053900000000002,1.8084000000000002,0.41100000000000003,0.5754000000000001,98.64000000000001,20.55,123.30000000000001
417864.0,,boudh,2378185744,Nuapali,hsc,11.19,4.62,11.19,14.8827,1.0164,0.231,0.3234,55.44,11.55,69.3
417862.0,,boudh,2378185744,Nuapali,hsc,16.1,6.74,16.1,21.413000000000004,1.4828000000000001,0.337,0.47180000000000005,80.88,16.85,101.10000000000001
417868.0,,boudh,4162517512,Masinagora,hsc,10.03,5.75,10.03,13.3399,1.265,0.28750000000000003,0.4025,69.0,14.375,86.25
417877.0,,boudh,4162517512,Masinagora,hsc,1.93,1.02,1.93,2.5669,0.22440000000000002,0.051000000000000004,0.0714,12.24,2.55,15.3
417866.0,,boudh,2378185744,Nuapali,hsc,14.97,7.43,14.97,19.910100000000003,1.6346,0.3715,0.5201,89.16,18.575,111.44999999999999
417869.0,,boudh,4162517512,Masinagora,hsc,7.46,4.5,7.46,9.921800000000001,0.99,0.225,0.31500000000000006,54.0,11.25,67.5
417875.0,,boudh,4162517512,Masinagora,hsc,4.14,2.22,4.14,5.5062,0.48840000000000006,0.11100000000000002,0.15540000000000004,26.64,5.550000000000001,33.300000000000004
417884.0,,boudh,8565427864,Uma,hsc,21.1,12.97,21.1,28.063000000000002,2.8534,0.6485000000000001,0.9079000000000002,155.64000000000001,32.425000000000004,194.55
417870.0,,boudh,4162517512,Masinagora,hsc,7.95,4.88,7.95,10.573500000000001,1.0735999999999999,0.244,0.3416,58.56,12.2,73.2
417880.0,,boudh,4162517512,Masinagora,hsc,6.36,5.21,6.36,8.4588,1.1462,0.2605,0.3647,62.519999999999996,13.025,78.15
417859.0,,boudh,2378185744,Nuapali,hsc,6.51,3.68,6.51,8.6583,0.8096,0.18400000000000002,0.25760000000000005,44.160000000000004,9.200000000000001,55.2
417858.0,,boudh,2378185744,Nuapali,hsc,4.67,3.09,4.67,6.2111,0.6798,0.1545,0.21630000000000002,37.08,7.725,46.349999999999994
417848.0,,boudh,6822748148,Ambagoan,hsc,6.69,4.29,6.69,8.8977,0.9438,0.21450000000000002,0.3003,51.480000000000004,10.725,64.35
417867.0,,boudh,2378185744,Nuapali,hsc,14.82,7.15,14.82,19.710600000000003,1.5730000000000002,0.35750000000000004,0.5005000000000001,85.80000000000001,17.875,107.25
417881.0,,boudh,4162517512,Masinagora,hsc,7.54,5.12,7.54,10.0282,1.1264,0.256,0.35840000000000005,61.44,12.8,76.8
417847.0,,boudh,1415141637,Uden,hsc,3.21,2.04,3.21,4.2693,0.44880000000000003,0.10200000000000001,0.1428,24.48,5.1,30.6
417845.0,,boudh,8565427864,Uma,hsc,7.32,4.03,7.32,9.735600000000002,0.8866,0.2015,0.2821,48.36,10.075000000000001,60.45
