lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
400349.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400351.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400346.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400347.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400352.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400350.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400321.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400348.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400320.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400355.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400359.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400361.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400340.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400360.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400373.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400370.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400337.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400358.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400336.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400339.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400341.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400357.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400380.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400372.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400379.0,,cuttack,4346172481,Sithalo,hsc,2.13,0.89,2.13,2.8329,0.1958,0.044500000000000005,0.06230000000000001,10.68,2.225,13.35
400382.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400381.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400374.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400385.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400386.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400387.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400388.0,,cuttack,4346172481,Sithalo,hsc,3.34,1.39,3.34,4.4422,0.30579999999999996,0.06949999999999999,0.0973,16.68,3.4749999999999996,20.849999999999998
400383.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400384.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400389.0,,cuttack,4346172481,Sithalo,hsc,2.69,1.12,2.69,3.5777,0.24640000000000004,0.05600000000000001,0.07840000000000001,13.440000000000001,2.8000000000000003,16.8
400390.0,,cuttack,4346172481,Sithalo,hsc,5.05,2.1,5.05,6.7165,0.462,0.10500000000000001,0.14700000000000002,25.200000000000003,5.25,31.5
400369.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400368.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400335.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400367.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400375.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400362.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400365.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400363.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400344.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400377.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400376.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400378.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400366.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400354.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400353.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400338.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400356.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400342.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400345.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400343.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400331.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400371.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400364.0,,cuttack,4346172481,Sithalo,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398433.0,,cuttack,6184714449,Kamaladihi,hsc,0.65,0.34,0.65,0.8645,0.0748,0.017,0.023800000000000005,4.08,0.8500000000000001,5.1000000000000005
398514.0,,cuttack,1738648177,Badabhumi,hsc,9.28,4.68,9.28,12.3424,1.0295999999999998,0.23399999999999999,0.3276,56.16,11.7,70.19999999999999
398483.0,,cuttack,6326677868,Balisahi,hsc,2.38,1.27,2.38,3.1654,0.2794,0.0635,0.0889,15.24,3.175,19.05
398461.0,,cuttack,1384763825,Jodum,hsc,1.95,1.04,1.95,2.5935,0.2288,0.052000000000000005,0.0728,12.48,2.6,15.600000000000001
398471.0,,cuttack,1384763825,Jodum,hsc,0.48,0.26,0.48,0.6384,0.0572,0.013000000000000001,0.0182,3.12,0.65,3.9000000000000004
398482.0,,cuttack,6326677868,Balisahi,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398453.0,,cuttack,1384763825,Jodum,hsc,0.65,0.35,0.65,0.8645,0.077,0.017499999999999998,0.0245,4.199999999999999,0.875,5.25
398528.0,,cuttack,7433785172,Kokalaba,hsc,3.67,1.96,3.67,4.8811,0.43119999999999997,0.098,0.13720000000000002,23.52,4.9,29.4
398491.0,,cuttack,6326677868,Balisahi,hsc,1.06,0.56,1.06,1.4098000000000002,0.12320000000000002,0.028000000000000004,0.039200000000000006,6.720000000000001,1.4000000000000001,8.4
398496.0,,cuttack,7433785172,Kokalaba,hsc,2.49,1.33,2.49,3.3117000000000005,0.2926,0.0665,0.09310000000000002,15.96,3.325,19.950000000000003
398436.0,,cuttack,3162821122,Ragada,hsc,1.45,0.78,1.45,1.9285,0.1716,0.03900000000000001,0.05460000000000001,9.36,1.9500000000000002,11.700000000000001
398458.0,,cuttack,1738483146,Basantpur,hsc,2.86,1.52,2.86,3.8038,0.33440000000000003,0.07600000000000001,0.10640000000000001,18.240000000000002,3.8,22.8
398492.0,,cuttack,7433785172,Kokalaba,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398493.0,,cuttack,7584735182,Ghantapada,hsc,0.49,0.26,0.49,0.6517000000000001,0.0572,0.013000000000000001,0.0182,3.12,0.65,3.9000000000000004
398469.0,,cuttack,5438348525,Saradapur,hsc,2.07,1.1,2.07,2.7531,0.24200000000000002,0.05500000000000001,0.07700000000000001,13.200000000000001,2.75,16.5
398448.0,,cuttack,1738483146,Basantpur,hsc,2.35,1.25,2.35,3.1255,0.275,0.0625,0.08750000000000001,15.0,3.125,18.75
398480.0,,cuttack,5438348525,Saradapur,hsc,2.72,1.45,2.72,3.6176000000000004,0.319,0.0725,0.1015,17.4,3.625,21.75
398511.0,,cuttack,7433785172,Kokalaba,hsc,9.33,4.46,9.33,12.408900000000001,0.9812,0.223,0.31220000000000003,53.519999999999996,11.15,66.9
398530.0,,cuttack,2362411221,Kakudia,hsc,0.48,0.25,0.48,0.6384,0.055,0.0125,0.0175,3.0,0.625,3.75
398447.0,,cuttack,1738483146,Basantpur,hsc,3.39,1.81,3.39,4.5087,0.3982,0.09050000000000001,0.1267,21.72,4.525,27.150000000000002
398459.0,,cuttack,1738483146,Basantpur,hsc,0.07,0.04,0.07,0.09310000000000002,0.0088,0.002,0.0028000000000000004,0.48,0.1,0.6
398485.0,,cuttack,6326677868,Balisahi,hsc,1.62,0.86,1.62,2.1546000000000003,0.1892,0.043000000000000003,0.060200000000000004,10.32,2.15,12.9
398494.0,,cuttack,7584735182,Ghantapada,hsc,0.16,0.09,0.16,0.21280000000000002,0.019799999999999998,0.0045,0.0063,1.08,0.22499999999999998,1.3499999999999999
398502.0,,cuttack,7433785172,Kokalaba,hsc,3.04,1.62,3.04,4.043200000000001,0.35640000000000005,0.08100000000000002,0.11340000000000001,19.44,4.050000000000001,24.3
398443.0,,cuttack,6184714449,Kamaladihi,hsc,2.14,1.14,2.14,2.8462000000000005,0.25079999999999997,0.056999999999999995,0.0798,13.68,2.8499999999999996,17.099999999999998
398498.0,,cuttack,8718285722,Padamala,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398500.0,,cuttack,2362411221,Kakudia,hsc,8.02,4.28,8.02,10.6666,0.9416000000000001,0.21400000000000002,0.29960000000000003,51.36,10.700000000000001,64.2
398510.0,,cuttack,7433785172,Kokalaba,hsc,6.79,3.4,6.79,9.030700000000001,0.748,0.17,0.23800000000000002,40.8,8.5,51.0
398451.0,,cuttack,1738483146,Basantpur,hsc,1.01,0.54,1.01,1.3433000000000002,0.1188,0.027000000000000003,0.03780000000000001,6.48,1.35,8.100000000000001
398472.0,,cuttack,1738648177,Badabhumi,hsc,9.53,4.83,9.53,12.6749,1.0626,0.24150000000000002,0.3381,57.96,12.075,72.45
398497.0,,cuttack,8718285722,Padamala,hsc,11.33,6.04,11.33,15.068900000000001,1.3288,0.30200000000000005,0.42280000000000006,72.48,15.1,90.6
398446.0,,cuttack,3162821122,Ragada,hsc,1.03,0.55,1.03,1.3699000000000001,0.12100000000000001,0.027500000000000004,0.038500000000000006,6.6000000000000005,1.375,8.25
398464.0,,cuttack,1384763825,Jodum,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398441.0,,cuttack,6184714449,Kamaladihi,hsc,2.35,1.25,2.35,3.1255,0.275,0.0625,0.08750000000000001,15.0,3.125,18.75
398454.0,,cuttack,1738483146,Basantpur,hsc,0.92,0.49,0.92,1.2236,0.10779999999999999,0.0245,0.034300000000000004,5.88,1.225,7.35
