lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
403066.0,,dhenkanal,3867417424,Khajurikata,hsc,6.2,3.1,6.2,8.246,0.682,0.15500000000000003,0.21700000000000003,37.2,7.75,46.5
403067.0,,dhenkanal,3867417424,Khajurikata,hsc,5.97,2.58,5.97,7.9401,0.5676,0.129,0.1806,30.96,6.45,38.7
403092.0,,dhenkanal,3867417424,Khajurikata,hsc,4.17,2.01,4.17,5.5461,0.4422,0.10049999999999999,0.1407,24.119999999999997,5.0249999999999995,30.15
403093.0,,dhenkanal,3868443213,Madhapur,hsc,20.32,13.31,20.32,27.0256,2.9282,0.6655000000000001,0.9317000000000001,159.72,33.275,199.65
403090.0,,dhenkanal,3867417424,Khajurikata,hsc,3.7,1.77,3.7,4.921,0.3894,0.08850000000000001,0.12390000000000001,21.240000000000002,4.425,26.55
403091.0,,dhenkanal,3867417424,Khajurikata,hsc,4.28,2.52,4.28,5.692400000000001,0.5544,0.126,0.17640000000000003,30.240000000000002,6.3,37.8
403086.0,,dhenkanal,2637387362,Rajmohanpur,hsc,0.24,0.26,0.24,0.3192,0.0572,0.013000000000000001,0.0182,3.12,0.65,3.9000000000000004
403085.0,,dhenkanal,3868443213,Madhapur,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403084.0,,dhenkanal,3868443213,Madhapur,hsc,0.36,0.24,0.36,0.4788,0.0528,0.012,0.016800000000000002,2.88,0.6,3.5999999999999996
403150.0,,dhenkanal,3868443213,Madhapur,hsc,19.63,13.09,19.63,26.1079,2.8798,0.6545000000000001,0.9163000000000001,157.07999999999998,32.725,196.35
403151.0,,dhenkanal,8642876315,Khaliborei,hsc,14.29,9.52,14.29,19.0057,2.0944,0.476,0.6664,114.24,23.799999999999997,142.79999999999998
403149.0,,dhenkanal,3868443213,Madhapur,hsc,15.13,10.1,15.13,20.1229,2.222,0.505,0.7070000000000001,121.19999999999999,25.25,151.5
403334.0,,dhenkanal,3464633589,Ghatipiri,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403328.0,,dhenkanal,4218827584,Bhaliabol kateni,hsc,7.43,4.46,7.43,9.8819,0.9812,0.223,0.31220000000000003,53.519999999999996,11.15,66.9
403335.0,,dhenkanal,6868234532,Kottam,hsc,3.83,1.98,3.83,5.0939000000000005,0.4356,0.099,0.1386,23.759999999999998,4.95,29.7
403336.0,,dhenkanal,6868234532,Kottam,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403337.0,,dhenkanal,6868234532,Kottam,hsc,0.84,1.18,0.84,1.1172,0.2596,0.059,0.0826,14.16,2.9499999999999997,17.7
403341.0,,dhenkanal,3464633589,Ghatipiri,hsc,1.7,2.4,1.7,2.261,0.528,0.12,0.168,28.799999999999997,6.0,36.0
403342.0,,dhenkanal,3464633589,Ghatipiri,hsc,2.42,1.92,2.42,3.2186,0.4224,0.096,0.13440000000000002,23.04,4.8,28.799999999999997
403339.0,,dhenkanal,3336675842,Kalanga,hsc,4.75,1.98,4.75,6.317500000000001,0.4356,0.099,0.1386,23.759999999999998,4.95,29.7
403338.0,,dhenkanal,3336675842,Kalanga,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403388.0,,dhenkanal,3543646479,Manapur,hsc,5.07,2.11,5.07,6.743100000000001,0.4642,0.1055,0.1477,25.32,5.2749999999999995,31.65
403386.0,,dhenkanal,3336675842,Kalanga,hsc,17.67,7.36,17.67,23.501100000000005,1.6192,0.36800000000000005,0.5152000000000001,88.32000000000001,18.400000000000002,110.4
403387.0,,dhenkanal,3543646479,Manapur,hsc,7.68,3.2,7.68,10.2144,0.7040000000000001,0.16000000000000003,0.22400000000000003,38.400000000000006,8.0,48.0
403385.0,,dhenkanal,3543646479,Manapur,hsc,9.8,4.08,9.8,13.034000000000002,0.8976000000000001,0.20400000000000001,0.2856,48.96,10.2,61.2
403384.0,,dhenkanal,3464633589,Ghatipiri,hsc,7.17,4.27,7.17,9.536100000000001,0.9393999999999999,0.2135,0.2989,51.239999999999995,10.674999999999999,64.05
403383.0,,dhenkanal,3464633589,Ghatipiri,hsc,6.71,4.08,6.71,8.9243,0.8976000000000001,0.20400000000000001,0.2856,48.96,10.2,61.2
403340.0,,dhenkanal,3464633589,Ghatipiri,hsc,5.06,3.02,5.06,6.7298,0.6644,0.15100000000000002,0.21140000000000003,36.24,7.55,45.3
403345.0,,dhenkanal,3254577780,Bhapur,hsc,3.18,1.91,3.18,4.2294,0.42019999999999996,0.0955,0.1337,22.919999999999998,4.7749999999999995,28.65
403344.0,,dhenkanal,3464633589,Ghatipiri,hsc,0.34,0.49,0.34,0.45220000000000005,0.10779999999999999,0.0245,0.034300000000000004,5.88,1.225,7.35
