lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
414540.0,,gajapati,3781176783,Haripur,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414530.0,,gajapati,6437771345,Kashinagar,hsc,0.9,0.38,0.9,1.197,0.08360000000000001,0.019000000000000003,0.026600000000000002,4.5600000000000005,0.95,5.7
414551.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47,10.78,14.3374,0.9833999999999999,0.2235,0.3129,53.64,11.174999999999999,67.05
414554.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47,10.78,14.3374,0.9833999999999999,0.2235,0.3129,53.64,11.174999999999999,67.05
414553.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47,10.78,14.3374,0.9833999999999999,0.2235,0.3129,53.64,11.174999999999999,67.05
414555.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47,10.78,14.3374,0.9833999999999999,0.2235,0.3129,53.64,11.174999999999999,67.05
414575.0,,gajapati,6647428355,Hadhubhangi,hsc,0.36,0.39,0.36,0.4788,0.0858,0.019500000000000003,0.027300000000000005,4.68,0.9750000000000001,5.8500000000000005
414537.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414546.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414535.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414536.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414445.0,,gajapati,1316631173,Kidigam,hsc,10.78,4.47,10.78,14.3374,0.9833999999999999,0.2235,0.3129,53.64,11.174999999999999,67.05
414556.0,,gajapati,6647428355,Hadhubhangi,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414574.0,,gajapati,6647428355,Hadhubhangi,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414545.0,,gajapati,3781176783,Haripur,hsc,14.03,6.33,14.03,18.6599,1.3926,0.3165,0.44310000000000005,75.96000000000001,15.825,94.95
414446.0,,gajapati,6647428355,Hadhubhangi,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414541.0,,gajapati,3781176783,Haripur,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414552.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414548.0,,gajapati,1316631173,Kidigam,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
