lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
381000.0,,jharsuguda,1111456644,Kiritmal,hsc,1.78,1.19,1.78,2.3674,0.2618,0.0595,0.0833,14.28,2.9749999999999996,17.849999999999998
380999.0,,jharsuguda,1111461685,Muralipali,hsc,6.98,3.2,6.98,9.2834,0.7040000000000001,0.16000000000000003,0.22400000000000003,38.400000000000006,8.0,48.0
380997.0,,jharsuguda,1111462378,Sukhasoda,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381002.0,,jharsuguda,1111456644,Kiritmal,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380995.0,,jharsuguda,1111461685,Muralipali,hsc,6.46,3.87,6.46,8.591800000000001,0.8514,0.1935,0.27090000000000003,46.44,9.675,58.050000000000004
380998.0,,jharsuguda,1111462378,Sukhasoda,hsc,10.48,4.09,10.48,13.938400000000001,0.8997999999999999,0.20450000000000002,0.2863,49.08,10.225,61.349999999999994
380996.0,,jharsuguda,1111461685,Muralipali,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380994.0,,jharsuguda,1111461685,Muralipali,hsc,8.24,5.15,8.24,10.959200000000001,1.133,0.2575,0.36050000000000004,61.800000000000004,12.875,77.25
380993.0,,jharsuguda,1111461776,Pithinda,hsc,4.5,2.71,4.5,5.985,0.5962,0.1355,0.1897,32.519999999999996,6.775,40.65
380988.0,,jharsuguda,1111461776,Pithinda,hsc,3.47,2.32,3.47,4.615100000000001,0.5104,0.11599999999999999,0.16240000000000002,27.839999999999996,5.8,34.8
381003.0,,jharsuguda,1111456644,Kiritmal,hsc,0.01,0.0,0.01,0.013300000000000001,0.0,0.0,0.0,0.0,0.0,0.0
381004.0,,jharsuguda,1111456644,Kiritmal,hsc,60.19,38.08,60.19,80.0527,8.3776,1.904,2.6656,456.96,95.19999999999999,571.1999999999999
380970.0,,jharsuguda,1111455745,Bhanarkhol,hsc,0.87,1.24,0.87,1.1571,0.2728,0.062,0.0868,14.879999999999999,3.1,18.6
381001.0,,jharsuguda,1111456644,Kiritmal,hsc,0.24,0.16,0.24,0.3192,0.0352,0.008,0.011200000000000002,1.92,0.4,2.4
380991.0,,jharsuguda,1111461776,Pithinda,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380992.0,,jharsuguda,1111461776,Pithinda,hsc,1.84,1.14,1.84,2.4472,0.25079999999999997,0.056999999999999995,0.0798,13.68,2.8499999999999996,17.099999999999998
380974.0,,jharsuguda,1111456438,Gumadera,hsc,0.41,0.59,0.41,0.5453,0.1298,0.0295,0.0413,7.08,1.4749999999999999,8.85
380971.0,,jharsuguda,1111456438,Gumadera,hsc,0.43,0.61,0.43,0.5719000000000001,0.13419999999999999,0.0305,0.0427,7.32,1.525,9.15
380972.0,,jharsuguda,1111456438,Gumadera,hsc,0.41,0.59,0.41,0.5453,0.1298,0.0295,0.0413,7.08,1.4749999999999999,8.85
