lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
424203.0,,kalahandi,7525622150,Mangalpur,hsc,3.77,2.51,3.77,5.0141,0.5521999999999999,0.1255,0.1757,30.119999999999997,6.2749999999999995,37.65
424219.0,,kalahandi,7185386856,Sastuguda,hsc,3.34,2.24,3.34,4.4422,0.49280000000000007,0.11200000000000002,0.15680000000000002,26.880000000000003,5.6000000000000005,33.6
424515.0,,kalahandi,6873558271,Balisara,hsc,16.82,11.1,16.82,22.370600000000003,2.4419999999999997,0.555,0.777,133.2,27.75,166.5
424220.0,,kalahandi,7185386856,Sastuguda,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424215.0,,kalahandi,7714273682,Karanjiguda,hsc,3.37,2.19,3.37,4.4821,0.4818,0.1095,0.15330000000000002,26.28,5.475,32.85
424182.0,,kalahandi,3281482749,Sargiguda,hsc,7.71,3.2,7.71,10.2543,0.7040000000000001,0.16000000000000003,0.22400000000000003,38.400000000000006,8.0,48.0
424218.0,,kalahandi,4575878220,Dhansuli,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424472.0,,kalahandi,7243628281,Gopinathpur,hsc,14.46,9.64,14.46,19.231800000000003,2.1208,0.48200000000000004,0.6748000000000001,115.68,24.1,144.60000000000002
424201.0,,kalahandi,4575878220,Dhansuli,hsc,2.32,1.54,2.32,3.0856,0.3388,0.07700000000000001,0.1078,18.48,3.85,23.1
424200.0,,kalahandi,3281482749,Sargiguda,hsc,6.5,2.7,6.5,8.645,0.5940000000000001,0.135,0.18900000000000003,32.400000000000006,6.75,40.5
424516.0,,kalahandi,6873558271,Balisara,hsc,16.82,11.1,16.82,22.370600000000003,2.4419999999999997,0.555,0.777,133.2,27.75,166.5
424223.0,,kalahandi,7185386856,Sastuguda,hsc,4.48,2.97,4.48,5.958400000000001,0.6534000000000001,0.14850000000000002,0.20790000000000003,35.64,7.425000000000001,44.550000000000004
424474.0,,kalahandi,7243628281,Gopinathpur,hsc,14.46,9.64,14.46,19.231800000000003,2.1208,0.48200000000000004,0.6748000000000001,115.68,24.1,144.60000000000002
424224.0,,kalahandi,7185386856,Sastuguda,hsc,0.28,0.19,0.28,0.37240000000000006,0.041800000000000004,0.009500000000000001,0.013300000000000001,2.2800000000000002,0.475,2.85
424471.0,,kalahandi,7243628281,Gopinathpur,hsc,14.46,9.64,14.46,19.231800000000003,2.1208,0.48200000000000004,0.6748000000000001,115.68,24.1,144.60000000000002
424226.0,,kalahandi,7185386856,Sastuguda,hsc,2.96,1.98,2.96,3.9368000000000003,0.4356,0.099,0.1386,23.759999999999998,4.95,29.7
424225.0,,kalahandi,7185386856,Sastuguda,hsc,2.96,1.98,2.96,3.9368000000000003,0.4356,0.099,0.1386,23.759999999999998,4.95,29.7
424202.0,,kalahandi,7525622150,Mangalpur,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
