lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
417232.0,,kandhamal,8244624576,Durgapanga,hsc,0.85,0.92,0.85,1.1305,0.2024,0.046000000000000006,0.06440000000000001,11.040000000000001,2.3000000000000003,13.8
417231.0,,kandhamal,8244624576,Durgapanga,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417222.0,,kandhamal,7767534360,Radiguma,hsc,1.68,1.83,1.68,2.2344,0.4026,0.09150000000000001,0.12810000000000002,21.96,4.575,27.450000000000003
417193.0,,kandhamal,7767534360,Radiguma,hsc,2.59,2.8,2.59,3.4447,0.616,0.13999999999999999,0.196,33.599999999999994,7.0,42.0
417196.0,,kandhamal,7767534360,Radiguma,hsc,0.46,0.5,0.46,0.6118,0.11,0.025,0.035,6.0,1.25,7.5
417195.0,,kandhamal,7767534360,Radiguma,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417233.0,,kandhamal,8244624576,Durgapanga,hsc,8.53,7.41,8.53,11.344899999999999,1.6302,0.37050000000000005,0.5187,88.92,18.525,111.15
417124.0,,kandhamal,7767534360,Radiguma,hsc,2.56,2.78,2.56,3.4048000000000003,0.6115999999999999,0.13899999999999998,0.1946,33.36,6.949999999999999,41.699999999999996
417228.0,,kandhamal,8244624576,Durgapanga,hsc,5.88,6.37,5.88,7.8204,1.4014,0.3185,0.4459000000000001,76.44,15.925,95.55
417227.0,,kandhamal,8244624576,Durgapanga,hsc,9.52,7.82,9.52,12.6616,1.7204000000000002,0.391,0.5474000000000001,93.84,19.55,117.30000000000001
417192.0,,kandhamal,7767534360,Radiguma,hsc,2.54,2.75,2.54,3.3782,0.605,0.1375,0.1925,33.0,6.875,41.25
417223.0,,kandhamal,7767534360,Radiguma,hsc,2.69,2.92,2.69,3.5777,0.6424,0.146,0.20440000000000003,35.04,7.3,43.8
417194.0,,kandhamal,7767534360,Radiguma,hsc,2.56,2.77,2.56,3.4048000000000003,0.6094,0.1385,0.19390000000000002,33.24,6.925,41.55
417230.0,,kandhamal,8244624576,Durgapanga,hsc,2.1,2.28,2.1,2.793,0.5015999999999999,0.11399999999999999,0.1596,27.36,5.699999999999999,34.199999999999996
417229.0,,kandhamal,8244624576,Durgapanga,hsc,4.13,4.48,4.13,5.492900000000001,0.9856000000000001,0.22400000000000003,0.31360000000000005,53.760000000000005,11.200000000000001,67.2
417234.0,,kandhamal,3726612116,Dharakote,hsc,17.6,7.33,17.6,23.408000000000005,1.6126,0.36650000000000005,0.5131,87.96000000000001,18.325,109.95
417235.0,,kandhamal,3726612116,Dharakote,hsc,13.73,5.72,13.73,18.260900000000003,1.2584,0.286,0.40040000000000003,68.64,14.299999999999999,85.8
417226.0,,kandhamal,7767534360,Radiguma,hsc,5.04,5.46,5.04,6.703200000000001,1.2012,0.273,0.38220000000000004,65.52,13.65,81.9
417225.0,,kandhamal,7767534360,Radiguma,hsc,4.17,4.52,4.17,5.5461,0.9944,0.22599999999999998,0.3164,54.239999999999995,11.299999999999999,67.8
417224.0,,kandhamal,7767534360,Radiguma,hsc,3.95,4.28,3.95,5.253500000000001,0.9416000000000001,0.21400000000000002,0.29960000000000003,51.36,10.700000000000001,64.2
417107.0,,kandhamal,3464267370,Bilamala,hsc,8.03,3.34,8.03,10.6799,0.7348,0.167,0.2338,40.08,8.35,50.099999999999994
416972.0,,kandhamal,3514171226,Guma,hsc,5.3,5.74,5.3,7.049,1.2628000000000001,0.28700000000000003,0.40180000000000005,68.88,14.350000000000001,86.10000000000001
417118.0,,kandhamal,3464267370,Bilamala,hsc,8.04,3.34,8.04,10.6932,0.7348,0.167,0.2338,40.08,8.35,50.099999999999994
417111.0,,kandhamal,3464267370,Bilamala,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416978.0,,kandhamal,3514171226,Guma,hsc,3.31,3.58,3.31,4.4023,0.7876,0.17900000000000002,0.25060000000000004,42.96,8.95,53.7
417093.0,,kandhamal,3774866135,Tumudibandha,hsc,2.74,2.96,2.74,3.6442000000000005,0.6512,0.148,0.20720000000000002,35.519999999999996,7.4,44.4
417092.0,,kandhamal,3774866135,Tumudibandha,hsc,2.69,2.9,2.69,3.5777,0.638,0.145,0.203,34.8,7.25,43.5
417122.0,,kandhamal,7767534360,Radiguma,hsc,1.98,2.15,1.98,2.6334,0.473,0.1075,0.1505,25.799999999999997,5.375,32.25
417100.0,,kandhamal,3514171226,Guma,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417123.0,,kandhamal,7767534360,Radiguma,hsc,1.16,1.26,1.16,1.5428,0.2772,0.063,0.08820000000000001,15.120000000000001,3.15,18.9
417091.0,,kandhamal,3774866135,Tumudibandha,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417189.0,,kandhamal,2483373458,Kotagarh,hsc,3.54,3.21,3.54,4.708200000000001,0.7062,0.1605,0.2247,38.519999999999996,8.025,48.15
417121.0,,kandhamal,7767534360,Radiguma,hsc,2.1,2.27,2.1,2.793,0.4994,0.1135,0.1589,27.240000000000002,5.675,34.05
417115.0,,kandhamal,3464267370,Bilamala,hsc,8.04,3.34,8.04,10.6932,0.7348,0.167,0.2338,40.08,8.35,50.099999999999994
