lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
387280.0,,kendujhar,1348764455,Godabandhagoda,hsc,1.7,0.71,1.7,2.261,0.1562,0.0355,0.0497,8.52,1.775,10.649999999999999
387315.0,,kendujhar,1348764455,Godabandhagoda,hsc,0.97,0.41,0.97,1.2901,0.09019999999999999,0.0205,0.0287,4.92,1.025,6.1499999999999995
387281.0,,kendujhar,4613856873,Nandabar,hsc,44.76,32.28,44.76,59.5308,7.1016,1.614,2.2596000000000003,387.36,80.7,484.20000000000005
387317.0,,kendujhar,4613856873,Nandabar,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387319.0,,kendujhar,4613856873,Nandabar,hsc,5.91,2.97,5.91,7.8603000000000005,0.6534000000000001,0.14850000000000002,0.20790000000000003,35.64,7.425000000000001,44.550000000000004
387318.0,,kendujhar,4613856873,Nandabar,hsc,4.43,1.85,4.43,5.8919,0.40700000000000003,0.09250000000000001,0.12950000000000003,22.200000000000003,4.625,27.75
387316.0,,kendujhar,1348764455,Godabandhagoda,hsc,1.64,0.68,1.64,2.1812,0.1496,0.034,0.04760000000000001,8.16,1.7000000000000002,10.200000000000001
387314.0,,kendujhar,2514231147,Angurua,hsc,1.4,1.29,1.4,1.8619999999999999,0.2838,0.0645,0.0903,15.48,3.225,19.35
387324.0,,kendujhar,1348764455,Godabandhagoda,hsc,2.38,0.99,2.38,3.1654,0.2178,0.0495,0.0693,11.879999999999999,2.475,14.85
387337.0,,kendujhar,6322612521,Badapadana,hsc,14.55,17.96,14.55,19.3515,3.9512,0.8980000000000001,1.2572,215.52,44.900000000000006,269.40000000000003
387366.0,,kendujhar,7334817637,Taruan,hsc,6.8,2.79,6.8,9.044,0.6138,0.1395,0.19530000000000003,33.480000000000004,6.975,41.85
387368.0,,kendujhar,7334817637,Taruan,hsc,6.81,2.79,6.81,9.0573,0.6138,0.1395,0.19530000000000003,33.480000000000004,6.975,41.85
387321.0,,kendujhar,2514231147,Angurua,hsc,8.41,4.61,8.41,11.185300000000002,1.0142,0.23050000000000004,0.32270000000000004,55.32000000000001,11.525,69.15
