lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
429725.0,,koraput,4486375233,Andarguda,hsc,21.86,15.29,21.86,29.073800000000002,3.3638,0.7645,1.0703,183.48,38.224999999999994,229.35
429726.0,,koraput,4486375233,Andarguda,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429397.0,,koraput,6481853437,Chipakura,hsc,4.49,2.4,4.49,5.9717,0.528,0.12,0.168,28.799999999999997,6.0,36.0
429348.0,,koraput,2424688352,Tentuliguma,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429411.0,,koraput,6481853437,Chipakura,hsc,35.15,14.64,35.15,46.7495,3.2208,0.7320000000000001,1.0248000000000002,175.68,36.6,219.60000000000002
429490.0,,koraput,6481853437,Chipakura,hsc,33.27,13.86,33.27,44.249100000000006,3.0492,0.6930000000000001,0.9702000000000001,166.32,34.65,207.89999999999998
429491.0,,koraput,6481853437,Chipakura,hsc,32.32,13.46,32.32,42.985600000000005,2.9612000000000003,0.673,0.9422000000000001,161.52,33.650000000000006,201.9
429492.0,,koraput,6481853437,Chipakura,hsc,32.35,13.47,32.35,43.0255,2.9634,0.6735000000000001,0.9429000000000002,161.64000000000001,33.675000000000004,202.05
429493.0,,koraput,7138581843,Kathopoda,hsc,7.81,11.05,7.81,10.3873,2.431,0.5525000000000001,0.7735000000000001,132.60000000000002,27.625,165.75
429494.0,,koraput,7138581843,Kathopoda,hsc,12.63,11.07,12.63,16.797900000000002,2.4354,0.5535,0.7749000000000001,132.84,27.675,166.05
429495.0,,koraput,7138581843,Kathopoda,hsc,11.27,10.5,11.27,14.9891,2.31,0.525,0.7350000000000001,126.0,26.25,157.5
429496.0,,koraput,7138581843,Kathopoda,hsc,12.63,11.07,12.63,16.797900000000002,2.4354,0.5535,0.7749000000000001,132.84,27.675,166.05
429418.0,,koraput,7138581843,Kathopoda,hsc,17.12,11.47,17.12,22.769600000000004,2.5234,0.5735,0.8029000000000002,137.64000000000001,28.675,172.05
429417.0,,koraput,7138581843,Kathopoda,hsc,3.53,5.01,3.53,4.6949,1.1022,0.2505,0.3507,60.12,12.524999999999999,75.14999999999999
429416.0,,koraput,7138581843,Kathopoda,hsc,15.56,10.81,15.56,20.6948,2.3782,0.5405000000000001,0.7567000000000002,129.72,27.025000000000002,162.15
429415.0,,koraput,7138581843,Kathopoda,hsc,5.5,6.63,5.5,7.315,1.4586,0.3315,0.4641,79.56,16.575,99.45
