lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
431169.0,,malkangiri,4788713255,Gorakhpali,hsc,7.9,4.64,7.9,10.507000000000001,1.0208,0.23199999999999998,0.32480000000000003,55.67999999999999,11.6,69.6
431168.0,,malkangiri,4788713255,Gorakhpali,hsc,3.02,2.01,3.02,4.0166,0.4422,0.10049999999999999,0.1407,24.119999999999997,5.0249999999999995,30.15
431167.0,,malkangiri,4788713255,Gorakhpali,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431171.0,,malkangiri,6321688472,Bapanpali,hsc,31.31,21.06,31.31,41.6423,4.6331999999999995,1.053,1.4742,252.71999999999997,52.65,315.9
431170.0,,malkangiri,4788713255,Gorakhpali,hsc,8.57,7.07,8.57,11.398100000000001,1.5554000000000001,0.35350000000000004,0.49490000000000006,84.84,17.675,106.05000000000001
431140.0,,malkangiri,6321688472,Bapanpali,hsc,9.03,4.4,9.03,12.0099,0.9680000000000001,0.22000000000000003,0.30800000000000005,52.800000000000004,11.0,66.0
431141.0,,malkangiri,6321688472,Bapanpali,hsc,4.83,2.01,4.83,6.423900000000001,0.4422,0.10049999999999999,0.1407,24.119999999999997,5.0249999999999995,30.15
431166.0,,malkangiri,4788713255,Gorakhpali,hsc,4.34,2.5,4.34,5.7722,0.55,0.125,0.17500000000000002,30.0,6.25,37.5
431165.0,,malkangiri,6321688472,Bapanpali,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431136.0,,malkangiri,7418224866,MV 29,hsc,16.9,7.9,16.9,22.477,1.738,0.395,0.553,94.80000000000001,19.75,118.5
431135.0,,malkangiri,7418224866,MV 29,hsc,13.28,6.35,13.28,17.6624,1.397,0.3175,0.4445,76.19999999999999,15.875,95.25
431175.0,,malkangiri,2521766515,Ginipali,hsc,16.55,8.66,16.55,22.0115,1.9052,0.43300000000000005,0.6062000000000001,103.92,21.65,129.9
431125.0,,malkangiri,7418224866,MV 29,hsc,24.04,18.83,24.04,31.973200000000002,4.1426,0.9415,1.3181,225.95999999999998,47.074999999999996,282.45
