lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
427896.0,,nabarangpur,8865841533,Baragam,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427909.0,,nabarangpur,3437372679,Binjili,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427826.0,,nabarangpur,8667137858,Asanga,hsc,79.37,75.95,79.37,105.56210000000002,16.709,3.7975000000000003,5.3165000000000004,911.4000000000001,189.875,1139.25
427911.0,,nabarangpur,3858154382,Kerala,hsc,3.94,1.57,3.94,5.240200000000001,0.34540000000000004,0.07850000000000001,0.10990000000000001,18.84,3.9250000000000003,23.55
427906.0,,nabarangpur,7448246160,Bada Amada,hsc,0.91,0.61,0.91,1.2103000000000002,0.13419999999999999,0.0305,0.0427,7.32,1.525,9.15
427910.0,,nabarangpur,6623237887,Neigaon,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427827.0,,nabarangpur,8667137858,Asanga,hsc,79.37,75.95,79.37,105.56210000000002,16.709,3.7975000000000003,5.3165000000000004,911.4000000000001,189.875,1139.25
427917.0,,nabarangpur,3858154382,Kerala,hsc,7.76,3.1,7.76,10.3208,0.682,0.15500000000000003,0.21700000000000003,37.2,7.75,46.5
427894.0,,nabarangpur,8865841533,Baragam,hsc,1.2,0.8,1.2,1.596,0.17600000000000002,0.04000000000000001,0.05600000000000001,9.600000000000001,2.0,12.0
427900.0,,nabarangpur,3437372679,Binjili,hsc,14.48,10.23,14.48,19.2584,2.2506,0.5115000000000001,0.7161000000000001,122.76,25.575000000000003,153.45000000000002
427893.0,,nabarangpur,5224112721,Aenli,hsc,6.48,4.28,6.48,8.618400000000001,0.9416000000000001,0.21400000000000002,0.29960000000000003,51.36,10.700000000000001,64.2
427908.0,,nabarangpur,7448246160,Bada Amada,hsc,0.91,0.61,0.91,1.2103000000000002,0.13419999999999999,0.0305,0.0427,7.32,1.525,9.15
427914.0,,nabarangpur,4384645414,M Keragam,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427823.0,,nabarangpur,3858154382,Kerala,hsc,1.6,0.64,1.6,2.128,0.1408,0.032,0.044800000000000006,7.68,1.6,9.6
427885.0,,nabarangpur,8461381777,Bamini,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427901.0,,nabarangpur,3437372679,Binjili,hsc,14.35,10.05,14.35,19.0855,2.2110000000000003,0.5025000000000001,0.7035000000000001,120.60000000000001,25.125,150.75
427886.0,,nabarangpur,7448246160,Bada Amada,hsc,1.58,1.05,1.58,2.1014000000000004,0.231,0.052500000000000005,0.07350000000000001,12.600000000000001,2.625,15.75
427898.0,,nabarangpur,8865841533,Baragam,hsc,45.77,30.42,45.77,60.874100000000006,6.6924,1.5210000000000001,2.1294000000000004,365.04,76.05000000000001,456.3
427902.0,,nabarangpur,3437372679,Binjili,hsc,1.67,0.64,1.67,2.2211,0.1408,0.032,0.044800000000000006,7.68,1.6,9.6
427904.0,,nabarangpur,3437372679,Binjili,hsc,1.67,0.64,1.67,2.2211,0.1408,0.032,0.044800000000000006,7.68,1.6,9.6
427897.0,,nabarangpur,8865841533,Baragam,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427895.0,,nabarangpur,8865841533,Baragam,hsc,0.03,0.02,0.03,0.0399,0.0044,0.001,0.0014000000000000002,0.24,0.05,0.3
427915.0,,nabarangpur,4384645414,M Keragam,hsc,1.75,0.7,1.75,2.3275,0.154,0.034999999999999996,0.049,8.399999999999999,1.75,10.5
427888.0,,nabarangpur,7448246160,Bada Amada,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
