lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
406631.0,,nayagarh,1854783816,Rohibanka,hsc,1.08,1.17,1.08,1.4364000000000001,0.25739999999999996,0.058499999999999996,0.0819,14.04,2.925,17.549999999999997
406630.0,,nayagarh,1854783816,Rohibanka,hsc,1.08,1.17,1.08,1.4364000000000001,0.25739999999999996,0.058499999999999996,0.0819,14.04,2.925,17.549999999999997
406629.0,,nayagarh,1854783816,Rohibanka,hsc,1.08,1.17,1.08,1.4364000000000001,0.25739999999999996,0.058499999999999996,0.0819,14.04,2.925,17.549999999999997
406474.0,,nayagarh,2471611166,Kaptapalli,hsc,0.09,0.04,0.09,0.1197,0.0088,0.002,0.0028000000000000004,0.48,0.1,0.6
406470.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406475.0,,nayagarh,2471611166,Kaptapalli,hsc,1.12,0.47,1.12,1.4896000000000003,0.10339999999999999,0.0235,0.0329,5.64,1.1749999999999998,7.05
406476.0,,nayagarh,2471611166,Kaptapalli,hsc,0.51,0.21,0.51,0.6783,0.0462,0.0105,0.014700000000000001,2.52,0.525,3.15
406440.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406469.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406467.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406477.0,,nayagarh,2471611166,Kaptapalli,hsc,20.64,8.55,20.64,27.451200000000004,1.8810000000000002,0.42750000000000005,0.5985000000000001,102.60000000000001,21.375,128.25
406503.0,,nayagarh,2471611166,Kaptapalli,hsc,0.29,0.12,0.29,0.3857,0.0264,0.006,0.008400000000000001,1.44,0.3,1.7999999999999998
406502.0,,nayagarh,2471611166,Kaptapalli,hsc,1.12,0.47,1.12,1.4896000000000003,0.10339999999999999,0.0235,0.0329,5.64,1.1749999999999998,7.05
406473.0,,nayagarh,2471611166,Kaptapalli,hsc,9.69,3.98,9.69,12.8877,0.8756,0.199,0.2786,47.76,9.95,59.7
406472.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406468.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406471.0,,nayagarh,2471611166,Kaptapalli,hsc,9.69,3.98,9.69,12.8877,0.8756,0.199,0.2786,47.76,9.95,59.7
406439.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406632.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
