lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
422247.0,,nuapada,2418765877,Badibahal,hsc,0.42,0.28,0.42,0.5586,0.06160000000000001,0.014000000000000002,0.019600000000000003,3.3600000000000003,0.7000000000000001,4.2
422241.0,,nuapada,2418765877,Badibahal,hsc,45.45,29.41,45.45,60.44850000000001,6.4702,1.4705000000000001,2.0587000000000004,352.92,73.525,441.15
422242.0,,nuapada,2418765877,Badibahal,hsc,39.48,27.11,39.48,52.5084,5.9642,1.3555000000000001,1.8977000000000002,325.32,67.775,406.65
422248.0,,nuapada,2418765877,Badibahal,hsc,0.86,0.57,0.86,1.1438000000000001,0.12539999999999998,0.028499999999999998,0.0399,6.84,1.4249999999999998,8.549999999999999
422249.0,,nuapada,2418765877,Badibahal,hsc,2.22,1.48,2.22,2.9526000000000003,0.3256,0.074,0.10360000000000001,17.759999999999998,3.7,22.2
422181.0,,nuapada,4776341762,Gorla,hsc,32.07,22.82,32.07,42.6531,5.0204,1.141,1.5974000000000002,273.84000000000003,57.05,342.3
422229.0,,nuapada,7163768430,Kuliadunguri,hsc,0.28,0.18,0.28,0.37240000000000006,0.039599999999999996,0.009,0.0126,2.16,0.44999999999999996,2.6999999999999997
422246.0,,nuapada,2418765877,Badibahal,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422175.0,,nuapada,5363386771,Nangalbord,hsc,6.89,2.87,6.89,9.1637,0.6314000000000001,0.14350000000000002,0.20090000000000002,34.44,7.175000000000001,43.050000000000004
422232.0,,nuapada,3442853853,Kendumunda,hsc,1.16,0.77,1.16,1.5428,0.1694,0.038500000000000006,0.0539,9.24,1.925,11.55
422231.0,,nuapada,7163768430,Kuliadunguri,hsc,0.28,0.18,0.28,0.37240000000000006,0.039599999999999996,0.009,0.0126,2.16,0.44999999999999996,2.6999999999999997
422237.0,,nuapada,3442853853,Kendumunda,hsc,7.66,4.34,7.66,10.187800000000001,0.9548,0.217,0.3038,52.08,10.85,65.1
422233.0,,nuapada,3442853853,Kendumunda,hsc,1.48,0.99,1.48,1.9684000000000001,0.2178,0.0495,0.0693,11.879999999999999,2.475,14.85
422182.0,,nuapada,3442853853,Kendumunda,hsc,8.97,5.95,8.97,11.930100000000001,1.309,0.29750000000000004,0.41650000000000004,71.4,14.875,89.25
422170.0,,nuapada,5363386771,Nangalbord,hsc,11.64,4.84,11.64,15.481200000000001,1.0648,0.242,0.33880000000000005,58.08,12.1,72.6
422163.0,,nuapada,4776341762,Gorla,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422160.0,,nuapada,4776341762,Gorla,hsc,7.53,3.14,7.53,10.0149,0.6908000000000001,0.15700000000000003,0.21980000000000002,37.68,7.8500000000000005,47.1
422171.0,,nuapada,5363386771,Nangalbord,hsc,8.73,3.64,8.73,11.6109,0.8008000000000001,0.18200000000000002,0.2548,43.68,9.1,54.6
