lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
382348.0,,sambalpur,1846277646,Badmal,hsc,24.87,10.35,24.87,33.0771,2.277,0.5175,0.7245,124.19999999999999,25.875,155.25
382349.0,,sambalpur,1846277646,Badmal,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382350.0,,sambalpur,1846277646,Badmal,hsc,2.83,1.18,2.83,3.7639000000000005,0.2596,0.059,0.0826,14.16,2.9499999999999997,17.7
382351.0,,sambalpur,1846277646,Badmal,hsc,3.06,1.28,3.06,4.0698,0.2816,0.064,0.08960000000000001,15.36,3.2,19.2
382352.0,,sambalpur,1846277646,Badmal,hsc,5.13,2.14,5.13,6.822900000000001,0.47080000000000005,0.10700000000000001,0.14980000000000002,25.68,5.3500000000000005,32.1
382354.0,,sambalpur,1846277646,Badmal,hsc,6.53,2.72,6.53,8.6849,0.5984,0.136,0.19040000000000004,32.64,6.800000000000001,40.800000000000004
382353.0,,sambalpur,1846277646,Badmal,hsc,5.1,2.12,5.1,6.7829999999999995,0.46640000000000004,0.10600000000000001,0.14840000000000003,25.44,5.300000000000001,31.8
382355.0,,sambalpur,1846277646,Badmal,hsc,4.76,1.98,4.76,6.3308,0.4356,0.099,0.1386,23.759999999999998,4.95,29.7
382356.0,,sambalpur,1846277646,Badmal,hsc,6.53,2.72,6.53,8.6849,0.5984,0.136,0.19040000000000004,32.64,6.800000000000001,40.800000000000004
382357.0,,sambalpur,1846277646,Badmal,hsc,6.23,2.6,6.23,8.285900000000002,0.5720000000000001,0.13,0.18200000000000002,31.200000000000003,6.5,39.0
382364.0,,sambalpur,7781756585,Tribanpur,hsc,69.85,36.31,69.85,92.9005,7.988200000000001,1.8155000000000001,2.5417000000000005,435.72,90.775,544.6500000000001
382363.0,,sambalpur,7781756585,Tribanpur,hsc,69.85,36.31,69.85,92.9005,7.988200000000001,1.8155000000000001,2.5417000000000005,435.72,90.775,544.6500000000001
382365.0,,sambalpur,7781756585,Tribanpur,hsc,69.3,36.07,69.3,92.169,7.9354000000000005,1.8035,2.5249,432.84000000000003,90.175,541.05
382366.0,,sambalpur,7781756585,Tribanpur,hsc,9.38,6.09,9.38,12.475400000000002,1.3397999999999999,0.3045,0.4263,73.08,15.225,91.35
382447.0,,sambalpur,7781756585,Tribanpur,hsc,66.69,34.99,66.69,88.6977,7.697800000000001,1.7495000000000003,2.4493000000000005,419.88,87.47500000000001,524.85
382359.0,,sambalpur,7781756585,Tribanpur,hsc,9.38,6.09,9.38,12.475400000000002,1.3397999999999999,0.3045,0.4263,73.08,15.225,91.35
382358.0,,sambalpur,6757875577,Charmal,hsc,13.16,17.93,13.16,17.5028,3.9446,0.8965000000000001,1.2551,215.16,44.825,268.95
382503.0,,sambalpur,7781756585,Tribanpur,hsc,24.2,10.2,24.2,32.186,2.2439999999999998,0.51,0.714,122.39999999999999,25.5,153.0
382506.0,,sambalpur,7781756585,Tribanpur,hsc,34.76,16.45,34.76,46.2308,3.6189999999999998,0.8225,1.1515,197.39999999999998,41.125,246.75
382499.0,,sambalpur,7781756585,Tribanpur,hsc,38.26,37.66,38.26,50.8858,8.2852,1.883,2.6362,451.91999999999996,94.14999999999999,564.9
382498.0,,sambalpur,4523647834,Badbahal,hsc,16.4,10.82,16.4,21.811999999999998,2.3804000000000003,0.541,0.7574000000000001,129.84,27.05,162.3
382502.0,,sambalpur,7781756585,Tribanpur,hsc,36.8,17.39,36.8,48.943999999999996,3.8258,0.8695,1.2173,208.68,43.475,260.85
382501.0,,sambalpur,7781756585,Tribanpur,hsc,37.74,18.43,37.74,50.1942,4.0546,0.9215,1.2901,221.16,46.075,276.45
382496.0,,sambalpur,4523647834,Badbahal,hsc,8.94,11.12,8.94,11.8902,2.4463999999999997,0.5559999999999999,0.7784,133.44,27.799999999999997,166.79999999999998
382504.0,,sambalpur,7781756585,Tribanpur,hsc,32.25,14.77,32.25,42.892500000000005,3.2494,0.7385,1.0339,177.24,36.925,221.54999999999998
382505.0,,sambalpur,7781756585,Tribanpur,hsc,33.02,15.29,33.02,43.91660000000001,3.3638,0.7645,1.0703,183.48,38.224999999999994,229.35
382500.0,,sambalpur,7781756585,Tribanpur,hsc,36.6,17.68,36.6,48.678000000000004,3.8896,0.884,1.2376,212.16,44.2,265.2
382448.0,,sambalpur,7781756585,Tribanpur,hsc,82.24,41.25,82.24,109.3792,9.075,2.0625,2.8875,495.0,103.125,618.75
382367.0,,sambalpur,7781756585,Tribanpur,hsc,9.38,6.09,9.38,12.475400000000002,1.3397999999999999,0.3045,0.4263,73.08,15.225,91.35
382362.0,,sambalpur,7781756585,Tribanpur,hsc,9.38,6.09,9.38,12.475400000000002,1.3397999999999999,0.3045,0.4263,73.08,15.225,91.35
382369.0,,sambalpur,7781756585,Tribanpur,hsc,9.38,6.09,9.38,12.475400000000002,1.3397999999999999,0.3045,0.4263,73.08,15.225,91.35
382368.0,,sambalpur,7781756585,Tribanpur,hsc,7.57,4.89,7.57,10.068100000000001,1.0757999999999999,0.2445,0.3423,58.67999999999999,12.225,73.35
382370.0,,sambalpur,7781756585,Tribanpur,hsc,8.2,5.31,8.2,10.905999999999999,1.1682,0.2655,0.37170000000000003,63.72,13.274999999999999,79.64999999999999
382371.0,,sambalpur,7781756585,Tribanpur,hsc,6.88,4.59,6.88,9.150400000000001,1.0098,0.2295,0.32130000000000003,55.08,11.475,68.85
382373.0,,sambalpur,2126451711,Podabalanda,hsc,6.63,4.42,6.63,8.8179,0.9724,0.221,0.3094,53.04,11.05,66.3
382326.0,,sambalpur,2126451711,Podabalanda,hsc,1.1,0.73,1.1,1.4630000000000003,0.1606,0.0365,0.051100000000000007,8.76,1.825,10.95
382328.0,,sambalpur,2126451711,Podabalanda,hsc,0.87,0.58,0.87,1.1571,0.1276,0.028999999999999998,0.040600000000000004,6.959999999999999,1.45,8.7
