lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
404963.0,,anugul,1188747362,Pataka,phc,32.38,32.85,32.38,43.065400000000004,7.227,1.6425,2.2995,394.20000000000005,82.125,492.75
404800.0,,anugul,1188747362,Pataka,phc,34.22,32.0,34.22,45.5126,7.04,1.6,2.24,384.0,80.0,480.0
404793.0,,anugul,1188747362,Pataka,phc,36.71,33.82,36.71,48.8243,7.4404,1.691,2.3674000000000004,405.84000000000003,84.55,507.3
404959.0,,anugul,1188747362,Pataka,phc,32.62,33.1,32.62,43.3846,7.282,1.6550000000000002,2.317,397.20000000000005,82.75,496.5
404960.0,,anugul,1188747362,Pataka,phc,31.77,32.19,31.77,42.2541,7.081799999999999,1.6095,2.2533,386.28,80.475,482.84999999999997
404965.0,,anugul,1188747362,Pataka,phc,32.17,32.62,32.17,42.786100000000005,7.176399999999999,1.631,2.2834,391.43999999999994,81.55,489.29999999999995
404791.0,,anugul,1188747362,Pataka,phc,33.43,31.64,33.43,44.4619,6.9608,1.582,2.2148000000000003,379.68,79.1,474.6
404794.0,,anugul,1188747362,Pataka,phc,37.9,34.82,37.9,50.407000000000004,7.6604,1.741,2.4374000000000002,417.84000000000003,87.05,522.3
404952.0,,anugul,1188747362,Pataka,phc,33.38,33.93,33.38,44.39540000000001,7.4646,1.6965000000000001,2.3751,407.15999999999997,84.825,508.95
404964.0,,anugul,1188747362,Pataka,phc,59.13,57.4,59.13,78.64290000000001,12.628,2.87,4.018000000000001,688.8,143.5,861.0
404792.0,,anugul,1188747362,Pataka,phc,34.66,32.66,34.66,46.0978,7.185199999999999,1.633,2.2862,391.91999999999996,81.64999999999999,489.9
404798.0,,anugul,1188747362,Pataka,phc,35.67,32.57,35.67,47.441100000000006,7.1654,1.6285,2.2799,390.84000000000003,81.425,488.55
404958.0,,anugul,1188747362,Pataka,phc,33.54,34.1,33.54,44.608200000000004,7.502000000000001,1.705,2.3870000000000005,409.20000000000005,85.25,511.5
404966.0,,anugul,1188747362,Pataka,phc,38.99,34.77,38.99,51.856700000000004,7.649400000000001,1.7385000000000002,2.4339000000000004,417.24,86.92500000000001,521.5500000000001
404789.0,,anugul,1188747362,Pataka,phc,31.45,31.85,31.45,41.8285,7.007000000000001,1.5925000000000002,2.2295000000000003,382.20000000000005,79.625,477.75
404799.0,,anugul,1188747362,Pataka,phc,34.26,32.03,34.26,45.5658,7.046600000000001,1.6015000000000001,2.2421,384.36,80.075,480.45000000000005
