lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
420893.0,,balangir,1263844779,Belpada,phc,29.48,23.94,29.48,39.208400000000005,5.2668,1.197,1.6758000000000002,287.28000000000003,59.85,359.1
420897.0,,balangir,1263844779,Belpada,phc,11.91,10.09,11.91,15.840300000000001,2.2197999999999998,0.5045000000000001,0.7063,121.08,25.225,151.35
420895.0,,balangir,1263844779,Belpada,phc,28.54,23.57,28.54,37.9582,5.1854000000000005,1.1785,1.6499000000000001,282.84000000000003,58.925,353.55
420892.0,,balangir,1263844779,Belpada,phc,31.77,24.9,31.77,42.2541,5.478,1.245,1.743,298.79999999999995,62.25,373.5
420896.0,,balangir,1263844779,Belpada,phc,17.04,13.51,17.04,22.6632,2.9722,0.6755,0.9457000000000001,162.12,33.775,202.65
421294.0,,balangir,5828324821,Bhalumunda,phc,7.49,8.38,7.49,9.9617,1.8436000000000001,0.41900000000000004,0.5866000000000001,100.56,20.950000000000003,125.70000000000002
421270.0,,balangir,1263844779,Belpada,phc,5.53,4.73,5.53,7.354900000000001,1.0406000000000002,0.23650000000000004,0.33110000000000006,56.760000000000005,11.825000000000001,70.95
421268.0,,balangir,5828324821,Bhalumunda,phc,5.88,4.56,5.88,7.8204,1.0031999999999999,0.22799999999999998,0.3192,54.72,11.399999999999999,68.39999999999999
421271.0,,balangir,1263844779,Belpada,phc,17.52,14.39,17.52,23.3016,3.1658,0.7195,1.0073,172.68,35.975,215.85000000000002
420898.0,,balangir,1263844779,Belpada,phc,10.21,8.96,10.21,13.579300000000002,1.9712000000000003,0.44800000000000006,0.6272000000000001,107.52000000000001,22.400000000000002,134.4
421334.0,,balangir,5828324821,Bhalumunda,phc,22.71,21.76,22.71,30.204300000000003,4.7872,1.088,1.5232000000000003,261.12,54.400000000000006,326.40000000000003
421269.0,,balangir,1263844779,Belpada,phc,5.53,4.73,5.53,7.354900000000001,1.0406000000000002,0.23650000000000004,0.33110000000000006,56.760000000000005,11.825000000000001,70.95
420858.0,,balangir,5155255762,Baddukela,phc,2.82,1.17,2.82,3.7506,0.25739999999999996,0.058499999999999996,0.0819,14.04,2.925,17.549999999999997
420854.0,,balangir,5155255762,Baddukela,phc,0.36,0.15,0.36,0.4788,0.033,0.0075,0.0105,1.7999999999999998,0.375,2.25
420891.0,,balangir,1263844779,Belpada,phc,30.06,29.73,30.06,39.9798,6.5406,1.4865000000000002,2.0811,356.76,74.325,445.95
420899.0,,balangir,5828324821,Bhalumunda,phc,8.61,7.89,8.61,11.4513,1.7358,0.3945,0.5523,94.67999999999999,19.724999999999998,118.35
420890.0,,balangir,5155255762,Baddukela,phc,29.74,12.38,29.74,39.5542,2.7236000000000002,0.6190000000000001,0.8666000000000001,148.56,30.950000000000003,185.70000000000002
420888.0,,balangir,5155255762,Baddukela,phc,23.71,9.87,23.71,31.5343,2.1713999999999998,0.4935,0.6909,118.44,24.674999999999997,148.04999999999998
420861.0,,balangir,5155255762,Baddukela,phc,19.61,8.15,19.61,26.081300000000002,1.7930000000000001,0.40750000000000003,0.5705000000000001,97.80000000000001,20.375,122.25
420867.0,,balangir,5155255762,Baddukela,phc,23.39,11.86,23.39,31.108700000000002,2.6092,0.593,0.8302,142.32,29.65,177.89999999999998
420868.0,,balangir,5155255762,Baddukela,phc,20.83,9.62,20.83,27.7039,2.1164,0.481,0.6734,115.44,24.049999999999997,144.29999999999998
420889.0,,balangir,5155255762,Baddukela,phc,22.46,9.35,22.46,29.871800000000004,2.057,0.4675,0.6545000000000001,112.19999999999999,23.375,140.25
420864.0,,balangir,5828324821,Bhalumunda,phc,25.34,19.37,25.34,33.702200000000005,4.2614,0.9685000000000001,1.3559,232.44,48.425000000000004,290.55
420860.0,,balangir,1263844779,Belpada,phc,29.39,37.87,29.39,39.0887,8.3314,1.8935,2.6509,454.43999999999994,94.675,568.05
420866.0,,balangir,5828324821,Bhalumunda,phc,22.83,19.24,22.83,30.3639,4.2328,0.962,1.3468,230.88,48.099999999999994,288.59999999999997
420863.0,,balangir,5155255762,Baddukela,phc,13.6,5.67,13.6,18.088,1.2474,0.28350000000000003,0.39690000000000003,68.03999999999999,14.175,85.05
420856.0,,balangir,5155255762,Baddukela,phc,7.06,2.94,7.06,9.3898,0.6468,0.147,0.2058,35.28,7.35,44.1
420857.0,,balangir,5155255762,Baddukela,phc,10.46,4.36,10.46,13.911800000000001,0.9592,0.21800000000000003,0.3052,52.32000000000001,10.9,65.4
420855.0,,balangir,5155255762,Baddukela,phc,1.67,0.7,1.67,2.2211,0.154,0.034999999999999996,0.049,8.399999999999999,1.75,10.5
420849.0,,balangir,5155255762,Baddukela,phc,7.93,3.29,7.93,10.5469,0.7238,0.1645,0.23030000000000003,39.480000000000004,8.225,49.35
420865.0,,balangir,5828324821,Bhalumunda,phc,15.54,14.23,15.54,20.6682,3.1306000000000003,0.7115,0.9961000000000001,170.76,35.575,213.45000000000002
420859.0,,balangir,1263844779,Belpada,phc,33.71,40.51,33.71,44.834300000000006,8.9122,2.0255,2.8357,486.12,101.27499999999999,607.65
420862.0,,balangir,5155255762,Baddukela,phc,22.77,9.48,22.77,30.284100000000002,2.0856,0.47400000000000003,0.6636000000000001,113.76,23.700000000000003,142.20000000000002
420894.0,,balangir,1263844779,Belpada,phc,28.54,23.57,28.54,37.9582,5.1854000000000005,1.1785,1.6499000000000001,282.84000000000003,58.925,353.55
420827.0,,balangir,7255155561,Lathor,phc,13.03,5.9,13.03,17.3299,1.298,0.29500000000000004,0.4130000000000001,70.80000000000001,14.75,88.5
420826.0,,balangir,7255155561,Lathor,phc,7.89,3.78,7.89,10.4937,0.8316,0.189,0.2646,45.36,9.45,56.699999999999996
420846.0,,balangir,7255155561,Lathor,phc,16.93,14.61,16.93,22.5169,3.2142,0.7305,1.0227000000000002,175.32,36.525,219.14999999999998
420839.0,,balangir,7255155561,Lathor,phc,12.02,10.11,12.02,15.986600000000001,2.2241999999999997,0.5055,0.7077,121.32,25.275,151.64999999999998
420831.0,,balangir,7255155561,Lathor,phc,18.23,10.59,18.23,24.245900000000002,2.3298,0.5295,0.7413000000000001,127.08,26.475,158.85
420829.0,,balangir,7255155561,Lathor,phc,14.61,9.1,14.61,19.4313,2.002,0.455,0.637,109.19999999999999,22.75,136.5
420850.0,,balangir,5155255762,Baddukela,phc,4.11,1.71,4.11,5.4663,0.3762,0.0855,0.11970000000000001,20.52,4.275,25.65
